,dataset_code,business_entity_code
41,autonomous-vehicle-survey-of-bicyclists-and-pedestrians-in-pittsburgh,Transportation
42,pavement-condition-index-2019,Transportation
43,daily-transit-ridership,Transit
44,monthly-modal-time-series,Public-And-Transit
45,mta-subway-stations,Transportation
46,mta-subway-mean-distance-between-failures-beginning-2015,Transportation
47,dot-parking-tickets,Transportation
48,traffic-volume-counts,Transportation
49,louisville-metro-ky-animal-services-activity-log-dd99d,Geospatial
50,citywide-mobility-survey-vehicle-survey-2019,Transportation
51,commercial-aviation-mishandled-baggage-and-mishandled-wheelchairs-and-scooter,Aviation
52,transportation-economic-trends-tet-data,Research-And-Statistics
53,rail-equipment-accident-incident-data,Railroads
54,department-for-the-aging-dfta-contracted-providers,Social-Services
55,vehicle-registrations-by-class-and-county,Transportation
56,weekly-traffic-volume,Roadways-And-Bridges
57,tlc-approved-labcorp-patient-services-drug-test-locations-dataset,Transportation
58,consumer-airfare-report-table-1a-all-u-s-airport-pair-markets,Aviation
59,energy-prices-dollars-per-million-btu-beginning-1970,Energy-And-Environment
60,clean-transportation-program-8e7de,Natural-Resources
61,taxi-improvement-fund-tif-medallion-payments,Transportation
62,mta-2025-2044-20-year-needs-assessment-asset-condition,Transportation
63,allegheny-county-assets,Environment
64,cdc-nutrition-physical-activity-and-obesity-legislation,Nutrition
65,metropolitan-planning-areas,Transportation
66,highway-mileage-beginning-2008,Transportation
67,mta-bus-speeds-beginning-2020,Transportation
68,traffic-crashes-vision-zero-chicago-traffic-fatalities,Transportation
69,new-york-city-truck-routes,Transportation
70,motor-vehicle-use-map-roads-feature-layer-7d219,Geospatial
71,reduced-access-to-care-during-covid-19,NCHS
72,mva-electric-and-hybrid-vehicle-registrations-by-county-as-of-october-2020,Transportation
73,sugar-sweetened-beverage-consumption-in-california-residents-69c65,Health-And-Human-Services
74,1-08-crash-data-report-detail-498c3,Geospatial
75,street-resurfacing-schedule,Transportation
76,mta-daily-ridership-data-beginning-2020,Transportation
77,los-angeles-international-airport-flight-operations-by-month,Transportation
78,mta-monthly-ridership-traffic-data-beginning-january-2008,Transportation
79,blm-natl-recreation-site-points,Geospatial
80,mobility-trends-county-modeling-dataset,Roadways-And-Bridges
81,speed-camera-locations,Transportation
82,mta-lirr-delay-verification-beginning-2010,Transportation
83,2018-green-taxi-trip-data,Transportation
84,metro-bike-share-trip-data,Community-And-Economic-Development
85,los-angeles-international-airport-air-cargo-volume,Transportation
86,airline-customer-service-commitments-for-cancellation,Transportation
87,mva-vehicle-registration-by-county-fy-2010-to-fy-2020,Transportation
88,transportation-public-financial-statistics-tpfs,Research-And-Statistics
89,h2scale-concept-hydrogen-demand-and-resources,Energie
90,mta-subway-hourly-ridership-beginning-february-2022,Transportation
91,street-names-1fbad,Transportation-And-Infrastructure
92,allegheny-county-traffic-counts,Environment
93,annual-personal-consumption-expenditures-for-state-of-iowa,Economic-Statistics
94,2014-housing-market-analysis-data-by-zip-code,Housing-And-Real-Estate
95,monthly-motor-fuel-sales-reported-by-states-selected-data-from-fhwa-monthly-motor-fuel-rep,Research-And-Statistics
96,vision-zero-demographic-statistics,Transportation-And-Mobility
97,traffic-volumes-aadt-ee8d6,Transportation
98,gasoline-retail-prices-weekly-average-by-region-beginning-2007,Energy-And-Environment
99,police-data-crashes,Public-Safety
100,baton-rouge-traffic-crash-incidents-c1a90,Public-Safety
101,parking-regulation-locations-and-signs,Transportation
102,energy-prices-per-physical-unit-by-sector-beginning-1970,Energy-And-Environment
103,licensed-driver-dashboard-data,Roadways-And-Bridges
104,real-time-traffic-incident-reports,Transportation-And-Mobility
105,vzv-speed-limits,Transportation
106,open-restaurant-applications,Transportation
107,parking-transactions,Transportation-And-Mobility
108,taxi-trips-2024,Transportation
109,los-angeles-international-airport-passenger-count-by-carrier-type,Transportation
110,mta-bus-fare-evasion-beginning-2019,Transportation
111,wyoming-cv-pilot-traveler-information-message-sample-schema-version-6,Automobiles
112,licensed-automobile-dealers-and-repairers,Transportation
113,community-vulnerability-bcdc-2020-e61b6,Natural-Resources
114,mta-service-alerts-beginning-april-2020,Transportation
115,mta-subway-major-incidents-beginning-2015,Transportation
116,disadvantaged-communities-designated-by-justice40-a167d,Natural-Resources
117,chicago-street-names,Transportation
118,fare-card-history-for-metropolitan-transportation-authority-mta-beginning-2010,Transportation
119,nypd-b-summons,Public-Safety
120,license-event-notification-service-lens-customers,Transportation
121,citywide-mobility-survey-trip-survey-2019,Transportation
122,parking-permit-for-people-with-disabilities-pppd-city,Transportation
123,vzv-senior-centers,Transportation
124,providence-police-department-arrests-and-citations-past-60-days,Public-Safety
125,speed-reducer-tracking-system-srts,Transportation
126,for-hire-vehicles-fhv-active-drivers,Transportation
127,medallion-vehicles-authorized,Transportation
128,round-1-solicitation-electric-fuel-corridor-groups-updated-december-2023-3f25e,Natural-Resources
129,bicycle-pedestrian-counts,Transportation-And-Mobility
130,highway-rail-grade-crossing-accident-data,Railroads
131,towed-vehicles,Transportation
132,truck-size-and-weight-enforcement-data,Roadways-And-Bridges
133,united-states-boundary-files,Administrative
134,advanced-driver-assistance-system-adas-equipped-two-vehicle-data-for-central-ohio,Automobiles
135,taxi-medallion-transfers,Transportation
136,massachusetts-department-of-transportation-massdot-work-zone-data-exchange-wzdx-v2-0-feed-,Roadways-And-Bridges
137,louisville-metro-ky-feature-class-containing-trip-level-data-for-louvelo-bikeshare-program,Geospatial
138,mta-metro-north-on-time-performance-beginning-2020,Transportation
139,mta-bus-speeds-beginning-2015,Transportation
140,transportion-structure,City-Government
141,mta-lirr-and-metro-north-mean-distance-between-failures-beginning-2015,Transportation
142,mta-subsidies-beginning-2019,Transportation
143,congressional-districts-shapefile-116th-117th,Research-And-Statistics
144,jefferson-county-ky-traffic-web-cameras-2b335,Geospatial
145,e-zpass-usage-statistics-beginning-2008,Transportation
146,traffic-cameras-39eee,Transportation-And-Mobility
147,traffic-signals-status,Transportation-And-Mobility
148,traffic-signals-661cb,Transportation
149,ct-planning-regions,Geospatial
150,tourism-information-centers,Transportation
151,national-hydrography-dataset-nhd-0c127,Natural-Resources
152,california-and-justice40-disadvantaged-or-low-income-communities-6602e,Natural-Resources
153,public-electric-vehicle-charging-stations-and-alternative-fuel-stations-in-maryland,Energy-And-Environment
154,tax-rates-by-motor-fuel-and-state,Research-And-Statistics
155,mta-staten-island-railway-on-time-performance-beginning-2006,Transportation
156,maryland-road-closures,Transportation
157,traffic-control-device-inventory,Transportation
158,temporary-use-permits,Recreation-And-Culture
159,mva-vehicle-registrations-by-county-as-of-each-month-end-from-jan-2023-to-jun-2023,Transportation
160,blm-or-easements-and-rights-of-way-polygon-hub,Geospatial
161,mta-subway-and-bus-reduced-fare-metrocard-usage-beginning-2018,Transportation
162,mta-subway-wait-assessment-beginning-2015,Transportation
163,mta-colors,Transportation
164,bi-annual-pedestrian-counts,Transportation
165,state-of-aging-in-allegheny-county-survey,Demographics
166,tlc-new-driver-application-status,Transportation
167,mta-transit-oriented-development-tod-data,Transportation
168,sutdrevdistcitycounty-d48f1,Economy-And-Demographics
169,enhancing-microsimulation-models-for-improved-work-zone-planning-car-following-data-from-w-fff48,Automobiles
170,interstate-exit,Transportation-And-Infrastructure
171,consumer-airfare-report-table-2-top-1000-city-pair-markets,Aviation
172,fruit-and-vegetable-consumption-in-california-residents-2012-2013-819a8,Health-And-Human-Services
173,consumer-airfare-report-table-5-detailed-fare-information-for-highest-and-lowest-fare-mark,Aviation
174,acdbe-dbe-certified-businesses-by-the-department-of-equity-and-inclusion-dei,Social-Services
175,ladot-parking-meter-occupancy,Transportation
176,electric-fuel-corridor-groups-march-2024-4f222,Natural-Resources
177,blm-natl-recreation-site-polygons-7f4a2,Geospatial
178,traffic-crashes-people,Transportation
179,early-model-based-provisional-estimates-of-drug-overdose-suicide-and-transportation-relate-b35b2,NCHS
180,vehicle-registration-summary,Transportation
181,capital-district-transportation-authority-cdta-annual-reports-beginning-2007,Transportation
182,capital-improvement-program-cip-project-status,Government
183,loudoun-road-casings-d3d30,Geospatial
184,historic-deer-kill-locations-data,Transportation-Operations
185,la-express-park-project-area,Transportation
186,pole-attachments,Transportation-And-Mobility
187,service-flat-file,Public-And-Transit
188,transportation-planning-agencies-that-filed-late-or-failed-to-file-fy-2019-20-ftrs-6fc98,Economy-And-Demographics
189,pittsburgh-regional-transit-transit-routes,Transportation
190,blm-natl-gtlf-public-motorized-trails,Geospatial
191,mta-staten-island-railway-scheduled-trips-beginning-2006,Transportation
192,mta-lirr-fare-collection-failure-rates-beginning-2015,Transportation
193,dmv-peer-to-peer-car-sharing,Transportation
194,mta-workplace-violence-labor-law-incidents-beginning-2019,Transportation
195,2022-annual-technology-baseline-atb-cost-and-performance-data-for-electricity-generation-t,Energie
196,certified-disadvantaged-business-enterprises-dbes-in-the-nys-unified-certification-program,Transportation
197,mta-subway-terminal-on-time-performance-beginning-2020,Transportation
198,docked-bikeshare-ridership-by-system-year-and-month,Research-And-Statistics
199,mta-2025-2044-20-year-needs-assessment-bus-fleet-inventory,Transportation
200,offshore-wind-substations-proposed-or-installed,Geospatial
201,mta-mckinsey-ridership-projections-october-2020-december-2026,Transportation
202,daily-vehicle-miles-of-travel-beginning-1985,Transportation
203,ladot-metered-parking-inventory-policies,Transportation
204,mta-major-felonies,Transportation
205,test-lc,Transportation
206,jefferson-county-ky-street-centerlines-68ea4,Geospatial
207,historic-hpms-data-universe-2008,Roadways-And-Bridges
208,inequity-identification-tool-iit-noise-cost-by-county,Roadways-And-Bridges
209,iowa-511-c5c53,Transportation-Operations
210,new-york-truck-voucher-incentive-program-nytvip-projects-reported-by-nyserda-beginning-201,Energy-And-Environment
211,managed-care-enrollment-by-program-and-population-all-de096,Enrollment
212,agency-authorized-parking-permits,Transportation
213,hourly-traffic-on-metropolitan-transportation-authority-mta-bridges-and-tunnels-beginning-,Transportation
214,government-transportation-financial-statistics-gtfs-data,Research-And-Statistics
215,blm-natl-gtlf-limited-public-motorized-trails,Geospatial
216,mta-subway-elevator-and-escalator-availability-beginning-2015,Transportation
217,parking-meters-parknyc-blockfaces,Transportation
218,university-of-texas-good-systems-and-atcems-incidents-data,Public-Safety
219,massachusetts-department-of-transportation-massdot-work-zone-data-exchange-wzdx-v3-1-feed-,Roadways-And-Bridges
220,shn-postmiles-tenth-972a0,Transportation
221,2022-green-taxi-trip-data,Transportation
222,mta-customer-feedback-data-beginning-2014,Transportation
223,street-lighting-fb20b,Transportation-And-Infrastructure
224,for-hire-vehicles-fhv-active,Transportation
225,citywide-mobility-survey-person-2022,Transportation
