,column_code,dataset_name,column_name,business_entity_code
101,airports-5e97a.Ref_Poin_2,airports-5e97a,Ref_Poin_2,
102,airports-5e97a.Ref_Poin_3,airports-5e97a,Ref_Poin_3,
103,airports-5e97a.Ref_Poin_4,airports-5e97a,Ref_Poin_4,
104,airports-5e97a.Elevation,airports-5e97a,Elevation,
105,airports-5e97a.Elevation_,airports-5e97a,Elevation_,
106,airports-5e97a.Mag_Var,airports-5e97a,Mag_Var,
107,airports-5e97a.Mag_Var_Ye,airports-5e97a,Mag_Var_Ye,
108,airports-5e97a.Pattern_Al,airports-5e97a,Pattern_Al,
109,airports-5e97a.Sectional_,airports-5e97a,Sectional_,
110,airports-5e97a.Dist_City_,airports-5e97a,Dist_City_,
111,airports-5e97a.Dir_City_T,airports-5e97a,Dir_City_T,
112,airports-5e97a.Land_Area_,airports-5e97a,Land_Area_,
113,airports-5e97a.Boundary_A,airports-5e97a,Boundary_A,
114,airports-5e97a.Boundary_1,airports-5e97a,Boundary_1,
115,airports-5e97a.Boundary_2,airports-5e97a,Boundary_2,
116,airports-5e97a.Responsibl,airports-5e97a,Responsibl,
117,airports-5e97a.Responsi_1,airports-5e97a,Responsi_1,
118,airports-5e97a.Responsi_2,airports-5e97a,Responsi_2,
119,airports-5e97a.Fss_On_Fac,airports-5e97a,Fss_On_Fac,
120,airports-5e97a.Fss_Id,airports-5e97a,Fss_Id,
121,airports-5e97a.Fss_Name,airports-5e97a,Fss_Name,
122,airports-5e97a.Local_Phon,airports-5e97a,Local_Phon,
123,airports-5e97a.Toll_Free_,airports-5e97a,Toll_Free_,
124,airports-5e97a.Alt_Fss_Id,airports-5e97a,Alt_Fss_Id,
125,airports-5e97a.Alt_Fss_Na,airports-5e97a,Alt_Fss_Na,
126,airports-5e97a.Toll_Fre_1,airports-5e97a,Toll_Fre_1,
127,airports-5e97a.Notam_Wx_F,airports-5e97a,Notam_Wx_F,
128,airports-5e97a.Notam_DSer,airports-5e97a,Notam_DSer,
129,airports-5e97a.Activation,airports-5e97a,Activation,
130,airports-5e97a.Status_Cod,airports-5e97a,Status_Cod,
131,airports-5e97a.Arff_Cert_,airports-5e97a,Arff_Cert_,
132,airports-5e97a.Npias_Fed_,airports-5e97a,Npias_Fed_,
133,airports-5e97a.Airspace_A,airports-5e97a,Airspace_A,
134,airports-5e97a.Intl_Custo,airports-5e97a,Intl_Custo,
135,airports-5e97a.Intl_Cus_1,airports-5e97a,Intl_Cus_1,
136,airports-5e97a.Mil_Joint_,airports-5e97a,Mil_Joint_,
137,airports-5e97a.Mil_Landin,airports-5e97a,Mil_Landin,
138,airports-5e97a.Inspection,airports-5e97a,Inspection,
139,airports-5e97a.Agency_Ins,airports-5e97a,Agency_Ins,
140,airports-5e97a.Last_Inspe,airports-5e97a,Last_Inspe,
141,airports-5e97a.Last_Info_,airports-5e97a,Last_Info_,
142,airports-5e97a.Fuel_Types,airports-5e97a,Fuel_Types,
143,airports-5e97a.Repair_Ser,airports-5e97a,Repair_Ser,
144,airports-5e97a.Power_Plan,airports-5e97a,Power_Plan,
145,airports-5e97a.Bottled_Ox,airports-5e97a,Bottled_Ox,
146,airports-5e97a.Bulk_Oxyge,airports-5e97a,Bulk_Oxyge,
147,airports-5e97a.Lighting_S,airports-5e97a,Lighting_S,
148,airports-5e97a.Beacon_Lig,airports-5e97a,Beacon_Lig,
149,airports-5e97a.Atc_Tower,airports-5e97a,Atc_Tower,
150,airports-5e97a.Unicom,airports-5e97a,Unicom,
151,airports-5e97a.Ctaf,airports-5e97a,Ctaf,
152,airports-5e97a.Seg_Circle,airports-5e97a,Seg_Circle,
153,airports-5e97a.Beacon_Col,airports-5e97a,Beacon_Col,
154,airports-5e97a.Landing_Fe,airports-5e97a,Landing_Fe,
155,airports-5e97a.Medical_Fa,airports-5e97a,Medical_Fa,
156,airports-5e97a.Based_Sing,airports-5e97a,Based_Sing,
157,airports-5e97a.Based_Mult,airports-5e97a,Based_Mult,
158,airports-5e97a.Based_Jet_,airports-5e97a,Based_Jet_,
159,airports-5e97a.Based_Heli,airports-5e97a,Based_Heli,
160,airports-5e97a.Based_Glid,airports-5e97a,Based_Glid,
161,airports-5e97a.Based_Mili,airports-5e97a,Based_Mili,
162,airports-5e97a.Based_Ultr,airports-5e97a,Based_Ultr,
163,airports-5e97a.Commercial,airports-5e97a,Commercial,
164,airports-5e97a.Commuter_O,airports-5e97a,Commuter_O,
165,airports-5e97a.Air_Taxi_O,airports-5e97a,Air_Taxi_O,
166,airports-5e97a.Ga_Local_O,airports-5e97a,Ga_Local_O,
167,airports-5e97a.Ga_Itinera,airports-5e97a,Ga_Itinera,
168,airports-5e97a.Mitary_Ops,airports-5e97a,Mitary_Ops,
169,airports-5e97a.Annual_Ops,airports-5e97a,Annual_Ops,
170,airports-5e97a.Position_S,airports-5e97a,Position_S,
171,airports-5e97a.Position_1,airports-5e97a,Position_1,
172,airports-5e97a.Elevatio_1,airports-5e97a,Elevatio_1,
173,airports-5e97a.Elevatio_2,airports-5e97a,Elevatio_2,
174,airports-5e97a.Contract_F,airports-5e97a,Contract_F,
175,airports-5e97a.Transient_,airports-5e97a,Transient_,
176,airports-5e97a.Other_Serv,airports-5e97a,Other_Serv,
177,airports-5e97a.Wind_Indic,airports-5e97a,Wind_Indic,
178,airports-5e97a.Icao_Ident,airports-5e97a,Icao_Ident,
179,airports-5e97a.Min_Op_Net,airports-5e97a,Min_Op_Net,
180,airports-5e97a.Filler,airports-5e97a,Filler,
181,average-daily-traffic-counts.ID,average-daily-traffic-counts,ID,Transportation.Personal-Transportation.Location
182,average-daily-traffic-counts.Traffic Volume Count Location Address,average-daily-traffic-counts,Traffic Volume Count Location Address,Transportation.Personal-Transportation.Location
183,average-daily-traffic-counts.Street,average-daily-traffic-counts,Street,Transportation.Personal-Transportation.Location
184,average-daily-traffic-counts.Date of Count,average-daily-traffic-counts,Date of Count,Transportation.Waiting-Time
185,average-daily-traffic-counts.Total Passing Vehicle Volume,average-daily-traffic-counts,Total Passing Vehicle Volume,Transportation.Personal-Transportation.Vehicle
186,average-daily-traffic-counts.Vehicle Volume By Each Direction of Traffic,average-daily-traffic-counts,Vehicle Volume By Each Direction of Traffic,Transportation.Personal-Transportation.Vehicle
187,average-daily-traffic-counts.Latitude,average-daily-traffic-counts,Latitude,Transportation.Personal-Transportation.Location
188,average-daily-traffic-counts.Longitude,average-daily-traffic-counts,Longitude,Transportation.Personal-Transportation.Location
189,average-daily-traffic-counts.Location,average-daily-traffic-counts,Location,Transportation.Personal-Transportation.Location
190,electric-vehicle-population-size-history-by-county.Date,electric-vehicle-population-size-history-by-county,Date,
191,electric-vehicle-population-size-history-by-county.County,electric-vehicle-population-size-history-by-county,County,
192,electric-vehicle-population-size-history-by-county.State,electric-vehicle-population-size-history-by-county,State,
193,electric-vehicle-population-size-history-by-county.Vehicle Primary Use,electric-vehicle-population-size-history-by-county,Vehicle Primary Use,
194,electric-vehicle-population-size-history-by-county.Battery Electric Vehicles (BEVs),electric-vehicle-population-size-history-by-county,Battery Electric Vehicles (BEVs),
195,electric-vehicle-population-size-history-by-county.Plug-In Hybrid Electric Vehicles (PHEVs),electric-vehicle-population-size-history-by-county,Plug-In Hybrid Electric Vehicles (PHEVs),
196,electric-vehicle-population-size-history-by-county.Electric Vehicle (EV) Total,electric-vehicle-population-size-history-by-county,Electric Vehicle (EV) Total,
197,electric-vehicle-population-size-history-by-county.Non-Electric Vehicle Total,electric-vehicle-population-size-history-by-county,Non-Electric Vehicle Total,
198,electric-vehicle-population-size-history-by-county.Total Vehicles,electric-vehicle-population-size-history-by-county,Total Vehicles,
199,electric-vehicle-population-size-history-by-county.Percent Electric Vehicles,electric-vehicle-population-size-history-by-county,Percent Electric Vehicles,
200,recalls-data.Report Received Date,recalls-data,Report Received Date,
201,recalls-data.NHTSA ID,recalls-data,NHTSA ID,
202,recalls-data.Recall Link,recalls-data,Recall Link,
203,recalls-data.Manufacturer,recalls-data,Manufacturer,
204,recalls-data.Subject,recalls-data,Subject,
205,recalls-data.Component,recalls-data,Component,
206,recalls-data.Mfr Campaign Number,recalls-data,Mfr Campaign Number,
207,recalls-data.Recall Type,recalls-data,Recall Type,
208,recalls-data.Potentially Affected,recalls-data,Potentially Affected,
209,recalls-data.Recall Description,recalls-data,Recall Description,
210,recalls-data.Consequence Summary,recalls-data,Consequence Summary,
211,recalls-data.Corrective Action,recalls-data,Corrective Action,
212,recalls-data.Park Outside Advisory,recalls-data,Park Outside Advisory,
213,recalls-data.Do Not Drive Advisory,recalls-data,Do Not Drive Advisory,
214,recalls-data.Completion Rate % (Blank - Not Reported),recalls-data,Completion Rate % (Blank - Not Reported),
215,department-of-transportation-inventory-of-artificial-intelligence-use-cases.AI Use Case Name,department-of-transportation-inventory-of-artificial-intelligence-use-cases,AI Use Case Name,Technology.Artificial-Intelligence
216,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Agency With AI Use Case,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Agency With AI Use Case,Administrative.Federal-Agency
217,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Optional Note Field,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Optional Note Field,Administrative
218,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Office With AI Use Case,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Office With AI Use Case,Administrative.State-Agency
219,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Summary,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Summary,Technology.Artificial-Intelligence
220,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Current Stage Of Production,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Current Stage Of Production,Technology.Artificial-Intelligence
221,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Lifecycle Stage Additional Comments,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Lifecycle Stage Additional Comments,Technology.Artificial-Intelligence
222,department-of-transportation-inventory-of-artificial-intelligence-use-cases.AI Techniques Used,department-of-transportation-inventory-of-artificial-intelligence-use-cases,AI Techniques Used,Technology.Artificial-Intelligence
223,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Agency Training Used,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Agency Training Used,Administrative
224,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Training Data Origins,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Training Data Origins,Data
225,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Included In Enterprise Inventory,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Included In Enterprise Inventory,Administrative.State-Agency.Bureau
226,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Public Data Link,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Public Data Link,Data.Geospatial-Data
227,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Use Case Code Accessible,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Use Case Code Accessible,Administrative
228,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Code Included In Agency Inventory,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Code Included In Agency Inventory,Administrative.Federal-Agency
229,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Source Code Public Link,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Source Code Public Link,Technology
230,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Agency Able To Test Code,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Agency Able To Test Code,Administrative
231,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Agency Able To Monitor/Audit,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Agency Able To Monitor/Audit,Administrative
232,department-of-transportation-inventory-of-artificial-intelligence-use-cases.FISMA System Name,department-of-transportation-inventory-of-artificial-intelligence-use-cases,FISMA System Name,Administrative
233,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Withhold Use Case,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Withhold Use Case,Administrative
234,department-of-transportation-inventory-of-artificial-intelligence-use-cases.Explanation To Withhold Use Case,department-of-transportation-inventory-of-artificial-intelligence-use-cases,Explanation To Withhold Use Case,Administrative
235,sales-tax-collections-by-state.state,sales-tax-collections-by-state,state,
236,sales-tax-collections-by-state.month,sales-tax-collections-by-state,month,
237,sales-tax-collections-by-state.year,sales-tax-collections-by-state,year,
238,sales-tax-collections-by-state.tax type,sales-tax-collections-by-state,tax type,Research-And-Statistics.Transportation-Finance.Government-Funding
239,sales-tax-collections-by-state.value,sales-tax-collections-by-state,value,Research-And-Statistics.Transportation-Finance.Government-Funding
240,sales-tax-collections-by-state.fips state,sales-tax-collections-by-state,fips state,
241,sales-tax-collections-by-state.numeric month,sales-tax-collections-by-state,numeric month,
242,sales-tax-collections-by-state.note,sales-tax-collections-by-state,note,
243,sales-tax-collections-by-state.id,sales-tax-collections-by-state,id,
244,licensed-drivers-by-state-gender-and-age-group.Year,licensed-drivers-by-state-gender-and-age-group,Year,
245,licensed-drivers-by-state-gender-and-age-group.Gender,licensed-drivers-by-state-gender-and-age-group,Gender,
246,licensed-drivers-by-state-gender-and-age-group.Cohort,licensed-drivers-by-state-gender-and-age-group,Cohort,
247,licensed-drivers-by-state-gender-and-age-group.State,licensed-drivers-by-state-gender-and-age-group,State,
248,licensed-drivers-by-state-gender-and-age-group.Drivers,licensed-drivers-by-state-gender-and-age-group,Drivers,Roadways-And-Bridges.Automobile-Drivers
249,subway-lines.the_geom,subway-lines,the_geom,
250,subway-lines.OBJECTID,subway-lines,OBJECTID,
251,subway-lines.ID,subway-lines,ID,
252,subway-lines.RT_SYMBOL,subway-lines,RT_SYMBOL,Transportation.Public-Transportation.Mass-Transit.Routes
253,subway-lines.NAME,subway-lines,NAME,Transportation.Public-Transportation.Mass-Transit.Routes
254,subway-lines.URL,subway-lines,URL,
255,subway-lines.SHAPE_LEN,subway-lines,SHAPE_LEN,
256,medallion-taxi-initial-inspection-schedule.Medallion_Number,medallion-taxi-initial-inspection-schedule,Medallion_Number,
257,medallion-taxi-initial-inspection-schedule.1st_Inspection_DMV_Facility_Inspection_Month,medallion-taxi-initial-inspection-schedule,1st_Inspection_DMV_Facility_Inspection_Month,
258,medallion-taxi-initial-inspection-schedule.2nd_Inspection_Scheduled_Date,medallion-taxi-initial-inspection-schedule,2nd_Inspection_Scheduled_Date,
259,medallion-taxi-initial-inspection-schedule.2nd_Inspection_Scheduled_Time,medallion-taxi-initial-inspection-schedule,2nd_Inspection_Scheduled_Time,
260,medallion-taxi-initial-inspection-schedule.3rd_Inspection_Scheduled_Date,medallion-taxi-initial-inspection-schedule,3rd_Inspection_Scheduled_Date,
261,medallion-taxi-initial-inspection-schedule.3rd_Inspection_Scheduled_Time,medallion-taxi-initial-inspection-schedule,3rd_Inspection_Scheduled_Time,
262,medallion-taxi-initial-inspection-schedule.FleetAgentCode,medallion-taxi-initial-inspection-schedule,FleetAgentCode,
263,medallion-taxi-initial-inspection-schedule.AgentName,medallion-taxi-initial-inspection-schedule,AgentName,
264,medallion-taxi-initial-inspection-schedule.Last_Updated_Date_Time,medallion-taxi-initial-inspection-schedule,Last_Updated_Date_Time,
265,vehicle-fuel-type-count-by-zip-code.Date,vehicle-fuel-type-count-by-zip-code,Date,
266,vehicle-fuel-type-count-by-zip-code.Zip Code,vehicle-fuel-type-count-by-zip-code,Zip Code,Transportation.Personal-Transportation.Location
267,vehicle-fuel-type-count-by-zip-code.Model Year,vehicle-fuel-type-count-by-zip-code,Model Year,Transportation.Personal-Transportation.Vehicle
268,vehicle-fuel-type-count-by-zip-code.Fuel,vehicle-fuel-type-count-by-zip-code,Fuel,Transportation.Personal-Transportation.Vehicle
269,vehicle-fuel-type-count-by-zip-code.Make,vehicle-fuel-type-count-by-zip-code,Make,Transportation.Personal-Transportation.Vehicle
270,vehicle-fuel-type-count-by-zip-code.Duty,vehicle-fuel-type-count-by-zip-code,Duty,Transportation.Jurisdiction.Regulations
271,vehicle-fuel-type-count-by-zip-code.Vehicles,vehicle-fuel-type-count-by-zip-code,Vehicles,Transportation.Personal-Transportation.Vehicle
272,percent-of-covid-19-vaccine-recipients-who-live-in-a-svi-priority-zip-code-cumulative-and-.Practice Type,percent-of-covid-19-vaccine-recipients-who-live-in-a-svi-priority-zip-code-cumulative-and-,Practice Type,Health-And-Human-Services
273,percent-of-covid-19-vaccine-recipients-who-live-in-a-svi-priority-zip-code-cumulative-and-.Percent SVI Priority Zip Code,percent-of-covid-19-vaccine-recipients-who-live-in-a-svi-priority-zip-code-cumulative-and-,Percent SVI Priority Zip Code,
274,percent-of-covid-19-vaccine-recipients-who-live-in-a-svi-priority-zip-code-cumulative-and-.Date Updated,percent-of-covid-19-vaccine-recipients-who-live-in-a-svi-priority-zip-code-cumulative-and-,Date Updated,
275,los-angeles-international-airport-passenger-traffic-by-terminal.DataExtractDate,los-angeles-international-airport-passenger-traffic-by-terminal,DataExtractDate,
276,los-angeles-international-airport-passenger-traffic-by-terminal.ReportPeriod,los-angeles-international-airport-passenger-traffic-by-terminal,ReportPeriod,
277,los-angeles-international-airport-passenger-traffic-by-terminal.Terminal,los-angeles-international-airport-passenger-traffic-by-terminal,Terminal,
278,los-angeles-international-airport-passenger-traffic-by-terminal.Arrival_Departure,los-angeles-international-airport-passenger-traffic-by-terminal,Arrival_Departure,
279,los-angeles-international-airport-passenger-traffic-by-terminal.Domestic_International,los-angeles-international-airport-passenger-traffic-by-terminal,Domestic_International,
280,los-angeles-international-airport-passenger-traffic-by-terminal.Passenger_Count,los-angeles-international-airport-passenger-traffic-by-terminal,Passenger_Count,
281,motor-vehicle-registrations-dashboard-data.year,motor-vehicle-registrations-dashboard-data,year,Roadways-And-Bridges.Gross-Domestic-Product
282,motor-vehicle-registrations-dashboard-data.state,motor-vehicle-registrations-dashboard-data,state,Roadways-And-Bridges.Population-Density
283,motor-vehicle-registrations-dashboard-data.Auto,motor-vehicle-registrations-dashboard-data,Auto,Roadways-And-Bridges.Automobile-Drivers
284,motor-vehicle-registrations-dashboard-data.Bus,motor-vehicle-registrations-dashboard-data,Bus,Roadways-And-Bridges.On-Demand-Service-Revenue
