,VIN,Plate Number,Vehicle Year,Vehicle Make,Vehicle Model,Group Policy Insurer Name,Group Policy Number,Group Policy Expiration Date,Peer To Peer Company Name,Peer To Peer Vehicle Added Date
14,WBAGV8C02NCK03789,LEV8294,2022,BMW,8 Series Gran Coupe,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,04/03/2024 12:00:00 AM
15,WBAJA7C31HG905959,LHY5382,2017,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,04/25/2024 12:00:00 AM
16,WBAJA7C34HG906491,LHB5782,2017,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,05/08/2024 12:00:00 AM
17,WBAJA7C35HG907259,KEK1883,2017,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,06/27/2022 12:00:00 AM
18,WBAJA7C36HWA70501,KWY7234,2017,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,10/03/2023 12:00:00 AM
19,WBAJA7C38HG904923,LEH4683,2017,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,09/05/2023 12:00:00 AM
20,WBAJA7C39HG904879,LBK4037,2017,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,04/11/2023 12:00:00 AM
21,WBAJA7C50KWW23455,LJH4993,2019,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,03/18/2024 12:00:00 AM
22,WBAJA7C51JG909534,KGF3286,2018,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,08/31/2022 12:00:00 AM
23,WBAJA7C53JWC76267,FFE1191,2018,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,05/18/2024 12:00:00 AM
24,WBAJA7C54KG911456,PCCII,2019,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,06/28/2022 12:00:00 AM
25,WBAJA7C57KWC78105,LDF7708,2019,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,08/08/2023 12:00:00 AM
26,WBAJA7C58KG909998,LJH5581,2019,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,05/10/2024 12:00:00 AM
27,WBAJA7C59KWW02930,KWL7519,2019,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,06/29/2021 12:00:00 AM
28,WBAJB9C53JB049979,KLW3313,2018,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,04/19/2023 12:00:00 AM
29,WBAJB9C58JB050044,KYU5871,2018,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,10/30/2022 12:00:00 AM
30,WBAJE7C54JWC55514,KKT4743,2018,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,07/11/2024 12:00:00 AM
31,WBAJR7C03LCD09348,LHN2289,2020,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,05/30/2024 12:00:00 AM
32,WBAJS3C02LCD78903,LFM9522,2020,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,01/30/2024 12:00:00 AM
33,WBAJS7C03LCD82949,NOT M5,2020,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,11/11/2023 12:00:00 AM
34,WBASP2C50BC337998,KZF5266,2011,BMW,5 Series Gran Turismo,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,03/15/2023 12:00:00 AM
35,WBASP2C55BC337009,LDH9083,2011,BMW,5 Series Gran Turismo,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,10/19/2023 12:00:00 AM
36,WBAVL1C51DVR83559,KZG1892,2013,BMW,X1,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,05/13/2024 12:00:00 AM
37,WBAVL1C55FVY25681,LCM5122,2015,BMW,X1,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,12/08/2023 12:00:00 AM
38,WBAXH5C52DD111964,LNS6894,2013,BMW,5 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,07/17/2024 12:00:00 AM
39,WBAYF8C53ED652986,LEA4543,2014,BMW,7 Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,10/30/2023 12:00:00 AM
40,WBS33AY04PFN85227,LFY1541,2023,BMW,M3,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,11/18/2023 12:00:00 AM
41,WBS33BA00PCL34657,HVU1291,2023,BMW,M4,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,02/17/2024 12:00:00 AM
42,WBS33BA01NCK39408,LAZ5574,2022,BMW,M4,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,05/01/2023 12:00:00 AM
43,WBS33BA01RCP54155,LLD5726,2024,BMW,M4,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,05/22/2024 12:00:00 AM
44,WBS33BA04NCK81653,M4MVP,2022,BMW,M-Series,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,06/06/2023 12:00:00 AM
45,WBS33BA06RCN09285,LED4708,2024,BMW,M4,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,10/03/2023 12:00:00 AM
46,WBS33HK00SCS34472,LLK9001,2025,BMW,M4,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,06/12/2024 12:00:00 AM
47,WBS33HK04SCS31011,M4NIC,2025,BMW,M4,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,05/28/2024 12:00:00 AM
48,WBS3R9C58GK337747,LLB6858,2016,BMW,M4,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,02/15/2024 12:00:00 AM
49,WBS3U9C55FP968309,LCV7776,2015,BMW,M4,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-24,02/01/2025 12:00:00 AM,Turo,07/19/2023 12:00:00 AM
