,Technology,TechDetail,Metric,Parameter,ParameterDetail,Value,Units,$Year,Scenario,Year,atb_year,Description,ResourceDetail,ResourceDetail2,Source,Notes,TechDetail2
58,Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total energy storage system cost,1785.12,$/kW,2021,Base,2022,2023,,,,,,
59,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Lithium-ion Battery Cabinets,1309.16,$/kW,2021,Base,2022,2023,,,,,,
60,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Battery Central Inverter,97.52,$/kW,2021,Base,2022,2023,,,,,,
61,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Structural BOS,68.88,$/kW,2021,Base,2022,2023,,,,,,
62,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Electrical BOS,276.64,$/kW,2021,Base,2022,2023,,,,,,
63,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Installation Labor & Equipment,264.6,$/kW,2021,Base,2022,2023,,,,,,
64,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,EPC Overhead,193.08,$/kW,2021,Base,2022,2023,,,,,,
65,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Sale Tax,96.64,$/kW,2021,Base,2022,2023,,,,,,
66,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total EPC Cost,2306.5199999999995,$/kW,2021,Base,2022,2023,,,,,,
67,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Land acquisition,0.0,$/kW,2021,Base,2022,2023,,,,,,
68,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Permitting fee,28.88,$/kW,2021,Base,2022,2023,,,,,,
69,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Interconnection fee,25.64,$/kW,2021,Base,2022,2023,,,,,,
70,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Contingency,60.28,$/kW,2021,Base,2022,2023,,,,,,
71,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Developer overhead,139.52,$/kW,2021,Base,2022,2023,,,,,,
72,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,EPC/developer net profit,126.28,$/kW,2021,Base,2022,2023,,,,,,
73,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total Developer cost,380.56,$/kW,2021,Base,2022,2023,,,,,,
74,Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total energy storage system cost,2687.0799999999995,$/kW,2021,Base,2022,2023,,,,,,
75,CSP,,Cost,OCC,Power Block,2036.0,$/kWe,2021 $,Base,2021,2023,Power Block/Turbine cost based on movement of 1yr,,,,,
76,CSP,,Cost,OCC,Power Block,2036.0,$/kWe,2021 $,Conservative,2030,2023,Potential Power Block/Turbine cost in 2030,,,,,
77,CSP,,Cost,OCC,Power Block,1425.0,$/kWe,2021 $,Moderate,2030,2023,Potential Power Block/Turbine cost in 2030,,,,,
78,CSP,,Cost,OCC,Power Block,1140.0,$/kWe,2021 $,Advanced,2030,2023,Potential Power Block/Turbine cost in 2030,,,,,
79,CSP,,Cost,OCC,Thermal Storage,817.0,$/kWe,2021 $,Base,2021,2023,Storage cost based on movement of 1yr,,,,,
80,CSP,,Cost,OCC,Thermal Storage,817.0,$/kWe,2021 $,Conservative,2030,2023,Storage cost based in 2030 (10hrs of TES plant),,,,,
81,CSP,,Cost,OCC,Thermal Storage,572.0,$/kWe,2021 $,Moderate,2030,2023,Storage cost based in 2030 (10hrs of TES plant),,,,,
82,CSP,,Cost,OCC,Thermal Storage,458.0,$/kWe,2021 $,Advanced,2030,2023,Storage cost based in 2030 (10hrs of TES plant),,,,,
83,CSP,,Cost,OCC,Solar Field,3969.0,$/kWe,2021 $,Base,2021,2023,Solar Field cost based on movement of 1yr,,,,,
84,CSP,,Cost,OCC,Solar Field,3969.0,$/kWe,2021 $,Conservative,2030,2023,Potential Solar Field cost in 2030,,,,,
85,CSP,,Cost,OCC,Solar Field,2778.0,$/kWe,2021 $,Moderate,2030,2023,Potential Solar Field cost in 2030,,,,,
86,CSP,,Cost,OCC,Solar Field,2222.0,$/kWe,2021 $,Advanced,2030,2023,Potential Solar Field cost in 2030,,,,,
87,CSP,,Technology,Annual Energy Production,,5834.0,kWhe/kWe,,,2021,2023,Annual Energy Production ratio at CSP Class 2,,,,,
88,CSP,,Technology,Annual Energy Production,,5668.0,kWhe/kWe,,,2021,2023,Annual Energy Production ratio at CSP Class 3,,,,,
89,CSP,,Technology,Annual Energy Production,,4503.0,kWhe/kWe,,,2021,2023,Annual Energy Production ratio at CSP Class 7,,,,,
90,CSP,,Cost,Capex,,7154.0,$/kWe,2021 $,Base,2021,2023,"CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant",,,,,
91,CSP,,Cost,Capex,,7154.0,$/kWe,2021 $,Conservative,2030,2023,"CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant for 2030",,,,,
92,CSP,,Cost,Capex,,5007.0,$/kWe,2021 $,Moderate,2030,2023,"Potential CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant, Moderate case e.g. global improvements in the technology, learning and improved supply chains",,,,,
93,CSP,,Cost,Capex,,4006.0,$/kWe,2021 $,Advanced,2030,2023,"Potential CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant, Advanced case e.g. development of new technology, signifcant learning, and expansion",,,,,
94,CSP,,Cost,OCC,Total,6822.0,$/kWe,2021 $,Base,2021,2023,Overnight Cost of Capital (OCC) in 2018,,,,,
95,CSP,,Cost,OCC,Total,6822.0,$/kWe,2021 $,Conservative,2030,2023,Potential OCC in Conservative Case in 2030,,,,,
96,CSP,,Cost,OCC,Total,4775.0,$/kWe,2021 $,Moderate,2030,2023,Potential OCC in Moderate Case in 2030,,,,,
97,CSP,,Cost,OCC,Total,3820.0,$/kWe,2021 $,Advanced,2030,2023,Potential OCC in Advanced Case in 2030,,,,,
98,CSP,,Cost,Opex (fixed),,69.1,$/kWe-yr,2021 $,Base,2021,2023,Fixed O&M (FOM),,,,,
99,CSP,,Cost,Opex (fixed),,69.1,$/kWe-yr,2021 $,Conservative,2030,2023,Potential FOM in 2030,,,,,
