,id,state,rate,fuel_type,fuel_type_code,fips,abbrev,note,MMFR_year,effective_date,annual
12,1_1b_2014_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2014,10/02/1995 12:00:00 AM,1
13,1_1b_2015_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2015,10/02/1995 12:00:00 AM,1
14,1_1b_2016_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2016,10/03/1995 12:00:00 AM,1
15,1_1b_2017_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2017,10/03/1995 12:00:00 AM,1
16,1_1b_2018_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2018,10/03/1995 12:00:00 AM,1
17,1_1b_2019_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2019,10/03/1995 12:00:00 AM,1
18,1_1b_2020_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2020,10/03/1995 12:00:00 AM,1
19,1_1b_2021_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2021,10/03/1995 12:00:00 AM,1
20,1_1b_2022_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2022,10/03/1995 12:00:00 AM,1
21,1_1b_2023_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2023,10/03/1995 12:00:00 AM,1
22,1_2a_2013_1995_10,Alabama,19,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2013,10/01/1995 12:00:00 AM,1
23,1_2a_2014_1995_10,Alabama,19,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2014,10/01/1995 12:00:00 AM,1
24,1_2a_2015_1995_10,Alabama,19,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2015,10/01/1995 12:00:00 AM,1
25,1_2a_2016_1995_10,Alabama,19,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2016,10/01/1995 12:00:00 AM,1
26,1_2a_2017_1995_10,Alabama,19,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2017,10/01/1995 12:00:00 AM,1
27,1_2a_2018_1995_10,Alabama,21,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2018,10/03/1995 12:00:00 AM,1
28,1_2a_2019_2019_9,Alabama,27,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2019,09/01/2019 12:00:00 AM,1
29,1_2a_2020_2019_9,Alabama,27,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2020,09/01/2019 12:00:00 AM,1
30,1_2a_2021_2021_9,Alabama,29,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2021,09/01/2021 12:00:00 AM,1
31,1_2a_2022_2021_10,Alabama,31,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2022,10/01/2021 12:00:00 AM,1
32,1_2a_2023_2021_10,Alabama,31,Diesel,2a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2023,10/01/2021 12:00:00 AM,1
33,1_2b2013_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2013,,1
34,1_2b2014_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2014,,1
35,1_2b2015_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2015,,1
36,1_2b2016_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2016,,1
37,1_2b2017_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2017,,1
38,1_2b2018_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2018,,1
39,1_2b2019_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2019,,1
40,1_2b2020_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2020,,1
41,1_2b2021_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2021,,1
42,1_2b2022_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2022,,1
43,1_2b2023_0_0,Alabama,0,Liquefied Petroleum Gas,2b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2023,,1
44,2_1a_2013_2009_9,Alaska,8,Gasoline,1a,2,AK,,2013,09/01/2009 12:00:00 AM,1
45,2_1a_2014_2009_9,Alaska,8,Gasoline,1a,2,AK,,2014,09/01/2009 12:00:00 AM,1
46,2_1a_2015_2009_9,Alaska,8,Gasoline,1a,2,AK,,2015,09/01/2009 12:00:00 AM,1
47,2_1a_2016_2009_9,Alaska,8,Gasoline,1a,2,AK,,2016,09/01/2009 12:00:00 AM,1
48,2_1a_2017_2009_9,Alaska,8,Gasoline,1a,2,AK,,2017,09/01/2009 12:00:00 AM,1
49,2_1a_2018_2009_9,Alaska,8,Gasoline,1a,2,AK,,2018,09/01/2009 12:00:00 AM,1
