,SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,LatLng
28,VW712,3201 WILSHIRE BLVD,Single-Space,FLAT,$1.00,1HR,"(34.061886, -118.293821)"
29,VN201,6451 N VAN NUYS BLVD,Single-Space,FLAT,$1.00,2HR,"(34.187833, -118.448866)"
30,SL426,2800 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,"(34.082288, -118.272633)"
31,MM503,5600 W 3RD ST,Single-Space,FLAT,$1.00,1HR,"(34.068813, -118.343207)"
32,WF273,7900 W 3RD ST,Single-Space,FLAT,$1.00,2HR,"(34.071641, -118.362947)"
33,CB637A,900 S WALL ST,Single-Space,TOD,$1.50 - $5.00,2HR,"(34.037833, -118.252743)"
34,SV72A,6401 W SUNSET BLVD,Single-Space,TOD,$0.50 - $2.00,2HR,"(34.098094, -118.329887)"
35,VN361,14500 W SYLVAN ST,Single-Space,TOD,$0.50 - $1.00,2HR,"(34.184586, -118.44925)"
36,CC1221A,300 S LOS ANGELES ST,Single-Space,TOD,$0.50 - $6.00,2HR,"(34.047712, -118.245371)"
37,SL224,2701 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,"(34.080987, -118.270636)"
38,WP108,400 WASHINGTON BLVD,Single-Space,FLAT,$0.50,2HR,"(33.98174, -118.462186)"
39,CB135B,1501 S HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR,"(34.03678, -118.267515)"
40,BF690,8100 W MELROSE AVE,Single-Space,FLAT,$1.00,2HR,"(34.083626, -118.367689)"
41,CB4321,201 W 12TH ST,Single-Space,TOD,$0.50 - $1.00,2HR,"(34.038913, -118.261286)"
42,VN871,14400 W SYLVAN ST,Single-Space,TOD,$0.50 - $1.00,2HR,"(34.184584, -118.447842)"
43,WSV117,12101 W WILSHIRE BLVD,Single-Space,FLAT,$1.00,2HR,"(34.043652, -118.468223)"
44,CB2960,701 S HILL ST,Single-Space,TOD,$5.00 - $6.00,4HR,"(34.044915, -118.2555)"
45,WW1612,3200 8TH ST,Single-Space,FLAT,$1.00,1HR,"(34.057629, -118.299598)"
46,RS109,2801 S ROBERTSON BLVD,Single-Space,FLAT,$1.00,1HR,"(34.035615, -118.389232)"
47,AE81,601 TRACTION AVE,Single-Space,FLAT,$1.00,4HR,"(34.046171, -118.236888)"
48,56186,10635 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,"(34.053125, -118.430772)"
49,CB2383,1200 S SAN PEDRO ST,Single-Space,TOD,$0.50 - $1.00,2HR,"(34.033266, -118.253514)"
