,Station,Station ID,Station Name,Rail Lines Served,Jurisdiction,TOD Place Type,Area Population (2010),Station Type,Transit Score,Station Facility Score,Parking Score,Bike Access Score,Ped Access Score,TOD Zoning Score,Development Market,Total Rail Lines,Modes Served,Transit Connections,Connecting Bus Routes,Connecting Bus Routes (Text),Weekday Ridership: MARC Penn,Weekday Ridership: MARC Camden,Weekday Ridership: MARC Brunswick,Weekday Ridership: Metro,Weekday Ridership: Light Rail,Weekend Ridership: MARC Penn,Weekend Ridership: MARC Camden,Weekend Ridership: MARC Brunswick,Weekend Ridership: Metro,Weekend Ridership: Light Rail,Frequency of Service Weekday: MARC Penn,Frequency of Service Weekday: MARC Camden,Frequency of Service Weekday: MARC Brunswick,Frequency of Service Weekday: Metro,Frequency of Service Weekday: Light Rail,Frequency of Service Weekend: MARC Penn,Frequency of Service Weekend: MARC Camden,Frequency of Service Weekend: MARC Brunswick,Frequency of Service Weekend: Metro,Frequency of Service Weekend: Light Rail,Track Crossing,Schedule Information,Route Information,Ticket Booth/Machine,Shelter,Benches,Public Restrooms,Public Phones,Parking Spots Regular,Parking Fee,Parking Spots ADA,EVC Charge Stations,EVC Charge Stations Occupied,Vehicles Parked (2010),Vehicles Parked (2014),Utilization Rate (2014) ,Spaces relative to number of Average Daily Riders (Weekday) Total lines,Spaces relative to number of Average Daily Riders (Weekend) Total lines,Spaces relative to other stations on the same line,Intersection Density (1 Mile Diameter),Short Trip Opportunity Analysis (1 Mile Buffer),Number of Bicycle Racks,Type of Bicycle Racks,Number of Bicycle Lockers,Number of Bicycle Lockers Occupied,Locally Designated TOD,Zoning Summary,Local Zoning Descriptions,Area Master plans,Residential Alterations (units),Residentail Alterations (permits),Residential New Construction (permits),Residential New Construction (units),Non Residential Alterations (permits),Non Residentail New Contruction (permits),Mixed-Use New Construction (permits),Mixed-Use New Construction (units),Count of MD Property View Parcels,Cumulative Composite Score (YEARBLT score x SQFTSTRC score),Location
10,Martinsburg,73,Martinsburg,MARC: Brunswick Line; Amtrak,West Virginia,,,,,,,,,,,1.0,2.0,Local Transit; Amtrak,Eastern Panhandle Transit Authority (PanTran),Eastern Panhandle Transit Authority (PanTran),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.477293, -78.036142)"
11,Patapsco,26,Patapsco,Light Rail,Baltimore County,"Town, Suburban, or Employment Center",372674.0,Anchor,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,BaltimoreLink Core Bus,"029, 069, 070, 071, 073, 075, CityLink Yellow","29, 69, 70, 71, 73, 75, CityLink Yellow",,,,,1219.7,,,,,,,,,,90.0,,,,,72.0,On Grade & Separated Right-of-Way,No,Yes,Yes,Yes,Yes,No,No,164.0,No,3.0,0.0,0.0,93.0,89.0,96.0,0.12,,1.674504951,71.3129,3.0,2.0,2 Inverted U,0.0,,Yes,DR-5.5 Residential,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0.0,8.0,27.0,27.0,0.0,1.0,0.0,0.0,,,"(39.241924, -76.630071)"
12,Mount Washington,39,Mount Washington,Light Rail,Baltimore City,Urban Neighborhood,460390.0,Neighborhood,3.0,2.0,1.0,3.0,4.0,5.0,3.0,1.0,2.0,BaltimoreLink Core Bus,034,34,,,,,430.85,,,,,,,,,,90.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,No,79.0,No,6.0,2.0,0.0,75.0,73.0,97.0,0.16,,0.806621287,87.8676,7.0,3.0,2 Swerve; 1 Bicycle Shaped,0.0,,No,"I-2  OR-2 Office, Residential",http://cityview.baltimorecity.gov/,,0.0,48.0,18.0,41.0,0.0,2.0,0.0,0.0,,,"(39.36831, -76.652334)"
13,Cherry Hill,27,Cherry Hill,Light Rail,Baltimore City,Urban Neighborhood,432625.0,Neighborhood,3.0,3.0,3.0,3.0,3.0,5.0,1.0,1.0,2.0,BaltimoreLink Core Bus,"026, 071","26, 71",,,,,677.96,,,,,,,,,,90.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,0.0,No,0.0,0.0,0.0,0.0,,,0.0,,0.0,61.1253,5.0,2.0,2 Inverted U,0.0,,No,I-2 TOD-4 Transit Oriented Development,http://cityview.baltimorecity.gov/,,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,,,"(39.25728, -76.633481)"
14,Halethorpe,54,Halethorpe,MARC: Penn Line,Baltimore County,"Town, Suburban, or Employment Center",282770.0,Anchor,2.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,BaltimoreLink Core Bus,CityLink Yellow,CityLink Yellow,1418.75,,,,,,,,,,,,,,,9.0,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,No,795.0,No,44.0,0.0,0.0,699.0,1075.0,154.0,0.619601221,,2.036854553,118.43,3.0,1.0,1 BR-Wheel Bender Combo,6.0,5.0,No,ML - Manufacturing Light,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0.0,31.0,25.0,40.0,0.0,0.0,0.0,0.0,,,"(39.23798, -76.691915)"
15,Shot Tower,16,Shot Tower,Metro,Baltimore City,Downtown,561369.0,Walk-up,5.0,2.0,1.0,4.0,5.0,5.0,5.0,1.0,3.0,BaltimoreLink Core Bus; Charm City Circulator,"150, 160, CityLink Blue, CityLink Orange, CityLink Purple","150, 160, CityLink Blue, CityLink Orange, CityLink Purple",,,,1791.82,,,,,897.75,,,,,117.0,,,,,71.0,,Below Grade,Yes,Yes,Yes,Yes,Yes,No,No,0.0,No,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,332.369,11.0,0.0,,0.0,,Yes,C-5 Downtown Commercial,http://cityview.baltimorecity.gov/,,947.0,71.0,174.0,345.0,0.0,39.0,0.0,0.0,,,"(39.289777, -76.606282)"
16,Linthicum,22,Linthicum,Light Rail,Anne Arundel County,Urban Neighborhood,201438.0,Walk-up,3.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,1.0,,,,,,,,453.03,,,,,,,,,,90.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,0.0,No,0.0,0.0,0.0,0.0,,,0.0,,0.0,105.696,3.0,2.0,2 Inverted U,0.0,,Yes,C1   R5 - Residential 5 dwellings per acre,http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,,1.0,29.0,43.0,46.0,0.0,2.0,0.0,0.0,,,"(39.202492, -76.655314)"
17,Hunt Valley,48,Hunt Valley,Light Rail,Baltimore County,"Town, Suburban, or Employment Center",69912.0,Regional,4.0,2.0,5.0,4.0,2.0,4.0,1.0,1.0,2.0,BaltimoreLink Core Bus,093,93,,,,,744.49,,,,,,,,,,72.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,No,145.0,No,5.0,0.0,0.0,31.0,32.0,102.0,0.17,,1.480507426,19.1017,5.0,0.0,,0.0,,Yes,BM-CT Town Center,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,,,"(39.495752, -76.655953)"
18,New Carrollton,60,New Carrollton,MARC: Penn Line; WMATA Metro; Amtrak,Prince Georges County,"Town, Suburban, or Employment Center",301688.0,Anchor,3.0,3.0,3.0,5.0,2.0,4.0,1.0,3.0,4.0,WMATA Metrobus; Amtrak,WMATA Metrobus New Carrollton Routes,WMATA Metrobus New Carrollton Routes,960.33,,,,,,,,,,,,,,,9.0,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,No,0.0,Yes,0.0,0.0,0.0,0.0,,,0.0,,0.0,62.3988,2.0,35.0,12 Inverted U; 23 Thick Inverted U,8.0,,Yes,M-X-T,http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,749.0,42.0,"(38.9482, -76.8717)"
19,Germantown,83,Germantown,MARC: Brunswick Line,Montgomery County,"Town, Suburban, or Employment Center",216450.0,Anchor,2.0,1.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,Local Transit,"Ride on 61, Ride On 83, Ride On 97","Ride on 61, Ride On 83, Ride On 97",,,913.0,,,,,,,,,,,,,,,,,,On Grade,No,No,Yes,Yes,Yes,No,Yes,672.0,No,22.0,0.0,0.0,667.0,683.0,102.0,0.888399251,,3.579757325,57.305,4.0,4.0,2 Inverted U; 1 BR-Wheel Bender Combo; 1 Wave,0.0,,No,"TMX - 2 (north), CT, R-200, Historic District (south)",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,1063.0,2937.0,"(39.173119, -77.270021)"
20,Baltimore St./1st Mariner Arena,31,Baltimore St./1st Mariner Arena,Light Rail,Baltimore City,Downtown,565504.0,Walk-up,3.0,1.0,5.0,4.0,5.0,5.0,4.0,1.0,3.0,BaltimoreLink Core Bus; Commuter Bus,"054, 056, 065, 071, 076, 078, 094, 105, 120, 150, 154, 160, 210, 215, 310, 410, 411, 420, CityLink Brown, CityLink Navy, CityLink Orange, CityLink Purple, CirtLink Red, CityLink Yellow","54, 56, 65, 71, 76, 78, 94, 105, 120, 150, 154, 160, 210, 215, 310, 410, 411, 420, CityLink Brown, CityLink Navy, CityLink Orange, CityLink Purple, CirtLink Red, CityLink Yellow",,,,,2261.98,,,,,,,,,,114.0,,,,,108.0,On Grade & In Street Right-of-Way,Yes,Yes,Yes,Yes,No,No,No,0.0,No,0.0,0.0,0.0,0.0,,,0.0,,0.0,336.189,10.0,0.0,,0.0,,Yes,C-5 Downtown Commercial,http://cityview.baltimorecity.gov/,,1785.0,124.0,13.0,643.0,0.0,38.0,0.0,0.0,,,"(39.28963, -76.619904)"
21,Kensington,89,Kensington,MARC: Brunswick Line,Montgomery County,Urban Neighborhood,418254.0,Neighborhood,2.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,Local Transit,Ride On 4,Ride On 4,,,188.58,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,Yes,Yes,Yes,Yes,No,102.0,No,5.0,0.0,0.0,40.0,79.0,197.0,0.623217923,,0.543356023,179.556,4.0,2.0,2 Thick Inverted U,0.0,,No,"CRT - 1.5, C - 1.5",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,1520.0,575.0,"(39.027388, -77.072231)"
22,Savage,66,Savage,MARC: Camden Line,Howard County,"Town, Suburban, or Employment Center",174932.0,Anchor,2.0,2.0,5.0,4.0,1.0,5.0,1.0,1.0,2.0,Local Transit,RTA 504,RTA 504,,361.58,,,,,,,,,,,,,,,,,,,On Grade,Yes,No,Yes,Yes,Yes,Yes,No,363.0,No,30.0,0.0,0.0,348.0,247.0,71.0,0.975806452,,1.570810386,17.8282,1.0,1.0,1 Wave,0.0,,Yes,TOD zoned (Savage Towne Center),,Master Plans\MARC\Laurel Mainstreet\US1Manual_AdoptedJuly2009.pdf,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,,,"(39.122483, -76.796936)"
23,Penn Station,2,Penn Station,MARC: Penn Line; Light Rail; Amtrak,Baltimore City,Downtown,604827.0,Urban Neighborhood,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,BaltimoreLink Core Bus; Charm City Circulator; Amtrak,"051, 095, 103, CityLink Green, CityLink Silver","51, 95, 103, CityLink Green, CityLink Silver",3712.92,,,,291.46,,,,,,29.0,,,,38.0,9.0,,,,36.0,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.0,Yes,0.0,0.0,0.0,494.0,,0.0,0.0,,0.0,327.275,7.0,7.0,3 Campus; 4 Covered Vertical,0.0,,Yes,TOD-4 proposed zoning,,,177.0,280.0,59.0,421.0,261.0,10.0,1.0,280.0,,,"(39.307533, -76.616021)"
24,Monocacy,79,Monocacy,MARC: Brunswick Line,Frederick County,"Town, Suburban, or Employment Center",101546.0,Anchor,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,Commuter Bus; Local Transit,"204, 505, 515, TransIT 10, TransIT 20","204, 505, 515, TransIT 10, TransIT 20",,,219.25,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,Yes,Yes,Yes,No,No,791.0,No,23.0,0.0,0.0,485.0,597.0,123.0,3.836701698,,4.213672684,34.383,3.0,10.0,10 Other,0.0,,No,"GC - General Commercial, MM - Minneral Mining",https://frederickcountymd.gov/index.aspx?NID=1409,,,,,,,,,,30.0,25.0,"(39.382008, -77.394624)"
25,Reisterstown Plaza,7,Resisterstown Plaza,Metro,Baltimore City,Urban Neighborhood,400814.0,Neighborhood,5.0,2.0,2.0,4.0,4.0,5.0,3.0,1.0,2.0,BaltimoreLink Core Bus,"082, CityLink Lime","82, CityLink Lime",,,,1878.82,,,,,784.25,,,,,117.0,,,,,71.0,,Grade Separated,No,Yes,Yes,Yes,Yes,No,Yes,675.0,No,22.0,0.0,0.0,258.0,403.0,156.0,0.27,0.68,1.634,99.3286,6.0,2.0,2 Inverted U,10.0,0.0,No,I-2 TOD-3 & TOD-4 small area,http://cityview.baltimorecity.gov,Master Plans\Baltimore Metro\Reisterstown\Reisterstown Plaza URP1981.pdf,0.0,7.0,23.0,23.0,0.0,12.0,0.0,0.0,,,"(39.352452, -76.705896)"
26,Jessup,65,Jessup,MARC: Camden Line,Anne Arundel County,"Town, Suburban, or Employment Center",175470.0,Anchor,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,0.58,,,,,,,,,,,,,,,,,,,On Grade,No,No,No,Yes,No,No,No,32.0,No,0.0,0.0,0.0,7.0,13.0,181.0,48.0,,0.138473643,12.7344,1.0,0.0,,0.0,,No,W3 Heavy Industrial,,,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,,,"(39.151613, -76.776967)"
27,Silver Spring,90,Silver Spring,MARC: Brunswick Line; WMATA Metro,Montgomery County,"Town, Suburban, or Employment Center",391426.0,Anchor,2.0,1.0,1.0,4.0,5.0,5.0,5.0,1.0,4.0,Commuter Bus; WMATA Metrobus; Local Transit,"305, 315, 325, WMATA Metrobus Silver Spring Routes, Ride On","305, 315, 325, WMATA Metrobus Silver Spring Routes",,,561.08,,,,,,,,,,,,,,,,,,Grade Separated,Yes,Yes,Yes,Yes,No,No,No,0.0,Yes,0.0,0.0,0.0,0.0,,,0.0,,0.0,163.001,11.0,0.0,,0.0,,Yes,"CBD-2, CBD-3 high density mixed use",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,2703.0,6958.0,"(38.989433, -77.027446)"
28,Pratt Street/Convention Center,30,Pratt Street/Convention Center,Light Rail,Baltimore City,Downtown,556292.0,Walk-up,3.0,1.0,2.0,3.0,5.0,5.0,4.0,1.0,4.0,BaltimoreLink Core Bus; Commuter Bus; Charm City Circulator,"054, 076, 094, 120, 154, 160, 320, 410, 411, 420, CityLink Brown, CityLink Navy, CityLink Yellow","54, 76, 94, 120, 154, 160, 320, 410, 411, 420, CityLink Brown, CityLink Navy, CityLink Yellow",,,,,1032.78,,,,,,,,,,114.0,,,,,108.0,On Grade & Separated Right-of-Way,No,Yes,Yes,Yes,Yes,No,No,0.0,No,0.0,0.0,0.0,0.0,,,0.0,,0.0,296.712,7.0,0.0,,0.0,,No,C-5 Downtown Commercial,http://cityview.baltimorecity.gov/,,1189.0,110.0,13.0,643.0,0.0,29.0,0.0,0.0,,,"(39.286178, -76.619568)"
29,Falls Road,40,Falls Road,Light Rail,Baltimore County,Urban Neighborhood,430950.0,Neighborhood,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,BaltimoreLink Core Bus,034,34,,,,,421.35,,,,,,,,,,90.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,197.0,No,6.0,2.0,0.0,141.0,107.0,76.0,0.42,,2.01144802,38.2033,2.0,0.0,,8.0,4.0,Yes,"ML  Light Manufacturing, Office",http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0.0,35.0,31.0,56.0,0.0,2.0,0.0,0.0,,,"(39.376398, -76.649369)"
30,Harpers Ferry,75,Harpers Ferry,MARC: Brunswick Line; Amtrak,"City of Harpers Ferry, WV",,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,Local Transit; Amtrak,Eastern Panhandle Transit Authority (PanTran),Eastern Panhandle Transit Authority (PanTran),,,81.67,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,84.0,No,4.0,0.0,0.0,56.0,90.0,161.0,1.011033099,,0.447469666,0.0,,1.0,1 Wave,0.0,,,,,,,,,,,,,,2.0,0.0,"(39.324205, -77.744302)"
31,North Linthicum,23,North Linthicum,Light Rail,Anne Arundel County,"Town, Suburban, or Employment Center",215086.0,Anchor,3.0,3.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,592.42,,,,,,,,,,90.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,335.0,No,11.0,0.0,0.0,265.0,267.0,101.0,0.51,,3.420482673,76.4066,3.0,2.0,2 Inverted U,0.0,,No,R5 - Residential 5 dwellings per acre,http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,,0.0,16.0,81.0,90.0,0.0,8.0,0.0,0.0,,,"(39.215204, -76.645714)"
32,Mount Royal/University of Baltimore,35,Mount Royal/University of Baltimore,Light Rail,Baltimore City,Downtown,609062.0,Walk-up,3.0,5.0,2.0,4.0,5.0,5.0,5.0,1.0,2.0,BaltimoreLink Core Bus,094,94,,,,,719.15,,,,,,,,,,114.0,,,,,108.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.0,No,0.0,0.0,0.0,0.0,,,0.0,,0.0,331.095,8.0,2.0,2 Inverted U,0.0,,Yes,I-2 TOD-4 Transit Oriented Development,http://cityview.baltimorecity.gov/,,183.0,205.0,38.0,524.0,233.0,9.0,1.0,280.0,,,"(39.307005, -76.620518)"
33,State Center,13,State Center,Metro,Baltimore City,Urban Neighborhood,598132.0,Walk-up,5.0,1.0,1.0,4.0,5.0,5.0,5.0,1.0,3.0,BaltimoreLink Core Bus; Commuter Bus,"053, 054, 073, 154, 410, CityLink Lime, CityLink Yellow","53, 54, 73, 154, 410, CityLink Lime, CityLink Yellow",,,,1645.86,,,,,532.5,,,,,117.0,,,,,71.0,,Below Grade,Yes,Yes,Yes,No,No,No,Yes,0.0,No,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,342.556,11.0,0.0,,0.0,,No,R-10 Multifamily,http://cityview.baltimorecity.gov/,Master Plans\Baltimore Metro\State Center\State_CenterTODDevelopmentStrategy2005.pdf,527.0,228.0,16.0,581.0,291.0,8.0,1.0,280.0,,,"(39.301358, -76.62346)"
34,Greenbelt,70,Greenbelt,MARC: Camden Line; WMATA Metro,Prince Georges County,Urban Neighborhood,347842.0,Neighborhood,1.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,WMATA Metrobus ; Local Transit,"WMATA Metrobus Greenbelt Routes, RTA 302/G, TheBus 11, TheBus 15, TheBus 16","WMATA Metrobus Greenbelt Routes, RTA 302, TheBus 11, TheBus 15, TheBus 16",,61.33,,,,,,,,,,,,,,,,,,,Grade Separated,Yes,Yes,No,Yes,Yes,No,No,0.0,Yes,0.0,0.0,0.0,3164.0,,0.0,0.0,,0.0,72.5863,6.0,70.0,70 Inverted U,27.0,,No,"M-X-T, O-S, R-55",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,901.0,67.0,"(39.012607, -76.909667)"
35,Mondawmin,10,Mondawmin,Metro,Baltimore City,Urban Neighborhood,622731.0,Neighborhood,5.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,2.0,BaltimoreLink Core Bus,"022, 026, 029, 079, 082, 083, 085, 091, CityLink Lime, CityLink Navy, CityLink Yellow","22, 26, 29, 79, 82, 83, 85, 91, CityLink Lime, CityLink Navy, CityLink Yellow",,,,3001.0,,,,,1412.25,,,,,117.0,,,,,71.0,,Below Grade,Yes,Yes,Yes,Yes,Yes,No,Yes,133.0,No,6.0,0.0,0.0,133.0,138.0,104.0,0.02,0.04,0.322,196.11,6.0,0.0,,10.0,0.0,Yes,TOD-2 Transit Oriented Development,http://cityview.baltimorecity.gov/,,0.0,19.0,3.0,85.0,0.0,12.0,0.0,0.0,,,"(39.318273, -76.65279)"
