,Medallion_Number,1st_Inspection_DMV_Facility_Inspection_Month,2nd_Inspection_Scheduled_Date,2nd_Inspection_Scheduled_Time,3rd_Inspection_Scheduled_Date,3rd_Inspection_Scheduled_Time,FleetAgentCode,AgentName,Last_Updated_Date_Time
65,1R42,March,07/03/2024,05:00:00 AM,,,,,01/23/2024  10:00 PM
66,7A97,March,07/16/2024,08:00:00 AM,,,0.0,,01/23/2024  10:00 PM
67,6F60,April,08/16/2024,09:15:00 AM,,,,,01/23/2024  10:00 PM
68,4N15,March,07/22/2024,07:45:00 AM,,,312.0,GOTHAM YELLOW LLC,01/23/2024  10:00 PM
69,3F78,April,08/12/2024,07:45:00 AM,,,,,01/23/2024  10:00 PM
70,9Y39,April,08/16/2024,07:00:00 AM,,,0.0,,01/23/2024  10:00 PM
71,1N77,February,06/13/2024,05:00:00 AM,,,14.0,MIDTOWN OPERATING CORP,01/23/2024  10:00 PM
72,8C67,January,05/10/2024,05:30:00 AM,,,202.0,ALL TAXI MANAGEMENT INC,01/23/2024  10:00 PM
73,3L18,February,06/03/2024,06:00:00 AM,,,253.0,QUEENS MEDALLION LEASING INC.,01/23/2024  10:00 PM
74,4G54,January,05/09/2024,08:00:00 AM,,,,,01/23/2024  10:00 PM
75,5M15,February,06/26/2024,07:45:00 AM,,,224.0,S & R MEDALLION CORP,01/23/2024  10:00 PM
76,3W19,April,08/15/2024,07:30:00 AM,,,14.0,MIDTOWN OPERATING CORP,01/23/2024  10:00 PM
77,4Y38,March,07/22/2024,08:00:00 AM,,,14.0,MIDTOWN OPERATING CORP,01/23/2024  10:00 PM
78,6G85,January,05/16/2024,05:30:00 AM,,,358.0,BIG APPLE TAXI MANAGEMENT LLC,01/23/2024  10:00 PM
79,5A96,March,07/05/2024,06:00:00 AM,,,0.0,,01/23/2024  10:00 PM
80,4M71,February,06/17/2024,09:00:00 AM,,,0.0,,01/23/2024  10:00 PM
81,5E85,March,07/15/2024,08:00:00 AM,,,0.0,,01/23/2024  10:00 PM
82,2N81,March,07/26/2024,06:00:00 AM,,,,,01/23/2024  10:00 PM
83,6A75,March,07/05/2024,08:45:00 AM,,,0.0,,01/23/2024  10:00 PM
84,7v11,January,05/02/2024,09:15:00 AM,,,312.0,GOTHAM YELLOW LLC,01/23/2024  10:00 PM
85,6P59,April,08/29/2024,08:30:00 AM,,,358.0,BIG APPLE TAXI MANAGEMENT LLC,01/23/2024  10:00 PM
86,2E73,March,07/11/2024,06:00:00 AM,,,,,01/23/2024  10:00 PM
87,2V95,January,05/03/2024,06:00:00 AM,,,366.0,I ROSENBERG AUTO REPAIRS INC,01/23/2024  10:00 PM
88,9N59,March,07/31/2024,08:15:00 AM,,,358.0,BIG APPLE TAXI MANAGEMENT LLC,01/23/2024  10:00 PM
89,3M15,February,06/17/2024,05:30:00 AM,,,213.0,J T L MANAGEMENT INC,01/23/2024  10:00 PM
90,2G78,January,05/21/2024,06:15:00 AM,,,354.0,QUEENS MEDALLION LEASING,01/23/2024  10:00 PM
91,3Y51,February,06/27/2024,05:15:00 AM,,,340.0,ALL TAXI NY LLC,01/23/2024  10:00 PM
92,7Y36,February,06/26/2024,05:30:00 AM,,,358.0,BIG APPLE TAXI MANAGEMENT LLC,01/23/2024  10:00 PM
93,3G73,January,05/15/2024,05:00:00 AM,,,253.0,QUEENS MEDALLION LEASING INC.,01/23/2024  10:00 PM
94,5B59,April,08/06/2024,05:00:00 AM,,,253.0,QUEENS MEDALLION LEASING INC.,01/23/2024  10:00 PM
95,4Y41,March,07/15/2024,08:30:00 AM,,,,,01/23/2024  10:00 PM
96,9E15,March,07/18/2024,06:45:00 AM,,,202.0,ALL TAXI MANAGEMENT INC,01/23/2024  10:00 PM
97,2V42,January,05/16/2024,09:00:00 AM,,,354.0,QUEENS MEDALLION LEASING,01/23/2024  10:00 PM
98,9P25,April,08/29/2024,06:30:00 AM,,,,,01/23/2024  10:00 PM
99,3M26,February,06/17/2024,06:00:00 AM,,,281.0,AWESOME MANAGEMENT INC.,01/23/2024  10:00 PM
