,OBJECTID,RWCOMPKEY,RWCOMPKEYPARENT,LOW_ADDRESS,FROM_ADDRESS,TO_ADDRESS,LFROM,LTO,RFROM,RTO,SIFID,SIFCODE,ROADNAME,AVDIR,AVPRETYPE,AVSTNAME,AVSTTYPE,AVSUFDIR,DIR,STRNAME,TYPE,SIFIDLOW,LOCROSSSIF,LOCROSSPR,LOCROSSNA,LOCROSSSU,SIFIDHI,HICROSSSIF,HICROSSPR,HICROSSNA,HICROSSSU,ONE_WAY,FTIMP,TFIMP,SPEED,MUNI_NAME,COUNDIST,MAIN_DIST,MAPNO,OWNER_NAME,OWNER_ABRV,MAIN_RESP,MAIN_ABRV,CORE_CLASS,CLASS_ABRV,STCL_CLASS,ZIP_LEFT,ZIP_RIGHT,COMPKEY,COMPTYPE,UNITID,UNITID2,ENTERED_BY,ENTERED_ON,UPDATED_BY,UPDATED_ON,ROUTE_LBL,LENGTH,ALIAS1_DIR,ALIAS1_STRNAME,ALIAS1_TYPE,ALIAS1_SIFID,ALIAS2_DIR,ALIAS2_STRNAME,ALIAS2_TYPE,ALIAS2_SIFID,ALIAS3_DIR,ALIAS3_STRNAME,ALIAS3_TYPE,ALIAS3_SIFID,ALIAS4_DIR,ALIAS4_STRNAME,ALIAS4_TYPE,ALIAS4_SIFID,GLOBALID,SHAPELEN
10,11,28686,0,5603,5603,5699,5604,5698,5603,5699,8033,9150,VEVIA PL, , ,VEVIA,PL, , ,VEVIA,PL,8032,9149, ,LAVENIA,LN,8594,9811, ,DEAD END, , ,0.32600001,0.32600001,25,LOUISVILLE,14,WEST,MAP16A,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40272,40272,270353611,68,9150,1,ADMIN,1801/01/01 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,430.49, , , ,0, , , ,0, , , ,0, , , ,0,{80264E70-DCB2-4F40-9494-2CEAED573B59},430.489571190654
11,12,24460,0,7111,7111,7123,7111,7123,7112,7122,4793,5238,YORKTOWN TER, , ,YORKTOWN,TER, , ,YORKTOWN,TER,6706,7473, ,PATRICK HENRY,CT,6706,7473, ,PATRICK HENRY,CT, ,0.20100001,0.20100001,25,LOUISVILLE,13,WEST,MAN18F,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40214,40214,270349526,68,5238,1,ADMIN,2006/03/31 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,264.94, , , ,0, , , ,0, , , ,0, , , ,0,{F5ECE29F-A8F0-4C37-BC9C-AC8069D76456},264.9438727299
12,13,831,0,1900,1900,1999,1901,1999,1900,1998,13479,8695,ROLLING HILLS TRL, , ,ROLLING HILLS,TRL, , ,ROLLING HILLS,TRL,8594,9811, ,DEAD END, ,7635,8693, ,WINDING VIEW,TRL, ,0.82756471,0.82756471,25,LOUISVILLE,20,EAST,MAM26A,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40023,40023,270325289,68,8695,1,ADMIN,1801/01/01 00:00:00+00,EBULLITT,2011/09/02 00:00:00+00, ,1092.38541814, , , ,0, , , ,0, , , ,0, , , ,0,{2D4CDFCF-58E3-4A2C-B13D-D74E65DC057B},1134.475331905
13,14,6358,0,7480,7480,7499,7481,7499,7480,7498,6413,7132,WESTPORT RD, , ,WESTPORT,RD, , ,WESTPORT,RD,2709,2774, ,LYNDON,LN,3756,3996, ,LYNN,WAY, ,0.04644688,0.04644688,45,GRAYMOOR/DEVONDALE,7,EAST,MAK22G,STATE,STAT,STATE,STAT,MINOR ARTERIAL,MINART,4,40222,40222,270334371,68,7132,58,ADMIN,1801/01/01 00:00:00+00,RREYNOLDS,2022/12/23 00:00:00+00,KY-1447,143.05640466, ,KY-1447, ,13827, , , ,0, , , ,0, , , ,0,{5D150008-FF41-4294-A3DB-F648FA2BF320},143.05640465936
14,15,33016,0,200,200,299,201,299,200,298,12597,E473,CHADWICK GLEN PL, , ,CHADWICK GLEN,PL, , ,CHADWICK GLEN,PL,8594,9811, ,DEAD END, ,12595,E471, ,CHADWICK GLEN,CIR, ,0.23748247,0.23748247,25,LOUISVILLE,20,EAST,MAL27E,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40245,40245,270516242,68,E473,1,ADMIN,2006/12/26 00:00:00+00,BALLEN,2019/07/22 00:00:00+00, ,313.47686674, , , ,0, , , ,0, , , ,0, , , ,0,{C7AC711B-4A39-47F3-8DBF-94F731174271},315.941242579981
15,16,13323,0,7000,7000,7099,7000,7098,7001,7099,293,0285,MOUNTAIN CT, , ,MOUNTAIN,CT, , ,MOUNTAIN,CT,8594,9811, ,DEAD END, ,540,0527, ,BILLIE,LN, ,0.09,0.09,25,LOUISVILLE,24,WEST,MAN21E,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40219,40219,270336459,68,0285,1,ADMIN,1801/01/01 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,119.04, , , ,0, , , ,0, , , ,0, , , ,0,{946E890E-BBAC-4B1C-9AFB-AD56FEE918C3},119.041764722218
16,17,29715,0,7200,7200,7207,7201,7207,7200,7206,5193,5709,RUTLEDGE RD, , ,RUTLEDGE,RD, , ,RUTLEDGE,RD,12290,7050, ,WOOD,RD,1847,1860, ,EDENROC,LN, ,0.47099999,0.47099999,25,LOUISVILLE,12,WEST,MAN15D,METRO,METR,METROCTR,MCTR,SECONDARY COLLECTOR,SECCOL,6,40258,40258,270355656,68,5709,6,ADMIN,1801/01/01 00:00:00+00,RREYNOLDS,2017/05/12 00:00:00+00, ,1243.77, , , ,0, , , ,0, , , ,0, , , ,0,{7A43D2CE-DF03-45C8-9D46-71676244E520},1243.59460817602
17,18,1927,0,2700,2700,2706,2700,2706,2701,2705,1237,1232,COLONEL DR, , ,COLONEL,DR, , ,COLONEL,DR,5235,5772, ,SABERDEE,DR,5291,5841, ,SAUREL,DR, ,0.227,0.227,25,PLANTATION,7,EAST,MAK22D,PLANTATION,PLAN,5TH CLASS CITY,5CLC,LOCAL,LOCAL,7,40242,40242,270330945,68,1232,3,ADMIN,1801/01/01 00:00:00+00,EBULLITT,2009/02/23 00:00:00+00, ,299.46, , , ,0, , , ,0, , , ,0, , , ,0,{43BEF7EE-56F1-482C-A3DF-429469AA025B},299.461908168092
18,19,21464,0,13236,13270,13236,13269,13237,13270,13236,8725,9955,I 65 SOUTH, ,I,65, ,S, ,I 65 SOUTH, ,8765,9998, ,I 65 RAMP, ,8765,9998, ,I 65 RAMP, ,FT,0.38692031,-1.0,55,LOUISVILLE,15,WEST,MAM18B,FEDERAL,FEDL,STATE,STAT,EXPRESSWAY,XWAY,1,40217,40209,270344783,68,9955,10,ADMIN,1801/01/01 00:00:00+00,ADMIN,2013/03/06 00:00:00+00,I-65,1872.69, , , ,0, , , ,0, , , ,0, , , ,0,{7DB7ACF8-C6E1-46BB-B813-0E077FB0D85F},1872.69431430721
19,20,22467,0,3642,3642,3679,3643,3679,3642,3678,1195,1181,CLIFF AVE, , ,CLIFF,AVE, , ,CLIFF,AVE,889,0915, ,CAMDEN,AVE,474,0459, ,BEECHER,ST, ,0.25799999,0.25799999,25,LOUISVILLE,15,WEST,MAM18E,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40215,40215,270348263,68,1181,6,ADMIN,1801/01/01 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,340.68, , , ,0, , , ,0, , , ,0, , , ,0,{28062F75-1E1A-4F94-AB2A-333C0371EAF9},340.679980913518
20,21,31566,0,300,300,319,300,318,301,319,6800,7592,BLAIR CT, , ,BLAIR,CT, , ,BLAIR,CT,8594,9811, ,DEAD END, ,6813,7608, ,TRISTA,DR, ,0.176,0.176,25,MIDDLETOWN,17,EAST,MAL24C,MIDDLETOWN,MIDD,4TH CLASS CITY,4CLC,LOCAL,LOCAL,7,40243,40243,270326278,68,7592,2,ADMIN,1801/01/01 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,232.25, , , ,0, , , ,0, , , ,0, , , ,0,{E214B1E8-BB05-4D70-B1DE-A771F5350DD7},232.248135168105
21,22,800,0,16316,16316,16499,16317,16499,16316,16498,8199,9351,EASTWOOD CUT OFF RD, , ,EASTWOOD CUT OFF,RD, , ,EASTWOOD CUT OFF,RD,14179,E990, ,MAPLE VALLEY,RD,5383,5940, ,SHELBYVILLE,RD, ,0.68461443,0.68461443,25,LOUISVILLE,11,EAST,MAL26E,STATE,STAT,STATE,STAT,LOCAL,LOCAL,7,40245,40245,270326502,68,9351,4,ADMIN,2004/02/03 00:00:00+00,RREYNOLDS,2023/12/21 00:00:00+00,KY-2841,903.69104773, ,KY-2841, ,13901, , , ,0, , , ,0, , , ,0,{E4E78F73-EE65-4A8D-8762-84E83A2180AB},903.691047731909
22,23,33246,0,2600,2600,2649,2600,2648,2601,2649,12691,E568,HAMILTON SPRINGS DR, , ,HAMILTON SPRINGS,DR, , ,HAMILTON SPRINGS,DR,12695,E572, ,MCKINLEY RIDGE,DR,12693,E570, ,MADISON TRACE,CIR, ,0.08374362,0.08374362,25,LOUISVILLE,19,EAST,MAK25E,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40245,40245,270525370,68,E568,2,ADMIN,2006/03/21 00:00:00+00,BALLEN,2024/02/12 00:00:00+00, ,110.54158121, , , ,0, , , ,0, , , ,0, , , ,0,{2A3B0A6A-153E-489D-B817-7BA281A894F0},110.541581209708
23,25,34849,800,16200,16200,16315,16201,16315,16200,16314,8199,9351,EASTWOOD CUT OFF RD, , ,EASTWOOD CUT OFF,RD, , ,EASTWOOD CUT OFF,RD,1835,1847, ,EASTWOOD FISHERVILLE,RD,14179,E990, ,MAPLE VALLEY,RD, ,1.01932874,1.01932874,25,LOUISVILLE,11,EAST,MAL26E,STATE,STAT,STATE,STAT,LOCAL,LOCAL,7,40245,40245,270652464,68,9351,5,ADMIN,2004/02/03 00:00:00+00,RREYNOLDS,2023/12/21 00:00:00+00,KY-2841,1345.51393459, ,KY-2841, ,13901, , , ,0, , , ,0, , , ,0,{07BB5712-41AB-4A20-B01E-BED5C2461D34},1345.51393458702
24,30,34872,33542,6300,6300,6309,6301,6309,6300,6308,12797,E674,COMMERCE PARK CT, , ,COMMERCE PARK,CT, , ,COMMERCE PARK,CT,8594,9811, ,DEAD END, ,12798,E675, ,COMMERCE PARK,DR, ,0.07164248,0.07164248,25,LOUISVILLE,13,WEST,MAO18A,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40118,40118,270653687,68,E674,2,ADMIN,2006/12/13 00:00:00+00,EBULLITT,2011/08/26 00:00:00+00, ,94.56806868, , , ,0, , , ,0, , , ,0, , , ,0,{362BD59D-328D-4A97-A049-5F2C1CFFD44D},94.5680686810432
25,31,33542,0,6310,6310,6399,6311,6399,6310,6398,12797,E674,COMMERCE PARK CT, , ,COMMERCE PARK,CT, , ,COMMERCE PARK,CT,12798,E675, ,COMMERCE PARK,DR,4228,4553, ,NEW CUT,RD, ,0.24274914,0.24274914,25,LOUISVILLE,13,WEST,MAO18A,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40118,40118,270542996,68,E674,1,ADMIN,2006/12/13 00:00:00+00,RREYNOLDS,2023/12/21 00:00:00+00, ,320.42886875, , , ,0, , , ,0, , , ,0, , , ,0,{85762812-A393-4709-9858-466EF0FFEB3C},320.428868749564
26,32,34873,0,6400,6400,6499,6400,6498,6401,6499,12798,E675,COMMERCE PARK DR, , ,COMMERCE PARK,DR, , ,COMMERCE PARK,DR,12797,E674, ,COMMERCE PARK,CT,8594,9811, ,DEAD END, , ,0.30932483,0.30932483,25,LOUISVILLE,13,WEST,MAO18A,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40118,40118,270653688,68,E675,1,EBULLITT,2011/08/26 00:00:00+00,EBULLITT,2011/08/26 00:00:00+00, ,408.30877733, , , ,0, , , ,0, , , ,0, , , ,0,{0BD966CB-D0F1-423D-9E6F-7E85AD48550B},408.308777324986
27,33,34875,0,1100,1100,1199,1101,1199,1100,1198,12706,E583,LIBERTY HILL WAY, , ,LIBERTY HILL,WAY, , ,LIBERTY HILL,WAY,12705,E582, ,HARTLAND,AVE,14177,E989, ,DUNTREATH,LN, ,0.13561768,0.13561768,25,LOUISVILLE,11,EAST,MAL25G,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40299,40299,270653689,68,E583,3,EBULLITT,2011/08/26 00:00:00+00,RREYNOLDS,2019/05/16 00:00:00+00, ,179.01533331, , , ,0, , , ,0, , , ,0, , , ,0,{4C0A8678-50EC-4E57-8F75-E51E5312FE6D},179.015333312603
28,35,33268,0,1152,1152,1199,1153,1199,1152,1198,12704,E581,HELM PLACE LN, , ,HELM PLACE,LN, , ,HELM PLACE,LN,12705,E582, ,HARTLAND,AVE,12700,E577, ,SIGNATURE POINT,DR, ,0.0681546,0.0681546,25,LOUISVILLE,11,EAST,MAL25G,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40299,40299,270526165,68,E581,2,ADMIN,2006/04/10 00:00:00+00,RREYNOLDS,2019/05/15 00:00:00+00, ,89.96406898, , , ,0, , , ,0, , , ,0, , , ,0,{ADFDB341-A505-4882-98AF-39D8F6971521},89.9640689820803
29,37,34878,0,14300,14300,14399,14301,14399,14300,14398,12705,E582,HARTLAND AVE, , ,HARTLAND,AVE, , ,HARTLAND,AVE,12706,E583, ,LIBERTY HILL,WAY,12704,E581, ,HELM PLACE,LN, ,0.23758686,0.23758686,25,LOUISVILLE,11,EAST,MAL25G,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40299,40299,270653692,68,E582,1,EBULLITT,2011/08/26 00:00:00+00,RREYNOLDS,2019/05/16 00:00:00+00, ,313.61466052, , , ,0, , , ,0, , , ,0, , , ,0,{097C6471-BCB2-40E7-BDD0-BF0756D9F458},313.614660516094
30,38,663,0,209,209,212,210,212,209,211,8239,9409,N ENGLISH STATION RD,N, ,ENGLISH STATION,RD, ,N,ENGLISH STATION,RD,12755,E632, ,DEVELOPMENT,WAY,7984,9093, ,DATA VAULT,DR, ,0.17029134,0.17029134,35,MIDDLETOWN,19,EAST,MAL24D,METRO,METR,METRO,METR,MINOR ARTERIAL,MINART,4,40223,40223,270325181,68,9409,3,ADMIN,2006/02/01 00:00:00+00,BALLEN,2020/08/10 00:00:00+00, ,524.49732569, , , ,0, , , ,0, , , ,0, , , ,0,{C6AA6AFC-E803-4C10-86F9-85091F518146},524.49732569101
31,39,34881,663,100,100,208,100,208,101,207,8239,9409,N ENGLISH STATION RD,N, ,ENGLISH STATION,RD, ,N,ENGLISH STATION,RD,5383,5940, ,SHELBYVILLE,RD,12755,E632, ,DEVELOPMENT,WAY, ,0.17651398,0.17651398,35,MIDDLETOWN,19,EAST,MAL24D,METRO,METR,METRO,METR,MINOR ARTERIAL,MINART,4,40223,40223,270653708,68,9409,14,ADMIN,2006/02/01 00:00:00+00,RREYNOLDS,2015/05/21 00:00:00+00, ,543.66305852, , , ,0, , , ,0, , , ,0, , , ,0,{DD80E32A-03F4-4EBB-95B1-42BF431AFFF9},549.754688358816
32,40,34882,0,13000,13000,13099,13000,13098,13001,13099,12755,E632,DEVELOPMENT WAY, , ,DEVELOPMENT,WAY, , ,DEVELOPMENT,WAY,8594,9811, ,DEAD END, ,8239,9409,N,ENGLISH STATION,RD, ,0.98549316,0.98549316,25,MIDDLETOWN,19,EAST,MAL24D,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40243,40243,270653709,68,E632,1,EBULLITT,2011/08/29 00:00:00+00,RREYNOLDS,2015/05/21 00:00:00+00, ,1300.85096915, , , ,0, , , ,0, , , ,0, , , ,0,{095A6D9A-ED0E-4790-ADBE-39F3C595519D},1298.50260188539
33,46,34829,11341,8100,8100,8119,8101,8119,8100,8118,248,0231,AVANTI WAY, , ,AVANTI,WAY, , ,AVANTI,WAY,2204,2192, ,FERNVIEW,RD,8594,9811, ,DEAD END, , ,0.10581147,0.10581147,25,LOUISVILLE,23,WEST,MAN22E,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40291,40291,270651970,68,0231,5,ADMIN,1801/01/01 00:00:00+00,EBULLITT,2011/06/29 00:00:00+00, ,139.67113841, , , ,0, , , ,0, , , ,0, , , ,0,{AC613C90-77BA-4C7B-B7BA-DC23E6C02773},139.609352508392
34,47,11341,0,8120,8120,8126,8121,8125,8120,8126,248,0231,AVANTI WAY, , ,AVANTI,WAY, , ,AVANTI,WAY,8594,9811, ,DEAD END, ,7963,9069, ,AVANTI,PL, ,0.20751124,0.20751124,25,LOUISVILLE,22,WEST,MAN22E,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40291,40291,270339159,68,0231,2,ADMIN,1801/01/01 00:00:00+00,EBULLITT,2011/06/29 00:00:00+00, ,273.91483612, , , ,0, , , ,0, , , ,0, , , ,0,{DBAF719D-E51C-4B88-9E83-D596286FF54B},272.32605471402
35,48,34832,0,14300,14300,14399,14301,14399,14300,14398,14177,E989,DUNTREATH LN, , ,DUNTREATH,LN, , ,DUNTREATH,LN,12706,E583, ,LIBERTY HILL,WAY,12704,E581, ,HELM PLACE,LN, ,0.2340675,0.2340675,25,LOUISVILLE,11,EAST,MAL25G,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40299,40299,270651973,68,E989,1,EBULLITT,2011/06/30 00:00:00+00,JPRICE,2021/12/08 00:00:00+00, ,308.96909348, , , ,0, , , ,0, , , ,0, , , ,0,{9EC7FEBF-B202-4000-B36C-9C950DACDBBD},308.969093481148
36,54,35037,0,1300,1300,1399,1301,1399,1300,1398,2312,2323,FRANKFORT AVE, , ,FRANKFORT,AVE, , ,FRANKFORT,AVE,14285,F029, ,RIVER SHORE,DR,7259,8199, ,RIVER,RD, ,0.18237965,0.18237965,25,LOUISVILLE,4,EAST,MAK19H,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40206,40206,270663120,68,2323,67,EBULLITT,2012/07/24 00:00:00+00,RREYNOLDS,2020/02/14 00:00:00+00, ,240.74114241, , , ,0, , , ,0, , , ,0, , , ,0,{88ACA216-20DE-4786-A0C6-E54E378BD78E},239.714288897351
37,55,35039,0,1500,1500,1599,1501,1599,1500,1598,14285,F029,RIVER SHORE DR, , ,RIVER SHORE,DR, , ,RIVER SHORE,DR,14287,F030, ,DOCK VIEW,DR,2312,2323, ,FRANKFORT,AVE, ,0.50109759,0.50109759,25,LOUISVILLE,4,EAST,MAK19H,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40206,40206,270663121,68,F029,1,EBULLITT,2012/07/24 00:00:00+00,BALLEN,2017/09/15 00:00:00+00, ,661.44882118, , , ,0, , , ,0, , , ,0, , , ,0,{AE28996A-9148-4053-9406-78841DFC63E3},666.392661991016
38,56,35040,0,1600,1600,1699,1601,1699,1600,1698,14285,F029,RIVER SHORE DR, , ,RIVER SHORE,DR, , ,RIVER SHORE,DR,2312,2323, ,FRANKFORT,AVE,14289,F031, ,MARINAS EDGE,WAY, ,0.55329437,0.55329437,25,LOUISVILLE,4,EAST,MAK19H,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40206,40206,270663122,68,F029,2,EBULLITT,2012/07/24 00:00:00+00,BALLEN,2017/09/15 00:00:00+00, ,730.34856547, , , ,0, , , ,0, , , ,0, , , ,0,{4A5EFCFD-5E88-46D1-8D00-188EBACFB007},732.466833588842
39,57,35044,14950,1100,1100,1499,1101,1499,1100,1498,7259,8199,RIVER RD, , ,RIVER,RD, , ,RIVER,RD,7566,8619,E,WITHERSPOON,ST,14287,F030, ,DOCK VIEW,DR, ,0.81607137,0.81607137,35,LOUISVILLE,4,EAST,MAK19G,METRO,METR,METROCTR,MCTR,MINOR ARTERIAL,MINART,4,40206,40206,270663123,68,8199,51,ADMIN,2007/01/23 00:00:00+00,RREYNOLDS,2020/02/14 00:00:00+00, ,2513.49980556, , , ,0, , , ,0, , , ,0, , , ,0,{E1AC373A-4F9E-4EF1-A4DD-1EC08558FB7B},2672.13586369798
