,Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Vehicle Primary Use,Electric Range,Odometer Reading,Odometer Code,New or Used Vehicle,Sale Price,Sale Date,Base MSRP,Transaction Type,DOL Transaction Date,Transaction Year,County,City,State of Residence,Postal Code,2015 HB 2778 Exemption Eligibility,2019 HB 2042 Clean Alternative Fuel Vehicle (CAFV) Eligibility,Meets 2019 HB 2042 Electric Range Requirement,Meets 2019 HB 2042 Sale Date Requirement,Meets 2019 HB 2042 Sale Price/Value Requirement,2019 HB 2042: Battery Range Requirement,2019 HB 2042: Purchase Date Requirement,2019 HB 2042: Sale Price/Value Requirement,Electric Vehicle Fee Paid,Transportation Electrification Fee Paid,Hybrid Vehicle Electrification Fee Paid,2020 Census Tract,Legislative District,Electric Utility
10,Battery Electric Vehicle (BEV),WVWKP7AU5G,313031288,2016,VOLKSWAGEN,e-Golf,Passenger,83,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,March 18 2022,2022,King,SEATTLE,WA,98119,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033005902,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
11,Battery Electric Vehicle (BEV),WVWKP7AU5G,313031288,2016,VOLKSWAGEN,e-Golf,Passenger,83,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,March 05 2019,2019,King,SEATTLE,WA,98119,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,No,No,53033005902,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
12,Battery Electric Vehicle (BEV),WVWKP7AU5G,313031288,2016,VOLKSWAGEN,e-Golf,Passenger,83,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,March 03 2020,2020,King,SEATTLE,WA,98119,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033005902,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
13,Battery Electric Vehicle (BEV),WVWKP7AU5G,313031288,2016,VOLKSWAGEN,e-Golf,Passenger,83,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,February 23 2023,2023,King,SEATTLE,WA,98119,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033005902,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
14,Battery Electric Vehicle (BEV),WVWKP7AU5G,313031288,2016,VOLKSWAGEN,e-Golf,Passenger,83,0,No Odometer Code on File,Used,21488,March 12 2017,0,Original Title,March 22 2017,2017,King,SEATTLE,WA,98119,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,True,Battery range requirement is met,"Vehicle purchase was before August 01, 2019",Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53033005902,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
15,Battery Electric Vehicle (BEV),WVWPR7AU3K,322283076,2019,VOLKSWAGEN,e-Golf,Passenger,125,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration at time of Transfer,December 06 2023,2023,King,SEATTLE,WA,98119,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033005902,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
16,Battery Electric Vehicle (BEV),1N4AZ0CP0D,215957731,2013,NISSAN,Leaf,Passenger,75,24,Actual Mileage,Used,0,,0,Registration Renewal,June 24 2014,2014,Jefferson,PORT TOWNSEND,WA,98368,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,,,53031950604,24,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
17,Battery Electric Vehicle (BEV),1N4AZ0CP0D,215957731,2013,NISSAN,Leaf,Passenger,75,24,Actual Mileage,New,0,July 16 2013,0,Original Registration,August 08 2013,2013,Jefferson,PORT TOWNSEND,WA,98368,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,,,53031950604,24,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
18,Battery Electric Vehicle (BEV),1N4AZ0CP0D,215957731,2013,NISSAN,Leaf,Passenger,75,24,Actual Mileage,New,0,July 16 2013,0,Original Title,August 08 2013,2013,Jefferson,PORT TOWNSEND,WA,98368,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,"Vehicle purchase was before August 01, 2019",The sale price is not available,Not Applicable,,,53031950604,24,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
19,Battery Electric Vehicle (BEV),5YJSA1H18E,112772068,2014,TESLA,Model S,Passenger,208,50,Actual Mileage,New,0,September 27 2014,69900,Original Title,October 24 2014,2014,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,"Vehicle purchase was before August 01, 2019",The sale price is not available,Not Applicable,,,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
20,Battery Electric Vehicle (BEV),5YJXCAE22L,103173164,2020,TESLA,Model X,Passenger,293,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,February 22 2022,2022,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
21,Battery Electric Vehicle (BEV),5YJXCAE22L,103173164,2020,TESLA,Model X,Passenger,293,50,Actual Mileage,New,89790,March 04 2020,0,Original Title,March 25 2020,2020,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,True,False,Battery range requirement is met,Purchase date requirement is met,The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
22,Battery Electric Vehicle (BEV),5YJXCAE22L,103173164,2020,TESLA,Model X,Passenger,293,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,March 25 2020,2020,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
23,Battery Electric Vehicle (BEV),5YJSA1H18E,112772068,2014,TESLA,Model S,Passenger,208,50,Actual Mileage,New,0,September 27 2014,69900,Original Registration,October 24 2014,2014,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,,,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
24,Battery Electric Vehicle (BEV),5YJSA1H18E,112772068,2014,TESLA,Model S,Passenger,208,0,No Odometer Code on File,Used,0,,69900,Registration Renewal,September 13 2016,2016,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,,,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
25,Battery Electric Vehicle (BEV),5YJXCAE22L,103173164,2020,TESLA,Model X,Passenger,293,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,February 16 2021,2021,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
26,Battery Electric Vehicle (BEV),5YJSA1H18E,112772068,2014,TESLA,Model S,Passenger,208,0,No Odometer Code on File,Used,0,,69900,Registration Renewal,September 21 2015,2015,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,,,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
27,Battery Electric Vehicle (BEV),5YJYGDEE5L,114986196,2020,TESLA,Model Y,Passenger,291,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,July 12 2023,2023,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
28,Battery Electric Vehicle (BEV),WP0CD2Y19P,231192062,2023,PORSCHE,Taycan,Passenger,0,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,March 08 2023,2023,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
29,Battery Electric Vehicle (BEV),WP0CD2Y19P,231192062,2023,PORSCHE,Taycan,Passenger,0,37,Actual Mileage,New,165850,February 26 2023,0,Original Title,March 08 2023,2023,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,False,Battery range for this vehicle is unknown,Purchase date requirement is met,The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
30,Battery Electric Vehicle (BEV),5YJYGDEE5L,114986196,2020,TESLA,Model Y,Passenger,291,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,June 14 2022,2022,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
31,Plug-in Hybrid Electric Vehicle (PHEV),JTDKN3DP0D,158629740,2013,TOYOTA,Prius Plug-in,Passenger,6,171423,Actual Mileage,Used,4100,March 16 2021,0,Transfer Title,March 22 2021,2021,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,True,Battery range is too low,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
32,Plug-in Hybrid Electric Vehicle (PHEV),1C4JJXP62M,154621834,2021,JEEP,Wrangler,Passenger,25,19295,Actual Mileage,Used,47000,June 01 2023,0,Transfer Title,June 06 2023,2023,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,False,Battery range is too low,Purchase date requirement is met,The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
33,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFP9M,161173869,2021,TOYOTA,Prius Prime,Passenger,25,14390,Actual Mileage,Used,27500,May 18 2023,0,Transfer Title,June 06 2023,2023,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,True,Battery range is too low,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
34,Plug-in Hybrid Electric Vehicle (PHEV),JTDKN3DP2C,270895691,2012,TOYOTA,Prius Plug-in,Passenger,6,3,Actual Mileage,New,0,March 19 2012,0,Original Registration,March 19 2012,2012,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range is too low,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,,,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
35,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFP0N,212179152,2022,TOYOTA,Prius Prime,Passenger,25,3,Actual Mileage,New,32333,August 17 2022,0,Original Title,August 17 2022,2022,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,True,Battery range is too low,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
36,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFPXN,213403032,2022,TOYOTA,Prius Prime,Commercial,25,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,August 30 2023,2023,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range is too low,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,Yes,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
37,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFP9N,210029207,2022,TOYOTA,Prius Prime,Passenger,25,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,July 26 2022,2022,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range is too low,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
38,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFP9N,210029207,2022,TOYOTA,Prius Prime,Passenger,25,1,Actual Mileage,New,32322,July 26 2022,0,Original Title,July 26 2022,2022,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,True,Battery range is too low,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
39,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFPXN,213403032,2022,TOYOTA,Prius Prime,Passenger,25,1,Actual Mileage,New,31897,August 09 2022,0,Original Title,August 09 2022,2022,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,True,Battery range is too low,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
40,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFPXN,213403032,2022,TOYOTA,Prius Prime,Commercial,25,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,August 09 2022,2022,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range is too low,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
41,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFP3N,211062967,2022,TOYOTA,Prius Prime,Passenger,25,1,Actual Mileage,New,31897,August 02 2022,0,Original Title,August 02 2022,2022,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,True,Battery range is too low,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
42,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFP6N,209497018,2022,TOYOTA,Prius Prime,Passenger,25,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,July 26 2022,2022,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range is too low,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
43,Plug-in Hybrid Electric Vehicle (PHEV),JTDKN3DP2C,270895691,2012,TOYOTA,Prius Plug-in,Passenger,6,3,Actual Mileage,New,0,March 19 2012,0,Original Title,March 19 2012,2012,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range is too low,"Vehicle purchase was before August 01, 2019",The sale price is not available,Not Applicable,,,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
44,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFP6N,209497018,2022,TOYOTA,Prius Prime,Passenger,25,1,Actual Mileage,New,31897,July 26 2022,0,Original Title,July 26 2022,2022,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,True,Battery range is too low,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
45,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFP0N,212179152,2022,TOYOTA,Prius Prime,Commercial,25,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,August 17 2022,2022,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range is too low,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
46,Plug-in Hybrid Electric Vehicle (PHEV),JTDKAMFP3N,211062967,2022,TOYOTA,Prius Prime,Commercial,25,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,August 02 2022,2022,Clark,VANCOUVER,WA,98662,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range is too low,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53011041313,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
47,Battery Electric Vehicle (BEV),1G1FZ6S02L,148270146,2020,CHEVROLET,Bolt EV,Passenger,259,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration at time of Transfer,June 08 2021,2021,King,SEATTLE,WA,98109,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033006702,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
48,Battery Electric Vehicle (BEV),1G1FZ6S02L,148270146,2020,CHEVROLET,Bolt EV,Passenger,259,601,Actual Mileage,Used,26500,April 25 2021,0,Transfer Title,June 08 2021,2021,King,SEATTLE,WA,98109,HB 2778 Eligiblity Requirements not met,Clean Alternative Fuel Vehicle,True,True,True,Battery range requirement is met,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53033006702,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
49,Battery Electric Vehicle (BEV),1N4AZ1CPXK,477919662,2019,NISSAN,Leaf,Passenger,150,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,August 13 2019,2019,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
50,Battery Electric Vehicle (BEV),1N4AZ1CPXK,477919662,2019,NISSAN,Leaf,Passenger,150,5,Actual Mileage,New,31299,August 03 2019,0,Original Title,August 13 2019,2019,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,Clean Alternative Fuel Vehicle,True,True,True,Battery range requirement is met,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
