,casenumber,casetype,caseanimaltype,casecity,casestate,casezipcode,ownerid,animalid,result1,result2,result3,result4,result5,result6,clerk,officer,calldate,newdate,dispatched,working,completed,animaltype,sex,bites,color,breed,ObjectId
25,A20-081513-9,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 NVS,1 FU,NO RESULT,NO RESULT,NO RESULT,HFORNER,OFFICER HARRIS,2020/05/15 14:46:00+00,2020/05/20 01:35:00+00,2020/05/20 10:32:00,2020/05/20 10:52:00,2020/05/20 11:00:00,DOG,M,N,GRAY / WHITE,PIT BULL,26
26,A20-081513-15,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 NVS,1 FU,NO RESULT,NO RESULT,NO RESULT,MBURTON,OFFICER HARRIS,2020/05/15 14:46:00+00,2020/05/23 04:00:00+00,2020/05/23 10:30:00,2020/05/23 10:31:00,2020/05/23 10:39:00,DOG,M,N,GRAY / WHITE,PIT BULL,27
27,A20-081513-8,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 NVS,1 TTO,1 FU,NO RESULT,NO RESULT,DSTEWART,OFFICER FORNER,2020/05/15 14:46:00+00,2020/05/19 23:55:00+00,2020/05/19 21:10:00,2020/05/19 21:20:00,2020/05/19 21:36:00,DOG,M,N,GRAY / WHITE,PIT BULL,28
28,A20-081513-2,NUISANCE RESTRAINT,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 TTO,1 EDUC,3 TTR,3 EDUC,1 COMP,NO RESULT,JWHITT,OFFICER WHITTAKER,2020/05/15 14:46:00+00,2020/05/15 18:45:00+00,2020/05/15 18:40:00,2020/05/15 18:40:00,2020/05/15 19:26:00,DOG,M,N,GRAY / WHITE,PIT BULL,29
29,A20-081513-1,NUISANCE RESTRAINT,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 TTR,1 EDUC,1 FU,NO RESULT,NO RESULT,NO RESULT,MFISHER,OFFICER WHITTAKER,2020/05/15 14:46:00+00,2020/05/15 18:45:00+00,2020/05/15 14:46:00,2020/05/15 17:35:00,2020/05/15 18:43:00,DOG,M,N,GRAY / WHITE,PIT BULL,30
30,A20-081513-20,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 UTL,NO RESULT,NO RESULT,NO RESULT,NO RESULT,DPETERSO,OFFICER THOMPSON,2020/05/15 14:46:00+00,2020/05/27 17:54:00+00,2020/05/28 06:44:00,2020/05/28 14:57:00,2020/05/28 15:09:00,DOG,M,N,GRAY / WHITE,PIT BULL,31
31,A20-081513-4,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 NVS,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,JWHITT,OFFICER THOMPSON,2020/05/15 14:46:00+00,2020/05/16 19:37:00+00,2020/05/17 07:40:00,2020/05/17 09:08:00,2020/05/17 09:25:04.193,DOG,M,N,GRAY / WHITE,PIT BULL,32
32,A20-081513-17,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 UTL,1 TTC,1 FU,NO RESULT,NO RESULT,DPETERSO,OFFICER THOMPSON,2020/05/15 14:46:00+00,2020/05/24 04:00:00+00,2020/05/26 13:39:00,2020/05/26 13:58:00,2020/05/26 14:21:00,DOG,M,N,GRAY / WHITE,PIT BULL,33
33,A20-081513-13,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 TTC,1 PA,1 UTL,1 FU,NO RESULT,NO RESULT,DPETERSO,OFFICER THOMPSON,2020/05/15 14:46:00+00,2020/05/20 14:58:00+00,2020/05/22 14:34:00,2020/05/22 14:40:00,2020/05/22 14:56:00,DOG,M,N,GRAY / WHITE,PIT BULL,34
34,A20-081513-11,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 NVS,1 FU,NO RESULT,NO RESULT,NO RESULT,DPETERSO,OFFICER THOMPSON,2020/05/15 14:46:00+00,2020/05/20 14:58:00+00,2020/05/21 07:39:00,2020/05/21 10:05:00,2020/05/21 10:24:00,DOG,M,N,GRAY / WHITE,PIT BULL,35
35,A20-081513-3,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 UTMC,1 MC,1 NOTIC,1 FU,NO RESULT,NO RESULT,JWHITT,OFFICER PETERSON,2020/05/15 14:46:00+00,2020/05/15 18:45:00+00,2020/05/16 14:14:00,2020/05/16 17:20:00,2020/05/16 17:34:00,DOG,M,N,GRAY / WHITE,PIT BULL,36
36,A20-081513-6,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 TTC,1 PA,1 UTL,NO RESULT,NO RESULT,NO RESULT,MWERMUTH,OFFICER THOMPSON,2020/05/15 14:46:00+00,2020/05/17 15:40:00+00,2020/05/18 08:52:00,2020/05/18 09:02:00,2020/05/18 09:31:00,DOG,M,N,GRAY / WHITE,PIT BULL,37
37,A20-081513-18,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 NVS,1 FU,NO RESULT,NO RESULT,NO RESULT,MATTHEW,OFFICER PETERSON,2020/05/15 14:46:00+00,2020/05/24 04:00:00+00,2020/05/26 15:38:00,2020/05/26 18:12:00,2020/05/26 18:31:00,DOG,M,N,GRAY / WHITE,PIT BULL,38
38,A20-081513-19,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 NVS,1 FU,NO RESULT,NO RESULT,NO RESULT,DPETERSO,OFFICER PETERSON,2020/05/15 14:46:00+00,2020/05/27 17:54:00+00,2020/05/27 15:12:00,2020/05/27 20:01:00,2020/05/27 20:24:00,DOG,M,N,GRAY / WHITE,PIT BULL,39
39,A20-081513-16,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 NVS,1 FU,NO RESULT,NO RESULT,NO RESULT,HEATHER,OFFICER PETERSON,2020/05/15 14:46:00+00,2020/05/24 04:00:00+00,2020/05/25 10:14:00,2020/05/25 20:50:00,2020/05/25 21:09:00,DOG,M,N,GRAY / WHITE,PIT BULL,40
40,A20-081513-12,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 TTR,1 EDUC,1 FU,NO RESULT,NO RESULT,NO RESULT,MATTHEW,OFFICER PETERSON,2020/05/15 14:46:00+00,2020/05/20 14:58:00+00,2020/05/21 13:34:00,2020/05/21 17:18:00,2020/05/21 17:43:00,DOG,M,N,GRAY / WHITE,PIT BULL,41
41,A20-081513-5,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 TTC,1 PA,1 UTMC,1 NOTIC,1 NVS,1 FU,DPETERSO,OFFICER WERMUTH,2020/05/15 14:46:00+00,2020/05/17 15:40:00+00,2020/05/17 15:24:00,2020/05/17 19:34:00,2020/05/17 19:58:00,DOG,M,N,GRAY / WHITE,PIT BULL,42
42,A20-081513-7,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,2 PHONE,1 TTC,1 TTO,1 PA,1 NVS,1 FU,MATTHEW,OFFICER STEWART,2020/05/15 14:46:00+00,2020/05/17 15:40:00+00,2020/05/18 14:03:00,2020/05/18 16:21:00,2020/05/18 16:43:00,DOG,M,N,GRAY / WHITE,PIT BULL,43
43,A20-081513-22,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 NVS,1 FU,NO RESULT,NO RESULT,NO RESULT,MBURTON,OFFICER COGBURN,2020/05/15 14:46:00+00,2020/05/28 21:41:00+00,2020/05/29 09:52:00,2020/05/29 09:57:00,2020/05/29 10:04:00,DOG,M,N,GRAY / WHITE,PIT BULL,44
44,A20-081513-10,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,1 PA,1 UTL,1 FU,NO RESULT,NO RESULT,NO RESULT,HEATHER,OFFICER PETERSON,2020/05/15 14:46:00+00,2020/05/20 14:58:00+00,2020/05/20 13:29:00,2020/05/20 17:27:00,2020/05/20 17:46:00,DOG,M,N,GRAY / WHITE,PIT BULL,45
45,A20-077741-8,STRAY TRAP,CAT,LOUISVILLE,KY,40210,,A677558,1 TTC,1 IMPND,1 COMP,NO RESULT,NO RESULT,NO RESULT,JCOGBURN,OFFICER WERMUTH,2020/01/07 22:09:00+00,2020/02/21 01:14:00+00,2020/02/20 20:19:00,2020/02/20 20:36:00,2020/02/20 21:10:00,CAT,S,N,ORANGE,DOMESTIC SH,46
46,A20-077741-9,TRANSPORT SNR,CAT,LOUISVILLE,KY,40210,,A677558,1 TTR,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,SHAWKINS,OFFICER FISHER,2020/01/07 22:09:00+00,2020/02/22 11:04:00+00,2020/02/22 07:30:00,2020/02/22 09:05:00,2020/02/22 09:13:09.140,CAT,S,N,ORANGE,DOMESTIC SH,47
47,A20-079215-1,STRAY INJURED,DOG,LOUISVILLE,KY,40272,,A677583,1 PA,1 IMPND,1 COMP,NO RESULT,NO RESULT,NO RESULT,RPHILLIP,OFFICER FISHER,2020/02/21 17:49:00+00,2020/02/21 17:49:00+00,2020/02/21 12:50:00,2020/02/21 13:33:00,2020/02/21 14:04:48.930,DOG,N,N,BLACK,LABRADOR RETR,48
48,A20-079243-2,TRANSPORT SNR,CAT,LOUISVILLE,KY,40214,,A677602,1 TTC,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,SHAWKINS,OFFICER THOMPSON,2020/02/22 15:16:00+00,2020/03/10 17:50:00+00,2020/03/11 06:49:00,2020/03/11 09:09:00,2020/03/11 09:26:00,CAT,N,N,ORG TABBY,DOMESTIC SH,49
49,A22-099754-1,INVESTIGAT OTHER,DOG,LOUISVILLE,KY,40215,P356062,A558504,1 IMPND,1 PA,NO RESULT,NO RESULT,NO RESULT,NO RESULT,JCLARK,OFFICER SANFORD,2022/02/21 18:16:00+00,2022/02/21 18:16:00+00,2022/02/21 13:26:00,2022/02/21 14:02:00,2022/02/21 14:56:00,DOG,N,N,BLUE,AMERICAN STAFF / MIX,50
50,A20-083932-2,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40217,P268417,A676237,1 UTMC,1 NVS,1 COMP,NO RESULT,NO RESULT,NO RESULT,ADAM,OFFICER RATLIFF,2020/08/09 23:19:00+00,2020/08/14 23:44:20.977+00,2020/08/15 07:53:46.747,2020/08/15 09:49:03.817,2020/08/15 09:57:51.033,DOG,N,N,BLACK / WHITE,PIT BULL,51
51,A20-083932-3,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40217,P268417,A676237,1 TTO,1 CIVIL,1 NOTIC,1 EDUC,1 COMP,NO RESULT,ROBBI,OFFICER FORNER,2020/08/09 23:19:00+00,2020/08/15 13:56:00+00,2020/08/15 14:55:00,2020/08/15 20:37:00,2020/08/15 21:26:00,DOG,N,N,BLACK / WHITE,PIT BULL,52
52,A20-078713-2,XTRA SERVE COURT,CAT,LOUISVILLE,KY,40202,P230535,A676304,1 RSVLD,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,ROBBI,OFFICER RATLIFF,2020/02/06 16:19:00+00,2020/08/20 18:17:00+00,2020/08/20 14:17:00,2020/08/20 14:17:00,2020/08/20 14:38:50.790,CAT,S,N,BLACK,DOMESTIC MH,53
53,A20-078713-1,XTRA SERVE,CAT,LOUISVILLE,KY,40241,P230535,A676304,1 RSVLD,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,ROBBI,OFFICER RATLIFF,2020/02/06 16:19:00+00,2020/02/06 16:19:00+00,2020/02/06 11:20:00,2020/02/06 11:20:00,2020/02/06 11:43:22.770,CAT,S,N,BLACK,DOMESTIC MH,54
54,A20-077963-6,ASSIST ACO,DOG,LOUISVILLE,KY,40215,P366963,A676361,1 TTO,1 OPEN,NO RESULT,NO RESULT,NO RESULT,NO RESULT,MBURTON,OFFICER BURTON,2020/01/14 17:46:00+00,2020/01/21 02:13:00+00,2020/01/22 14:28:00,2020/01/22 14:56:00,2020/01/22 17:25:00,DOG,S,N,BLACK / WHITE,BOXER / MIX,55
55,A20-078213-2,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40215,P272235,A676381,1 OPEN,1 TTR,UNKNOWN,NO RESULT,NO RESULT,NO RESULT,MBURTON,OFFICER BURTON,2020/01/22 15:50:00+00,2020/01/24 05:00:00+00,2020/01/24 15:20:00,2020/01/24 17:29:00,2020/01/24 17:36:57.190,DOG,F,N,BLACK / BROWN,ROTTWEILER / MIX,56
56,A20-078213-1,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40215,P272235,A676381,1 TTO,1 VIOL,1 EDUC,1 FU,NO RESULT,NO RESULT,MICHAELM,OFFICER BURTON,2020/01/22 15:50:00+00,2020/01/22 15:50:00+00,2020/01/22 20:12:00,2020/01/22 21:22:00,2020/01/22 21:58:15.860,DOG,F,N,BLACK / BROWN,ROTTWEILER / MIX,57
57,A20-078302-1,TRANSPORT SNR,CAT,LOUISVILLE,KY,40229,,A676405,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,SHAWKINS,OFFICER MCMICHAEL,2020/01/25 11:42:00+00,2020/01/25 11:42:00+00,2020/01/25 07:55:00,2020/01/25 10:14:00,2020/01/25 10:46:00,CAT,S,N,TORTIE / MUTED,DOMESTIC SH,58
58,A20-078381-1,TRANSPORT SNR,CAT,LOUISVILLE,KY,40299,,A676488,2 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,SHAWKINS,OFFICER HARRIS,2020/01/28 11:51:00+00,2020/01/28 11:51:00+00,2020/01/28 06:57:00,2020/01/28 09:05:00,2020/01/28 09:20:00,CAT,S,N,BLACK / WHITE,AMER SH,59
59,A20-078383-1,TRANSPORT SNR,CAT,LOUISVILLE,KY,40208,,A676494,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,SHAWKINS,OFFICER COGBURN,2020/01/28 11:56:00+00,2020/01/28 11:56:00+00,2020/01/28 06:57:00,2020/01/28 08:30:00,2020/01/28 08:33:00,CAT,S,N,BLACK,DOMESTIC SH,60
60,A20-078313-1,STRAY SICK,DOG,LOUISVILLE,KY,40203,,A676508,1 TTC,1 IMPND,1 COMP,NO RESULT,NO RESULT,NO RESULT,KKERR,OFFICER WERMUTH,2020/01/25 21:42:00+00,2020/01/25 21:42:00+00,2020/01/25 18:37:00,2020/01/25 19:21:00,2020/01/25 19:45:00,DOG,S,N,GOLD,LABRADOR RETR,61
61,A20-078321-2,CONVERT CITATION,DOG,LOUISVILLE,KY,40216,P284869,A676512,1 UNIFM,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,MFISHER,OFFICER FISHER,2020/01/26 07:21:00+00,2020/01/26 07:21:00+00,2020/10/20 10:56:00,2020/10/20 10:57:00,2020/10/20 11:19:51.247,DOG,F,Y,WHITE / BLACK,PIT BULL,62
62,A20-078321-1,ASSIST POLICE,DOG,LOUISVILLE,KY,40215,P284869,A676512,1 TTC,1 TTO,1 CIVIL,1 VIOL,1 RPRT,1 COMP,MFISHER,OFFICER FISHER,2020/01/26 07:21:00+00,2020/01/26 07:21:00+00,2020/01/26 02:43:00,2020/01/26 02:53:00,2020/01/26 04:10:00,DOG,F,Y,WHITE / BLACK,PIT BULL,63
63,A20-078346-1,STRAY SICK,DOG,LOUISVILLE,KY,40211,,A676550,1 IMPND,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,APRYOR,OFFICER COGBURN,2020/01/27 15:49:00+00,2020/01/27 15:49:00+00,2020/01/27 10:52:00,2020/01/27 11:09:00,2020/01/27 11:32:00,DOG,F,N,TAN / WHITE,PIT BULL,64
64,A20-078294-2,INVESTIGAT ANI ATTACK,DOG,LOUISVILLE,KY,40205,P386577,A676607,1 TTO,1 TTC,1 UNIFM,1 COMP,NO RESULT,NO RESULT,JWHITT,OFFICER SABATINI,2020/01/24 21:32:00+00,2020/01/27 20:13:00+00,2020/01/28 15:24:00,2020/01/28 17:27:00,2020/01/28 19:24:00,DOG,N,Y,BR BRINDLE / WHITE,BOXER / PIT BULL,65
65,A20-078445-1,ASSIST POLICE,BIRD,LOUISVILLE,KY,40220,P386593,A676644,3 IMPND,1 NOTIC,1 COMP,NO RESULT,NO RESULT,NO RESULT,HFORNER,OFFICER FISHER,2020/01/29 19:27:00+00,2020/01/29 19:27:00+00,2020/01/29 14:31:00,2020/01/29 14:59:00,2020/01/29 15:28:20.847,BIRD,U,N,GREEN,PARAKEET,66
66,A21-091221-2,INVESTIGAT ABAN,DOG,LOUISVILLE,KY,40217,P236006,A676656,1 TTO,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,HEATHER,OFFICER COGBURN,2021/05/10 21:05:00+00,2021/05/10 22:14:00+00,2021/05/10 18:14:00,2021/05/10 18:38:00,2021/05/10 19:40:00,DOG,S,N,BLACK / WHITE,CHOW CHOW / LABRADOR RETR,67
