,Signal ID,Location Name,Operation State,Operation Text,Operation State Datetime,Processed Datetime,Plan ID,Primary St,Cross St,Location
16,639, LAMAR BLVD SVRD / RESEARCH BLVD SVRD,3,Communication issue,07/23/2021 03:30:58 AM,07/22/2024 04:50:22 AM,0, LAMAR BLVD SVRD, RESEARCH BLVD SVRD,POINT (-97.712532 30.348351)
17,561,US 183 HWY / MC KINNEY FALLS PKWY,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,254,US 183 HWY, MC KINNEY FALLS PKWY,POINT (-97.68412 30.198298)
18,999, ANDERSON MILL RD / MILLWRIGHT PKWY (OLSON DR),3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,1, ANDERSON MILL RD, MILLWRIGHT PKWY,POINT (-97.804016 30.447165)
19,960, CAMERON RD / RUNDBERG LN,3,Communication issue,01/25/2024 10:37:46 AM,07/22/2024 04:50:22 AM,1, CAMERON RD, RUNDBERG LN,POINT (-97.675972 30.350773)
20,4005," RUNDBERG LN / TEASDALE TER (Dobie MS, Gus Garcia Rec Center)",3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,254, RUNDBERG LN, TEASDALE TER,POINT (-97.681305 30.353985)
21,938,FM 2222 RD / MOUNT BONNELL RD,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,11,FM 2222 RD, MOUNT BONNELL RD,POINT (-97.779 30.341)
22,885, MENCHACA RD / RAVENSCROFT DR,3,Communication issue,07/22/2024 01:49:09 AM,07/22/2024 04:50:22 AM,254, MENCHACA RD, RAVENSCROFT DR,POINT (-97.833305 30.157124)
23,860,US 183 HWY / METROPOLIS DR,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,254,US 183 HWY, METROPOLIS DR,POINT (-97.683281 30.209925)
24,501, BEN WHITE BLVD / RIVERSIDE DR,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,254, BEN WHITE BLVD, RIVERSIDE DR,POINT (-97.69118 30.21883)
25,706,US 290 HWY / WILLIAM CANNON DR,3,Communication issue,01/31/2023 11:13:22 AM,07/22/2024 04:50:22 AM,47,US 290 HWY, WILLIAM CANNON DR,POINT (-97.86483 30.234057)
26,734, DESSAU RD / DUNGAN LN,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,1, DESSAU RD, DUNGAN LN,POINT (-97.675087 30.352268)
27,4126, AIRPORT BLVD / 40TH ST,3,Communication issue,06/12/2024 04:01:57 AM,07/22/2024 04:50:22 AM,0, AIRPORT BLVD, 40TH ST,POINT (-97.707672 30.291516)
28,602, ANDERSON MILL RD / 183 HWY SVRD,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,5, ANDERSON MILL RD,US 183 HWY SVRD,POINT (-97.790947 30.448647)
29,962,FM 2222 RD / DRY CREEK DR,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,11,FM 2222 RD, DRY CREEK DR,POINT (-97.762993 30.342556)
30,955,US 290 HWY SVRD / OLD FREDERICKSBURG RD,3,Communication issue,04/04/2023 12:08:37 PM,07/22/2024 04:50:22 AM,254,US 290 HWY SVRD, OLD FREDERICKSBURG RD,POINT (-97.852142 30.235657)
31,1020, MOPAC EXPY SVRD / BEE CAVE RD,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,254, MOPAC EXPY SVRD, BEE CAVE RD,POINT (-97.782313 30.265333)
32,633, JOLLYVILLE RD / OAK KNOLL DR,3,Communication issue,07/21/2024 03:32:17 PM,07/22/2024 04:50:22 AM,254, JOLLYVILLE RD, OAK KNOLL DR,POINT (-97.760071 30.427557)
33,599, BURLESON RD / EMMA BROWNING AVE,3,Communication issue,07/19/2024 06:23:49 AM,07/22/2024 04:50:22 AM,254, BURLESON RD, EMMA BROWNING AVE,POINT (-97.67054 30.173163)
