,ticket_number,issue_date,issue_time,meter_id,marked_time,rp_state_plate,plate_expiry_date,vin,make,body_style,color,location,route,agency,violation_code,violation_description,fine_amount,agency_desc,color_desc,body_style_desc,loc_lat,loc_long
14,1000448960,12/19/2022 12:00:00 AM,945,,0,CA,202110,,MERZ,PA,BK,14718 TUPPER ST,19SL0,1,4000A1,,50,WESTERN,BLACK,PASSENGER CAR,34.23898,-118.453695
15,1000448971,12/22/2022 12:00:00 AM,820,,0,CA,202211,,BMW,PA,BK,VESPER/VAN NUYS,LAPD1,1,8056E4,,93,WESTERN,BLACK,PASSENGER CAR,34.1898566,-118.451357
16,1000449004,12/22/2022 12:00:00 AM,850,,0,CA,202211,,ACUR,PA,BK,CEDROS/TUPPER,19SL0,1,4000A1,,50,WESTERN,BLACK,PASSENGER CAR,34.2390751,-118.453568
17,1038768802,02/21/2023 12:00:00 AM,1500,,0,CA,202107,,MAZD,PA,BK,10733 VALERIO ST,A3,1,4000A1,,50,WESTERN,BLACK,PASSENGER CAR,34.2048373,-118.3638057
18,1038768813,02/27/2023 12:00:00 AM,750,,0,CA,200205,,CHEV,,BE,6850 TUJUNGA AV,A27,1,4000A1,,50,WESTERN,,,34.1939601,-118.3790631
19,1038768846,02/28/2023 12:00:00 AM,835,,0,CA,201109,,SPRN,RV,BE,11830 SATICOY ST,A3,1,4000A1,,50,WESTERN,,,34.208381,-118.390037
20,1049078682,12/26/2022 12:00:00 AM,1740,,0,CA,202110,,LNDR,PA,WH,100 N WORLD WY L3/3G,,1,4000A1,,50,WESTERN,,PASSENGER CAR,33.9433358,-118.4003104
21,1049078693,12/26/2022 12:00:00 AM,1740,,0,CA,202110,,LNDR,PA,WH,100 N WORLD WY L3/3G,,1,225078A,,363,WESTERN,,PASSENGER CAR,33.9433358,-118.4003104
22,1049078704,12/26/2022 12:00:00 AM,0,,0,CA,202110,,LNDR,PA,WH,100 N WORLD WY L3/3G,,1,5200A,,25,WESTERN,,PASSENGER CAR,33.9433358,-118.4003104
23,1067924082,02/02/2023 12:00:00 AM,1040,,0,CA,202205,,PETE,TR,RE,11000 STRATHERN ST,,53,80692,,750,53 - DOT - VALLEY,,TRAILER,34.21572,-118.37051
24,1067924093,02/02/2023 12:00:00 AM,1041,,0,CA,202205,,PETE,TR,RE,11000 STRATHERN ST,,53,4000A1,,50,53 - DOT - VALLEY,,TRAILER,34.21572,-118.37051
25,1067924104,02/02/2023 12:00:00 AM,1149,,0,CA,202303,,TOYO,PA,WH,13724 VICTORY BLVD,,53,8053,,63,53 - DOT - VALLEY,,PASSENGER CAR,34.186585,-118.431398
26,1067924115,02/02/2023 12:00:00 AM,1151,,0,CA,0,,JEEP,,GO,12610 SATICOY ST,,53,8056E4,,93,53 - DOT - VALLEY,GOLD,,34.207674,-118.4078754
27,1078670946,01/02/2023 12:00:00 AM,950,,0,CA,202308,,TOYO,PA,GY,7665 SAN PEDRO ST,12Q34,1,8056E4,,93,WESTERN,GREY,PASSENGER CAR,33.97111,-118.26956
28,1078670972,01/02/2023 12:00:00 AM,1010,,0,CA,202203,,ISZU,,GY,161 E 78TH ST,12Q34,1,4000A1,,50,WESTERN,GREY,,33.9685433,-118.2735755
29,1078670983,01/02/2023 12:00:00 AM,1015,,0,CA,202004,,TOYO,PA,GR,7807 SAN PEDRO ST,12Q34,1,4000A1,,50,WESTERN,,PASSENGER CAR,33.9686526,-118.2693128
30,1078670994,01/02/2023 12:00:00 AM,1020,,0,CA,202201,,NISS,PA,GY,7817 SAN PEDRO ST,12Q34,1,4000A1,,50,WESTERN,GREY,PASSENGER CAR,33.9686526,-118.2693128
31,1080811745,02/10/2023 12:00:00 AM,1715,,0,OK,202303,,TOYO,PA,SI,WILSHIRE/MARIPOSA,MQ54,1,8069AP,,93,WESTERN,,PASSENGER CAR,34.0617577,-118.298759
32,1084703082,12/10/2022 12:00:00 AM,852,,0,CA,201712,,CAIF,,GY,1800 COTNER,,1,4000A1,,50,WESTERN,GREY,,34.0450689,-118.4442987
33,1084703093,12/10/2022 12:00:00 AM,857,,0,CA,201907,,CHEV,,YE,1805 COTNER AVE,8SL02,1,4000A1,,50,WESTERN,YELLOW,,34.04501,-118.444107
34,1084703104,12/10/2022 12:00:00 AM,900,,0,CA,202211,,,,GY,1900 COTNER AVE,8SL02,1,4000A1,,50,WESTERN,GREY,,34.0436359,-118.4430997
35,1084703115,12/10/2022 12:00:00 AM,903,,0,CA,201906,,,,GY,1901 COTNER AVE,8SL02,1,4000A1,,50,WESTERN,GREY,,34.0436359,-118.4430997
36,1084703152,12/26/2022 12:00:00 AM,1043,,0,CA,202205,,FORD,PA,WH,1700 COTNER AVE,,1,4000A1,,50,WESTERN,,PASSENGER CAR,34.047091,-118.44587
37,1084703163,12/26/2022 12:00:00 AM,1159,,0,CA,201906,,CHEV,,GY,1800 COTNER,,1,4000A1,,50,WESTERN,GREY,,34.0450689,-118.4442987
38,1084703174,12/26/2022 12:00:00 AM,1200,,0,CA,201907,,BMW,,TA,1805 COTNER,,1,4000A1,,50,WESTERN,,,34.0450689,-118.4442987
39,1084703185,12/26/2022 12:00:00 AM,1205,,0,CA,202101,,TOYO,,SI,1810 COTNER,,1,4000A1,,50,WESTERN,,,34.0450689,-118.4442987
40,1084703196,12/26/2022 12:00:00 AM,1205,,0,CA,201712,,BTM,,GY,1810 COTNER AVE,,1,4000A1,,50,WESTERN,GREY,,34.04501,-118.444107
41,1084703200,12/26/2022 12:00:00 AM,1230,,0,CA,202212,,BTM,,TA,1860 COTNER,,1,4000A1,,50,WESTERN,,,34.0450689,-118.4442987
42,1086691701,12/27/2022 12:00:00 AM,820,,0,CA,202312,,LEXU,SU,GY,14720 ROSCOE BL,26TL1,1,8070,,163,WESTERN,GREY,,34.2209006,-118.4533903
43,1086691712,12/27/2022 12:00:00 AM,915,,0,CA,202111,,MERZ,PA,BK,7870 VAN NUYS BL,26TL1,1,225078A,,363,WESTERN,BLACK,PASSENGER CAR,34.213538,-118.448585
44,1086691723,12/27/2022 12:00:00 AM,1000,,0,CA,202310,,HOND,PA,GY,14626 ROSCOE BLVD,26TL1,1,225078A,,363,WESTERN,GREY,PASSENGER CAR,34.22143055,-118.4506622
45,1086691734,12/27/2022 12:00:00 AM,1235,,0,CA,202307,,PORS,SU,WH,6600 TOPANGA CYN BL,26TU8,1,225078A,,363,WESTERN,,,34.19167,-118.60212
46,1086750943,03/13/2023 12:00:00 AM,1305,,0,CA,202306,,NISS,PA,SV,FIGUEROA ST/STATE DR,3A99,1,8069A,,93,WESTERN,,PASSENGER CAR,34.0165151,-118.2827207
47,1088191064,01/03/2023 12:00:00 AM,1530,,0,CA,202207,,HYUN,PA,GY,1268 N WESTMORELAND,11SL0,1,5204A,,25,WESTERN,GREY,PASSENGER CAR,34.0934783,-118.2878153
48,1088191075,01/03/2023 12:00:00 AM,1540,,0,CA,202203,,HOND,PA,GY,1258 N WESTMORELAND,11SL0,1,5204A,,25,WESTERN,GREY,PASSENGER CAR,34.0934783,-118.2878153
49,1088425343,12/26/2022 12:00:00 AM,1010,,0,CA,202211,,KIA,PA,RE,PARKVIEW N/O 7TH ST,FB51,1,4000A1,,50,WESTERN,,PASSENGER CAR,34.0500743,-118.262095
50,1088425365,12/30/2022 12:00:00 AM,905,,0,CA,202206,,HOND,PA,WH,PARKVIEW N/O 7TH ST,02FB5,1,4000A1,,50,WESTERN,,PASSENGER CAR,34.0500743,-118.262095
51,1088425380,01/16/2023 12:00:00 AM,900,,0,VA,202202,,NISS,PA,GY,PARKVIEW N/O 7TH ST,FB54,1,4000A1,,50,WESTERN,GREY,PASSENGER CAR,34.0500743,-118.262095
52,1088425391,01/16/2023 12:00:00 AM,905,,0,CA,202201,,HOND,PA,BL,PARKVIEW N/O 7TH ST,FB51,1,4000A1,,50,WESTERN,BLUE,PASSENGER CAR,34.0500743,-118.262095
53,1088425424,01/16/2023 12:00:00 AM,1155,,0,CA,202211,,VOLK,PA,WH,PARKVIEW N/O 7TH ST,FB51,1,4000A1,,50,WESTERN,,PASSENGER CAR,34.0500743,-118.262095
54,1088425446,02/04/2023 12:00:00 AM,915,,0,CA,201904,,TOYO,PA,BL,PARK VIEW/6TH ST,,1,4000A1,,50,WESTERN,BLUE,PASSENGER CAR,34.0609268,-118.2779935
55,1088425472,02/04/2023 12:00:00 AM,1225,,0,CA,202209,,HYUN,PA,BK,PARK VIEW N/O 7TH ST,FB51,1,4000A1,,50,WESTERN,BLACK,PASSENGER CAR,34.0581395,-118.2805224
56,1088425483,02/04/2023 12:00:00 AM,1605,,0,CA,202208,,HOND,PA,GY,PARK VIEW N/O 7TH ST,FB51,1,4000A1,,50,WESTERN,GREY,PASSENGER CAR,34.0581395,-118.2805224
57,1088433603,02/26/2023 12:00:00 AM,900,,0,CA,202304,,TOYO,PA,BL,607 S PARKVIEW,,1,,,0,WESTERN,BLUE,PASSENGER CAR,34.061171,-118.2785456
58,1088449040,01/31/2023 12:00:00 AM,2100,,0,CA,202301,,DODG,PA,OR,2014 W 8TH ST,2F3W2,1,5200A,,25,WESTERN,ORANGE,PASSENGER CAR,34.054341,-118.276837
59,1088449051,01/11/2023 12:00:00 AM,558,,0,CA,201909,,HOND,PA,SI,BELLEVUE S/O SUNSET,LAPD,1,4000A1,,50,WESTERN,,PASSENGER CAR,34.0730096,-118.2667238
60,1088452396,01/07/2023 12:00:00 AM,752,,0,CA,0,,TOYO,TR,WH,FIGUEROA/78TH ST,12V2,1,8056E4,,93,WESTERN,,TRAILER,33.9688456,-118.2826928
61,1088452470,01/09/2023 12:00:00 AM,800,,0,CA,202004,,DODG,TR,WH,68TH ST/FIGUEROA ST,12V1,1,8069AA,,93,WESTERN,,TRAILER,33.9781611,-118.2826976
62,1088452492,01/09/2023 12:00:00 AM,825,,0,CA,202207,,NISS,PA,WH,653 W 62ND ST,12V1,1,8069BS,,73,WESTERN,,PASSENGER CAR,33.98318323,-118.2853629
63,1093928905,02/05/2023 12:00:00 AM,1631,,0,CA,202307,,KIA,PA,RE,OGDEN N/O MELROSE,,1,8056E4,,93,WESTERN,,PASSENGER CAR,34.0837735,-118.3594728
64,1095686200,11/07/2022 12:00:00 AM,1030,,0,CA,202005,,CHEV,PA,BK,2300 GARTH AVE,8SL05,1,4000A,,50,WESTERN,BLACK,PASSENGER CAR,34.038628,-118.379091
65,1095686211,11/07/2022 12:00:00 AM,1040,,0,CA,202010,,CORO,RV,WH,2300 GARTH AVE,8SL05,1,4000A,,50,WESTERN,,,34.038628,-118.379091
66,1095686222,11/07/2022 12:00:00 AM,1155,,0,CA,202001,,COAC,RV,TA,2300 GARTH AVE,8SL05,1,4000A,,50,WESTERN,,,34.038628,-118.379091
67,1095686233,11/07/2022 12:00:00 AM,1200,,0,CA,202110,,JEEP,PA,GY,2300 GARTH AVE,8SL05,1,4000A,,50,WESTERN,GREY,PASSENGER CAR,34.038628,-118.379091
68,1095686244,11/07/2022 12:00:00 AM,1205,,0,CA,202205,,CHEV,TR,WH,2300 GARTH AVE,8SL05,1,4000A,,50,WESTERN,,TRAILER,34.038628,-118.379091
69,1103479263,01/10/2023 12:00:00 AM,1055,,0,CA,202102,,FORD,TR,GY,8451 RINCON,MQX,1,5204A,,25,WESTERN,GREY,TRAILER,34.2227506,-118.3911473
70,1103909601,01/28/2023 12:00:00 AM,1220,,0,CA,202007,,TOYO,PA,GR,12743 SAN FERNANDO,19X34,1,4000A1,,50,WESTERN,,PASSENGER CAR,34.30067,-118.46035
71,1103909612,02/04/2023 12:00:00 AM,1330,,0,CA,202103,,NISS,PA,BK,12691 SAN FERNANDO,19EL2,1,4000A1,,50,WESTERN,BLACK,PASSENGER CAR,34.29868,-118.45784
72,1103943050,01/11/2023 12:00:00 AM,1245,,0,CA,202304,,AUDI,PA,BK,98TH/WESTERN,,1,8069BS,,73,WESTERN,BLACK,PASSENGER CAR,34.6127351,-118.3038343
73,1104862496,09/26/2022 12:00:00 AM,1155,,0,ME,0,,HYUN,TL,BK,320 LAKME,M75,3,80691A,,500,VALLEY,BLACK,,33.7728708,-118.2592846
74,1105046541,03/14/2023 12:00:00 AM,2040,,0,CA,202211,,VOLK,PA,RE,8570 YEHUDA DR,,53,22514,,68,53 - DOT - VALLEY,,PASSENGER CAR,34.2254816,-118.6241549
75,1105046552,03/14/2023 12:00:00 AM,2058,,0,CA,202211,,VOLK,PA,RE,8570 YEHUDA DR,,53,4000A1,,50,53 - DOT - VALLEY,,PASSENGER CAR,34.2254816,-118.6241549
76,1105176192,01/18/2023 12:00:00 AM,1450,,0,CA,0,,HOND,PA,GY,ALISO ST/LOS ANGELES,,56,8056E4,,93,56 - DOT - CENTRAL,GREY,PASSENGER CAR,34.0553059,-118.240278
77,1105176203,01/18/2023 12:00:00 AM,1455,,0,CA,0,,GMC,TR,WH,ALISO ST/LOS ANGELES,,56,8056E4,,93,56 - DOT - CENTRAL,,TRAILER,34.0553059,-118.240278
78,1105458130,12/30/2022 12:00:00 AM,935,,0,CA,202308,,FORD,PA,BK,716 W 7TH ST,31FB3,1,8056E1,,58,WESTERN,BLACK,PASSENGER CAR,34.04393659999999,-118.2516643
79,1105458141,12/31/2022 12:00:00 AM,900,,0,CA,0,,HOND,PA,GR,700 W 7TH ST,31FB3,1,8056E1,,58,WESTERN,,PASSENGER CAR,34.04393659999999,-118.2516643
80,1105630982,03/09/2023 12:00:00 AM,1140,,0,CA,202401,,MAZ,PA,RE,BREED ST/CESAR CHAVE,,1,5200,,25,WESTERN,,PASSENGER CAR,34.0472948,-118.2088996
81,1105630993,03/09/2023 12:00:00 AM,1145,,0,CA,202401,,NISS,PA,WH,BREED ST/CESAR CHAVE,,1,5200A,,25,WESTERN,,PASSENGER CAR,34.0472948,-118.2088996
82,1106205122,02/06/2023 12:00:00 AM,940,,0,CA,202207,,,PA,BL,8675 ROSLYNDALE AV,26MQ1,1,4000A1,,50,WESTERN,BLUE,PASSENGER CAR,34.2267129,-118.4200725
83,1106205133,02/06/2023 12:00:00 AM,946,,0,CA,202001,,TOYO,TR,GY,13218 REEDLEY ST,26MQ1,1,4000A1,,50,WESTERN,GREY,TRAILER,34.22794,-118.4195991
84,1106205144,02/06/2023 12:00:00 AM,950,,0,CA,201905,,HOND,PA,BK,13184 REEDLEY ST,26MQ1,1,4000A1,,50,WESTERN,BLACK,PASSENGER CAR,34.2287426,-118.4185102
85,1106205155,02/06/2023 12:00:00 AM,953,,0,CA,202012,,,PA,TA,13184 REEDLEY ST,26MQ1,1,4000A1,,50,WESTERN,,PASSENGER CAR,34.2287426,-118.4185102
86,1106205166,02/06/2023 12:00:00 AM,957,,0,CA,202205,,CHEV,VN,WH,13172 REEDLEY ST,26MQ1,1,4000A1,,50,WESTERN,,VAN,34.2287426,-118.4185102
87,1106205170,02/06/2023 12:00:00 AM,1004,,0,CA,202204,,DODG,VN,WH,13224 BRYSON ST,26MQ1,1,4000A1,,50,WESTERN,,VAN,34.2284918,-118.4198929
88,1106205181,02/06/2023 12:00:00 AM,1008,,0,CA,202204,,LEXS,PA,GY,13206 BRYSON ST,26MQ1,1,4000A1,,50,WESTERN,GREY,PASSENGER CAR,34.2284918,-118.4198929
89,1106205192,02/06/2023 12:00:00 AM,1016,,0,CA,202011,,MERZ,PA,GY,13407 RANGOON ST,26MQ1,1,4000A1,,50,WESTERN,GREY,PASSENGER CAR,34.22925,-118.42485
90,1106242211,12/26/2022 12:00:00 AM,1320,,0,CA,202108,,ACUR,PA,SI,14939 OXNARD ST,9Q12W,1,4000A1,,50,WESTERN,,PASSENGER CAR,34.17922,-118.45772
91,1106242222,12/26/2022 12:00:00 AM,1330,,0,CA,202202,,HYUN,PA,GY,15350 OXNARD ST,9Q12W,1,4000A1,,50,WESTERN,GREY,PASSENGER CAR,34.17937,-118.46632
92,1106494454,01/29/2023 12:00:00 AM,445,,0,CA,202212,,HOND,PA,BL,415 UNION DR,2A69,1,22500H,,68,WESTERN,BLUE,PASSENGER CAR,34.058991,-118.267409
93,1106494465,01/29/2023 12:00:00 AM,445,,0,CA,202301,,TOYO,PA,RE,415 UNION DR,2A69,1,22500H,,68,WESTERN,,PASSENGER CAR,34.058991,-118.267409
94,1106494476,01/29/2023 12:00:00 AM,450,,0,CA,202112,,NISS,PA,BL,415 UNION DR,2A69,1,22500H,,68,WESTERN,BLUE,PASSENGER CAR,34.058991,-118.267409
95,1106494480,01/29/2023 12:00:00 AM,450,,0,CA,202309,,FORD,SU,WH,421 UNION DR,2A69,1,22500H,,68,WESTERN,,,34.058991,-118.267409
96,1106494491,01/29/2023 12:00:00 AM,455,,0,CA,202201,,HOND,PA,WH,433 UNION DR,2A69,1,22500H,,68,WESTERN,,PASSENGER CAR,34.058991,-118.267409
97,1106860694,01/24/2023 12:00:00 AM,1033,,0,NV,202006,,NISS,PA,WH,109TH ST/FIGUEROA,18/SO,1,8813B,METER EXPIRED,93,WESTERN,,PASSENGER CAR,33.9373605,-118.2826102
98,1107616495,01/20/2023 12:00:00 AM,1230,,0,CA,202204,,FORD,TR,WH,12760 SAN FERNANDO,,1,4000A1,,50,WESTERN,,TRAILER,34.30067,-118.46035
99,1107657261,02/14/2023 12:00:00 AM,1410,,0,CA,202311,,CHEV,TR,GY,6800 WEIDLAKE DR,,1,5200,,25,WESTERN,GREY,TRAILER,34.11541,-118.32761
