,sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
40,27523@1,-80.02182426,40.46331323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,273.5,262,256.0,315.5,337.0,377.0,-1,-1,-1,-1,-1,-1
41,5926@1,-79.75005536,40.66438756,14,11,12,28,89,230,287,197,116,115,134,184,212.0,229,297.0,355.0,303.0,203.0,139,97,79,50,35,18
42,6128@1,-79.82086304,40.43318941,21,13,11,7,17,33,74,105,125,87,108,115,118.0,129,128.0,150.0,186.0,139.0,109,75,68,49,28,26
43,5878@1,-79.87119918,40.59919581,13,7,8,23,49,179,340,415,330,226,192,180,202.0,219,282.0,353.0,426.0,370.0,254,182,124,85,63,42
44,5954@1,-79.83409051,40.47994726,75,51,44,40,83,402,281,106,11,637,554,573,557.0,575,689.0,898.0,964.0,28.0,724,543,469,337,233,161
45,27553@1,-80.01650061,40.4276298,46,20,12,17,28,108,566,895,980,590,487,512,542.0,571,750.0,836.0,44.0,978.0,725,456,361,275,225,97
46,21468@1,-80.1391271,40.38989757,17,5,2,7,10,30,94,183,141,96,122,111,129.0,124,130.0,163.0,236.0,277.0,191,133,120,67,49,31
47,146@2,-80.0240258,40.55909564,57,21,23,16,36,175,533,975,875,768,744,903,852.0,791,862.0,778.0,802.0,916.0,760,572,467,337,156,94
48,146@1,-80.02387412,40.55915655,46,24,23,29,37,129,268,473,490,475,583,616,678.0,751,806.0,904.0,930.0,959.0,903,646,466,375,208,95
49,10519@1,-79.87544495,40.58885782,13,10,2,6,35,100,328,646,397,236,214,203,240.0,209,315.0,501.0,600.0,502.0,365,204,153,86,68,49
