,X,Y,OBJECTID,Incidentid,DateTime,Year,StreetName,CrossStreet,Distance,JunctionRelation,Totalinjuries,Totalfatalities,Injuryseverity,Collisionmanner,Lightcondition,Weather,SurfaceCondition,Unittype_One,Age_Drv1,Gender_Drv1,Traveldirection_One,Unitaction_One,Violation1_Drv1,AlcoholUse_Drv1,DrugUse_Drv1,Unittype_Two,Age_Drv2,Gender_Drv2,Traveldirection_Two,Unitaction_Two,Violation1_Drv2,AlcoholUse_Drv2,DrugUse_Drv2,Latitude,Longitude
10,-111.89367,33.4220500000001,11,2591207,2012/01/02 19:38:00+00,2012,University Dr,Price Rd,-528.0,Driveway,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,17,Female,Northwest,Other,Other,No Apparent Influence,No Apparent Influence,Driver,19.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42205,-111.89367
11,-111.92645,33.3870600000001,12,2586121,2012/01/02 21:43:00+00,2012,Rural Rd,US Highway 60 Exit 174 J-Ramp,323.136,Intersection Related Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,21,Male,South,Changing Lanes,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,57.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.38706,-111.92645
12,-111.89466,33.36389,13,2584447,2012/01/02 22:50:00+00,2012,Price Rd,Guadalupe Rd,0.0,Frontage Road Non Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,255,,South,Changing Lanes,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,53.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.36389,-111.89466
13,-111.97647,33.3840200000001,14,2588488,2012/01/03 01:29:00+00,2012,Carson Rd,Fair Ln,299.904,Not Junction Related,0,0,No Injury,Unknown,Dark Lighted,Clear,Dry,Driver,255,,Unknown,Unknown,Unknown,No Apparent Influence,No Apparent Influence,Driverless,,,Unknown,Other,,,,33.38402,-111.97647
14,-111.92868,33.3782400000001,15,2599099,2012/01/03 01:52:00+00,2012,Baseline Rd,Rural Rd,0.0,Intersection Non Interchange,1,0,Possible Injury,ANGLE (Front To Side)(Other Than Left Turn),Dark Lighted,Clear,Dry,Driver,72,Female,East,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,Driver,47.0,Male,Southwest,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,33.37824,-111.92868
15,-111.97359,33.4084500000001,16,2589834,2012/01/03 02:01:00+00,2012,Broadway Rd,Interstate 10 Exit 153 G-Ramp,0.0,Unknown,2,0,Possible Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,22,Female,Southwest,Making Left Turn,Other,No Apparent Influence,No Apparent Influence,Driver,21.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40845,-111.97359
16,-111.92629,33.4168300000001,17,2595917,2012/01/03 03:29:00+00,2012,Rural Rd,Lemon St,0.0,Intersection Related Non Interchange,0,0,No Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,18,Female,East,Making Left Turn,Other,No Apparent Influence,No Apparent Influence,Driver,20.0,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41683,-111.92629
17,-111.96093,33.4371400000001,18,2584602,2012/01/03 15:54:00+00,2012,Priest Dr,State Route 202 Exit 5 A-Ramp,0.0,Intersection Non Interchange,2,0,Incapacitating Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,63,Male,North,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,51.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.43714,-111.96093
18,-111.94,33.4235,19,2598851,2012/01/03 19:31:00+00,2012,Mill Ave,7th St,109.824,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,21,Male,North,Going Straight Ahead,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,30.0,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.4235,-111.94
19,-111.90625,33.33468,20,2598823,2012/01/03 20:12:00+00,2012,Warner Rd,Los Feliz Dr,0.0,Intersection Non Interchange,2,0,Possible Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,19,Female,Northeast,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,Driver,33.0,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.33468,-111.90625
20,-111.91034,33.3784200000001,21,2599098,2012/01/03 22:05:00+00,2012,Baseline Rd,Mcclintock Dr,-333.168,Not Junction Related,0,0,No Injury,Sideswipe Same Direction,Daylight,Cloudy,Dry,Driver,74,Male,Southwest,Changing Lanes,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,31.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37842,-111.91034
21,-111.9091,33.4207700000001,22,2598822,2012/01/03 22:43:00+00,2012,Mcclintock Dr,8th St,454.08,Driveway,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,38,Male,East,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,52.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42077,-111.9091
22,-111.93971,33.39286,23,2598201,2012/01/03 23:11:00+00,2012,Southern Ave,Mill Ave,-34.848,Not Junction Related,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,50,Male,West,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,53.0,Female,Northwest,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39286,-111.93971
23,-111.94572,33.34984,24,2599103,2012/01/03 23:57:00+00,2012,Kyrene Rd,Elliot Rd,234.96,Not Junction Related,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,34,Female,West,Making Left Turn,Other,No Apparent Influence,No Apparent Influence,Driver,32.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.34984,-111.94572
24,-111.93788,33.3928700000001,25,2598183,2012/01/04 01:11:00+00,2012,Southern Ave,Mill Ave,522.192,Driveway,0,0,No Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,32,Male,North,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,46.0,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39287,-111.93788
25,-111.92841,33.37989,26,2584458,2012/01/04 02:52:00+00,2012,Rural Rd,Minton Dr,0.0,Intersection Non Interchange,1,0,Possible Injury,ANGLE (Front To Side)(Other Than Left Turn),Dark Lighted,Clear,Dry,Driver,255,,West,Making Right Turn,Inattention Distraction,No Apparent Influence,No Apparent Influence,Pedestrian,11.0,Male,South,Crossing Road,No Improper Action,No Apparent Influence,No Apparent Influence,33.37989,-111.92841
26,-111.96721,33.37829,27,2586123,2012/01/04 03:07:00+00,2012,Baseline Rd,Interstate 10 Exit 155 J1-Ramp,49.104,Intersection Related Interchange,0,0,No Injury,Rear To Side,Dark Lighted,Clear,Dry,Driver,52,Female,West,Backing,Other,No Apparent Influence,No Apparent Influence,Driver,22.0,Male,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37829,-111.96721
27,-111.89243,33.33493,28,2590982,2012/01/04 03:55:00+00,2012,Warner Rd,Price Rd,0.0,Intersection Non Interchange,1,0,Possible Injury,Left Turn,Dark Lighted,Cloudy,Dry,Driver,36,Female,North,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,16.0,Female,East,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.33493,-111.89243
28,-111.90911,33.4075,29,2593683,2012/01/04 05:50:00+00,2012,Broadway Rd,Mcclintock Dr,0.0,Intersection Non Interchange,0,0,No Injury,Unknown,Dark Lighted,Clear,Dry,Driver,255,,Unknown,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,24.0,Female,Unknown,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.4075,-111.90911
29,-111.92746,33.39295,30,2598825,2012/01/04 14:51:00+00,2012,Southern Ave,Rural Rd,-350.064,Not Junction Related,1,0,Non Incapacitating Injury,Single Vehicle,Daylight,Clear,Dry,Driver,34,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,,,,,,,,,33.39295,-111.92746
30,-111.92627,33.4075,31,2590529,2012/01/04 15:24:00+00,2012,Rural Rd,Broadway Rd,0.0,Intersection Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,29,Female,South,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,21.0,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.4075,-111.92627
31,-111.92625,33.43544,32,2589149,2012/01/04 15:36:00+00,2012,Scottsdale Rd,State Route 202 Exit 7 T-Ramp,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,28,Male,Southeast,Making Right Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,20.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.43544,-111.92625
32,-111.92256,33.40488,33,2590525,2012/01/04 16:03:00+00,2012,Terrace Rd,Palmcroft Dr,-152.064,Alley Access Related,0,0,No Injury,Single Vehicle,Dark Unknown Lighting,Unknown,Unknown,Driver,111,Unknown,North,Unknown,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,,,,,,,,,33.40488,-111.92256
33,-111.92629,33.4193300000001,34,2597970,2012/01/04 20:39:00+00,2012,Rural Rd,Terrace Rd,70.224,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,22,Male,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,70.0,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.41933,-111.92629
34,-111.8936,33.4273900000001,35,2595928,2012/01/04 21:10:00+00,2012,Siesta Ln,Rio Salado Pkwy,-720.192,Not Junction Related,0,0,No Injury,Other,Daylight,Clear,Dry,Driver,48,Female,North,Backing,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driverless,,,South,Properly Parked,,,,33.42739,-111.8936
35,-111.92646,33.4511200000001,36,2593685,2012/01/04 22:30:00+00,2012,Scottsdale Rd,Mckellips Rd,-42.24,Intersection Related Non Interchange,1,0,Non Incapacitating Injury,Left Turn,Daylight,Clear,Dry,Driver,255,,Southwest,Making Left Turn,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,Pedestrian,18.0,Male,East,Crossing Road,No Improper Action,No Apparent Influence,No Apparent Influence,33.45112,-111.92646
36,-111.94,33.42411,37,2590527,2012/01/04 22:36:00+00,2012,Mill Ave,6th St,-85.008,Not Junction Related,0,0,No Injury,Rear End,Daylight,Clear,Unknown,Driver,111,Unknown,North,Going Straight Ahead,Exceeded Lawful Speed,No Apparent Influence,No Apparent Influence,Driver,56.0,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42411,-111.94
37,-111.91117,33.3491300000001,38,2595926,2012/01/04 22:41:00+00,2012,Mcclintock Dr,Elliot Rd,0.0,Intersection Non Interchange,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,92,Male,South,Making Right Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,20.0,Male,North,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.34913,-111.91117
38,-111.96078,33.4099400000001,39,2589848,2012/01/04 23:48:00+00,2012,Priest Dr,17th St,60.192,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Unknown,Driver,58,Female,South,Changing Lanes,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,30.0,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40994,-111.96078
39,-111.92628,33.4142900000001,40,2597064,2012/01/05 00:13:00+00,2012,Rural Rd,Apache Blvd,-170.016,Driveway,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Dusk,Clear,Dry,Driver,69,Female,East,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,22.0,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41429,-111.92628
40,-111.96952,33.41099,41,2598807,2012/01/05 00:25:00+00,2012,52nd St,16th St,-200.112,Not Junction Related,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,21,Female,South,Going Straight Ahead,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,48.0,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.41099,-111.96952
41,-111.9089,33.4292800000001,42,2598205,2012/01/05 01:10:00+00,2012,Rio Salado Pkwy,Mcclintock Dr,50.16,Intersection Related Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Dark Lighted,Clear,Dry,Pedalcyclist,16,Male,South,Going Straight Ahead,Drove Rode In Opposing Traffic Lane,No Apparent Influence,No Apparent Influence,Driver,38.0,Female,West,Making Right Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.42928,-111.9089
42,-111.92633,33.3922700000001,43,2592291,2012/01/05 02:29:00+00,2012,Rural Rd,Southern Ave,-249.744,Not Junction Related,0,0,No Injury,Sideswipe Same Direction,Dark Lighted,Unknown,Dry,Driver,62,Male,Northwest,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,255.0,,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39227,-111.92633
43,-111.92519,33.4075100000001,44,2596066,2012/01/05 03:00:00+00,2012,Broadway Rd,Rural Rd,330.0,Driveway,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Dark Lighted,Clear,Dry,Pedalcyclist,21,Male,East,Going Straight Ahead,Other,No Apparent Influence,No Apparent Influence,Driver,24.0,Male,South,Other,No Improper Action,No Apparent Influence,No Apparent Influence,33.40751,-111.92519
44,-111.97359,33.4084500000001,45,2591201,2012/01/05 05:50:00+00,2012,Broadway Rd,Interstate 10 Exit 153 G-Ramp,0.0,Intersection Related Interchange,0,0,No Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,30,Female,West,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,20.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40845,-111.97359
45,-111.9393,33.39286,46,2598837,2012/01/05 14:28:00+00,2012,Southern Ave,Mill Ave,88.176,Intersection Related Non Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,64,Male,West,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,Driver,46.0,Male,West,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.39286,-111.9393
46,-111.94666,33.3548200000001,47,2598810,2012/01/05 15:14:00+00,2012,Grove Pkwy,Kyrene Rd,-255.024,Intersection Related Non Interchange,3,0,Incapacitating Injury,Rear End,Daylight,Clear,Dry,Driver,21,Female,East,Going Straight Ahead,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,85.0,Male,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.35482,-111.94666
47,-111.96769,33.37829,48,2589147,2012/01/05 18:32:00+00,2012,Baseline Rd,Interstate 10 Exit 155 C1-Ramp,-26.928,Intersection Interchange,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,25,Male,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,44.0,Female,North,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.37829,-111.96769
48,-111.88729,33.4148000000001,49,2586118,2012/01/05 19:11:00+00,2012,Apache Blvd,Price Rd,1048.08,Driveway,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,21,Male,North,Making Right Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Pedalcyclist,24.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.4148,-111.88729
49,-111.96952,33.4092400000001,50,2598828,2012/01/05 21:32:00+00,2012,Broadway Rd,52nd St,0.0,Intersection Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,40,Male,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,29.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40924,-111.96952
