,Reporting Railroad Code,Reporting Railroad Name,Year,Accident Number,PDF Link,Accident Year,Accident Month,Other Railroad Code,Other Railroad Name,Other Accident Number,Other Accident Year,Other Accident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintenance Accident Number,Maintenance Accident Year,Maintenance Accident Month,Grade Crossing ID,Day,Date,Time,Accident Type Code,Accident Type,Hazmat Cars,Hazmat Cars Damaged,Hazmat Released Cars,Persons Evacuated,Subdivision,Division Code,Division,Station,Milepost,State Code,State Abbreviation,State Name,County Code,County Name,District,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Track Name,Track Class,Track Density,Train Direction Code,Train Direction,Equipment Type Code,Equipment Type,Equipment Attended,Train Number,Train Speed,Recorded Estimated Speed,Maximum Speed,Gross Tonnage,Signalization Code,Signalization,Method of Operation Code,Method of Operation,Adjunct Code 1,Adjunct Name 1,Adjunct Code 2,Adjunct Name 2,Adjunct Code 3,Adjunct Name 3,Remote Control Locomotive Code,Remote Control Locomotive,First Car Initials,First Car Number,First Car Position,First Car Loaded,Causing Car Initials,Causing Car Number,Causing Car Position,Causing Car Loaded,Positive Alcohol Tests,Positive Drug Tests,Passengers Transported,Head End Locomotives,Mid Train Manual Locomotives,Mid Train Remote Locomotives,Rear End Manual Locomotives,Rear End Remote Locomotives,Derailed Head End Locomotives,Derailed Mid Train Manual Locomotives,Derailed Mid Train Remote Locomotives,Derailed Rear End Manual Locomotives,Derailed Rear End Remote Locomotives,Loaded Freight Cars,Loaded Passenger Cars,Empty Freight Cars,Empty Passenger Cars,Cabooses,Derailed Loaded Freight Cars,Derailed Loaded Passenger Cars,Derailed Empty Freight Cars,Derailed Empty Passenger Cars,Derailed Cabooses,Equipment Damage Cost,Track Damage Cost,Total Damage Cost,Primary Accident Cause Code,Primary Accident Cause,Contributing Accident Cause Code,Contributing Accident Cause,Accident Cause Code,Accident Cause,Engineers On Duty,Firemen On Duty,Conductors On Duty,Brakemen On Duty,Hours Engineers On Duty,Minutes Engineers On Duty,Hours Conductors On Duty,Minutes Conductors On Duty,Railroad Employees Killed,Railroad Employees Injured,Passengers Killed,Passengers Injured,Others Killed,Others Injured,Reporting Railroad Fatalities for 55a,Reporting Railroad Injuries for 55a,Total Persons Killed,Total Persons Injured,Total Killed Form 54,Total Injured Form 54,Special Study 1,Special Study 2,Latitude,Longitude,Narrative,Joint Track Type,Joint Track Class,Class Code,Class,Joint CD,Incident Key,Report Key,Reporting Railroad Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Company Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Company Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Location
10,CSX,CSX Transportation,2005,000015924,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00001592420051023,5,10,,,,,,CSX,CSX Transportation,000015924,5,10,,23,10/23/2005,5:08 AM,1,Derailment,16,1,0,0,,ALBANY,ALBANY,DEWITT,0283.4,36,NY,NEW YORK,67.0,ONONDAGA,1,38,4,Dark,3,Rain,2.0,Yard,LOCAL YARD LEAD,1,000000,3.0,East,7.0,Yard/switching,Yes,Y390,9,Recorded,9,0,,,N,,,,,,,,3.0,Remote control portable transmitter - more than one remote control transmitter,UNPX,128066.0,30.0,Yes,,,0.0,,,,No,2,0,0,0,0,0,0,0,0,0,39,0,26,0,0,8,0,2,0,0,49897,6000,55897,T110,Wide gage (due to defective or missing crossties),,,T110,Wide gage (due to defective or missing crossties),1.0,0.0,1.0,0.0,5.0,38.0,5.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,RAIL SPREAD UNDER MOVEMENT.**,Yard,1,1L,1L,1,CSX000015924200510,CSX000015924200510,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
11,CSX,CSX Transportation,2005,000015992,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00001599220051024,5,10,,,,,,CSX,CSX Transportation,000015992,5,10,,24,10/24/2005,2:50 AM,3,Rear end collision,0,0,0,0,,JACKSO,JACKSONVILLE,WAYCROSS,0587.0,13,GA,GEORGIA,299.0,WARE,3,71,4,Dark,3,Rain,2.0,Yard,YARD TRACK,1,000000,4.0,West,5.0,Single Car,No,,0,Estimated,7,0,,,N,,,,,,,,0.0,Not a remotely controlled operation,CSXT,495795.0,1.0,Yes,,,0.0,,0.0,0.0,No,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9021,0,11262,H702,Switch improperly lined,,,H702,Switch improperly lined,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,EMPLOYEE LINED SWITCH AGAINST MOVEMENT AND RAN INTO SINGLE CAR IN ANOTHER TRACK..,Yard,1,1L,1L,1,CSX000015992200510,CSX000015992200510,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
12,CSX,CSX Transportation,2005,000017069,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00001706920051211,5,12,,,,,,CSX,CSX Transportation,000017069,5,12,,11,12/11/2005,6:35 PM,1,Derailment,2,0,0,0,,GREAT,GREAT LAKE,INDIANAPOLIS,0009.0,18,IN,INDIANA,97.0,MARION,4,31,4,Dark,1,Clear,2.0,Yard,5 LEAD,1,000000,4.0,West,7.0,Yard/switching,Yes,Y234,8,Estimated,8,0,,,N,,,,,,,,0.0,Not a remotely controlled operation,INFX,408113.0,44.0,Yes,,,0.0,,0.0,0.0,No,2,0,0,0,0,0,0,0,0,0,45,0,7,0,0,3,0,0,0,0,5771,1000,6771,H702,Switch improperly lined,,,H702,Switch improperly lined,1.0,0.0,1.0,2.0,3.0,35.0,3.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,"WHILE SWITCHING TRACK, SHOVED ON 5 LEAD AND TRAINMAN FAILED TO LINE SWITCH. SHOVE MOVED THROUGH IMPROPERLY LINED SWITCH CAUSING DERAILMENT.",Yard,1,1L,1L,1,CSX000017069200512,CSX000017069200512,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
13,CSX,CSX Transportation,2006,000022277,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00002227720060518,6,5,,,,,,CSX,CSX Transportation,000022277,6,5,,18,05/18/2006,10:00 PM,1,Derailment,0,0,0,0,,APPALA,APPALACHIAN,LOUISA,0018.0,21,KY,KENTUCKY,127.0,LAWRENCE,3,50,4,Dark,1,Clear,4.0,Industry,#3 LOAD TRACK,1,000000,4.0,West,1.0,Freight Train,Yes,T568,6,Recorded,6,1136,,,N,,,,,,,,0.0,Not a remotely controlled operation,AEPX,20202.0,81.0,Yes,,,0.0,,,,No,2,0,0,0,0,0,0,0,0,0,90,0,0,0,0,9,0,0,0,0,40014,2000,42014,T110,Wide gage (due to defective or missing crossties),,,T110,Wide gage (due to defective or missing crossties),1.0,0.0,1.0,0.0,8.0,40.0,8.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,T56815 DERAILED CARS WHILE PULLING INTO INDUSTRIAL TRACK.^,Industry,1,1L,1L,1,CSX000022277200605,CSX000022277200605,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
14,BM,Boston & Maine Corporation,1975,750294,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BM75029419750430,75,4,,,,,,BM,Boston & Maine Corporation,750294,75,4,,30,04/30/1975,2:45 PM,11,Fire/violent rupture,0,0,0,0,,BOSTON,BOSTON,SALEM,,25,MA,MASSACHUSETTS,9.0,ESSEX,1,42,2,Day,1,Clear,2.0,Yard,NO 4,2,,,,5.0,Single Car,,,0,,0,0,,,N,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,3500,M599,Other miscellaneous causes (Provide detailed description in narrative),,,M599,Other miscellaneous causes (Provide detailed description in narrative),,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Yard,2,1L,1L,1,BM750294197504,BM750294197504,,Class 2,,GRS,Pan Am Railways/Guilford System,Not Assigned,,,,,,,,Class 2,,GRS,Pan Am Railways/Guilford System,Not Assigned,
15,BO,Baltimore And Ohio Railroad Company,1975,APA339,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BOAPA33919750819,75,8,,,,,,BO,Baltimore And Ohio Railroad Company,APA339,75,8,,19,08/19/1975,9:24 AM,3,Rear end collision,0,0,0,0,,PENNSY,PENNSYLVANIA,CHICORA,51,42,PA,PENNSYLVANIA,19.0,BUTLER,2,60,2,Day,1,Clear,1.0,Main,SINGLE MAIN TRACK,2,8.7,4.0,West,1.0,Freight Train,,6463,20,Recorded,20,732,,,IM,,,,,,,,,,UNIT,6463.0,1.0,,,,,,,,No,1,0,0,0,0,0,0,0,0,0,4,0,11,0,1,0,0,0,0,0,100,0,2500,H308,"Skate, failure to remove or place",,,H308,"Skate, failure to remove or place",,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,2,1L,1L,1,BOAPA339197508,BOAPA339197508,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,
16,CO,COLORADO,1979,AOH2611,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=COAOH261119791022,79,10,,,,,,CO,COLORADO,AOH2611,79,10,,22,10/22/1979,6:30 PM,3,Rear end collision,0,0,0,0,,OHIO,OHIO,PRESQUE ISLE,118.0,39,OH,OHIO,95.0,LUCAS,2,70,3,Dusk,1,Clear,2.0,Yard,13,,,,,6.0,Cut of cars,,,0,Estimated,10,0,,,N,,,,,,,,,,CO,105389.0,1.0,No,,,,,0.0,0.0,No,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,4,0,0,3500,0,5150,H601,Coupling speed excessive,,,H601,Coupling speed excessive,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Yard,0,1L,1L,3,COAOH2611197910,COAOH2611197910,,,,CO,COLORADO,Not Assigned,,,,,,,,,,CO,COLORADO,Not Assigned,
17,CO,COLORADO,1975,AHO097,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=COAHO09719750723,75,7,,,,,,CO,COLORADO,AHO097,75,7,,23,07/23/1975,9:15 PM,3,Rear end collision,0,0,0,0,,OHIO,OHIO,HX CABIN COLUMBUS,6,39,OH,OHIO,49.0,FRANKLIN,2,82,4,Dark,1,Clear,2.0,Yard,YARD,1,,4.0,West,6.0,Cut of cars,,,0,,15,0,,,N,,,,,,,,,,CABO,3585.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,108,0,1,0,0,1,0,1,0,0,3100,H702,Switch improperly lined,,,H702,Switch improperly lined,,,,,,,,,1,0,0,0,0,0,1,0,1,0,1,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Yard,1,1L,1L,1,COAHO097197507,COAHO097197507,,,,CO,COLORADO,Not Assigned,,,,,,,,,,CO,COLORADO,Not Assigned,
18,CO,COLORADO,1979,AMI3312,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=COAMI331219791012,79,10,,,,,,CO,COLORADO,AMI3312,79,10,,12,10/12/1979,2:50 AM,1,Derailment,0,0,0,0,,MICHIG,MICHIGAN,PLYMOUTH,81.0,26,MI,MICHIGAN,163.0,WAYNE,4,40,4,Dark,2,Cloudy,1.0,Main,10,2,0011.3,2.0,South,1.0,Freight Train,Yes,CW15,10,Estimated,10,4800,,,F,,,,,,,,,,ETTX,851759.0,53.0,Yes,ETTX,851759.0,53.0,Yes,0.0,0.0,No,2,0,0,0,0,0,0,0,0,0,52,0,14,0,1,4,0,0,0,0,5500,3500,9000,E64C,Worn flange,T314,Switch point worn or broken,E64C,Worn flange,1.0,0.0,1.0,2.0,3.0,50.0,3.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,2,1L,1L,1,COAMI3312197910,COAMI3312197910,,,,CO,COLORADO,Not Assigned,,,,,,,,,,CO,COLORADO,Not Assigned,
19,LA,LOUISIANA,1976,310812,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=LA31081219760621,76,6,,,,,,LA,LOUISIANA,310812,76,6,,21,06/21/1976,9:15 PM,12,Other impacts,0,0,0,0,,SYSTEM,TEXAS SUBDIV,GREENVILLE,T181,48,TX,TEXAS,231.0,HUNT,5,80,4,Dark,2,Cloudy,1.0,Main,SINGLE MAIN TRACK,2,6.91,2.0,South,1.0,Freight Train,Yes,57,10,Estimated,10,7006,,,IM,,,,,,,,,,GATX,93522.0,23.0,Yes,GATX,93522.0,23.0,Yes,,,No,4,0,0,0,0,0,0,0,0,0,70,0,5,0,1,0,0,0,0,0,3000,428,3428,E22C,Draft sill broken or bent,,,E22C,Draft sill broken or bent,1.0,0.0,1.0,2.0,10.0,30.0,10.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,2,2,2,1,LA310812197606,LA310812197606,,,,LA,LOUISIANA,Not Assigned,,,,,,,,,,LA,LOUISIANA,Not Assigned,
20,CSX,CSX Transportation,2007,000028015,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00002801520070106,7,1,,,,,,CSX,CSX Transportation,000028015,7,1,,6,01/06/2007,12:10 AM,1,Derailment,0,0,0,0,,JACKSO,JACKSONVILLE,JACKSONVILLE,0640.0,12,FL,FLORIDA,31.0,DUVAL,3,65,4,Dark,2,Cloudy,2.0,Yard,C01,1,000000,1.0,North,6.0,Cut of cars,No,,0,Estimated,5,0,,,N,,,,,,,,0.0,Not a remotely controlled operation,ETTX,726316.0,1.0,No,,,0.0,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,19250,T221,Broken Rail - Vertical split head   [Desc.Changed-Refer to Current/Prev.Guides],,,T221,Broken Rail - Vertical split head   [Desc.Changed-Refer to Current/Prev.Guides],0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,"WHILE PULLING OUT OF C01, CARS DERAILED DUE TO BROKEN RAIL, SIDESWIPING A CUT OF CARS ON C02.  #",Yard,1,1L,1L,1,CSX000028015200701,CSX000028015200701,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
21,BNSF,BNSF Railway Company,2009,GC0809102,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFGC080910220090805,9,8,,,,,,BNSF,BNSF Railway Company,GC0809102,9,8,,5,08/05/2009,9:40 PM,1,Derailment,9,0,0,0,,GULF,GULF,TEAGUE,,48,TX,TEXAS,161.0,FREESTONE,5,88,4,Dark,1,Clear,2.0,Yard,LEAD,1,,3.0,East,7.0,Yard/switching,Yes,RGFC,8,Recorded,8,0,,,N,,,,,,,,0.0,Not a remotely controlled operation,MLLX,26022.0,21.0,No,,,0.0,,,,No,2,0,0,0,0,0,0,0,0,0,4,0,24,0,0,0,0,2,0,0,15435,2500,17935,T317,"Turnout frog (self guarded), worn or broken",,,T317,"Turnout frog (self guarded), worn or broken",1.0,0.0,1.0,1.0,7.0,40.0,7.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,"R-GFC8221-05, SHOVING ON WEST LEAD INTO TRACK 115, DERAILED 2 CARS AT NUMBER 9 FROG.  NO HAZARDOUS MATERIALS RELEASED.",Yard,1,1L,1L,1,BNSFGC0809102200908,BNSFGC0809102200908,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (0 0)
22,CR,Conrail,1995,10003,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CR1000319950124,95,1,,,,,,CR,Conrail,10003,95,1,,24,01/24/1995,2:30 PM,1,Derailment,0,0,0,0,,PHILAD,PHILADELPHIA,CAMDEN,YARD,34,NJ,NEW JERSEY,7.0,CAMDEN,2,35,2,Day,1,Clear,2.0,Yard,#2 REC. TRACK,1,,3.0,East,1.0,Freight Train,Yes,04,10,Estimated,10,2500,,,NM,,,,,,,,,,MP,253358.0,42.0,Yes,,,,,,,No,2,0,0,0,0,0,0,0,0,0,29,0,15,0,0,2,0,1,0,0,7390,10520,17910,H704,Switch previously run through,,,H704,Switch previously run through,1.0,0.0,1.0,0.0,7.0,15.0,7.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"WHILE HANDLING WPCA-04 DERAILED 3 CARS, CAUSE PREVIOUS RUN THROUGH SWITCH.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone",Yard,1,1L,1L,1,CR10003199501,CR10003199501,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,,,,,,,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,
23,PBNE,"Philadelphia, Bethlehem & New England Railroad",1994,195,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=PBNE19519941218,94,12,,,,,,PBNE,"Philadelphia, Bethlehem & New England Railroad",195,94,12,,18,12/18/1994,5:00 AM,1,Derailment,0,0,0,0,,SYSTEM,SYSTEM,IRON HILL EAST,IND,42,PA,PENNSYLVANIA,95.0,NORTHAMPTON,2,30,4,Dark,3,Rain,2.0,Yard,1109,1,,,,,,,,0,,0,0,,,N,,,,,,,,,,,,,,,,,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14952,14952,T110,Wide gage (due to defective or missing crossties),,,T110,Wide gage (due to defective or missing crossties),,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,LEAD UNIT DERAILED INSIDE GAUGE ON COAL YARD LEAD.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Yard,1,3S,3S,1,PBNE195199412,PBNE195199412,,,,PBNE,"Philadelphia, Bethlehem & New England Railroad",Not Assigned,,,,,,,,,,PBNE,"Philadelphia, Bethlehem & New England Railroad",Not Assigned,
24,KSW,KANSAS SOUTHWESTERN RAILWAY,1994,71794,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=KSW7179419940717,94,7,,,,,,KSW,KANSAS SOUTHWESTERN RAILWAY,71794,94,7,,17,07/17/1994,6:40 PM,1,Derailment,0,0,0,0,,SYSTEM,SYSTEM,CONWAY SPRINGS,558.6,20,KS,KANSAS,191.0,SUMNER,6,90,3,Dusk,1,Clear,1.0,Main,MAIN,1,000.15,3.0,East,1.0,Freight Train,Yes,4912,10,Estimated,10,5230,,,NI,,,,,,,,,,UP,72660.0,35.0,Yes,,,,,,,No,2,0,0,0,0,0,0,0,0,0,40,0,1,0,0,5,0,0,0,0,64734,3500,68234,E4TC,Truck hunting,,,E4TC,Truck hunting,1.0,0.0,1.0,0.0,10.0,40.0,10.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,STIFF TRUCK JUMPED RAIL.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,1,3L,3L,1,KSW71794199407,KSW71794199407,,,,KSW,KANSAS SOUTHWESTERN RAILWAY,Not Assigned,,,,,,,,,,KSW,KANSAS SOUTHWESTERN RAILWAY,Not Assigned,
25,CR,Conrail,1994,30002,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CR3000219940416,94,4,,,,,,CR,Conrail,30002,94,4,,16,04/16/1994,10:50 AM,1,Derailment,0,0,0,0,,DEARBO,DEARBORN,ELKHART,,18,IN,INDIANA,39.0,ELKHART,4,45,2,Day,1,Clear,2.0,Yard,2R,1,,4.0,West,1.0,Freight Train,Yes,11,0,,0,2143,,,N,,,,,,,,,,FFTX,964530.0,17.0,Yes,,,,,,,No,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4,0,0,0,0,3600,23000,26600,H504,"Buffing or slack action excessive, train make-up",,,H504,"Buffing or slack action excessive, train make-up",1.0,0.0,1.0,0.0,4.0,10.0,4.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"NOT ALLOWING SLACK TO ADJUST BEFORE MAKING REVERSE MOVEMENT, CAUSING WHEEL TO LIFT OFF AT FROG.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone",Yard,1,1L,1L,1,CR30002199404,CR30002199404,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,,,,,,,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,
26,CR,Conrail,1993,70001,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CR7000119931212,93,12,,,,,,CR,Conrail,70001,93,12,,12,12/12/1993,4:10 PM,1,Derailment,0,0,0,0,,ALBANY,ALBANY,SELKIRK,0,36,NY,NEW YORK,1.0,ALBANY,1,15,2,Day,1,Clear,2.0,Yard,BASELINE-REC. YD.,1,,3.0,East,1.0,Freight Train,Yes,MVSE,0,,0,7627,,,N,,,,,,,,,,TTGX,930030.0,30.0,Yes,,,,,,,No,2,0,0,0,0,0,0,0,0,0,86,0,3,0,0,6,0,0,0,0,1700,6000,7700,H503,"Buffing or slack action excessive, train handling",,,H503,"Buffing or slack action excessive, train handling",1.0,0.0,1.0,1.0,8.0,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,EXCESSIVE BUFFING AND SLACK ACTION.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Yard,1,1L,1L,1,CR70001199312,CR70001199312,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,,,,,,,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,
27,CR,Conrail,1992,30002,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CR3000219920820,92,8,,,,,,CR,Conrail,30002,92,8,,20,08/20/1992,11:40 AM,1,Derailment,0,0,0,0,,DEARBO,DEARBORN,FAIRLANE,215.7,39,OH,OHIO,93.0,LORAIN,2,75,2,Day,1,Clear,3.0,Siding,NC CONTROL SIDING,1,,3.0,East,1.0,Freight Train,Yes,TV26,5,Estimated,5,2940,,,N,,,,,,,,,,TTGX,150347.0,32.0,Yes,,,,,,,No,2,0,0,0,0,0,0,0,0,0,42,0,0,0,0,5,0,0,0,0,5600,22000,27600,H702,Switch improperly lined,,,H702,Switch improperly lined,1.0,0.0,1.0,1.0,3.0,25.0,3.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"RUN THRU SWITCH, UTILITY BRAKEMAN J. BENSCH INADVERTINGLY THRU X OVER FROM MAIN TO SIDING, RESULTINGIN RUN THRU SWITCH.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone",Siding,1,1L,1L,1,CR30002199208,CR30002199208,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,,,,,,,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,
28,CO,COLORADO,1979,AWN3310,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=COAWN331019791027,79,10,,,,,,CO,COLORADO,AWN3310,79,10,,27,10/27/1979,2:00 AM,5,Raking collision,0,0,0,0,,WESTER,WESTERN,CS CABIN,650.6,21,KY,KENTUCKY,,,3,32,4,Dark,1,Clear,2.0,Yard,YARD TRACK,,,3.0,East,1.0,Freight Train,Yes,,0,Estimated,10,8000,,,G,,,,,,,,,,CO,4259.0,1.0,,,,,,0.0,0.0,No,2,0,0,0,0,0,0,0,0,0,95,0,46,0,1,0,0,0,0,0,3500,0,3500,M201,Load shifted,,,M201,Load shifted,1.0,1.0,1.0,2.0,1.0,55.0,1.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,2,1L,1L,1,COAWN3310197910,COAWN3310197910,,,,CO,COLORADO,Not Assigned,,,,,,,,,,CO,COLORADO,Not Assigned,
29,CO,COLORADO,1976,AHO182,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=COAHO18219761118,76,11,,,,,,CO,COLORADO,AHO182,76,11,,18,11/18/1976,5:55 AM,1,Derailment,0,0,0,0,,??????,OHIO NORTHERN SUB,GB CABIN,36,39,OH,OHIO,,,2,42,4,Dark,1,Clear,1.0,Main,SINGLE MAIN,4,11.2,3.0,East,1.0,Freight Train,Yes,194,25,Estimated,25,6200,,,G,,,,,,,,,,CO,150456.0,73.0,No,CO,150456.0,73.0,No,,,,3,0,0,0,0,0,0,0,0,0,17,0,164,0,1,0,0,2,0,0,1000,1040,2040,E65C,Worn tread,,,E65C,Worn tread,1.0,1.0,1.0,2.0,10.0,55.0,10.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,4,1L,1L,1,COAHO182197611,COAHO182197611,,,,CO,COLORADO,Not Assigned,,,,,,,,,,CO,COLORADO,Not Assigned,
