,ID,HIGHWAY ID,DISTRICT,PARISH,ROUTE,LRS ID,DIRECTION,MILE POINT,POLE TYPE,CONDITION,LIGHT PRESENT,SIDE OF ROAD,ELEVATION (FT),IMAGE,FILE NAME,COMMENTS,DATE CAPTURED,GEOMETRY,LATITUDE,LONGITUDE
10,7848,5491-22235,61,17,Strand Dr,033904241401591010,6,0.144,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,59.465,https://s3.amazonaws.com/5491la13-locals/12a/1735/ROW/139B11FH300/000000000192/000000144106.jpg,39B11FH3,,20130911,POINT (-91.09033644776 30.412989289574),30.41298381,-91.09033054
11,27292,85006-23884,61,17,Simms St,033904111203691010,6,0.056,Wood,PASS - No visible issue with Utility Pole.,Unknown,Right,103.854,https://ivision.fugro.com/LouisianaLocals13_Video/1731/ROW/143K0TBR400/000000000027/000000072085.jpg,43K0TBR4,BLOCKED,20140320,POINT (-91.181741797509 30.522403299256),30.5223978,-91.18173586
12,5992,5491-18816,61,17,Percival Ave,033903554500491010,5,0.125,Concrete,PASS - No visible issue with Utility Pole.,Yes,Right,41.929,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13AI0PTP500/000000000089/000000172090.jpg,3AI0PTP5,,20131018,POINT (-91.044773397046 30.426285773176),30.42628029,-91.0447675
13,14441,5491-20210,61,17,Rhapsody Dr,033903800701591010,5,0.218,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,47.227,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13BU14T7100/000000000194/000000272207.jpg,3BU14T71,,20131130,POINT (-91.071978303761 30.434680904536),30.43467542,-91.0719724
14,38360,85006-22580,61,17,Shelley St,033904074003691030,6,0.467,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,52.401,https://ivision.fugro.com/LouisianaLocals13_Video/1766/ROW/143K0TGSJ00/000000000081/000000644098.jpg,43K0TGSJ,,20140320,POINT (-91.148076307396 30.492046783937),30.49204129,-91.14807037999996
15,33842,85006-21807,61,17,Queens Dr,033903695801591010,5,0.076,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,68.785,https://ivision.fugro.com/LouisianaLocals13_Video/1730/ROW/143I1BA2J00/000000000014/000000072206.jpg,43I1BA2J,,20140318,POINT (-91.16322083389 30.552333056431),30.55232755,-91.1632149
16,36938,85006-21583,61,17,Pocasset St,033903626503691010,6,0.113,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,66.023,https://ivision.fugro.com/LouisianaLocals13_Video/1766/ROW/143K1CGRM00/000000000055/000000152109.jpg,43K1CGRM,,20140320,POINT (-91.163424971019 30.483521371564),30.48351588,-91.16341903999997
17,40255,85006-20867,61,17,Maple Dr,033902687701591010,5,0.41,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,52.893,https://ivision.fugro.com/LouisianaLocals13_Video/1766/ROW/143J0PGZP00/000000000152/000000456068.jpg,43J0PGZP,,20140319,POINT (-91.152397008566 30.493245954425),30.49324046,-91.15239108
18,39096,5491-31574,61,17,Myrtle St,033902924803691030,5,0.684,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,87.312,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/143J18TQ500/000000000110/000000732036.jpg,43J18TQ5,,20140319,POINT (-91.161633205509 30.585361643242),30.58535613,-91.16162727
19,36469,85006-21467,61,17,Martin Ave,033902715900491010,5,0.267,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,59.543,https://ivision.fugro.com/LouisianaLocals13_Video/1766/ROW/143E0YGEQ00/000000000039/000000260237.jpg,43E0YGEQ,,20140314,POINT (-91.143914095398 30.469181568999),30.46917608,-91.14390817
20,39442,5491-28738,61,17,Buchanan St,033900717403691020,5,0.045,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,83.736,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/143K0QTZC00/000000000036/000000096076.jpg,43K0QTZC,,20140320,POINT (-91.166508906433 30.583251033027),30.58324552,-91.16650297
21,35583,85006-12074,61,17,Spanish Town Rd,033904164702991010,5,0.786,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,41.978,https://ivision.fugro.com/LouisianaLocals13_Video/1766/ROW/143M10GRM00/000000000196/000000836064.jpg,43M10GRM,,20140322,POINT (-91.175322572439 30.454982955069),30.45497747,-91.17531664
22,18386,5491-6991,61,17,Foster Rd,033901609702991010,5,0.53,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,68.926,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/142H17TRH00/000000000015/000000580127.jpg,42H17TRH,,20140217,POINT (-91.110386669072 30.536756655052),30.53675115,-91.11038075
23,1643,5491-8216,61,17,Floyd Dr,033901576001591010,5,0.232,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,45.367,https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137O0XEER00/000000000050/000000284100.jpg,37O0XEER,,20130724,POINT (-91.155291395583 30.407680296024),30.40767482,-91.15528547
24,5016,5491-3685,61,17,Congress Blvd,033901049100591010,5,0.982,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,30.41,https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/138111EZ700/000000000008/000000976025.jpg,38111EZ7,,20130801,POINT (-91.136479780137 30.413978917957),30.41397344,-91.13647386
25,34302,85006-23980,61,17,Veterans Memorial Blvd,033904505800591010,5,0.875,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,72.548,https://ivision.fugro.com/LouisianaLocals13_Video/1731/ROW/143H18BXI00/000000000087/000000928173.jpg,43H18BXI,,20140317,POINT (-91.16118304271 30.533976772495),30.53397127,-91.16117711
26,17402,5491-7141,61,17,Elizabeth Dr,033901434601591010,5,0.507,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,55.701,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13BT0PTAU00/000000000017/000000588061.jpg,3BT0PTAU,,20131129,POINT (-91.075767255396 30.444204916006),30.44419943,-91.07576135
27,34193,85006-20148,61,17,Dublin St,033901354803691010,6,0.005,Wood,PASS - No visible issue with Utility Pole.,Unknown,Right,64.097,https://ivision.fugro.com/LouisianaLocals13_Video/1766/ROW/143D11GTI00/000000000045/000000108056.jpg,43D11GTI,BLOCKED,20140313,POINT (-91.152464989417 30.5079494874),30.50794399,-91.15245906
28,12298,5491-17730,61,17,Oakmount Dr,033903011701591010,6,0.109,Concrete,PASS - No visible issue with Utility Pole.,Yes,Right,34.517,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13AF15T7600/000000000172/000000152197.jpg,3AF15T76,,20131015,POINT (-91.029261530361 30.381239494561),30.38123402,-91.02925564
29,42132,5491-29033,61,17,Public Drive,033900000100191315,5,0.056,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,88.585,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/143J16TQC00/000000000026/000000052110.jpg,43J16TQC,,20140319,POINT (-91.160765514899 30.592035735121),30.59203022,-91.16075958
30,9957,5491-15878,61,17,Meadowbrook Ave,033902787600491010,6,0.095,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,27.184,https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137T11EA400/000000000012/000000084135.jpg,37T11EA4,,20130729,POINT (-91.06935170071 30.368790650092),30.36878518,-91.0693458
31,27479,85006-12861,61,17,W Parker Blvd,033403504100591010,5,0.096,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,27.775,https://ivision.fugro.com/LouisianaLocals13_Video/1735/ROW/143E14FEZ00/000000000050/000000144020.jpg,43E14FEZ,,20140314,POINT (-91.175347641054 30.402769344481),30.40276387,-91.17534171
32,10204,5491-12520,61,17,King Bradford Dr,033902337901591010,6,0.116,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,43.746,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13B40STUG00/000000000061/000000188105.jpg,3B40STUG,,20131104,POINT (-91.008925876947 30.422169343504),30.42216386,-91.00891999
33,42078,5491-31109,61,17,Tristian Ave,033904430400491020,5,0.182,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,84.064,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/143I0RTJV00/000000000054/000000180001.jpg,43I0RTJV,,20140318,POINT (-91.144041470861 30.598497377234),30.59849186,-91.14403554
34,34945,85006-16533,61,17,3rd St,033900194503691010,5,0.315,Concrete,PASS - No visible issue with Utility Pole.,Yes,Right,55.357,https://ivision.fugro.com/LouisianaLocals13_Video/1766/ForwardRight/143C13GHD20/000000000149/000000412023.jpg,43C13GHD,,20140312,POINT (-91.188315006241 30.451748074346),30.45174259,-91.18830907
35,5277,5491-16949,61,17,Nelson Dr,033902947401591010,5,0.086,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,46.873,https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137L0QEKT00/000000000053/000000140163.jpg,37L0QEKT,,20130721,POINT (-91.145227562423 30.395197693841),30.39519222,-91.14522164
36,30698,85006-12266,61,17,Myrtle St,033902924803691010,6,0.27,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,53.139,https://ivision.fugro.com/LouisianaLocals13_Video/1735/ROW/143I0MFI100/000000000018/000000504160.jpg,43I0MFI1,,20140318,POINT (-91.181804613576 30.438285551675),30.43828007,-91.18179868
37,26064,5491-18222,61,17,Oakleaf Dr,033903010401591010,5,0.032,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,58.841,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/14210TT9800/000000000131/000000024006.jpg,4210TT98,,20140201,POINT (-91.114374118067 30.491993545294),30.49198805,-91.1143682
38,18531,5491-12482,61,17,Juno Dr,033902290701591010,6,0.125,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,76.374,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/142K0XTQ300/000000000055/000000204100.jpg,42K0XTQ3,,20140220,POINT (-91.120419964212 30.586091165392),30.58608565,-91.12041404
39,5924,5491-12019,61,17,Kimbro Dr,033902336001591010,6,0.551,Wood,FAIL - Other (use the Comment field to describe).,Yes,Right,42.076,https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/138A1DE3J00/000000000114/000000224085.jpg,38A1DE3J,LIGHT DAMAGED,20130810,POINT (-91.122955145195 30.371799719726),30.37179425,-91.12294923
40,32784,85006-16707,61,17,Adams Ave,033900231000491050,6,0.066,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,55.665,https://ivision.fugro.com/LouisianaLocals13_Video/1766/ROW/143E10GOL00/000000000093/000000156140.jpg,43E10GOL,,20140314,POINT (-91.146645535386 30.469035489395),30.46903,-91.14663960999998
41,773,5491-25021,61,17,Spring Pointe Dr,033904177101591010,6,0.042,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,20.492,https://s3.amazonaws.com/5491la13-locals/12a/1734/ForwardRight/13790REN720/000000000058/000000032033.jpg,3790REN7,,20130709,POINT (-91.115111111581 30.340425442635),30.34041998,-91.1151052
42,5338,5491-6534,61,17,Dubois Dr,033901355001591010,5,0.354,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,45.708,https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137L0PEYV00/000000000098/000000276224.jpg,37L0PEYV,,20130721,POINT (-91.151784003727 30.396901883349),30.39689641,-91.15177808
43,12314,5491-6582,61,17,Dvwy,0339000001001910F0,6,0.194,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,39.97,https://s3.amazonaws.com/5491la13-locals/12a/1749/ForwardRight/13AT0UTIT20/000000000010/000000216057.jpg,3AT0UTIT,,20131029,POINT (-91.02595581108 30.410921910907),30.41091643,-91.02594992
44,33273,85006-22429,61,17,Swan Ave,033904274600491010,5,0.533,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,74.071,https://ivision.fugro.com/LouisianaLocals13_Video/1731/ROW/143I1BBGE00/000000000049/000000580193.jpg,43I1BBGE,,20140318,POINT (-91.181863407488 30.523639459956),30.52363396,-91.18185747
45,42110,5491-31029,61,17,Pine St,033903594503691010,5,0.025,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,104.386,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/143I14TQ300/000000000064/000000028167.jpg,43I14TQ3,,20140318,POINT (-91.157904026606 30.639294524936),30.639289,-91.15789809
46,12494,5491-6214,61,17,Doral Dr,033901324501591010,6,0.104,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,47.867,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13AP14T0A00/000000000022/000000180124.jpg,3AP14T0A,,20131025,POINT (-91.03733013363 30.408426590205),30.40842111,-91.03732424
47,33850,85006-20219,61,17,Gore Rd,033901766702991010,6,0.489,Wood,PASS - No visible issue with Utility Pole.,Unknown,Right,75.669,https://ivision.fugro.com/LouisianaLocals13_Video/1730/ROW/143I15AK200/000000000009/000000768038.jpg,43I15AK2,BLOCKED,20140318,POINT (-91.166866635332 30.551523116341),30.55151761,-91.1668607
48,2682,5491-10654,61,17,Highland Rd,033901950402991010,6,1.035,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,30.413,https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137A0MEJ100/000008000093/000008144051.jpg,37A0MEJ1,,20130710,POINT (-91.1793938422 30.424494748872),30.42448927,-91.17938791
49,39500,5491-30597,61,17,Mc Clure St,033902750103691010,6,0.165,Wood,"FAIL - Leaning, laying on the ground, twisted or flipped.",Yes,Right,74.097,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/143D0TTMH00/000000000131/000000060082.jpg,43D0TTMH,,20140313,POINT (-91.204814866074 30.571460459287),30.57145495,-91.20480892
