,the_geom,bldgsqft,blklot,block_num,cie,from_st,landuse,landval,lot_num,mapblklot,med,mips,mixed_use,pdr,restype,resunits,retail,st_area_sh,st_length_,st_type,street,strucval,to_st,total_uses,usetype,visitor,yrbuilt
11,"MULTIPOLYGON (((-122.41944474352738 37.80497793211123, -122.41951965700471 37.805351472079685, -122.41945058749538 37.8053602862883, -122.41938295915999 37.80536891658527, -122.41930803735717 37.80499533612308, -122.41944474352738 37.80497793211123)))",3026,0027009,27,0,750,RESIDENT,1153242,009,0027009,0,1853,RESIDENT,0,FLATS,2,0,5509.34016956,355.466668606,ST,BAY,768826,,1853,F,0,1907
12,"MULTIPOLYGON (((-122.41958144849818 37.80496052795942, -122.41965635594387 37.80533402829801, -122.41951965700471 37.805351472079685, -122.41944474352738 37.80497793211123, -122.41958144849818 37.80496052795942)))",3296,0027010,27,0,756,RESIDENT,437549,010,0027010,0,0,RESIDENT,0,APTS,4,0,5508.74796612,355.437159666,ST,BAY,525061,,0,A,0,1900
13,"MULTIPOLYGON (((-122.42012104018328 37.80510087657928, -122.42013651773397 37.805177134821456, -122.41982390860015 37.805217028042875, -122.4198086091034 37.805140747040184, -122.41995954734101 37.80512148586913, -122.42012104018328 37.80510087657928)))",3016,0027011B,27,0,2620,RESIDENT,1324685,011B,0027011B,0,0,RESIDENT,0,FLATS,2,0,2571.99960067,239.147755332,ST,HYDE,883123,,0,F,0,1922
14,"MULTIPOLYGON (((-122.42012104018328 37.80510087657928, -122.41995954734101 37.80512148586913, -122.41991865553794 37.804917596171386, -122.42007967824337 37.804897095519785, -122.42012104018328 37.80510087657928)))",3625,0027011C,27,0,792,RESIDENT,1673056,011C,0027011C,0,5640,RESIDENT,0,APTS,3,0,3546.75545826,244.703519914,ST,BAY,717020,,5640,A,0,1913
15,"MULTIPOLYGON (((-122.42013651773397 37.805177134821456, -122.42015543564337 37.80527033842021, -122.4198426065165 37.80531026050006, -122.41982390860015 37.805217028042875, -122.42013651773397 37.805177134821456)))",3555,0027012,27,0,2626,RESIDENT,715703,012,0027012,0,0,RESIDENT,0,SINGLE,1,0,3145.54988676,251.763830559,ST,HYDE,385663,,0,D,0,1900
16,"MULTIPOLYGON (((-122.42016919365365 37.80533812351631, -122.42018295280111 37.80540590769062, -122.4198839259142 37.805444067676476, -122.41986683770637 37.80544624921808, -122.41985307995206 37.805378464088065, -122.42016919365365 37.80533812351631)))",2781,0027016A,27,0,2640,RESIDENT,1483315,016A,0027016A,0,0,RESIDENT,0,APTS,3,0,2312.48993605,235.000402186,ST,HYDE,700246,,0,A,0,1904
17,"MULTIPOLYGON (((-122.42018295280111 37.80540590769062, -122.42019478434463 37.80546420283947, -122.41989575836445 37.80550236283634, -122.4198839259142 37.805444067676476, -122.42018295280111 37.80540590769062)))",2716,0027017,27,0,2644,RESIDENT,420999,017,0027017,0,0,RESIDENT,0,FLATS,2,0,1881.25660151,218.000017831,ST,HYDE,385908,,0,F,0,1900
18,"MULTIPOLYGON (((-122.42019478434463 37.80546420283947, -122.42020689176603 37.805523853424475, -122.41990786555186 37.80556201345169, -122.41989575836445 37.80550236283634, -122.42019478434463 37.80546420283947)))",3097,0027018,27,0,2648,RESIDENT,291998,018,0027018,0,0,RESIDENT,0,FLATS,2,0,1924.99570925,218.999526687,ST,HYDE,285325,,0,F,0,1900
19,"MULTIPOLYGON (((-122.42020689176603 37.805523853424475, -122.42021899920684 37.80558350400762, -122.41991997275866 37.805621664065114, -122.41990786555186 37.80556201345169, -122.42020689176603 37.805523853424475)))",2540,0027019,27,0,2652,RESIDENT,937173,019,0027019,0,0,RESIDENT,0,FLATS,2,0,1924.99570925,218.999526687,ST,HYDE,813247,,0,F,0,1900
20,"MULTIPOLYGON (((-122.42021899920684 37.80558350400762, -122.42023110666715 37.80564315458887, -122.41993207998492 37.80568131467662, -122.41991997275866 37.805621664065114, -122.42021899920684 37.80558350400762)))",2830,0027020,27,0,2666,MIPS,498870,020,0027020,0,10109,MIPS,0,,0,0,1924.99570925,218.999526687,ST,HYDE,337917,,10109,TIC,0,1900
21,"MULTIPOLYGON (((-122.41986683770637 37.80544624921808, -122.4198839259142 37.805444067676476, -122.41989575836445 37.80550236283634, -122.41990786555186 37.80556201345169, -122.41991997275866 37.805621664065114, -122.41993207998492 37.80568131467662, -122.41984664307148 37.805692216915325, -122.41979848928997 37.80545497078161, -122.41986683770637 37.80544624921808)))",1443,0027022,27,0,769,RESIDENT,475564,022,0027022,0,0,RESIDENT,0,FLATS,2,0,2187.50980412,225.000224441,ST,NORTH POINT,301185,,0,F,0,1900
22,"MULTIPOLYGON (((-122.41979848928997 37.80545497078161, -122.41984664307148 37.805692216915325, -122.41976120729163 37.80570311997453, -122.41971305377598 37.80546587380643, -122.41979848928997 37.80545497078161)))",1977,0027023,27,0,767,RESIDENT,491165,023,0027023,0,0,RESIDENT,0,SINGLE,1,0,2187.47917779,224.99929512,ST,NORTH POINT,498180,,0,D,0,1906
23,"MULTIPOLYGON (((-122.41929752366076 37.80537981840844, -122.41934806378634 37.80537336872608, -122.4194237319967 37.80574618538701, -122.41929130488636 37.805763083524425, -122.41925636062122 37.805590910548084, -122.41924590450799 37.80553939438368, -122.41922939565688 37.805458052866236, -122.41921563848237 37.80539026766202, -122.41929752366076 37.80537981840844)))",6143,0027025A,27,0,741,RESIDENT,514766,025A,0027025A,0,2129,RESIDENT,0,APTS,3,0,5328.11699134,352.499704996,ST,NORTH POINT,257375,,2129,F5,0,1964
24,"MULTIPOLYGON (((-122.41929130488636 37.805763083524425, -122.4192058689434 37.80577398618119, -122.41917092487125 37.80560181317989, -122.41925636062122 37.805590910548084, -122.41929130488636 37.805763083524425)))",3010,0027026,27,0,731,RESIDENT,1451754,026,0027026,0,3524,RESIDENT,0,FLATS,2,0,1587.48361109,176.999281105,ST,NORTH POINT,844869,,3524,F,0,1941
25,"MULTIPOLYGON (((-122.41908879015294 37.805628983888035, -122.41907503193971 37.80556119868806, -122.41924590450799 37.80553939438368, -122.41925636062122 37.805590910548084, -122.41917092487125 37.80560181317989, -122.4192058689434 37.80577398618119, -122.41912043183999 37.805784888794555, -122.41910254725589 37.80569676910402, -122.41908879015294 37.805628983888035)))",3388,0027027,27,0,727,RESIDENT,201551,027,0027027,0,0,RESIDENT,0,FLATS,3,0,2537.50358158,264.999645096,ST,NORTH POINT,255073,,0,F,0,1955
26,"MULTIPOLYGON (((-122.4198426065165 37.80531026050006, -122.42015543564337 37.80527033842021, -122.42016919365365 37.80533812351631, -122.41985307995206 37.805378464088065, -122.41986683770637 37.80544624921808, -122.41979848928997 37.80545497078161, -122.41971305377598 37.80546587380643, -122.41968553743071 37.80533030352705, -122.4198426065165 37.80531026050006)))",6919,0027030,27,0,2632A,RESIDENT,271267,030,0027030,0,2218,RESIDENT,0,APTS,3,0,4562.49198409,375.000141577,ST,HYDE,953872,,2218,F5,0,1914
27,"MULTIPOLYGON (((-122.41945058749538 37.8053602862883, -122.41952625618389 37.80573310198354, -122.4194237319967 37.80574618538701, -122.41934806378634 37.80537336872608, -122.41938295915999 37.80536891658527, -122.41945058749538 37.8053602862883)))",697,0027032,27,0,747,RESIDENT,562156,032,0027032,0,0,RESIDENT,0,CONDO,2,0,4125.00529835,335.000069771,ST,NORTH POINT,562156,,0,Z,0,1978
28,"MULTIPOLYGON (((-122.41922259710654 37.80500621364411, -122.419270326285 37.80524420950707, -122.41918317621483 37.80525530407452, -122.41913544730859 37.80501730817674, -122.41922259710654 37.80500621364411)))",2435,0027034,27,0,736,RESIDENT,1093525,034,0027034,0,0,RESIDENT,0,FLATS,2,0,2237.62453079,226.500056767,ST,BAY,498651,,0,F,0,1913
29,"MULTIPOLYGON (((-122.419270326285 37.80524420950707, -122.41929752366076 37.80537981840844, -122.41921563848237 37.80539026766202, -122.41921037751696 37.805390939064424, -122.41918317621483 37.80525530407452, -122.419270326285 37.80524420950707)))",1400,0027035,27,0,734,RESIDENT,528109,035,0027035,0,0,RESIDENT,0,FLATS,2,0,1275.1192632,151.009136288,ST,BAY,514461,,0,F,0,1900
30,"MULTIPOLYGON (((-122.41886203574943 37.80505211530621, -122.4189179443713 37.80533089864949, -122.41882396476332 37.80534289173168, -122.41876805122203 37.80506408049255, -122.41886203574943 37.80505211530621)))",1342,0027037,27,0,710,RESIDENT,586500,037,0027036,0,0,RESIDENT,0,CONDO,3,0,2826.81359371,260.587109493,ST,BAY,586500,,0,Z,0,1913
31,"MULTIPOLYGON (((-122.41584716156501 37.80543823601902, -122.41592486835795 37.80581079801834, -122.41660324822219 37.80572544979027, -122.41667810931023 37.80609445093699, -122.41553120082364 37.80623630017967, -122.41537708573019 37.80549737477986, -122.41584716156501 37.80543823601902)))",198544,0029007,29,0,2501,VISITOR,60520063,007,0029007,0,2184,VISITOR-RETAIL/,0,,0,10467,64436.5470277,1217.59413994,ST,TAYLOR,41084351,,27633,H1,14982,1990
32,"MULTIPOLYGON (((-122.41965635594387 37.80533402829801, -122.41968553743071 37.80533030352705, -122.41971305377598 37.80546587380643, -122.41976120729163 37.80570311997453, -122.41952625618389 37.80573310198354, -122.41945058749538 37.8053602862883, -122.41951965700471 37.805351472079685, -122.41965635594387 37.80533402829801)))",1220,0027041,27,0,757,RESIDENT,324177,041,0027039,0,0,RESIDENT,0,CONDO,9,0,9453.13916518,412.50026556,ST,NORTH POINT,317421,,0,Z,0,1989
33,"MULTIPOLYGON (((-122.41991865553794 37.804917596171386, -122.41995954734101 37.80512148586913, -122.4198086091034 37.805140747040184, -122.41976770977384 37.804936814161735, -122.41991865553794 37.804917596171386)))",2076,0027048,27,0,782,RESIDENT,241113,048,0027048,0,2218,RESIDENT,0,CONDO,3,0,3320.60128711,238.69992198,ST,BAY,321024,,2218,F,0,1926
34,"MULTIPOLYGON (((-122.41968553743071 37.80533030352705, -122.41965635594387 37.80533402829801, -122.41958144849818 37.80496052795942, -122.41967372437969 37.804948779187605, -122.41973210440443 37.80523987038281, -122.41982608373534 37.805227876576815, -122.4198426064932 37.805310259599196, -122.41968553743071 37.80533030352705)))",1502,0027061,27,0,762,RESIDENT,576497,061,0027061,0,0,RESIDENT,0,CONDO,6,0,4553.3687173,384.412809469,ST,BAY,487053,,0,Z,0,1907
35,"MULTIPOLYGON (((-122.41982390860015 37.805217028042875, -122.41982608373534 37.805227876576815, -122.41973210440443 37.80523987038281, -122.41967372437969 37.804948779187605, -122.41976770977384 37.804936814161735, -122.4198086091034 37.805140747040184, -122.41982390860015 37.805217028042875)))",1792,0027065,27,0,770,RESIDENT,1172454,065,0027065,0,0,RESIDENT,0,CONDO,3,0,2951.33646482,269.642703135,ST,BAY,781636,,0,Z,0,1907
36,"MULTIPOLYGON (((-122.41801203981198 37.80537516247654, -122.41777211426083 37.80540598702856, -122.41751566535991 37.80522598706789, -122.41797040998587 37.80516756399706, -122.41801203981198 37.80537516247654)))",9047,0028003,28,0,1201,VISITOR,2450134,003,0028003,0,0,VISITOR,0,,0,0,7780.74845226,378.767933944,AVE,COLUMBUS,1286316,,7674,M,7674,1955
37,"MULTIPOLYGON (((-122.41805583215032 37.80515658855026, -122.41809746223242 37.80536418790081, -122.41801203981198 37.80537516247654, -122.41797040998587 37.80516756399706, -122.41805583215032 37.80515658855026)))",3570,0028006A,28,0,662,RESIDENT,61662,006A,0028006A,0,0,RESIDENT,0,APTS,3,0,1913.57383516,203.08534291,ST,BAY,115270,,0,F,0,1928
38,"MULTIPOLYGON (((-122.41814125317741 37.80514561396082, -122.41818288346889 37.805353212380844, -122.41809746223242 37.80536418790081, -122.41805583215032 37.80515658855026, -122.41814125317741 37.80514561396082)))",3316,0028006B,28,0,668,RESIDENT,833338,006B,0028006B,0,0,RESIDENT,0,APTS,3,0,1913.54895916,203.084693168,ST,BAY,404547,,0,F,0,1929
39,"MULTIPOLYGON (((-122.41818288346889 37.805353212380844, -122.41814125317741 37.80514561396082, -122.41822667417928 37.80513463930951, -122.41824435157856 37.805222786825645, -122.41825794932484 37.805290591846536, -122.41827426575419 37.805371958243505, -122.41818884448635 37.80538293292876, -122.41818288346889 37.805353212380844)))",3375,0028006C,28,0,674,RESIDENT,630222,006C,0028006C,0,0,RESIDENT,0,FLATS,2,0,2187.51506028,225.000550129,ST,BAY,580651,,0,F,0,1928
40,"MULTIPOLYGON (((-122.41832576404833 37.8051219083952, -122.41834344040352 37.805210055014285, -122.41824435157856 37.805222786825645, -122.41822667417928 37.80513463930951, -122.41832576404833 37.8051219083952)))",1133,0028006D,28,0,680,RESIDENT,30224,006D,0028006D,0,0,RESIDENT,0,SINGLE,1,0,942.508067836,123.000746732,ST,BAY,37133,,0,D,0,1940
41,"MULTIPOLYGON (((-122.41848098659607 37.80534539843191, -122.41849458346879 37.80541320434327, -122.41820244107589 37.80545073797248, -122.41818884448635 37.80538293292876, -122.41827426575419 37.805371958243505, -122.41848098659607 37.80534539843191)))",2786,0028006E,28,0,2624,RESIDENT,562631,006E,0028006E,0,0,RESIDENT,0,FLATS,2,0,2137.50133587,221.000578982,ST,LEAVENWORTH,572398,,0,F,0,1929
42,"MULTIPOLYGON (((-122.41849458346879 37.80541320434327, -122.41850818147847 37.80548100933285, -122.41821603884897 37.80551854389614, -122.41820244107589 37.80545073797248, -122.41849458346879 37.80541320434327)))",3286,0028006F,28,0,2630,RESIDENT,306276,006F,0028006F,0,0,RESIDENT,0,APTS,3,0,2137.50806926,221.000668782,ST,LEAVENWORTH,520685,,0,F,0,1929
43,"MULTIPOLYGON (((-122.418464669946 37.80526403206313, -122.41848098659607 37.80534539843191, -122.41827426575419 37.805371958243505, -122.41825794932484 37.805290591846536, -122.418464669946 37.80526403206313)))",2900,0028006G,28,0,2618,RESIDENT,448134,006G,0028006G,0,2184,RESIDENT,0,FLATS,2,0,1815.00529068,181.000704468,ST,LEAVENWORTH,313691,,2184,F,0,1937
44,"MULTIPOLYGON (((-122.41845107088042 37.80519622708422, -122.418464669946 37.80526403206313, -122.41825794932484 37.805290591846536, -122.41824435157856 37.805222786825645, -122.41834344040352 37.805210055014285, -122.41845107088042 37.80519622708422)))",2369,0028006H,28,0,2610,RESIDENT,1113581,006H,0028006H,0,0,RESIDENT,0,FLATS,2,0,1512.50478158,171.000250037,ST,LEAVENWORTH,742386,,0,F,0,1939
45,"MULTIPOLYGON (((-122.41910886341437 37.80196257607619, -122.41905184657482 37.80168751379597, -122.41906312940624 37.80168610003463, -122.41907296004057 37.80173352500012, -122.41918202293907 37.801719859550914, -122.41922920951069 37.80194749681731, -122.41910886341437 37.80196257607619)))",0,0071083,71,0,,MISSING DATA,0,083,0071083,0,0,MISSING DATA,0,,0,0,3014.62307602,273.406010565,,,0,,0,,0,0
46,"MULTIPOLYGON (((-122.41832576404833 37.8051219083952, -122.41843339437746 37.805108079580194, -122.41845107088042 37.80519622708422, -122.41834344040352 37.805210055014285, -122.41832576404833 37.8051219083952)))",2184,0028006I,28,0,690,RESIDENT,564776,006I,0028006I,0,0,RESIDENT,0,SINGLE,1,0,1023.74678414,128.000048065,ST,BAY,635934,,0,D,0,1940
47,"MULTIPOLYGON (((-122.4185244982239 37.8055623756923, -122.41821697910201 37.80560188621136, -122.41820066268491 37.805520519809996, -122.41821603884897 37.80551854389614, -122.41850818147847 37.80548100933285, -122.4185244982239 37.8055623756923)))",5759,0028007,28,0,2640,RESIDENT,1598867,007,0028007,0,0,RESIDENT,0,APTS,6,0,2700.01061397,240.000768329,ST,LEAVENWORTH,639770,,0,A5,0,1958
48,"MULTIPOLYGON (((-122.41809746223242 37.80536418790081, -122.41818288346889 37.805353212380844, -122.41818884448635 37.80538293292876, -122.41820244107589 37.80545073797248, -122.41821603884897 37.80551854389614, -122.41820066268491 37.805520519809996, -122.41821697910201 37.80560188621136, -122.4185244982239 37.8055623756923, -122.418583408828 37.80585613352346, -122.41843939995046 37.80587434472399, -122.41777211426083 37.80540598702856, -122.41801203981198 37.80537516247654, -122.41809746223242 37.80536418790081)))",19656,0028014,28,0,1255,MIXRES,3615293,014,0028014,3232,3886,RES-MIPS-MED,0,APTS,20,0,16771.3054928,713.50332495,AVE,COLUMBUS,4185000,,7118,A15,0,1954
49,"MULTIPOLYGON (((-122.41716240354157 37.80527137098398, -122.41774796305322 37.80568237321484, -122.41808527260143 37.80591912540321, -122.4178032332325 37.80595478949844, -122.41717341886122 37.806034427312554, -122.41702226341049 37.80528937518661, -122.41716240354157 37.80527137098398)))",180570,0028016,28,0,685,VISITOR,12056676,016,0028016,0,0,VISITOR,0,,0,0,42299.1271947,938.530298179,ST,NORTH POINT,36994733,,0,H1,0,1984
50,"MULTIPOLYGON (((-122.41667810931023 37.80609445093699, -122.41660324822219 37.80572544979027, -122.41592486835795 37.80581079801834, -122.41584716156501 37.80543823601902, -122.41679085135986 37.805319509614904, -122.41694145932142 37.80606187807479, -122.41667810931023 37.80609445093699)))",135560,0029003,29,0,590,VISITOR,22511038,003,0029003,0,0,,0,,0,0,48400.7498642,1098.86389629,ST,BAY,33766559,,0,H2,0,1974
51,"MULTIPOLYGON (((-122.41667810931023 37.80609445093699, -122.41660324822219 37.80572544979027, -122.41592486835795 37.80581079801834, -122.41584716156501 37.80543823601902, -122.41679085135986 37.805319509614904, -122.41694145932142 37.80606187807479, -122.41667810931023 37.80609445093699)))",0,0029010,29,0,2620,MISSING DATA,0,010,0029008,0,0,MISSING DATA,0,,0,0,48400.7498642,1098.86389629,ST,JONES,0,,14233,,14233,0
52,"MULTIPOLYGON (((-122.41416452365196 37.8058877776529, -122.41425004075474 37.80587726126074, -122.414277963439 37.80601280170805, -122.41435474121077 37.80638547519138, -122.4138849807313 37.806446148336654, -122.4137796991934 37.80593509925273, -122.4139079744691 37.80591932642037, -122.41407900763717 37.80589829306377, -122.41416452365196 37.8058877776529)))",135000,0030001,30,0,2445,VISITOR,72882360,001,0030001,0,0,VISITOR,0,,0,0,25854.2457121,651.067036867,ST,MASON,48588240,,143340,H,143340,1990
53,"MULTIPOLYGON (((-122.4139079744691 37.80591932642037, -122.4137796991934 37.80593509925273, -122.41373078519864 37.80569766503494, -122.4138590600281 37.8056818904534, -122.4139079744691 37.80591932642037)))",2981,0030003,30,0,2550,RETAIL/ENT,1893956,003,0030003,0,0,RETAIL/ENT,0,,0,0,3285.11237801,250.208481344,ST,TAYLOR,0,,0,C,0,1906
54,"MULTIPOLYGON (((-122.41403009270955 37.80566085896846, -122.41407900763717 37.80589829306377, -122.4139079744691 37.80591932642037, -122.4138590600281 37.8056818904534, -122.41403009270955 37.80566085896846)))",0,0030004,30,0,416,RESIDENT,892204,004,0030004,0,0,RESIDENT,0,APTS,9,0,4380.14305636,275.209192499,ST,BAY,2458700,,0,A5,0,0
55,"MULTIPOLYGON (((-122.41420112527086 37.80563982633461, -122.41425004075474 37.80587726126074, -122.41416452365196 37.8058877776529, -122.41411560957003 37.80565034267332, -122.41420112527086 37.80563982633461)))",3087,0030007,30,0,450,RETAIL/ENT,91938,007,0030007,0,0,RETAIL/ENT,0,,0,4898,2190.07098304,225.20748594,ST,BAY,79964,,4898,O,0,1959
56,"MULTIPOLYGON (((-122.41430511389868 37.80562703823512, -122.41438182395873 37.805999386584055, -122.414277963439 37.80601280170805, -122.41425004075474 37.80587726126074, -122.41420112527086 37.80563982633461, -122.41430511389868 37.80562703823512)))",0,0030008,30,0,434,RETAIL/ENT,1377663,008,0030008,0,0,RETAIL/ENT,0,,0,0,4179.89780877,335.792959648,ST,BAY,741813,,0,C1,0,0
57,"MULTIPOLYGON (((-122.41438720898537 37.805616943175146, -122.41446381808676 37.805988796549414, -122.41438182395873 37.805999386584055, -122.41430511389868 37.80562703823512, -122.41438720898537 37.805616943175146)))",0,0030009,30,0,2552,RETAIL/ENT,1071514,009,0030009,0,0,RETAIL/ENT,0,,0,0,3294.91317455,322.578019092,ST,TAYLOR,576959,,0,C,0,0
58,"MULTIPOLYGON (((-122.41455140018064 37.80559675106369, -122.41462780624938 37.8059676154082, -122.41446381808676 37.805988796549414, -122.41438720898537 37.805616943175146, -122.41455140018064 37.80559675106369)))",0,0030010,30,0,2552,RETAIL/ENT,2219574,010,0030010,0,0,RETAIL/ENT,0,,0,0,6576.71936337,370.03161992,ST,TAYLOR,783024,,0,C,0,0
59,"MULTIPOLYGON (((-122.41462780624938 37.8059676154082, -122.41455140018064 37.80559675106369, -122.41479974019872 37.80556621103561, -122.41485558083578 37.80583725573449, -122.41487583738636 37.805935577936914, -122.41474772196791 37.80595212607347, -122.41462780624938 37.8059676154082)))",0,0030011,30,0,460,RETAIL/ENT,3214560,011,0030011,0,0,RETAIL/ENT,0,,0,0,9913.98534587,418.315123674,ST,BAY,1730911,,0,C,0,0
60,"MULTIPOLYGON (((-122.41487583738636 37.805935577936914, -122.41495261810226 37.806308251937295, -122.41482450203469 37.80632479925524, -122.41474772196791 37.80595212607347, -122.41487583738636 37.805935577936914)))",0,0030011A,30,0,2552,VACANT,2354985,011A,0030011A,0,0,VACANT,0,,0,16234,5156.24314077,350.000132994,ST,TAYLOR,1177486,,16234,VCI,0,0
61,"MULTIPOLYGON (((-122.41519534998923 37.805795471145935, -122.41529312550337 37.8062642696803, -122.41495261810226 37.806308251937295, -122.41487583738636 37.805935577936914, -122.41485558083578 37.80583725573449, -122.41519534998923 37.805795471145935)))",0,0030012,30,0,2594,RETAIL/ENT,3597246,012,0030012,0,0,RETAIL/ENT,0,,0,5063,17252.8151485,545.798257178,ST,TAYLOR,2349095,,5063,C,0,1986
62,"MULTIPOLYGON (((-122.41519534998923 37.805795471145935, -122.41485558083578 37.80583725573449, -122.41479974019872 37.80556621103561, -122.41513883785666 37.8055245095875, -122.41519534998923 37.805795471145935)))",1610,0030012A,30,0,2550,MIXED,1701692,012A,0030012A,0,5035,RETAIL/ENT-MIPS,0,,0,19840,9923.39608547,398.476544708,ST,TAYLOR,340336,,24875,S,0,1973
63,"MULTIPOLYGON (((-122.41462780624938 37.8059676154082, -122.41474772196791 37.80595212607347, -122.41482450203469 37.80632479925524, -122.41435474121077 37.80638547519138, -122.414277963439 37.80601280170805, -122.41438182395873 37.805999386584055, -122.41446381808676 37.805988796549414, -122.41462780624938 37.8059676154082)))",64159,0030013,30,0,2552,RETAIL/ENT,8419105,013,0030013,0,0,RETAIL/ENT,0,,0,0,18906.2696022,550.000433915,ST,TAYLOR,4533360,,0,C,0,1960
64,"MULTIPOLYGON (((-122.41411560957003 37.80565034267332, -122.41416452365196 37.8058877776529, -122.41407900763717 37.80589829306377, -122.41403009270955 37.80566085896846, -122.41411560957003 37.80565034267332)))",1243,0030014,30,0,420A,RESIDENT,510504,014,0030014,0,0,RESIDENT,0,CONDO,3,0,2190.06489064,225.207117531,ST,BAY,510504,,0,Z,0,2009
