,_id,certification_type,firm_name,owners,work_description,naics_codes,physical_address,mailing_address,phone_number,fax_number,email_address,website
10,229882,DBE,ABKaelin LLC,Ms. Alison Kaelin,Qality assrane aditing oatings onslting to transportation onstrtion and nlear indstries.,541330 541620 541690 541990,"5 Marshall Rd
Pittsburgh, PA 15214","5 Marshall Rd
Pittsburgh, PA 15214",412-841-7260,,abkaelin@comcast.net,http://www.abkaelin.com
11,229883,DBE,ALROWS LLC,ESTHER FRANKLIN,Appraisal servies real estate; Other Ativities Related to Real Estate; Title Abstrat and Settlement Offies,531320 531390 541191,"5 Bam Blvd #49
Pittsburgh, PA 15213","5 Bam Blvd #49
Pittsburgh, PA 15213",717-550-1182,800-377-2472,esther.franklin@alrows.com,https://www.alrows.com
12,229884,DBE,AMR Holdings LLC,Andrea Robinson,Manages assets and ats as a regional managing offie.,551114,"33 Etaw St
Pittsburgh, PA 15211","33 Etaw St
Pittsburgh, PA 15211",412-953-1139,,Andrea@arclscorp.com,
13,229885,DBE,ARCLS,Andrea Robinson,Provides onslting servies to small/medim/large bsinesses. Provides staffing onslting servies organizational strategy. Marketing Conslting servies. Advises management teams regarding onsolidation and firm wide poliies.,541611 541612 541613,"33 Etaw St
Pittsburgh, PA 15211","33 Etaw St
Pittsburgh, PA 15211",412-953-1139,,,
14,229886,DBE,ARK Transport LLC,Keya Lucas,Provides transportation of goods inlding bt not limited to dmp trk haling of aggregates stone dirt asphalt and salt.,484220 562119 562212,"93 Lafferty Avene
Pittsburgh, PA 15210","93 Lafferty Avene
Pittsburgh, PA 15210",412-956-4979,,ARKtransport93@gmail.com,www.arktransport93.com
15,229887,DBE,ATK Design Studios LLC,Teri Kidwell,Or kithen design onsltant team provides high level review servies to a fll A to Z pakage with onstrtion domentation. High level servies inlde General Consltation and Peer Review. A to Z servies inlde Shemati Design Design Development Constrtion Domentation Bid Doments and Constrtion Administration. Drawings will inlde MEP food servie eqipment data brohres and written speifiation (4). Doments sh as elevations and details with also be inlded in the onstrtion phases. In addition to design servies ATK will offer food servie eqipment seletions to assist in the most energy effiient and appropriate applianes for the food spae. Or team is well versed in mehanial eletrial and plmbing reqirements as well as speifying appropriate refrigeration and exhast ventilators. For better visalization we will provide 3D Skethps. The team's longevity in the foodservie design indstry has provided the team with bontifl knowledge in,236220 541410 541611,"6 Ohio River Blvd
Site 66
Sewickley, PA 15143","6 Ohio River Blvd
Site 66
Sewickley, PA 15143",888-289-9008,,teri@atkdesignstudios.com,http://atkdesignstudios.com/
16,229888,DBE,Abator Information Services Inc,Marian Neilson,Information tehnology staffing and spport servies firm.,518210 541511 541512 541519 541611 541618 561110 561320 561422 611420,"8 Dewey Street
Pittsburgh, PA 15218","8 Dewey Street
Pittsburgh, PA 15218",412-271-5922,412-271-5833,marian@abator.com,https://abator.com/
17,229889,DBE,Accomplishonline LLC,Jane Offutt,Creation sale  and distribtion of  Aomplish Reading (R) app for stdents grades 4-8.    The software holds a United States Patent.,611110 611710,"44 Mohian Drive
Pittsburgh, PA 15228","44 Mohian Drive
Pittsburgh, PA 15228",412-531-0284,412-930-1948,jane@accomplishonline.com,http://www.accomplishonline.com
18,229890,DBE,Ackenheil Engineers Inc.,Susan Snow,Engineering - Civil & Geotehnial CAD work Materials Testing - soil rok onrete and asphalt onstrtion inspetion,237310 541330 541380 541512,"Banksville Road
Pittsburgh, PA 15216","Banksville Road
Pittsburgh, PA 15216",412-531-7111,412-531-4334,sasnow@ackenheil.com,http://www.ackenheil.com
19,229891,DBE,Acuta Digital Inc.,Mr. Dominic Ebanks,Provides information tehnologies (IT) to small mid-sized bsinesses non-profit organizations and government entities.,513210 518210 541430 541511 541512 541519 541910,"7 River Avene
Site 43
Pittsburgh, PA 15212","7 River Avene
Site 43
Pittsburgh, PA 15212",866-965-3330,866-993-0005,debanks@acutadigital.com,http://www.AcutaDigital.com
20,229892,DBE,Ad Impressions LP,Jamie Capan,Promotional prodts distribtor.,425120,"Sharon Drive
Pittsburgh, PA 15221","Sharon Drive
Pittsburgh, PA 15221",412-422-2500,,jcapan@adimpressions.net,http://www.adimpressions.net
21,229893,DBE,Adams Petroleum Products Inc.,Amy Adams,Spplier of petrolem prodtsdiesel fels nleaded gasoline blk oil kerosene and fel storage tanks.,424720 457210,"6 Big Sewikley Creek Road
Sewickley, PA 15143","6 Big Sewikley Creek Road
Sewickley, PA 15143",412-734-9100,412-734-3349,amy.adams@adamspetro.com,http://www.adamspetro.com
22,229894,DBE,Advance Sourcing Concepts LLC,Judith Bernhard,Advane Soring Conepts is a fll servie Staffing Soltions Firm providing resores for Temporary Temp-to Hire and Diret Hire servies as well as Payroll Proessing On Site Reriters and Vendor Management Servies.  We speialize in Bsiness Medial some Tehnial staffing as well Government  Contrats and Military plaements.  Or Bsiness staffing overs  Administrative Aonting Cstomer  Servie Call Center and Hman Resore Speialists and additional ategories inlding some Tehnial plaement.  Or Medial Staffing Division plaes Nrse Pratitioners Hedis Nrses RN's LPN's and Medial Assistants as well as Researh Speialists Medial Billers Therapists Drg Conselors and Soial Workers.,561311,"3 MKnight East Drive
Site
Pittsburgh, PA 15237","3 MKnight East Drive
Site
Pittsburgh, PA 15237",412-415-5080,,jbernhard@ascpeople.com,http://www.ascpeople.com
23,229895,DBE,Advanced Integration Group INC.,Donna Chappel,Speialty trade ontrator involved with ivil engineering projets to perform installations of operational and ontrolsystems eletriel installations proess ontrols ontrol system design and integration servies provider of temporary and permanent employees in the field of administration IT graphi design engineering tehnial writers CAD operators and tehniians.,236220 237110 237990 334513 334515 335313 335314 335999 541330 541340 541511 541512 561320,"MCormik Road
Site A
McKees Rocks, PA 15136","MCormik Road
Site A
McKees Rocks, PA 15136",412-722-0065,412-722-0066,dchappel@aigcontrols.com,http://www.aigcontrols.com
24,229896,DBE,Advantus Engineers LLC,Alicia Avick,design energy analysis projet engineering ommissioning environmental ompliane qality assrane onstrtion management projet management,236220 541310 541330 541340 541618 561210,"4 MCLAUGHLIN RUN RD STE
STE
Pittsburgh, PA 15241","4 MCLAUGHLIN RUN RD STE
STE
Pittsburgh, PA 15241",412-489-9090,,aavick@advantusnegineers.com,http://www.advantusengineers.com
25,229897,DBE,Al Geisler & Sons Trucking Inc.,Deborah Geisler,Trking and haling.,484220,"989 MKees Roks Road
McKees Rocks, PA 15136","989 MKees Roks Road
McKees Rocks, PA 15136",412-331-2555,412-331-1875,Debgeislertrucking@gmail.com,
26,229898,DBE,All Done Enterprises LLC,La Tasha Chomba,Provides delivery servies of varios atomotive prodts for loal bsinesses and delivery of voting mahines.,484110,"66 W. Manilla Avene
Pittsburgh, PA 15220","66 W. Manilla Avene
Pittsburgh, PA 15220",412-378-3711,,latasha.chomba@alldoneenterprisesllc.com,http://www.alldoneenterprisesllc.com
27,229899,DBE,All Purpose Cleaning Service Inc.,Mary Coffey,Complete Janitorial servie ompany arpet wall and window leaning strip/wax floors Constrtion site leaning Flagg personnel/Traffi ontrol,238990 561720 561790,"9 Chartiers Avene
Pittsburgh, PA 15220","9 Chartiers Avene
Pittsburgh, PA 15220",412-922-6970,412-922-5601,MCoffey_apcs@comcast.net,http://www.allpurposeclean.com
28,229900,DBE,Allegheny Community Home Care LLC,Tonja Smith,Provides person-entered servies and spports to individals who are aging homeless and have intelletal disabilities.  The goal of these servies is to promote independene ommnity involvement and qality of life.  Other servies inlde finane and reporting healthare onslting healthare staffing booking payroll servies transportation servies leaning/environmental servie.,485991 531311 541219 541611 561320 611430 621610 623110 623210 623220 623312 623990,"468 Northern Pike
Monroeville, PA 15146","468 Northern Pike
Monroeville, PA 15146",412-200-5325,412-200-5326,tonja.smith@achomecare.org,http://www.achomecare.org
29,229901,SBE,"Allegheny GeoQuest, LLC","Mr. Roman Kyshakevych, Mr. Mark Sakino",Engineering Services,"541330, 541690, 541715","1 PPG Place, 31st Floor
Pittsburgh, PA 15222","1 PPG Place, 31st Floor
Pittsburgh, PA 15222",412-676-5164,,corporate@alleghenygeoquest.com,http://www.alleghenygeoquest.com
30,229902,DBE,Allegheny Global Environmental Inc.,Tammy Seiler,Environmental onslting lab analysis asbestos on- slting and air monitoring servies.,541380 541620,"37 West Main Street
Carnegie, PA 15106","37 West Main Street
Carnegie, PA 15106",412-278-5400,412-278-5404,tseiler@aaglo.com,http://www.aaglo.com
31,229903,DBE,Allegheny Textile Services Inc.,Laura Ford,Indstrial linen rental ompany,812331 812332,"85 6th Avene
Brackenridge, PA 15014","85 6th Avene
Brackenridge, PA 15014",724-524-6060,,lmford@alleghtext.com,http://www.alleghtext.com
32,229904,SBE,"Alpine Allegheny, Inc.",Severino C DePasquale,"Construction Cost Estimating, Project Management, Construction Photographic Documentation, Concrete and Utility Construction.","213113, 237110, 237130, 237310, 237990, 238910, 238990, 541330","9 Shenk Terrace
Pittsburgh, PA 15215","9 Shenk Terrace
Pittsburgh, PA 15215",412-491-7770,412-782-2495,severino@alpineallegheny.com,http://www.alpineallegheny.com
33,229905,DBE,Always Busy Consulting LLC,Stephanie Turman,Providing tehnial assistane reqired in identifying ontrat opportnities and mathing of DBE firms and prime ontrators.,236115 236116 236118 236220 237110 237310 237990 238110 238120 238130 238140 238150 238160 541611 541820,"36 Pennsylvania Avene
Pittsburgh, PA 15233","36 Pennsylvania Avene
Pittsburgh, PA 15233",412-973-9102,,sturman@alwaysbusyconsulting.com,http://www.alwaysbusyconsulting.com
34,229906,DBE,American Erection LLC,Celeste Wilhelm,ERECTION STRUCTURAL AND MISC STEEL PRODUCTS.,236210 236220 238120 238160 238190 238990,"3 Kittanning Pike
Pittsburgh, PA 15215","3 Kittanning Pike
Pittsburgh, PA 15215",412-965-4689,,cwilhelm@a-ellc.com,http://americanerectionllc.com
35,229907,DBE,Anderson Interiors Inc.,Dana Heller,434	FILING CABINETS; 43	METAL PARTITIONS; 436	LOCKERS; 43	OFFICE FURNITURE; 437	TABLES;,238390 337214 337215 541410,"Plm Street
Verona, PA 15147","Plm Street
Verona, PA 15147",412-828-7420,,dheller@andersoninteriors.net,http://www.andersoninteriors.net
36,229908,DBE,Aone Contracting & Supplies LLC,Mr. Emmett Miles,General ontrators traffi ontrol and providing bilding spplies.,236115 236116 238910 425120 488510,"7 Upland Street
Pittsburgh, PA 15208","7 Upland Street
Pittsburgh, PA 15208",412-345-8070,412-670-6488,emmett.miles64@gmail.com,
37,229909,DBE,April Showers of Pittsburgh Inc.,Antoinette Rollins,Dry Cleaning Landry Servies and Alterations.,812320,"4638 Browns Hill Road
Pittsburgh, PA 15217","4638 Browns Hill Road
Pittsburgh, PA 15217",412-521-2407,,torryrollins@gmail.com,http://www.zoomdrycleaningpittsburgh.com/
38,229910,DBE,Architectural Innovations LLC,Jan Brimmeier,Arhitetral design servies.,541310,"3 MKnight Park Drive
Pittsburgh, PA 15237","3 MKnight Park Drive
Pittsburgh, PA 15237",412-364-4966,412-364-4965,jb@aipgh.com,http://www.aipgh.com
39,229911,DBE,Arimas LLC,HAFSA GORMAN,Wholesale dealer for onstrtion prodts.,425120,"6 Meldon Avene
Donora, PA 15033","6 Meldon Avene
Donora, PA 15033",412-833-5753,,hafsagorman@gmail.com,http://www.arimasllc.com
40,229912,DBE,Around The Clock Cleaning SpecialistLLC,Kimberlene Taylor,Commerial and residential janitorial servies.,561720,"63 MARGARET ST
Pittsburgh, PA 15210","63 MARGARET ST
Pittsburgh, PA 15210",412-758-9624,,kimtaylor44@yahoo.com,
41,229913,DBE,Artistry Greenscapes Inc.,Kenneth Ross,Landsape onstrtion maintenane and related servies.,561730,"35 Midtown Sqare
Pittsburgh, PA 15219","35 Midtown Sqare
Pittsburgh, PA 15219",412-261-3835,,kross828@aol.com,
42,229914,DBE,Axis Business Consultants LLC,Cynthia Enscoe,Wholesale of opies and printers for sale maintenane or lease.,532420,"5 Parkway View Drive
Pittsburgh, PA 15205","5 Parkway View Drive
Pittsburgh, PA 15205",412-788-6262,412-788-5111,cindy@axis-bc.com,http://www.axis-bc.com
43,229915,DBE,B P Electrical,Dennis Burton,Eletrial ontrator.,238210,"6 Swissvale Avene
Pittsburgh, PA 15221","6 Swissvale Avene
Pittsburgh, PA 15221",412-292-9545,412-247-4869,dennisburtonbpelec@yahoo.com,
44,229916,DBE,B&B Window Cleaning & Building Services,Rebecca Press,Provides window leaning both residential and ommerial exterior pressre washing exterior bilding leaning and gtter leaning.,561720 561790,"57 MKenna Avene
Pittsburgh, PA 15205","57 MKenna Avene
Pittsburgh, PA 15205",412-680-6530,,becca@bbwindowspgh.com,http://www.bbwindowspgh.com
45,229917,DBE,BARBARA J. SALES ASSOCIATES INC.,Ms. Barbara Smith,Manfatrers' sales representative for varios glass prodts sh as doors inslated glass floors et.; skylights; strtral and fabriated steel; alminm windows storefront rtainwall doors terrae and patio doors; wood windows; bllet resistant window and doors; serity and instittional windows; aostial windows and rtainwall; ornamental metal work; and lmber plywood millwork and wood panel.,425120 541310,"6 Venango Cort
New Kensington, PA 15068","6 Venango Cort
New Kensington, PA 15068",412-523-3398,800-813-7122,barb@barbarajsales.com,http://www.barbarajsales.com
46,229918,DBE,BRS ROLL-OFF SERVICE LLC,Bruce Burke,Haling steel aggregates provides roll-off boxes flat beds freight box van steel bed dmp trailers and haling for indstrial highway onstrtion and ommerial projets.,484220 562111 562119,"33 Camp Horne Road
Pittsburgh, PA 15202","33 Camp Horne Road
Pittsburgh, PA 15202",412-766-0834,412-766-0836,brstransport1@verizon.net,
47,229919,DBE,Baddazzle Cleaning LLC,Betty Gordon,Commerial and residential leaning to inlde janitorial servies.,561720,"55 Hallam Avene
Washington, PA 15301","55 Hallam Avene
Washington, PA 15301",724-413-7352,,BaddazzleCleaning@Outlook.com,
48,229920,ACDBE,Balzer's Blankets LLC,Valerie Drowell,Manfatring and distribtion of nrsing blankets for nrsing mothers.,314120,"36 Sewikley Oakmont Road
Pittsburgh, PA 15237","36 Sewikley Oakmont Road
Pittsburgh, PA 15237",724-236-2425,412-367-2686,balzer725@msn.com,http://www.balzersblanket.com
49,229921,DBE,BattlePlan Virtual LLC,Cheryl Keywanda Ballard-Battle,Provides ontent writing small bsiness onslting inlding marketing and strategy travel management and searh engine optimization servies.,541511 561510 711510,"6 Sherman Street
Pittsburgh, PA 15221","6 Sherman Street
Pittsburgh, PA 15221",412-805-9687,,keywandabattle@gmail.com,http://www.battleplanvirtual.com
