,Intersection ID,Intersection Name,Maintenance Custodian,Signal Type,Asset ID,Status,Data Source,Date Installed,Geometry,Mount Type,Cabinet Manufacturer,Cabinet Type,Cabinet Size,Battery Back-up,Controller Manufacturer,Controller Model,Type of Detection,Conflict Monitor Manufacturer,Conflict Monitor Model
33,2904.0,College Mall RD & Moores PIKE & Sare RD,Bloomington,Signal,112,Operational,GIS COB,,POINT (-86.498250362057 39.150478469976),,,,,,Econolite,Cobalt eos,Miovision,Reno AE,MMU21600GE
34,3663.0,6th ST & College AVE,Bloomington,Signal,79,Operational,GIS COB,,POINT (-86.534870598859 39.167563357494),,,,,,Econolite,ASC_3_2100,Autoscope,Reno AE,MMU1600
35,2587.0,South DR & Walnut ST,Bloomington,Signal,90,Operational,GIS COB,,POINT (-86.531184143498 39.141904886497),,,,,,Econolite,ASC_2S_2100,,EDI,MMU16E
36,2978.0,Grimes LN & Walnut ST,Bloomington,Signal,88,Operational,GIS COB,,POINT (-86.533731442048 39.153373208574),,,,,,Econolite,ASC_3_1000,,Reno AE,MMU1600D
37,4754.0,Bloomfield RD & Landmark AVE,Bloomington,Signal,67,Operational,GIS COB,,POINT (-86.553836655541 39.159976929454),,,,,,Econolite,Cobalt eos,Autoscope,Reno AE,MMU1600GE
38,3452.0,3rd ST & Washington ST,Bloomington,Signal,77,Operational,GIS COB,,POINT (-86.53237245551 39.164599040592),,,,,,Econolite,ASC_3_1000,,Reno AE,MMU1600D
39,3701.0,7th ST & College AVE,Bloomington,Signal,76,Operational,GIS COB,,POINT (-86.534861558265 39.168567463811),,,,,,Econolite,ASC_3_1000,Autoscope,Reno AE,MMU1600D
40,3006.0,Patterson DR & Rogers ST,Bloomington,Signal,130,Operational,GIS COB,,POINT (-86.53875028747 39.153794259021),,,,,,Econolite,ASC_3_1000,Miovision,Reno AE,MMU1600GE
41,3857.0,10th ST & Walnut ST,Bloomington,Signal,74,Operational,GIS COB,,POINT (-86.533573405005 39.171666799675),,,,,,Econolite,ASC_3_1000,,Reno AE,MMU1600D
42,4116.0,17th ST & Kinser PIKE & Madison ST,Bloomington,Signal,69,Operational,GIS COB,,POINT (-86.537751062385 39.179020542675),,,,,,Econolite,Cobalt,Miovision,Reno AE,MMU1600GE
43,4060.0,17th ST & Woodlawn AVE,Bloomington,Signal,45,Operational,GIS COB,,POINT (-86.52356784325 39.179042799407),,,,,,Econolite,Cobalt eos,Miovision,Reno AE,MMU1600D
44,3434.0,Atwater AVE & Eagleson AVE,Bloomington,Signal,116,Operational,GIS COB,,POINT (-86.51640261063 39.16306788074),,,,,,Econolite,Cobalt eos,,Reno AE,MMU1600D
45,2709.0,Miller DR & Walnut ST,Bloomington,Signal,126,Operational,GIS COB,,POINT (-86.53267728799 39.146915776431),,,,,,Econolite,Cobalt eos,,Reno AE,MMU21600GE
46,4838.0,Allen ST & Patterson DR,Bloomington,Signal,106,Operational,GIS COB,,POINT (-86.543311164028 39.155634728463),,,,,,Econolite,ASC_2S_1000,,Reno AE,MMU1600D
47,3864.0,10th ST & College AVE,Bloomington,Signal,68,Operational,GIS COB,,POINT (-86.534834666357 39.171685716108),,,,,,Econolite,ASC_3_1000,,Reno AE,MMU1600D
48,4530.0,3rd ST & Landmark AVE,Bloomington,Signal,108,Operational,GIS COB,,POINT (-86.556334979576 39.164430455914),,,,,,Econolite,ASC_3_1000,Autoscope,EDI,MMU16E
49,4970.0,Adams ST & Patterson DR & Prospect ST,Bloomington,Signal,11,Operational,GIS COB,,POINT (-86.550490439517 39.162696283514),,,,,,Econolite,ASC_3_1000,Miovision,Reno AE,MMU1600D
