,TRAIL_NO,TRAIL_NAME,TRAIL_TYPE,TRAIL_CN,BMP,EMP,SEGMENT_LENGTH,ADMIN_ORG,MANAGING_ORG,SECURITY_ID,ATTRIBUTESUBSET,NATIONAL_TRAIL_DESIGNATION,TRAIL_CLASS,TERRA_BASE_SYMBOLOGY,ACCESSIBILITY_STATUS,TRAIL_SURFACE,SURFACE_FIRMNESS,TYPICAL_TRAIL_GRADE,TYPICAL_TREAD_WIDTH,MINIMUM_TRAIL_WIDTH,TYPICAL_TREAD_CROSS_SLOPE,SPECIAL_MGMT_AREA,MVUM_SYMBOL,ALLOWED_TERRA_USE,ALLOWED_SNOW_USE,HIKER_PEDESTRIAN_MANAGED,HIKER_PEDESTRIAN_ACCPT_DISC,HIKER_PEDESTRIAN_RESTRICTED,PACK_SADDLE_MANAGED,PACK_SADDLE_ACCPT_DISC,PACK_SADDLE_RESTRICTED,BICYCLE_MANAGED,BICYCLE_ACCPT_DISC,BICYCLE_RESTRICTED,MOTORCYCLE_MANAGED,MOTORCYCLE_ACCPT_DISC,MOTORCYCLE_RESTRICTED,ATV_MANAGED,ATV_ACCPT_DISC,ATV_RESTRICTED,FOURWD_MANAGED,FOURWD_ACCPT_DISC,FOURWD_RESTRICTED,SNOWMOBILE_MANAGED,SNOWMOBILE_ACCPT_DISC,SNOWMOBILE_RESTRICTED,SNOWSHOE_MANAGED,SNOWSHOE_ACCPT_DISC,SNOWSHOE_RESTRICTED,XCOUNTRY_SKI_MANAGED,XCOUNTRY_SKI_ACCPT_DISC,XCOUNTRY_SKI_RESTRICTED,MOTOR_WATERCRAFT_MANAGED,MOTOR_WATERCRAFT_ACCPT_DISC,MOTOR_WATERCRAFT_RESTRICTED,NONMOTOR_WATERCRAFT_MANAGED,NONMOTOR_WATERCRAFT_ACCPT_DISC,NONMOTOR_WATERCRAFT_RESTRICTED,GIS_MILES,SHAPE,TERRA_MOTORIZED,SNOW_MOTORIZED,WATER_MOTORIZED,OBJECTID,GLOBALID,E_BIKE_CLASS1_MANAGED,E_BIKE_CLASS1_ACCPT,E_BIKE_CLASS1_DISC,E_BIKE_CLASS1_RESTRICTED,E_BIKE_CLASS2_MANAGED,E_BIKE_CLASS2_ACCPT,E_BIKE_CLASS2_DISC,E_BIKE_CLASS2_RESTRICTED,E_BIKE_CLASS3_MANAGED,E_BIKE_CLASS3_ACCPT,E_BIKE_CLASS3_DISC,E_BIKE_CLASS3_RESTRICTED,SHAPELEN
10,1E01,CUTCA,TERRA,236010443,0.0,6.2,6.2,50253,50253,502,TrailNFS_MGMT,1,3.0,TC3,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,6.095,,N,,,44491,{307CABD4-CC65-4BF3-B28B-8A28F5683E57},,,,,,,,,,,,,0.100441268788026
11,W-6A,WILDOMAR - 6A,TERRA,124739010602,0.0,0.12,0.12,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW06 - 48-60 INCHES,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.128,,N,,,44492,{84AD1F6B-8B7C-4BD1-BE70-8BB41F0B5947},,,,,,,,,,,,,0.0021116189248811
12,W-2,WILDOMAR - 2,TERRA,124728010602,0.0,0.19,0.19,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW07 - 60-96 INCHES,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.198,,N,,,44493,{0671410E-CFA3-4E15-98A4-A00FC0FAAB5F},,,,,,,,,,,,,0.0033535866020218
13,W-4,WILDOMAR - 4,TERRA,124731010602,0.0,0.11,0.11,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW06 - 48-60 INCHES,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.117,,N,,,44494,{446514DB-4E4E-45F0-A9F6-D05E9BCCB160},,,,,,,,,,,,,0.0019113649965909
14,W-3,WILDOMAR - 3,TERRA,124730010602,0.0,0.32,0.32,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,20-30%,TW07 - 60-96 INCHES,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.34,,N,,,44495,{54056041-B4F8-4422-AD00-996494F21779},,,,,,,,,,,,,0.0059035069675867
15,W-8,WILDOMAR - 8,TERRA,124743010602,0.0,1.0,1.0,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW07 - 60-96 INCHES,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.045,,N,,,44496,{B9B9D178-07EA-4BE5-AD7E-C15C165F6730},,,,,,,,,,,,,0.0174363893492594
16,W-1A,WILDOMAR - 1A,TERRA,124727010602,0.0,0.06,0.06,50252,50252,502,TrailNFS_MGMT,1,3.0,TC3,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW06 - 48-60 INCHES,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.065,,N,,,44497,{F8362CC4-C26A-4562-AF65-352BFB5702D5},,,,,,,,,,,,,0.0010522432024847
17,W-26,WILDOMAR 26,TERRA,261021010602,0.0,0.09,0.09,50252,50252,502,TrailNFS_MGMT,1,,,,,,,,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.095,,N,,,44498,{9A103E8B-7203-41A6-8E6D-63C14BAF6DFC},,,,,,,,,,,,,0.0015704973434503
18,W-6,WILDOMAR - 6,TERRA,124738010602,0.0,0.59,0.59,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW07 - 60-96 INCHES,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.635,,N,,,44499,{849B26AF-617E-4A2E-977C-A640AA7397EF},,,,,,,,,,,,,0.009624575988878
19,1E05,FRY CREEK,TERRA,238010443,0.0,1.7,1.7,50253,50253,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.628,,N,,,44500,{BEEC2356-17A2-47FE-AA5C-C6307A44C7C1},,,,,,,,,,,,,0.0269376498403695
20,W-4A,WILDOMAR - 4A,TERRA,124732010602,0.0,0.25,0.25,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW06 - 48-60 INCHES,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.26,,N,,,44501,{FA3C60FA-737F-46E8-8C9C-350915BD922D},,,,,,,,,,,,,0.0044887086615689
21,7W04,LADD CANYON,TERRA,753010443,0.0,1.8,1.8,50252,50252,502,TrailNFS_MGMT,1,3.0,TC3,,,,,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.871,,N,,,44502,{CB8AEADA-5519-4BDC-8048-222435F7D07E},,,,,,,,,,,,,0.013298833127023
22,W-5C,WILDOMAR - 5C,TERRA,124737010602,0.0,0.04,0.04,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW06 - 48-60 INCHES,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.037,,N,,,44503,{E53AC634-A783-4998-9C37-E1182D621414},,,,,,,,,,,,,0.0006240341231559
23,1W02,WILDHORSE PEAK,TERRA,243010443,6.0,10.1,4.1,50253,50253,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,3.942,,N,,,44504,{3CC83509-069D-4B99-8BB4-9525429E2080},,,,,,,,,,,,,0.062823636800956
24,W-1,WILDOMAR - 1,TERRA,124726010602,0.0,0.12,0.12,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW06 - 48-60 INCHES,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.121,,N,,,44505,{18552394-4B56-428C-9872-1C7327778A73},,,,,,,,,,,,,0.0018053961978316
25,W-8A,WILDOMAR - 8A,TERRA,124744010602,0.0,0.09,0.09,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW05 - 36-48 INCHES,,,,9.0,4321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.092,,Y,,,44506,{0A7A67EC-4826-4FA5-8A8E-9CF2AD594A15},,,,,,,,,,,,,0.0015929221104601
26,5E07,SUNSET,TERRA,188010443,0.0,4.07,4.07,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,5-8%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,4.061,,N,,,44507,{AC5D4E14-1F23-459D-9DBF-876F59F3A43E},,,,,,,,,,,,,0.0622346774102313
27,2E04,SAN DIEGO RIVER GORGE TRAIL,TERRA,759625010602,1.4,1.6,0.2,50253,50253,502,TrailNFS_MGMT,1,2.0,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,8-10%,TW04 - 24-36 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.2,,N,,,44508,{6E9FA912-2E62-437F-9DFC-965DA33E9ACB},,,,,,,,,,,,,0.003312543692568
28,2E03,OAK GROVE,TERRA,240010443,0.0,1.9,1.9,50253,50253,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.979,,N,,,44509,{CD9E3D46-33C6-4DFD-9845-71DBE003C83D},,,,,,,,,,,,,0.0315769487441477
29,2E04,SAN DIEGO RIVER GORGE TRAIL,TERRA,759625010602,0.0,0.45,0.45,50253,50253,502,TrailNFS_MGMT,1,2.0,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,0-5%,TW04 - 24-36 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.449,,N,,,44510,{00B183A3-7AB4-4913-831A-A5A5624BCE2E},,,,,,,,,,,,,0.007506768113468
30,2000.21,PACIFIC CREST TRAIL-SOUTH FO,TERRA,512010443,0.616,1.0,0.384,50254,50254,502,TrailNFS_MGMT,3,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.448,,N,,,44511,{B4E0EEE9-72A7-4A29-A398-9978747BD29B},,,,,,,,,,,,,0.0073199163583066
31,4E01,SECRET CANYON,TERRA,184010443,13.0,13.95,0.95,50254,50254,502,TrailNFS_MGMT,1,2.0,TC1-2,,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,,21,,,,,,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.952,,N,,,44512,{B8C153C1-F044-4098-941C-05D53755E3CB},,,,,,,,,,,,,0.0147894361584393
32,5E10,WOODED HILL - AGUA DULCE,TERRA,1374080010602,0.0,0.648,0.648,50254,50254,502,TrailNFS_MGMT,1,1.0,TC1-2,,NAT - NATIVE MATERIAL,,5-8%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.658,,N,,,44513,{BCE4329B-0660-4252-A7CD-7A54A1F31F1F},,,,,,,,,,,,,0.0101050284575982
33,2000.21,PACIFIC CREST TRAIL-SOUTH FO,TERRA,512010443,2.59,3.0,0.41,50254,50254,502,TrailNFS_MGMT,3,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.483,,N,,,44514,{C866F47B-51D9-4E13-B2F0-21774907F84E},,,,,,,,,,,,,0.0076482715526741
34,3E03,INAJA,TERRA,239010443,0.0,0.5,0.5,50253,50253,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,5-8%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.458,,N,,,44515,{4C7A3220-3901-49C1-A470-460EA396A3C5},,,,,,,,,,,,,0.0069955424038383
35,5E16,WOODED HILL NATURE TRAIL,TERRA,515010443,0.0,1.6,1.6,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,5-8%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.602,,N,,,44516,{68C9FE14-0FB8-4EE8-A22F-828B7DFA57B1},,,,,,,,,,,,,0.0249927284727076
36,5E15,DESERT VIEW NATURE,TERRA,173010443,0.0,1.44,1.44,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.962,,N,,,44517,{D9426DE5-ACD0-4DDC-92B2-5B9EB06E5409},,,,,,,,,,,,,0.0152754381625961
37,W-WUL,WILDOMAR - WUL,TERRA,260364010602,0.0,0.19,0.19,50253,50252,502,TrailNFS_MGMT,1,,,,NAT - NATIVE MATERIAL,,,,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.2,,N,,,44518,{010EC90D-E029-4EEE-81A9-A1A126CBD0D5},,,,,,,,,,,,,0.0030501946406653
38,3E01,INDIAN FLATS - PCT CONNECTOR,TERRA,1374200010602,0.0,0.685,0.685,50253,50253,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.683,,N,,,44519,{CD2948BD-7AFC-4F89-9B0A-439A93D9FD69},,,,,,,,,,,,,0.0106689838799809
39,5E02,THE NARROWS,TERRA,1374960010602,0.0,0.439,0.439,50254,50254,502,TrailNFS_MGMT,1,2.0,TC1-2,,,,,,,,,,321,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.443,,N,,,44520,{D62435C7-F67D-4E20-91E3-584E1A688231},,,,,,,,,,,,,0.006896765459195
40,5E12,LIGHTNING RIDGE,TERRA,181010443,0.0,1.4,1.4,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,5-8%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.011,,N,,,44521,{B3E4ABC1-BCC6-4AE9-B2B2-9922C95ED65C},,,,,,,,,,,,,0.0154199337079799
41,4E01,SECRET CANYON,TERRA,184010443,0.0,1.75,1.75,50254,50254,502,TrailNFS_MGMT,1,2.0,TC1-2,,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,,321,,,,,,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.752,,N,,,44522,{9BD0FB78-5AE0-445D-B60A-1A57142DF19C},,,,,,,,,,,,,0.0275940774969033
42,6W07,CHIQUITO,TERRA,211010443,0.0,6.43,6.43,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,6.204,,N,,,44523,{D40D8BB0-DF56-48FC-81D7-64F5000AE19A},,,,,,,,,,,,,0.0946840394684479
43,6W13,LUCAS CANYON,TERRA,222010443,2.0,5.7,3.7,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,3.96,,N,,,44524,{BF009665-0730-4B59-B11D-960368A6C3DE},,,,,,,,,,,,,0.0645929731727099
44,6W03,HOLY JIM,TERRA,217010443,4.163,5.332,1.169,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.172,,N,,,44525,{4132DB14-66F9-48E5-97BB-570BF0DCE1ED},,,,,,,,,,,,,0.0186578071056281
