,X,Y,OBJECTID,Num,ARFVTP_ID,Agreement_Number,Project_Number,Recipient_Contractor,Project_Title,Project_Amount,Project_Type,Fuel_Type,Supply_Chain_Phase,RDD_D_Phase,Status,Project_Address,Project_City,Project_State,Project_Zip,Full_Address,Latitude,Longitude,Confidence,County,Senate_District,Senate_Sort,Assembly_District,Air_District,Electric_Service_Area,Disadvantaged_Community_OEHHA,Disadvantaged_Community_SB535,Low_Income_SB535,CES_Score,CES_Percentile,CES_Percentile_Range,Assembly_Sort,Project_Location,LowIncome_SB1000,Fiscal_Year,DAC_OEHHA__and_LIC_SB1000_,DAC_CARB__LIC_CARB_,Disadvantaged_Community_CES3,Disadvantaged_Community_CES4
10,-13383451.9044,4556910.075,7686,,,ARV-16-005,42,ChargePoint,California's Interregional Express Corridors,185554.291666667,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,18990 CA-120,Groveland,CA,95321,"18990 CA-120, Groveland CA 95321",37.840442,-120.225594,High,Tuolumne,State Senate District 4,4,State Assembly District 8,Tuolumne,Pacific Gas & Electric Company,NO,No,Yes,12.828329348353,20.0327786182552,,,Low Income,Yes,,,,NO,NO
11,-13097545.8261,4253290.1463,7687,,,600-12-016,1,Concurrent Technologies Corporation,Vehicle-to-Grid Testing and Demonstration with  Department of Defense,3111792.79,Medium- & Heavy- Duty Advanced Vehicle Technology Demonstration,Electric,Vehicles,Demonstration,Complete,1 Administration Circle,Ridgecrest,CA,93555,"1 Administration Circle, Ridgecrest CA 93555",35.65527,-117.657256,High,Kern,State Senate District 12,12,State Assembly District 32,Kern,Southern California Edison,NO,No,Yes,35.7651500595467,68.7972768532526,,,Low Income,Yes,,,,NO,NO
12,-13148573.6788,4106572.2662,7688,,,ARV-10-045,47,SCAQMD,SoCal EV Ready Project,2774.75247525,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,38250 Sierra Hwy,Palmdale,CA,93550,"38250 Sierra Hwy, Palmdale CA 93550",34.577204,-118.115647,High,Los Angeles,State Senate District 23,23,State Assembly District 39,Antelope Valley,Southern California Edison,YES,Yes,Yes,41.6542533399101,77.571860816944,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,NO,YES
13,-13634831.1851,4539703.4681,7689,,,ARV-09-007,1151,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,19 Higuera Ave,San Francisco,CA,94132,"19 Higuera Ave, San Francisco CA 94132",37.718274,-122.4837725,High,San Francisco,State Senate District 11,11,State Assembly District 19,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,19.0334073009905,35.2370146243066,,,Low Income,Yes,,,,NO,NO
14,-13127506.4651,4004041.4743,7690,,,ARV-10-045,5,SCAQMD,SoCal EV Ready Project,27747.5247525,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1313 Disneyland Dr,Anaheim,CA,92802,"1313 Disneyland Dr, Anaheim CA 92802",33.815399,-117.926397,High,Orange,State Senate District 34,34,State Assembly District 67,South Coast,City of Anaheim Public Utilities Department,NO,No,No,,,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
15,-13148573.6788,4106572.2662,7691,,,ARV-16-006,8,"EV Connect, Inc.",EV Connect East-West Corridors,144409.74,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,38250 Sierra Hwy,Palmdale,CA,93550,"38250 Sierra Hwy, Palmdale CA 93550",34.577204,-118.115647,High,Los Angeles,State Senate District 23,23,State Assembly District 39,Antelope Valley,Southern California Edison,YES,Yes,Yes,41.6542533399101,77.571860816944,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,NO,YES
16,-13604872.4942,4538886.436,7692,,,ARV-10-001,7,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,5993.07779515,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1 Airport Dr,Oakland,CA,94621,"1 Airport Dr, Oakland CA 94621",37.712468,-122.214649,High,Alameda,State Senate District 7,7,State Assembly District 18,Bay Area,Port of Oakland,YES,Yes,Yes,63.1725808415718,97.1759959657085,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
17,-13127506.4651,4004041.4743,7693,,,ARV-13-044,1,CALSTART,The Disneyland Resort Destination EV Charging Project,387300.6875,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1313 Disneyland Dr,Anaheim,CA,92802,"1313 Disneyland Dr, Anaheim CA 92802",33.815399,-117.926397,High,Orange,State Senate District 34,34,State Assembly District 67,South Coast,City of Anaheim Public Utilities Department,NO,No,No,,,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
18,-13634831.1851,4539703.4681,7694,,,ARV-09-007,1160,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,19 Higuera Ave,San Francisco,CA,94132,"19 Higuera Ave, San Francisco CA 94132",37.718274,-122.4837725,High,San Francisco,State Senate District 11,11,State Assembly District 19,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,19.0334073009905,35.2370146243066,,,Low Income,Yes,,,,NO,NO
19,-13163555.2785,4038457.8424,7695,,,,M-22653,CALeVIP Recipient,CALeVIP,120000.0,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,1313 W Sunset Blvd,Los Angeles,,90026,"1313 W Sunset Blvd, Los Angeles  90026",34.07188,-118.250229,High,Los Angeles,State Senate District 26,26,State Assembly District 52,South Coast,Los Angeles Department of Water & Power,YES,Yes,Yes,53.441262479563,91.2884518406455,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
20,-13604872.4942,4538886.436,7696,,,ARV-10-001,8,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,5993.07779515,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1 Airport Dr,Oakland,CA,94621,"1 Airport Dr, Oakland CA 94621",37.712468,-122.214649,High,Alameda,State Senate District 7,7,State Assembly District 18,Bay Area,Port of Oakland,YES,Yes,Yes,63.1725808415718,97.1759959657085,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
21,-13118731.4836,4030820.7694,7697,,,ARV-18-026,1,"Proterra, Inc.",Scaling Zero-Emission Vehicle Manufacturing in California Project,1817709.0,Manufacturing,Electric,Vehicles,Manufacturing,Active,383 Cheryl Lane,City of Industry,CA,91789,"383 Cheryl Lane, City of Industry CA 91789",34.015033,-117.84757,High,Los Angeles,State Senate District 30,30,State Assembly District 56,South Coast,City of Industry,NO,No,Yes,28.462453627962,55.8497226424609,,,Low Income,Yes,,,,NO,NO
22,-13634831.1851,4539703.4681,7698,,,ARV-09-007,1182,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,19 Higuera Ave,San Francisco,CA,94132,"19 Higuera Ave, San Francisco CA 94132",37.718274,-122.4837725,High,San Francisco,State Senate District 11,11,State Assembly District 19,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,19.0334073009905,35.2370146243066,,,Low Income,Yes,,,,NO,NO
23,-13669855.5809,4585638.88,7699,,,600-15-013,4,National Park Services,"NPS ""Driving Towards Sustainability"" EVSE Strategy",272664.0,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1 Bear Valley Rd,Point Reyes Station,CA,94956,"1 Bear Valley Rd, Point Reyes Station CA 94956",38.043968,-122.798402,High,Marin,State Senate District 2,2,State Assembly District 12,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,5.04554418637058,3.10136157337368,,,Low Income,Yes,,,,NO,NO
24,-13179740.6872,4010516.7935,7700,,,ARV-09-007,1259,ChargePoint,No City Left Behind,4795.78947368,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1315 Valley Dr,Hermosa Beach,CA,90254,"1315 Valley Dr, Hermosa Beach CA 90254",33.863714,-118.395625,High,Los Angeles,State Senate District 24,24,State Assembly District 66,South Coast,Southern California Edison,NO,No,No,9.85032444579052,12.5189107413011,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
25,-13118731.4836,4030820.7694,7701,,,ARV-14-044,1,Proterra,California Zero Emission Transit Bus Manufacturing Project,3000000.0,Manufacturing,Electric,Vehicles,Manufacturing,Complete,383 S. Cheryl Lane,City of Industry,CA,91789,"383 S. Cheryl Lane, City of Industry CA 91789",34.015033,-117.84757,High,Los Angeles,State Senate District 30,30,State Assembly District 56,South Coast,City of Industry,NO,No,Yes,28.462453627962,55.8497226424609,,,Low Income,Yes,,,,NO,NO
26,-13818203.0846,5020427.3798,7702,,,,D-00033,CALeVIP Recipient,CALeVIP,60000.0,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,1 cher-ae ln,trinidad,CA,95570,"1 cher-ae ln, trinidad CA 95570",41.0547957,-124.1310303,High,Humboldt,State Senate District 2,2,State Assembly District 2,North Coast Unified,Pacific Gas & Electric Company,NO,Yes,Yes,10.9923003667534,15.4437720625315,,,Low Income and Disadvantaged Community,Yes,,,Low Income and Disadvantaged,NO,NO
27,-13634831.1851,4539703.4681,7703,,,ARV-09-007,1183,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,19 Higuera Ave,San Francisco,CA,94132,"19 Higuera Ave, San Francisco CA 94132",37.718274,-122.4837725,High,San Francisco,State Senate District 11,11,State Assembly District 19,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,19.0334073009905,35.2370146243066,,,Low Income,Yes,,,,NO,NO
28,-13165405.0744,4036223.3005,7704,,,ARV-13-050,1,Good Samaritan Hospital,Good Samaritan Hospital Campus: Installation of New EVSE,11527.3925,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1317 Shatto St,Los Angeles,CA,90017,"1317 Shatto St, Los Angeles CA 90017",34.055251,-118.266846,High,Los Angeles,State Senate District 26,26,State Assembly District 54,South Coast,Los Angeles Department of Water & Power,YES,Yes,Yes,59.4269476264499,95.3101361573374,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
29,-13023086.6677,3862055.357,7705,,,ARV-19-038,,La Mesa-Spring Valley Elementary School District,Electric School Bus and Charging Infrastructure,540000.0,MD/HD ZEV Infrastructure,Electric,Local Infra,Deployment,Active,3838 Conrad Drive,La Mesa,CA,91977,"3838 Conrad Drive, La Mesa CA 91977",32.749153,-116.988378,High,San Diego,State Senate District 39,39,State Assembly District 75,San Diego,San Diego Gas & Electric,NO,No,No,8.39156718917004,9.40494200706001,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
30,-13634831.1851,4539703.4681,7706,,,ARV-09-007,1207,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,19 Higuera Ave,San Francisco,CA,94132,"19 Higuera Ave, San Francisco CA 94132",37.718274,-122.4837725,High,San Francisco,State Senate District 11,11,State Assembly District 19,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,19.0334073009905,35.2370146243066,,,Low Income,Yes,,,,NO,NO
31,-13037380.6469,3870471.3152,7707,,,,H-00146,CALeVIP Recipient,CALeVIP,45000.0,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,3840 Murphy Canyon Rd,san diego,CA,92123,"3840 Murphy Canyon Rd, san diego CA 92123",32.812715,-117.116783,High,San Diego,State Senate District 39,39,State Assembly District 78,San Diego,San Diego Gas & Electric,NO,No,No,27.1837785334888,53.416540595058,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
32,-13165405.0744,4036223.3005,7708,,,ARV-13-050,2,Good Samaritan Hospital,Good Samaritan Hospital Campus: Installation of New EVSE,34582.1775,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1317 Shatto St,Los Angeles,CA,90017,"1317 Shatto St, Los Angeles CA 90017",34.055251,-118.266846,High,Los Angeles,State Senate District 26,26,State Assembly District 54,South Coast,Los Angeles Department of Water & Power,YES,Yes,Yes,59.4269476264499,95.3101361573374,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
33,-13047645.6398,3867402.1213,7709,,,ARV-09-005,1199,Blink Acquisition,Nissan Electric Vehicle Demonstration and Vehicle Infrastructure Evaluation,10272.783323,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,2590 East Mission Bay Dr,San Diego,CA,92109,"2590 East Mission Bay Dr, San Diego CA 92109",32.78954,-117.208995,High,San Diego,State Senate District 38,38,State Assembly District 77,San Diego,San Diego Gas & Electric,NO,No,Yes,13.3268427443359,21.2934947049924,,,Low Income,Yes,,,,NO,NO
34,-13116351.9182,3986736.8237,7710,,,ARV-11-012,7,Electricore,Electricore Consortium Alternative and Renewable Fuel Truck Pre-Commercial Demonstration Program,327489.84,Medium- & Heavy- Duty Advanced Vehicle Technology Demonstration,Electric,Vehicles,Demonstration,Complete,1 Civic Center Plaza,Irvine,CA,92623,"1 Civic Center Plaza, Irvine CA 92623",33.686148,-117.826194,High,Orange,State Senate District 37,37,State Assembly District 73,South Coast,Southern California Edison,NO,No,Yes,19.8417898796609,37.1154815935451,,,Low Income,Yes,,,,NO,NO
35,-13610971.0211,4551702.1907,7711,,,ZVI-22-018,,"ChargePoint, Inc.",Replicable Approach to EV Charging for MFH Residents in Northern California,354166.67,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,385 14th St.,Oakland,CA,95616,"385 14th St., Oakland CA 95616",37.803487,-122.269433,High,Alameda,State Senate District 7,7,State Assembly District 18,Bay Area,Pacific Gas & Electric Company,YES,Yes,Yes,53.4079875565826,91.238023197176,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
36,-13165405.0744,4036223.3005,7712,,,ARV-13-050,3,Good Samaritan Hospital,Good Samaritan Hospital Campus: Installation of New EVSE,23054.785,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1317 Shatto St,Los Angeles,CA,90017,"1317 Shatto St, Los Angeles CA 90017",34.055251,-118.266846,High,Los Angeles,State Senate District 26,26,State Assembly District 54,South Coast,Los Angeles Department of Water & Power,YES,Yes,Yes,59.4269476264499,95.3101361573374,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
37,-13334048.5203,4398383.9548,7713,,,ARV-12-015,13,"RTC Fuels, LLC dba Pearson Fuels",Pearson Fuels E85 Stations,71053.0,E85 Fueling Infrastructure,Ethanol,Local Infra,Deployment,Complete,2592 South Cherry Ave,Fresno,CA,93706,"2592 South Cherry Ave, Fresno CA 93706",36.70728287,-119.78179585,High,Fresno,State Senate District 14,14,State Assembly District 31,San Joaquin Valley Unified,Pacific Gas & Electric Company,YES,Yes,Yes,93.1835697319383,100.0,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
38,-13634831.1851,4539703.4681,7714,,,ARV-09-007,1237,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,19 Higuera Ave,San Francisco,CA,94132,"19 Higuera Ave, San Francisco CA 94132",37.718274,-122.4837725,High,San Francisco,State Senate District 11,11,State Assembly District 19,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,19.0334073009905,35.2370146243066,,,Low Income,Yes,,,,NO,NO
39,-13142550.0965,4117852.978,7715,,,ARV-10-045,48,SCAQMD,SoCal EV Ready Project,2774.75247525,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,3850 E Avenue J,Palmdale,CA,93535,"3850 E Avenue J, Palmdale CA 93535",34.66059864,-118.06153624,High,Los Angeles,State Senate District 23,23,State Assembly District 39,Antelope Valley,Southern California Edison,NO,No,No,,,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
40,-13330364.7524,4088140.3963,7716,,,ARV-10-001,228,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,5993.07779515,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,3850 State St,Santa Barbara,CA,93105,"3850 State St, Santa Barbara CA 93105",34.440763,-119.748704,High,Santa Barbara,State Senate District 21,21,State Assembly District 37,Santa Barbara,Southern California Edison,NO,No,Yes,12.5696930260604,19.351991931417,,,Low Income,Yes,,,,NO,NO
41,-13116351.9182,3986736.8237,7717,,,,A-00592,CALeVIP Recipient,CALeVIP,140000.0,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,1 Civic Center Plz,Irvine,CA,92606,"1 Civic Center Plz, Irvine CA 92606",33.686148,-117.826194,High,Orange,State Senate District 37,37,State Assembly District 73,South Coast,Southern California Edison,NO,No,Yes,19.8417898796609,37.1154815935451,,,Low Income,Yes,,,,NO,NO
42,-13627192.6087,4550391.0123,7718,,,ARV-10-032,60,ABAG,Bay Area EV Corridor Project: Phase I EVSE Development,7266.32419512,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1320 Washington St,San Francisco,CA,94109,"1320 Washington St, San Francisco CA 94109",37.79418,-122.415154,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,18.8532275172237,34.8461926374181,,,Low Income,Yes,,,,NO,NO
43,-13634831.1851,4539703.4681,7719,,,ARV-09-007,1238,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,19 Higuera Ave,San Francisco,CA,94132,"19 Higuera Ave, San Francisco CA 94132",37.718274,-122.4837725,High,San Francisco,State Senate District 11,11,State Assembly District 19,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,19.0334073009905,35.2370146243066,,,Low Income,Yes,,,,NO,NO
44,-13124532.7876,3983629.8592,7720,,,ARV-10-001,108,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,6592.38557467,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,2599 Newport Blvd,Costa Mesa,CA,92627,"2599 Newport Blvd, Costa Mesa CA 92627",33.662921,-117.899684,High,Orange,State Senate District 37,37,State Assembly District 73,South Coast,Southern California Edison,NO,No,Yes,25.3439764290575,49.558749369642,,,Low Income,Yes,,,,NO,NO
45,-13046844.0281,3862529.0766,7721,,,ARV-14-017,4,County of San Diego,San Diego County Public Access Charging Project,30661.35,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,3851 Rosecrans St,San Diego,CA,92110,"3851 Rosecrans St, San Diego CA 92110",32.752732,-117.201794,High,San Diego,State Senate District 39,39,State Assembly District 77,San Diego,San Diego Gas & Electric,NO,No,Yes,28.0256113375498,55.0302571860817,,,Low Income,Yes,,,,NO,NO
46,-13216190.9186,4067396.037,7722,,,ARV-13-051,17,EV Alliance,Central Coast Charge Ahead Project,12781.4005128,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,3855 Alamo St,Simi Valley,CA,93063,"3855 Alamo St, Simi Valley CA 93063",34.286937,-118.723063,High,Ventura,State Senate District 27,27,State Assembly District 42,Ventura,Southern California Edison,NO,No,No,19.8306685157348,37.0524457892083,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
47,-13189445.7207,4070466.034,7723,,,ARV-13-048,20,Caltrans,Caltrans-Installation of EV Charging Stations,16000.0,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,13204 Golden State Rd,Sylmar,CA,91342,"13204 Golden State Rd, Sylmar CA 91342",34.3097198,-118.4828068,High,Los Angeles,State Senate District 20,20,State Assembly District 43,South Coast,Los Angeles Department of Water & Power,YES,Yes,Yes,56.5600543885882,93.6838124054463,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
48,-13431507.7493,4205392.6027,7724,,,ARV-13-055,1,Cal Poly Corporation,Cal Poly Electric Vehicle Charging Infrastructure Initiative,87962.0266667,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1 Grand Ave,San Luis Obispo,CA,93405,"1 Grand Ave, San Luis Obispo CA 93405",35.304894,-120.657287,High,San Luis Obispo,State Senate District 17,17,State Assembly District 30,San Luis Obispo,Pacific Gas & Electric Company,NO,No,Yes,18.130103578552,32.9929399899143,,,Low Income,Yes,,,,NO,NO
49,-13546395.6977,4570341.2762,7725,,,ARV-19-060,,Liberty Union High School District,Electric School Bus and Charging Infrastructure,9659.09,MD/HD ZEV Infrastructure,Electric,Local Infra,Deployment,Complete,19 Oak St,Brentwood,CA,94513,"19 Oak St, Brentwood CA 94513",37.935664,-121.689343,High,Contra Costa,State Senate District 3,3,State Assembly District 15,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,33.4238295312634,64.851235501765,,,Low Income,Yes,,,,NO,NO
50,-13624736.3664,4548135.1635,7726,,,ARV-09-007,1165,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,260 King St,San Francisco,CA,94107,"260 King St, San Francisco CA 94107",37.7781648,-122.3930892,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,21.3587293148749,40.7337367624811,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
