,Agency,Mode,Date,Week Number,Current Ridership,Year
39,New York City MTA Rail,Transit,07/27/2022,31,3239463,2022
40,New York City MTA Rail,Transit,07/28/2022,31,3158334,2022
41,New York City MTA Rail,Transit,07/29/2022,31,2938378,2022
42,New York City MTA Rail,Transit,07/30/2022,32,2074477,2022
43,New York City MTA Rail,Transit,07/31/2022,32,1649100,2022
44,New York City MTA Rail,Transit,08/01/2022,32,2744935,2022
45,New York City MTA Rail,Transit,08/02/2022,32,3076553,2022
46,New York City MTA Rail,Transit,08/03/2022,32,3130208,2022
47,New York City MTA Rail,Transit,08/04/2022,32,3054485,2022
48,New York City MTA Rail,Transit,08/05/2022,32,2826909,2022
49,New York City MTA Rail,Transit,08/06/2022,33,1999613,2022
50,New York City MTA Rail,Transit,08/07/2022,33,1542464,2022
51,New York City MTA Rail,Transit,08/08/2022,33,2710924,2022
52,New York City MTA Rail,Transit,08/09/2022,33,3019719,2022
53,New York City MTA Rail,Transit,08/10/2022,33,3140551,2022
54,New York City MTA Rail,Transit,08/11/2022,33,3099390,2022
55,New York City MTA Rail,Transit,08/12/2022,33,2969335,2022
56,New York City MTA Rail,Transit,08/13/2022,34,2090849,2022
57,New York City MTA Rail,Transit,08/14/2022,34,1679142,2022
58,New York City MTA Rail,Transit,08/15/2022,34,2773742,2022
59,New York City MTA Rail,Transit,08/16/2022,34,3052120,2022
60,New York City MTA Rail,Transit,08/17/2022,34,3080107,2022
61,New York City MTA Rail,Transit,08/18/2022,34,3083762,2022
62,New York City MTA Rail,Transit,08/19/2022,34,2923869,2022
63,New York City MTA Rail,Transit,08/20/2022,35,2040321,2022
64,New York City MTA Rail,Transit,08/21/2022,35,1620694,2022
65,New York City MTA Rail,Transit,08/22/2022,35,2628070,2022
66,New York City MTA Rail,Transit,08/23/2022,35,2998518,2022
67,New York City MTA Rail,Transit,08/24/2022,35,3026746,2022
68,New York City MTA Rail,Transit,08/25/2022,35,3097023,2022
69,New York City MTA Rail,Transit,08/26/2022,35,2868622,2022
70,New York City MTA Rail,Transit,08/27/2022,35,2068756,2022
71,WMATA Bus and Rail,Transit,06/12/2022,25,296000,2022
72,WMATA Bus and Rail,Transit,06/13/2022,25,518000,2022
73,WMATA Bus and Rail,Transit,06/14/2022,25,549000,2022
74,WMATA Bus and Rail,Transit,06/15/2022,25,572000,2022
75,WMATA Bus and Rail,Transit,06/16/2022,25,551000,2022
76,WMATA Bus and Rail,Transit,06/17/2022,25,543000,2022
77,WMATA Bus and Rail,Transit,06/18/2022,25,400000,2022
78,WMATA Bus and Rail,Transit,06/19/2022,26,305000,2022
79,WMATA Bus and Rail,Transit,06/20/2022,26,331000,2022
80,WMATA Bus and Rail,Transit,06/21/2022,26,536000,2022
81,WMATA Bus and Rail,Transit,06/22/2022,26,525000,2022
82,WMATA Bus and Rail,Transit,06/23/2022,26,507000,2022
83,WMATA Bus and Rail,Transit,06/24/2022,26,522000,2022
84,WMATA Bus and Rail,Transit,06/25/2022,26,363000,2022
85,WMATA Bus and Rail,Transit,06/26/2022,27,265000,2022
86,WMATA Bus and Rail,Transit,06/27/2022,27,459000,2022
87,WMATA Bus and Rail,Transit,06/28/2022,27,532000,2022
88,WMATA Bus and Rail,Transit,06/29/2022,27,522000,2022
89,WMATA Bus and Rail,Transit,06/30/2022,27,506000,2022
90,WMATA Bus and Rail,Transit,07/01/2022,27,483000,2022
91,WMATA Bus and Rail,Transit,07/02/2022,27,328000,2022
92,WMATA Bus and Rail,Transit,07/03/2022,28,298000,2022
93,WMATA Bus and Rail,Transit,07/04/2022,28,387000,2022
94,WMATA Bus and Rail,Transit,07/05/2022,28,481000,2022
95,WMATA Bus and Rail,Transit,07/06/2022,28,518000,2022
96,WMATA Bus and Rail,Transit,07/07/2022,28,508000,2022
97,WMATA Bus and Rail,Transit,07/08/2022,28,493000,2022
98,WMATA Bus and Rail,Transit,07/09/2022,28,278000,2022
99,WMATA Bus and Rail,Transit,07/10/2022,29,271000,2022
