,Railroad Code,Railroad Name,Report Year,Incident Number,Incident Year,Incident Month,Other Railroad Code,Other Railroad Name,Other Incident Number,Other Incident Year,Other Incident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintainance Incident Number,Maintenance Incident Year,Maintenance Incident Month,Grade Crossing ID,Date,Month,Day,Hour,Minute,AM/PM,Time,Nearest Station,Division,Subdivision,County Code,County Name,State Code,State Name,City Name,Highway Name,Public/Private Code,Public/Private,Highway User Code,Highway User,Estimated Vehicle Speed,Vehicle Direction Code,Vehicle Direction,Highway User Position Code,Highway User Position,Equipment Involved Code,Equipment Involved,Railroad Car Unit Position,Equipment Struck Code,Equipment Struck,Hazmat Involvement Code,Hazmat Involvement,Hazmat Released by Code,Hazmat Released by,Hazmat Released Name,Hazmat Released Quantity,Hazmat Released Measure,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Equipment Type Code,Equipment Type,Track Type Code,Track Type,Track Name,Track Class,Number of Locomotive Units,Number of Cars,Train Speed,Estimated/Recorded Speed,Train Direction Code,Train Direction,Crossing Warning Expanded Code 1,Crossing Warning Expanded Code 2,Crossing Warning Expanded Code 3,Crossing Warning Expanded Code 4,Crossing Warning Expanded Code 5,Crossing Warning Expanded Code 6,Crossing Warning Expanded Code 7,Crossing Warning Expanded Code 8,Crossing Warning Expanded Code 9,Crossing Warning Expanded Code 10,Crossing Warning Expanded Code 11,Crossing Warning Expanded Code 12,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Crossing Warning Expanded 8,Crossing Warning Expanded 9,Crossing Warning Expanded 10,Crossing Warning Expanded 11,Crossing Warning Expanded 12,Signaled Crossing Warning Code,Signaled Crossing Warning,Crossing Warning Explanation Code,Crossing Warning Explanation,Roadway Condition Code,Roadway Condition,Crossing Warning Location Code,Crossing Warning Location,Warning Connected To Signal,Crossing Illuminated,User Age,User Gender,User Struck By Second Train,Highway User Action Code,Highway User Action,Driver Passed Vehicle,View Obstruction Code,View Obstruction,Driver Condition Code,Driver Condition,Driver In Vehicle,Crossing Users Killed,Crossing Users Injured,Vehicle Damage Cost,Number Vehicle Occupants,Employees Killed,Employees Injured,Number People On Train,Form 54 Filed,Passengers Killed,Passengers Injured,Video Taken,Video Used,Special Study 1,Special Study 2,Narrative,Total Killed Form 57,Total Injured Form 57,Railroad Type,Joint Code,Total Killed Form 55A,Total Injured Form 55A,District,Whistle Ban Code,Whistle Ban,Report Key,Reporting Railroad/Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Url
10,ICG,Illinois Central Gulf Railroad Company,1986,95365,86,7,,,,,,ICG,Illinois Central Gulf Railroad Company,95365,86.0,7.0,299751V,07/31/1986,7,31,10,5,AM,10:05 AM,CANTON,,,89,MADISON,28,MISSISSIPPI,CANTON,PEACE ST,Y,Public,A,Auto,2.0,4.0,West,3,Moving over crossing,2,Train (units pushing),1,1,Rail equipment struck highway user,4,Neither,,,,,,95,2,Day,1,Clear,7,Yard/switching,1,Main,CANTON DIST,3.0,2,10,3.0,E,1.0,North,3,,,,,,,,,,,,Standard FLS,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,Unknown,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,500,1,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,3.0,,,ICG95365198607,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=95365&RptType=A&TxtCrossingNum=299751V
11,ICG,Illinois Central Gulf Railroad Company,1986,20165,86,7,,,,,,ICG,Illinois Central Gulf Railroad Company,20165,86.0,7.0,304305P,07/16/1986,7,16,7,0,AM,07:00 AM,BEAUMONT,,,41,GREENE,28,MISSISSIPPI,,PRIVATE CROSSING,N,Private,C,Truck-trailer,7.0,4.0,West,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,82,2,Day,1,Clear,1,Freight Train,1,Main,MAIN,3.0,4,68,35.0,E,2.0,South,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,No,No,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,1,0,1,0,0,,Yes,0,0,,,,,,0,1,1L,1,0,1,3.0,,,ICG20165198607,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=20165&RptType=A&TxtCrossingNum=304305P
12,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,1986,GM927100,86,7,,,,,,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,GM927100,86.0,7.0,306256C,07/17/1986,7,17,12,55,PM,12:55 PM,COLUMBUS,,,87,LOWNDES,28,MISSISSIPPI,COLUMBUS,MS HWY 69,Y,Public,A,Auto,45.0,1.0,North,3,Moving over crossing,6,Light loco(s) (moving),1,2,Rail equipment struck by highway user,4,Neither,,,,,,98,2,Day,1,Clear,8,Light loco(s),1,Main,MAIN,2.0,2,0,10.0,E,1.0,North,3,6.0,,,,,,,,,,,Standard FLS,Audible,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,2,15000,2,0,0,,No,0,0,,,,,,0,2,3L,1,0,2,3.0,,,GSMRGM927100198607,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,,,,,,,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=GM927100&RptType=A&TxtCrossingNum=306256C
13,ICG,Illinois Central Gulf Railroad Company,1986,95364,86,7,,,,,,ICG,Illinois Central Gulf Railroad Company,95364,86.0,7.0,300878J,07/31/1986,7,31,1,10,PM,01:10 PM,RAGIN,,,89,MADISON,28,MISSISSIPPI,,RAGIN XING,Y,Public,C,Truck-trailer,40.0,3.0,East,3,Moving over crossing,1,Train (units pulling),2,2,Rail equipment struck by highway user,4,Neither,,,,,,95,2,Day,1,Clear,1,Freight Train,1,Main,MAIN,3.0,3,99,35.0,E,2.0,South,5,7.0,,,,,,,,,,,Hwy. traffic signals,Crossbucks,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,1,0,1,0,0,,No,0,0,,,,,,0,1,1L,1,0,1,3.0,,,ICG95364198607,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=95364&RptType=A&TxtCrossingNum=300878J
14,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,1986,GM92797,86,7,,,,,,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,GM92797,86.0,7.0,304039V,07/10/1986,7,10,9,35,AM,09:35 AM,TUPELO,,,81,LEE,28,MISSISSIPPI,VERONA,CARR VISTA ROAD,Y,Public,A,Auto,5.0,4.0,West,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,95,2,Day,1,Clear,1,Freight Train,1,Main,MAIN,2.0,1,14,25.0,E,2.0,South,6,7.0,8.0,,,,,,,,,,Audible,Crossbucks,Stop signs,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,1,8000,1,0,0,,No,0,0,,,,,,0,1,3L,1,0,1,3.0,,,GSMRGM92797198607,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,,,,,,,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=GM92797&RptType=A&TxtCrossingNum=304039V
15,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,1986,GM92798,86,7,,,,,,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,GM92798,86.0,7.0,303731U,07/11/1986,7,11,2,22,PM,02:22 PM,QUITMAN,,,23,CLARKE,28,MISSISSIPPI,QUITMAN,DESOTO ROAD,Y,Public,A,Auto,0.0,4.0,West,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,95,2,Day,1,Clear,1,Freight Train,1,Main,MAIN,2.0,4,32,25.0,E,2.0,South,6,7.0,,,,,,,,,,,Audible,Crossbucks,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,No,,,No,4,Stopped on crossing,No,8,Not obstructed,1.0,Killed,Yes,1,0,3000,1,0,0,,No,0,0,,,,,,1,0,3L,1,1,0,3.0,,,GSMRGM92798198607,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,,,,,,,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=GM92798&RptType=A&TxtCrossingNum=303731U
16,MSRC,MIDSOUTH RAILROAD CORPORATION,1986,CO605,86,6,,,,,,MSRC,MIDSOUTH RAILROAD CORPORATION,CO605,86.0,6.0,305054B,06/15/1986,6,15,2,35,AM,02:35 AM,NEWTON,,,101,NEWTON,28,MISSISSIPPI,NEWTON,SCHOOL ST,Y,Public,A,Auto,10.0,2.0,South,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,69,4,Dark,1,Clear,1,Freight Train,1,Main,SINGLE MAIN TRACK,4.0,4,33,18.0,E,4.0,West,7,,,,,,,,,,,,Crossbucks,,,,,,,,,,,,,,,,,,1.0,Both sides,No,Yes,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,500,1,0,0,,No,0,0,,,,,,0,0,3L,1,0,0,3.0,,,MSRCCO605198606,,Class 1,SMT-6 - UP/KCS,KCS,Kansas City Southern Railway Company,Kansas City Southern Railway Company,,,,,,,,Class 1,SMT-6 - UP/KCS,KCS,Kansas City Southern Railway Company,Kansas City Southern Railway Company,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=CO605&RptType=A&TxtCrossingNum=305054B
17,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,1986,92795,86,6,,,,,,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,92795,86.0,6.0,304500P,06/13/1986,6,13,6,0,PM,06:00 PM,PHILADELPHIA,,,99,NESHOBA,28,MISSISSIPPI,PHILADELPHIA,BEACON ST,Y,Public,B,Truck,5.0,4.0,West,3,Moving over crossing,2,Train (units pushing),12,2,Rail equipment struck by highway user,4,Neither,,,,,,82,2,Day,2,Cloudy,7,Yard/switching,1,Main,BEACON ST,2.0,1,12,3.0,E,1.0,North,3,7.0,8.0,11.0,,,,,,,,,Standard FLS,Crossbucks,Stop signs,Other,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,Unknown,Unknown,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,1000,1,0,0,,No,0,0,,,,,,0,0,3L,1,0,0,3.0,,,GSMR92795198606,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,,,,,,,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=92795&RptType=A&TxtCrossingNum=304500P
18,MSRC,MIDSOUTH RAILROAD CORPORATION,1986,CO607,86,6,,,,,,MSRC,MIDSOUTH RAILROAD CORPORATION,CO607,86.0,6.0,302698T,06/30/1986,6,30,7,21,AM,07:21 AM,VICKSBURG,,,149,WARREN,28,MISSISSIPPI,VICKSBURG,CLAY ST,Y,Public,B,Truck,5.0,4.0,West,3,Moving over crossing,1,Train (units pulling),33,2,Rail equipment struck by highway user,4,Neither,,,,,,72,2,Day,3,Rain,1,Freight Train,2,Yard,SINGLE MAIN TRACK,1.0,1,41,5.0,E,1.0,North,7,8.0,,,,,,,,,,,Crossbucks,Stop signs,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,500,1,0,0,,No,0,0,,,,,,0,0,3L,1,0,0,3.0,,,MSRCCO607198606,,Class 1,SMT-6 - UP/KCS,KCS,Kansas City Southern Railway Company,Kansas City Southern Railway Company,,,,,,,,Class 1,SMT-6 - UP/KCS,KCS,Kansas City Southern Railway Company,Kansas City Southern Railway Company,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=CO607&RptType=A&TxtCrossingNum=302698T
19,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,1986,92796,86,6,,,,,,GSMR,GULF AND MISSISSIPPI RAILROAD CORPORATION,92796,86.0,6.0,305892W,06/21/1986,6,21,5,0,AM,05:00 AM,WEST POINT,,,25,CLAY,28,MISSISSIPPI,WEST POINT,EISHMAN RD,Y,Public,A,Auto,60.0,1.0,North,3,Moving over crossing,1,Train (units pulling),19,2,Rail equipment struck by highway user,4,Neither,,,,,,68,1,Dawn,2,Cloudy,1,Freight Train,1,Main,MAINLINE,2.0,3,27,10.0,R,1.0,North,7,8.0,11.0,,,,,,,,,,Crossbucks,Stop signs,Other,,,,,,,,,,,,,,,,1.0,Both sides,Unknown,Yes,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,2,500,2,0,0,,No,0,0,,,,,,0,2,3L,1,0,2,3.0,,,GSMR92796198606,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,,,,,,,,,,GMSR,Gulf And Mississippi Railroad Corporation,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=92796&RptType=A&TxtCrossingNum=305892W
20,AGS,ALABAMA GREAT SOUTHERN RAILROAD,1986,GC0986016,86,7,,,,,,AGS,ALABAMA GREAT SOUTHERN RAILROAD,GC0986016,86.0,7.0,725487R,07/20/1986,7,20,1,55,AM,01:55 AM,EDMUNDSON,,,75,LAUDERDALE,28,MISSISSIPPI,MERIDIAN,PRIVATE-FISH HATCHER,N,Private,A,Auto,0.0,3.0,East,1,Stalled or stuck on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,2,Rail equipment,,,,,,80,4,Dark,1,Clear,1,Freight Train,1,Main,MAIN,3.0,3,151,2.0,E,1.0,North,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,,,No,4,Stopped on crossing,No,8,Not obstructed,3.0,Uninjured,No,0,0,0,0,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,3.0,,,AGSGC0986016198607,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,,,,,,,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=GC0986016&RptType=A&TxtCrossingNum=725487R
21,AGS,ALABAMA GREAT SOUTHERN RAILROAD,1986,GC0986017,86,7,,,,,,AGS,ALABAMA GREAT SOUTHERN RAILROAD,GC0986017,86.0,7.0,725645N,07/20/1986,7,20,9,5,PM,09:05 PM,POPLARVILLE,,,109,PEARL RIVER,28,MISSISSIPPI,,,Y,Public,B,Truck,5.0,3.0,East,3,Moving over crossing,1,Train (units pulling),6,2,Rail equipment struck by highway user,2,Rail equipment,,,,,,86,4,Dark,1,Clear,1,Freight Train,1,Main,MAINLINE,3.0,5,115,45.0,E,2.0,South,3,6.0,7.0,8.0,,,,,,,,,Standard FLS,Audible,Crossbucks,Stop signs,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,1,0,1,0,0,,No,0,0,,,,,,0,1,1L,1,0,1,3.0,,,AGSGC0986017198607,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,,,,,,,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=GC0986017&RptType=A&TxtCrossingNum=725645N
22,CSX,CSX Transportation,2002,030206015,2,3,,,,,,GRC,Glasgow Railway Company,XXX,2.0,3.0,713395U,03/14/2002,3,14,12,10,PM,12:10 PM,PERRY,JACKSONVILLE,,123,TAYLOR,12,FLORIDA,PERRY,NURSERY ROAD,Y,Public,B,Truck,10.0,1.0,North,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,0.0,,,,0.0,72,2,Day,1,Clear,1,Freight Train,1,Main,GRC MAINLINE,2.0,2,22,25.0,E,1.0,North,8,7.0,,,,,,,,,,,Stop signs,Crossbucks,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,19.0,Male,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,4000,1,0,0,2.0,No,0,0,,,,,"A78514 ON GRC RAILROAD TRACK, STRUCK A TRUCK AT A PUBLIC CROSSING. NO INJURIES AND NO DAMAGE..",0,0,1L,1,0,0,3.0,2.0,No,CSX030206015200203,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,,,GRC,Glasgow Railway Company,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=2002&incd=030206015&RptType=A&TxtCrossingNum=713395U
23,CSX,CSX Transportation,2002,030206023,2,3,,,,,,CSX,CSX Transportation,030206023,2.0,3.0,636927J,03/18/2002,3,18,11,0,AM,11:00 AM,PINE PARK,JACKSONVILLE,,131,GRADY,13,GEORGIA,PINE PARK,SINGLETARY/123,Y,Public,C,Truck-trailer,5.0,2.0,South,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,85,2,Day,1,Clear,1,Freight Train,1,Main,MAIN,3.0,4,62,28.0,R,2.0,South,8,7.0,,,,,,,,,,,Stop signs,Crossbucks,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,30.0,Male,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,2000,1,0,0,2.0,Yes,0,0,,,,,TRACTOR TRAILER FAILED TO STOP AT CROSSING AND DROVE INTO PATH OF ONCOMING TRAIN AND WAS STRUCK.,0,0,1L,1,0,0,3.0,2.0,No,CSX030206023200203,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=2002&incd=030206023&RptType=A&TxtCrossingNum=636927J
24,CSX,CSX Transportation,2002,030206034,2,3,,,,,,CSX,CSX Transportation,030206034,2.0,3.0,620844X,03/27/2002,3,27,7,5,AM,07:05 AM,JACKSONVILLE,JACKSONVILLE,,31,DUVAL,12,FLORIDA,JACKSONVILLE,PRIVATE ROAD,N,Private,C,Truck-trailer,2.0,1.0,North,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,1,Highway user,4.0,Neither,,,0.0,62,2,Day,2,Cloudy,1,Freight Train,1,Main,KI SUB MAIN,3.0,2,27,18.0,E,1.0,North,7,,,,,,,,,,,,Crossbucks,,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,45.0,Male,No,2,Stopped and then proceeded,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,3000,1,0,0,2.0,No,0,0,,,,,VEHICLE PULLED ONTO CROSSING AND STOPPED. VEHICLE ACCELERATED BUT WAS STRUCK BY ONCOMING TRAIN..,0,0,1L,1,0,0,3.0,2.0,No,CSX030206034200203,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=2002&incd=030206034&RptType=A&TxtCrossingNum=620844X
25,CSX,CSX Transportation,2002,030207005,2,3,,,,,,CSX,CSX Transportation,030207005,2.0,3.0,345574U,03/04/2002,3,4,9,45,PM,09:45 PM,LA GRANGE,LOUISVILLE,,185,OLDHAM,21,KENTUCKY,LA GRANGE,PRIVATE RD.,N,Private,J,Other motor vehicle,5.0,2.0,South,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,0.0,,,,0.0,20,4,Dark,1,Clear,1,Freight Train,1,Main,MAIN TRACK,4.0,2,49,37.0,R,2.0,South,7,,,,,,,,,,,,Crossbucks,,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,48.0,Male,No,3,Did not stop,No,8,Not obstructed,1.0,Killed,Yes,1,0,8000,1,0,0,2.0,No,0,0,,,,,FIRE TRUCK PULLED ONTO CROSSING IN FRONT OF TRAIN AND WAS STRUCK. MOTORIS WAS FATALLY INJURED. NO INJURIES TO CSX CREW.,1,0,1L,1,1,0,3.0,2.0,No,CSX030207005200203,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=2002&incd=030207005&RptType=A&TxtCrossingNum=345574U
26,CSX,CSX Transportation,2002,030207019,2,3,,,,,,CSX,CSX Transportation,030207019,2.0,3.0,345950Y,03/22/2002,3,22,9,5,AM,09:05 AM,ST MATTHEWS,LOUISVILLE,,111,JEFFERSON,21,KENTUCKY,ST. MATTHEWS,MASONIC HOME,Y,Public,C,Truck-trailer,0.0,2.0,South,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,2,Rail equipment,4.0,Neither,,,,38,2,Day,1,Clear,1,Freight Train,1,Main,MAIN           001,2.0,2,79,20.0,E,2.0,South,1,3.0,6.0,11.0,,,,,,,,,Gates,Standard FLS,Audible,Other,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,No,56.0,Male,No,4,Stopped on crossing,No,8,Not obstructed,3.0,Uninjured,No,0,0,3000,0,0,0,2.0,No,0,0,,,,,TRACTOR-TRAILER STUCK ON CROSSING. LOCOMOTIVE CLIPPED REAR OF TRAILER. NO INJURIES. TRACTOR-TRAILERWAS UNOCCUPIED AT TIME OF IMPACT.,0,0,1L,1,0,0,3.0,1.0,Yes,CSX030207019200203,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=2002&incd=030207019&RptType=A&TxtCrossingNum=345950Y
27,MILW,"Chicago, Milwaukee, St. Paul & Pacific Railroad",1976,10099,76,7,,,,,,,,,,,372931R,07/02/1976,7,2,3,40,PM,03:40 PM,"KELLER, IN",,,167,VIGO,18,INDIANA,"KELLER, IN",HAYTHORN AVENUE,Y,Public,A,Auto,,,,3,Moving over crossing,8,Other,1,2,Rail equipment struck by highway user,4,Neither,,,,,,72,2,Day,1,Clear,1,Freight Train,3,Siding,SIDING,1.0,2,81,,,1.0,North,7,,,,,,,,,,,,Crossbucks,,,,,,,,,,,,,,,,,,1.0,Both sides,No,Unknown,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,1400,1,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,,,,MILW10099197607,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CPKC,CANADIAN PACIFIC KANSAS CITY,Canadian Pacific Railway Company,,,,,,,,,,,,,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1976&incd=10099&RptType=A&TxtCrossingNum=372931R
28,CSX,CSX Transportation,2002,030207028,2,3,,,,,,CSX,CSX Transportation,030207028,2.0,3.0,152885K,03/27/2002,3,27,6,15,AM,06:15 AM,CLAY CITY,LOUISVILLE,,25,CLAY,17,ILLINOIS,CLAY CITY,TR 380,Y,Public,A,Auto,0.0,3.0,East,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,0.0,,,,0.0,28,1,Dawn,1,Clear,1,Freight Train,1,Main,MAIN,3.0,2,53,38.0,E,3.0,East,7,,,,,,,,,,,,Crossbucks,,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,31.0,Male,No,4,Stopped on crossing,No,8,Not obstructed,3.0,Uninjured,Yes,0,1,2000,2,0,0,2.0,No,0,0,,,,,"OCCUPIED AUTO STOPPED ON CROSSING. TRAIN STRUCK AUTO ON PASSENGER SIDE DOOR. PASSENGER INJURY, NO CSX CREW INJURIES.",0,1,1L,1,0,1,6.0,2.0,No,CSX030207028200203,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=2002&incd=030207028&RptType=A&TxtCrossingNum=152885K
29,DM,Detroit & Mackinac Railway Company,1986,57147,86,11,,,,,,DM,Detroit & Mackinac Railway Company,57147,86.0,11.0,250900E,11/10/1986,11,10,10,5,PM,10:05 PM,PINCONNING,,,17,BAY,26,MICHIGAN,PINCONNING,CODY ESTEY RD,Y,Public,A,Auto,28.0,2.0,South,3,Moving over crossing,1,Train (units pulling),1,2,Rail equipment struck by highway user,2,Rail equipment,,,,,,35,4,Dark,2,Cloudy,1,Freight Train,1,Main,SINGLE MAIN TRACK,2.0,2,36,28.0,R,2.0,South,7,11.0,,,,,,,,,,,Crossbucks,Other,,,,,,,,,,,,,,,,,1.0,Both sides,No,Yes,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,1,5000,1,0,0,,No,0,0,,,,,,0,1,3L,1,0,1,4.0,,,DM57147198611,,,,DM,Detroit & Mackinac Railway Company,Not Assigned,,,,,,,,,,DM,Detroit & Mackinac Railway Company,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=57147&RptType=A&TxtCrossingNum=250900E
