,OBJECTID,RTE_CN,ID,NAME,BMP,EMP,SEG_LENGTH,GIS_MILES,SYMBOL,MVUM_SYMBOL_NAME,JURISDICTION,OPERATIONALMAINTLEVEL,SURFACETYPE,SYSTEM,SEASONAL,PASSENGERVEHICLE,PASSENGERVEHICLE_DATESOPEN,HIGHCLEARANCEVEHICLE,HIGHCLEARANCEVEHICLE_DATESOPEN,TRUCK,TRUCK_DATESOPEN,BUS,BUS_DATESOPEN,MOTORHOME,MOTORHOME_DATESOPEN,FOURWD_GT50INCHES,FOURWD_GT50_DATESOPEN,TWOWD_GT50INCHES,TWOWD_GT50_DATESOPEN,TRACKED_OHV_GT50INCHES,TRACKED_OHV_GT50_DATESOPEN,OTHER_OHV_GT50INCHES,OTHER_OHV_GT50_DATESOPEN,ATV,ATV_DATESOPEN,MOTORCYCLE,MOTORCYCLE_DATESOPEN,OTHERWHEELED_OHV,OTHERWHEELED_OHV_DATESOPEN,TRACKED_OHV_LT50INCHES,TRACKED_OHV_LT50_DATESOPEN,OTHER_OHV_LT50INCHES,OTHER_OHV_LT50_DATESOPEN,ADMINORG,SECURITYID,DISTRICTNAME,FORESTNAME,FIELD_ID,SBS_SYMBOL_NAME,ROUTESTATUS,GLOBALID,TA_SYMBOL,SHAPE,SHAPELEN
15,213,410958010602,934.S,MINE 8.4,0.0,0.5,0.5,0.53,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,934.S,"Road, Not Maintained for Passenger Car",EX - EXISTING,{2F132843-D62A-4756-A1EF-C8D654EC6657},6,,0.0076296924700488
16,214,3149010454,261.1J,CEDAR PASS SPUR 1J,0.0,0.266,0.266,0.277,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20602,206,Brush Creek-Hayden Ranger District,Medicine Bow-Routt National Forest,261.1J,"Road, Not Maintained for Passenger Car",EX - EXISTING,{3E84E769-AA27-4C1B-A50D-CB0C01241681},6,,0.0041372021264393
17,215,493010454,502.1,DRIVEWAY,0.0,5.0,5.0,4.239,2,"Roads open to all Vehicles, Seasonal",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,20603,206,Hahns Peak-Bears Ears Ranger District,Medicine Bow-Routt National Forest,502.1,"Road, Not Maintained for Passenger Car",EX - EXISTING,{CD97FE10-36ED-4F69-A3BF-0479548B3F24},6,,0.0689028698576856
18,216,410057010602,1107.AA,1107.AA,0.0,0.4,0.4,0.409,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,1107.AA,"Road, Not Maintained for Passenger Car",EX - EXISTING,{CA8927C9-E54E-415D-BE98-DCC92008C904},6,,0.0076010212881909
19,217,1719010454,713.DF,NORTH RIDGE RD SPUR DF,0.0,0.4,0.4,0.388,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20605,206,Laramie Ranger District,Medicine Bow-Routt National Forest,713.DF,"Road, Not Maintained for Passenger Car",EX - EXISTING,{D0B7C44F-189F-434A-9578-42A0528DAD7C},6,,0.0065308090265542
20,221,60010307,132,IR PINE CREEK SOUTH,0.0,4.6,4.6,4.645,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,4 - MODERATE DEGREE OF USER COMFORT,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,91403,914,Ironton Ranger District,Wayne National Forest,132,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{C10999F0-03C9-4B63-9849-201CD56B300A},4,,0.0731104258141784
21,225,29010307,1962,"IR VESUVIUS, TWO POINTS",0.0,0.13,0.13,0.166,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,5 - HIGH DEGREE OF USER COMFORT,AC - ASPHALT,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,04/05-10/05,open,04/05-10/05,open,04/05-10/05,open,04/05-10/05,open,04/05-10/05,,,,,,,,,,,,,,,,,,,91403,914,Ironton Ranger District,Wayne National Forest,1962,Paved Road,EX - EXISTING,{9442C827-4BE9-4A05-9BF7-3E87A045C605},3,,0.0031284705430448
22,226,126010307,614,IR SYMMES CREEK TRAILHEAD,0.0,0.044,0.044,0.04,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,91403,914,Ironton Ranger District,Wayne National Forest,614,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{AA57E070-725C-4F72-AD3F-8E18D87FFEF4},4,,0.0006328879052279
23,235,130010307,1985,ARD COMPANY ROAD,0.0,1.2277,1.2277,1.202,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,5 - HIGH DEGREE OF USER COMFORT,P - PAVED,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,91401,914,Athens Ranger District,Wayne National Forest,1985,Paved Road,EX - EXISTING,{938EEE18-FBEF-43FF-98C2-F07A3E933552},3,,0.0211011302241559
24,236,37010307,1963,IR DUMP STATION,0.0,0.0493,0.0493,0.068,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,5 - HIGH DEGREE OF USER COMFORT,AC - ASPHALT,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,04/05-10/05,open,04/05-10/05,open,04/05-10/05,open,04/05-10/05,open,04/05-10/05,,,,,,,,,,,,,,,,,,,91403,914,Ironton Ranger District,Wayne National Forest,1963,Paved Road,EX - EXISTING,{47B956E3-EB9D-48BE-A0B4-569EACE2B551},3,,0.0011622137976993
25,237,1251010421,810,WEST DEERFIELD,0.0,1.0,1.0,0.95,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,4 - MODERATE DEGREE OF USER COMFORT,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,05/15-12/15,open,05/15-12/15,open,05/15-12/15,open,05/15-12/15,open,05/15-12/15,,,,,,,,,,,,,,,,,,,20303,203,Hell Canyon Ranger District,Black Hills National Forest,810,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{47544E34-656E-4BE4-9853-FC54F10DAEDF},4,,0.0173467854967781
26,238,11960010421,336.1O,FLYNN CREEK BR 1O,0.0,0.45,0.45,0.473,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,05/15-12/15,open,05/15-12/15,open,05/15-12/15,open,05/15-12/15,open,05/15-12/15,,,,,,,,,,,,,,,,,,,20303,203,Hell Canyon Ranger District,Black Hills National Forest,336.1O,"Road, Not Maintained for Passenger Car",EX - EXISTING,{A11EACC3-BF31-4847-A94C-88FBBB4D6882},6,,0.0068601379746265
27,239,116192010602,205.1A,HALLWAY BRANCH 1A,0.0,1.15,1.15,1.204,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,20308,203,Northern Hills Ranger District,Black Hills National Forest,205.1A,"Road, Not Maintained for Passenger Car",EX - EXISTING,{38B8CD32-3F3A-4C45-81C9-9894E75B2562},6,,0.0170517864762288
28,245,110010307,586,IR BOWEN CEMETERY,0.0,1.1,1.1,1.094,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,91403,914,Ironton Ranger District,Wayne National Forest,586,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{96E5071D-FC64-4A31-B270-98FE4985F97C},4,,0.0186281387730567
29,252,25010307,1956A,IR OAK HILL SPUR A,0.0,0.1346,0.1346,0.147,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,5 - HIGH DEGREE OF USER COMFORT,AC - ASPHALT,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,04/05-10/05,open,04/05-10/05,open,04/05-10/05,open,04/05-10/05,open,04/05-10/05,,,,,,,,,,,,,,,,,,,91403,914,Ironton Ranger District,Wayne National Forest,1956A,Paved Road,EX - EXISTING,{CEC8B66D-12FE-45FD-9107-3CFD49317069},3,,0.0021007026237655
30,253,99010307,190,ARD LANE FARM,0.0,0.1071,0.1071,0.117,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,5 - HIGH DEGREE OF USER COMFORT,P - PAVED,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,91401,914,Athens Ranger District,Wayne National Forest,190,Paved Road,EX - EXISTING,{2AA05A7E-EABA-4F37-83ED-65AFB9743C28},3,,0.0018890098874669
31,261,278010474,24A,INFOR STATION,0.0,0.1,0.1,0.1,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,4 - MODERATE DEGREE OF USER COMFORT,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,80211,802,Cumberland Ranger District,Daniel Boone National Forest,24A,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{1C321290-2C42-4B85-8824-3E79F9848DC3},4,,0.0016123137547857
32,262,2165010474,1017K,TWIN KNOBS,0.0,0.4,0.4,0.414,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,5 - HIGH DEGREE OF USER COMFORT,BST - BITUMINOUS SURFACE TREATMENT,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,03/15-10/31,open,03/15-10/31,open,03/15-10/31,open,03/15-10/31,open,03/15-10/31,,,,,,,,,,,,,,,,,,,80211,802,Cumberland Ranger District,Daniel Boone National Forest,1017K,Paved Road,EX - EXISTING,{83F52192-A506-4A78-82B2-3F8F7FD7011F},3,,0.0059623217621437
33,263,2567010454,498,HOLROYD PARK,4.31,9.73,5.42,5.336,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20602,206,Brush Creek-Hayden Ranger District,Medicine Bow-Routt National Forest,498,"Dirt Road, Suitable for Passenger Car",EX - EXISTING,{5A64BE57-46BA-4D19-B9D6-5C958202778A},5,,0.0950523371423792
34,265,1453010474,6279C,OAK RIDGE,0.0,0.9,0.9,0.424,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,IMP - IMPROVED NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,80216,802,Stearns Ranger District,Daniel Boone National Forest,6279C,"Road, Not Maintained for Passenger Car",EX - EXISTING,{AAD77243-EC4A-441E-9BF4-95759B8C8EF1},6,,0.0060708152040708
35,272,219010307,3602,ARD FR-3602 P LOT 5 ACCESS,0.0,0.2614,0.2614,0.267,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,4 - MODERATE DEGREE OF USER COMFORT,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,04/15-12/15,open,04/15-12/15,open,04/15-12/15,open,04/15-12/15,open,04/15-12/15,,,,,,,,,,,,,,,,,,,91401,914,Athens Ranger District,Wayne National Forest,3602,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{C4BEF625-73E7-45F8-B845-2643459FACAF},4,,0.0041586497314856
36,301,2157010454,523.B,NORTH FORK RIDGE ROAD,0.0,1.26,1.26,1.228,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20605,206,Laramie Ranger District,Medicine Bow-Routt National Forest,523.B,"Road, Not Maintained for Passenger Car",EX - EXISTING,{F5325B88-D0E8-4757-84E3-926E68B9C2FB},6,,0.0222582134248989
37,302,1265010454,289.1,JEB'S LOOP,0.0,0.25,0.25,0.244,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20603,206,Hahns Peak-Bears Ears Ranger District,Medicine Bow-Routt National Forest,289.1,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{EDF81A4A-C7FC-4F55-9E20-A5BDDF6AB2E4},4,,0.0041278794424581
