,Alert ID,Event ID,Update Number,Date,Agency,Status Label,Affected,Header,Description
37,310601,149235,0,04/27/2024 08:32:00 PM,NYCT Bus,cancellations,BXM7,"The following BxM7 bus trips will not run: 
From E 23rd St/Madison Ave: 5:10 PM
From Dreiser Loop/Defoe Pl: 6:30 PM",We're running as much service as we can with the bus operators we have available. Check bt.mta.info before you travel.
38,310600,149234,0,04/27/2024 08:27:00 PM,NYCT Bus,cancellations,BXM2,"The following BxM2 bus trip will not run:
From Riverdale Ave/W 261st St: 10:00 PM",We're running as much service as we can with the bus operators we have available. Check bt.mta.info before you travel.
39,310599,149233,0,04/27/2024 08:25:00 PM,NYCT Bus,cancellations,BXM2,"The following BxM2 bus trips will not run: 
From 6th Ave/ W 35th St: 4:15 PM
From Riverdale Ave/W 261st St: 6:00 PM",We're running as much service as we can with the bus operators we have available. Check bt.mta.info before you travel.
40,310598,149232,0,04/27/2024 08:22:00 PM,NYCT Bus,cancellations,BXM1,"The following BxM1 bus trips will not run: 
From Riverdale Ave/W 261st St: 5:15 PM
From Madison Ave/E 33rd St: 6:55 PM",We're running as much service as we can with the bus operators we have available. Check bt.mta.info before you travel.
41,310597,149231,0,04/27/2024 07:21:00 PM,NYCT Bus,detour,BM1 | BM2 | BM3 | BM4 | BM5,"Northbound BM1, BM2, BM3, BM4, and BM5 buses are detoured due to a street fair on Madison Ave between 23rd St and 36th St.","BM1, BM2, BM3, and BM4 buses will not serve stops from E 23rd St/Park Ave S to Madison Ave/E 40th St. 

BM5 buses will not serve stops from E 34th St/3rd Ave to Madison Ave/E 40th St. 

Requested stops will made along 3rd Ave. 

Note: Bus arrival information may not be available/accurate while buses are detoured."
42,310596,149230,0,04/27/2024 07:02:00 PM,MNR,some-delays,New Haven,The 2:05pm train from Grand Central to Stamford is operating 10-15 minutes late at this time.,
43,310595,149229,0,04/27/2024 06:47:00 PM,NYCT Subway,delays,E,E trains are running with delays in both directions after EMS responded to a person in need on a train at Jamaica Center-Parsons/Archer.,
44,310591,149228,0,04/27/2024 06:12:00 PM,NYCT Subway,delays,F,Southbound F trains are delayed while we investigate why a train's brakes were activated at W 4 St-Wash Sq.,
45,310592,149228,1,04/27/2024 06:22:00 PM,NYCT Subway,delays,F,Southbound D F trains are delayed while we investigate why a train's brakes were activated at W 4 St-Wash Sq.,
46,310593,149228,2,04/27/2024 06:24:00 PM,NYCT Subway,delays,D | F,Southbound D F trains are delayed while we investigate why a train's brakes were activated at W 4 St-Wash Sq.,
47,310594,149228,3,04/27/2024 06:31:00 PM,NYCT Subway,delays,D | F,Southbound D F trains are running with delays after we removed a train with a mechanical problem from service at W 4 St-Wash Sq.,
48,310590,149227,0,04/27/2024 05:52:00 PM,NYCT Bus,detour,Q112,Eastbound Q112 buses are detoured due to train track work on Liberty Ave between 96th St and 99th St.,"While detoured, you may notice a few extra turns, but no stops will be missed."
49,310589,149226,0,04/27/2024 05:25:00 PM,NYCT Subway,delays,E | F,E F trains are running at slower speeds in both directions near Kew Gardens-Union Tpke while we perform planned track work in the area.,Expect delays in E F train service in both directions.
