,Year,ARID,AgencyName,AgencyDesc,ParkingPlacardNumber,ParkingPlacardType,IssuingAuthority,GovernmentVehicle,PrivateVehicle,VehiclePlateState,AgencyType,ApplicationPlacardType,ParkingRestriction,Active,ActivePermit,ABPermitNumber,ABP_IssueDate,ABP_EffectiveDate,ABP_ExpirationDate,IssueReason,ABPermitRecords.Active,PermitType,DeactivateDate,Returned,ReturnDate
10,2008,11,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800198,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800198,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
11,2008,12,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800199,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800199,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
12,2008,13,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800200,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800200,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
13,2008,14,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800201,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800201,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
14,2008,15,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800202,AB,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800202,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
15,2008,16,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800203,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800203,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
16,2008,17,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800204,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800204,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
17,2008,18,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800205,AB,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800205,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
18,2008,19,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800206,AB,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800206,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
19,2008,20,DEP,DEPT OF ENVIRONMENTAL PROTECTION,807037,NPA,DOT,NO,YES,NY,NYC,CAPP,DAYS/7AM - 8PM,True,True,807037,06/09/2008,05/01/2008,02/01/2009,2,True,CAPP,,False,
20,2008,21,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800208,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800208,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
21,2008,22,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800209,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800209,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
22,2008,23,DEP,DEPT OF ENVIRONMENTAL PROTECTION,800210,NPA,DOT,YES,NO,NY,NYC,CAPP,DAYS/7AM - 8PM,True,False,800210,04/11/2008,05/01/2008,02/01/2009,1,False,CAPP,11/20/2009,True,11/20/2009
23,2008,24,DHS,DEPARTMENT OF HOMELESS SERVICES,800211,MAYOR'S OFFICE,DOT,YES / CITY,YES,NEW YORK,NYC,CAPP,NO RESTRICTIONS REQUIRES 365 DAYS / 24 HOUR PERMIT,True,True,800211,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
24,2008,25,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800391,,,No,Yes,NYS,NYC,AAOSP,,True,True,800391,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
25,2008,26,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800392,,,No,Yes,NYS,NYC,AAOSP,,True,True,800392,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
26,2008,27,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800393,,,No,Yes,NYS,NYC,AAOSP,,True,True,800393,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
27,2008,28,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800394,,,No,Yes,NYS,NYC,AAOSP,,True,True,800394,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
28,2008,29,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800395,,,No,Yes,NYS,NYC,AAOSP,,True,True,800395,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
29,2008,30,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800396,,,No,Yes,NYS,NYC,AAOSP,,True,True,800396,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
30,2008,31,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800397,,,No,Yes,NJ,NYC,AAOSP,,True,True,800397,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
31,2008,32,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800398,,,No,Yes,NYS,NYC,AAOSP,,True,True,800398,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
32,2008,33,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800399,,,No,Yes,NYS,NYC,AAOSP,,True,True,800399,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
33,2008,34,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800400,,,No,Yes,NYS,NYC,AAOSP,,True,True,800400,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
34,2008,35,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800212,,,City,no,NY,NYC,CAPP,unlimited,True,True,800212,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
35,2008,36,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800401,,,No,yes,NJ,NYC,AAOSP,,True,True,800401,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
36,2008,37,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800213,,,City,no,NY,NYC,CAPP,unlimited,True,True,800213,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
37,2008,38,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800402,,,No,Yes,VA,NYC,AAOSP,,True,True,800402,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
38,2008,39,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800403,,,No,yes,MARYLAND,NYC,AAOSP,,True,True,800403,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
39,2008,40,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800404,,,No,yes,NY,NYC,AAOSP,,True,True,800404,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
40,2008,41,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800214,,,City,no,NY,NYC,CAPP,unlimited,True,True,800214,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
41,2008,42,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800405,,,No,Yes,NJ,NYC,AAOSP,,True,True,800405,04/11/2008,05/01/2008,02/01/2009,1,True,AAOSP,,False,
42,2008,43,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800215,,,No,Yes,NY,NYC,CAPP,unlimited,True,True,800215,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
43,2008,44,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800216,,,City,no,NY,NYC,CAPP,unlimited,True,True,800216,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
44,2008,45,DJJ,DEPARTMENT OF JUVENILE JUSTICE,817322,,,No,Yes,NY,NYC,CAPP,unlimited,True,True,817322,09/10/2008,05/01/2008,02/01/2009,2,True,CAPP,,False,
45,2008,46,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800218,,,City,no,NY,NYC,CAPP,unlimited,True,True,800218,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
46,2008,47,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800219,,,No,Yes,NY,NYC,CAPP,unlimited,True,True,800219,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
47,2008,48,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800220,,,City,no,NY,NYC,CAPP,unlimited,True,True,800220,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
48,2008,49,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800221,,,No,Yes,NY,NYC,CAPP,unlimited,True,True,800221,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
49,2008,50,DJJ,DEPARTMENT OF JUVENILE JUSTICE,800222,,,No,Yes,NY,NYC,CAPP,unlimited,True,True,800222,04/11/2008,05/01/2008,02/01/2009,1,True,CAPP,,False,
