,Year,State_Code,Is_Metric,County_Code,Section_ID,Is_Sample,Is_Donut,Is_Grouped,LRS_ID,Begin_LRS,End_LRS,Rural/Urban,Sampling_Tech,Urban_Code,NonATT_Code,F_System,GF_System,NHS,Unbuilt_Facility,Inter_Route_Number,Route_Signing,Route_Qualifier,Route_Number,Ownership,Special_Systems,Type_Facility,Truck_Route,Toll,Section__Length,Donut_Volume_Group,STD_Volume_Group,AADT,Through_Lanes,IRI,PSR,HOV,Surv_A,Surv_B,Surv_C,Surv_D,Surv_E,Surv_F,Surv_G,Surv_H,Surv-I
18,2008,1,0,1,FU7798000720,0,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7798,4,0,2,0,0,0.33,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
19,2008,1,0,1,FU7798001050,1,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7798,4,0,2,0,0,0.82,0,2,1527,2,128,0,0,0,0,0,0,0,0,0,0,0
20,2008,1,0,1,FU7799000000,1,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7798,4,0,2,0,0,1.2,0,2,1812,2,150,0,0,0,0,0,0,0,0,0,0,0
21,2008,1,0,1,FU7801000000,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7801,4,0,2,0,0,0.3,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
22,2008,1,0,1,FU7802000000,1,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7802,4,0,2,0,0,0.56,0,4,8973,2,171,0,0,0,0,0,0,0,0,0,0,0
23,2008,1,0,1,FU7802000560,0,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7802,4,0,2,0,0,0.41,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
24,2008,1,0,1,FU7802001280,1,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7802,4,0,2,0,0,1.53,0,2,1507,2,133,0,0,0,0,0,0,0,0,0,0,0
25,2008,1,0,1,FU7802002510,0,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7802,4,0,2,0,0,0.29,0,1,539,2,0,0,0,0,0,0,0,0,0,0,0,0
26,2008,1,0,1,FU7804000000,1,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,0,4,0,2,0,0,1.28,0,6,24349,4,138,0,0,0,0,0,0,0,0,0,0,0
27,2008,1,0,1,FU7804001280,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7804,4,0,2,0,0,0.44,0,1,539,2,0,0,0,0,0,0,0,0,0,0,0,0
28,2008,1,0,1,FU7804001720,1,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,0,4,0,2,0,0,0.38,0,6,24773,4,112,0,0,0,0,0,0,0,0,0,0,0
29,2008,1,0,1,FU7806000000,1,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7806,4,0,2,0,0,1.1,0,4,8097,2,146,0,0,0,0,0,0,0,0,0,0,0
30,2008,1,0,1,FU7807000000,0,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7807,4,0,2,0,0,0.94,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
31,2008,1,0,1,FU7809000000,0,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7809,4,0,2,0,0,1.94,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
32,2008,1,0,1,FU7810000000,1,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7810,4,0,2,0,0,1.08,0,2,3694,2,282,0,0,0,0,0,0,0,0,0,0,0
33,2008,1,0,1,FU7810001080,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7810,4,0,2,0,0,0.15,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
34,2008,1,0,1,FU7810001230,1,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7810,4,0,2,0,0,1.06,0,2,3339,2,124,0,0,0,0,0,0,0,0,0,0,0
35,2008,1,0,1,FU7810002290,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7810,4,0,2,0,0,0.4,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
36,2008,1,0,1,FU7811000000,0,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7811,4,0,2,0,0,0.48,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
37,2008,1,0,1,FU7811000480,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7811,4,0,2,0,0,0.27,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
38,2008,1,0,1,FU7811000750,1,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7811,4,0,2,0,0,1.08,0,2,3842,2,129,0,0,0,0,0,0,0,0,0,0,0
39,2008,1,0,1,FU7811001830,1,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7811,4,0,2,0,0,0.58,0,2,3132,2,138,0,0,0,0,0,0,0,0,0,0,0
40,2008,1,0,1,FU7811002410,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7811,4,0,2,0,0,0.21,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
41,2008,1,0,1,FU7811002620,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7811,4,0,2,0,0,0.24,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
42,2008,1,0,1,FU7811002860,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7811,4,0,2,0,0,0.5,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
43,2008,1,0,1,FU7812000000,0,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7812,4,0,2,0,0,1.73,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
44,2008,1,0,1,FU7812001730,0,0,0,0,0.0,0.0,4,0,115,0,17,5,0,0,0,7,0,7812,4,0,2,0,0,0.06,0,1,147,2,0,0,0,0,0,0,0,0,0,0,0,0
45,2008,1,0,1,FU7813000000,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7813,4,0,2,0,0,0.59,0,3,9300,2,0,0,0,0,0,0,0,0,0,0,0,0
46,2008,1,0,1,FU7813000590,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7813,4,0,2,0,0,1.11,0,3,9555,2,0,0,0,0,0,0,0,0,0,0,0,0
47,2008,1,0,1,FU7813001700,0,0,0,0,0.0,0.0,4,0,115,0,16,4,0,0,0,7,0,7813,4,0,2,0,0,0.06,0,5,19218,2,0,0,0,0,0,0,0,0,0,0,0,0
48,2008,1,0,1,INT065000000,1,0,0,INT065000000,181.572,185.636,4,0,115,0,11,1,1,1,65,1,0,65,1,1,2,1,0,4.064,0,2,36230,4,44,0,0,0,0,0,0,0,0,0,0,0
49,2008,1,0,1,INT065004064,0,0,0,INT065000000,185.636,188.36,1,0,0,0,1,1,1,1,65,1,0,65,1,1,2,1,0,2.724,0,4,33035,4,38,0,0,0,0,0,0,0,0,0,0,0
