,global_instance_id,run_id,run_instance_id,parent_instance_id,leader_radar,leader_veh_type,follower_radar,follower_veh_type,start_time,end_time,road_type,congestion,speed_limit,rural_urban,num_lanes,current_lane,signage,wz_markers,wz_status,wz_enforcement
24,401025,401,25,19,10,pc,1,pc,00:31:54.770,00:32:24.270,wz1is,c,40,u,1,1,,"c,d",p,True
25,401026,401,26,19,10,pc,1,pc,00:32:24.280,00:32:36.220,wz2is,u,40,u,1,1,,jb,p,False
26,401027,401,27,19,10,pc,1,pc,00:32:36.230,00:32:42.800,wz2is,u,40,u,2,2,,jb,p,False
27,401028,401,28,20,0,pc,10,pc,00:31:30.610,00:31:54.760,tzis,c,40,u,1,1,fa,,,
28,401029,401,29,20,0,pc,10,pc,00:31:54.770,00:32:24.270,wz1is,c,40,u,1,1,,"c,d",p,True
29,401030,401,30,20,0,pc,10,pc,00:32:24.280,00:32:36.220,wz2is,u,40,u,1,1,,jb,p,False
30,401031,401,31,20,0,pc,10,pc,00:32:36.230,00:32:42.800,wz2is,u,40,u,2,2,,jb,p,False
31,401032,401,32,21,10,pc,1,pc,00:32:53.140,00:33:41.470,wz2is,u,40,u,2,2,,jb,p,False
32,401033,401,33,22,0,pc,10,pc,00:34:29.680,00:34:50.760,is,u,55,u,3,2,,,,
33,401034,401,34,22,0,pc,10,pc,00:34:50.770,00:35:20.950,is,u,45,u,2,2,,,,
34,401035,401,35,23,10,pc,1,pc,00:34:29.680,00:34:50.760,is,u,55,u,3,2,,,,
35,401036,401,36,23,10,pc,1,pc,00:34:50.770,00:35:01.230,is,u,45,u,2,2,,,,
36,401037,401,37,24,10,pc,1,pc,00:35:01.240,00:35:22.250,is,u,45,r,2,2,,,,
37,401038,401,38,24,10,pc,1,pc,00:35:22.260,00:36:43.240,is,u,55,r,3,2,,,,
38,401039,401,39,25,0,pc,10,pc,00:36:26.130,00:37:15.640,is,u,55,r,3,2,,,,
39,401040,401,40,26,10,pc,1,pc,00:37:04.100,00:37:18.610,is,u,55,r,3,2,,,,
40,401041,401,41,27,10,pc,1,pc,00:37:43.040,00:38:20.530,is,u,55,r,3,2,,,,
41,402001,402,1,1,0,hv,10,pc,00:01:38.220,00:02:17.310,is,u,55,r,3,3,,,,
42,402002,402,2,2,10,pc,1,pc,00:03:31.870,00:03:44.060,is,u,55,r,3,2,,,,
43,402003,402,3,3,10,pc,1,pc,00:04:23.120,00:04:40.010,is,u,55,r,3,2,,,,
44,402004,402,4,3,10,pc,1,pc,00:04:40.020,00:06:02.890,is,u,45,r,2,2,,,,
45,402005,402,5,3,10,pc,1,pc,00:06:02.900,00:06:45.570,awis,u,45,r,3,2,w20-1,,,
46,402006,402,6,3,10,pc,1,pc,00:06:45.580,00:07:22.550,tzis,u,45,u,3,2,fa,,,
47,402007,402,7,3,10,pc,1,pc,00:07:22.560,00:09:13.380,wz2is,u,40,u,2,1,,jb,p,False
48,402008,402,8,4,0,hv,10,pc,00:04:40.020,00:05:13.010,is,u,45,r,2,2,,,,
49,402009,402,9,5,0,pc,10,pc,00:05:45.920,00:06:02.890,is,u,45,r,2,2,,,,
