,objectid,globalid,Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
23,10181,{CF0AEC62-6919-425F-8CA0-A4957EFCA9F6},roadway,THE DOLAR SHOP,THE DOLAR SHOP RESTAURANT GROUP LLC,THE DOLAR SHOP,133-53,37AVE,Queens,11354,"133-53 37AVE, Queens, NY",50043433,,,,35.0,6.0,210.0,no,yes,no,,,no,,yes,08/12/2020 03:56:00 PM,40.760911,-73.832872,7.0,20.0,869.0,4534920.0,4049707501.0,Flushing
24,13193,{BE79C0F6-1072-436C-80E4-B5FDE3A2CB46},sidewalk,CAFE D'ALSACE,SIMPLE FOOD LLC,CAFE D'ALSACE,,1705 2 AVENUE,Manhattan,10128,"1705 2 AVENUE, Manhattan, NY",50116334,40.0,19.0,760.0,,,,yes,no,yes,Feb-51,OP,no,,yes,01/26/2022 03:29:00 PM,40.779378,-73.950663,8.0,5.0,14602.0,1048848.0,1015340024.0,Yorkville
25,10704,{4B8FBC70-7370-4DE3-81F7-DB7227AD066D},openstreets,RIVERCREST,RIVERCREST INC.,RIVERCREST,undefined,3315 DITMARS BLVD,Queens,11105,"3315 DITMARS BLVD, Queens, NY",50089355,,,,,,,no,no,yes,Jan-09,OP,no,,yes,08/28/2020 01:14:00 PM,40.775294,-73.909498,1.0,22.0,113.0,4442357.0,4008307501.0,Steinway
26,941,11e1fe1c-c23a-446a-8594-ba6c9aaa957a,sidewalk,Estrellita Poblana,Gonzalez Jimenez Corp.,Estrellita Poblana,2231,Westchester Ave,Bronx,10462,"2231  Westchester Ave, Bronx, NY",41244032,7.0,38.0,266.0,,,,yes,no,yes,1259128,OP,no,,yes,06/19/2020 02:16:00 PM,40.834299,-73.850796,10.0,18.0,20601.0,2041408.0,2039630064.0,Westchester-Unionport
27,7647,{9EF45205-9BE8-4DE7-8329-08A88D93F8F2},roadway,La Linea,Allegra Allegra Inc.,Allegra Allegra Inc. d/b/a La Linea,15,First Avenue,Manhattan,10003,"15 First Avenue, Manhattan, NY",40399620,,,,16.0,8.0,128.0,no,yes,yes,Jan-04,OP,no,,yes,07/07/2020 08:37:00 PM,40.72337,-73.988365,3.0,2.0,3602.0,1006098.0,1004430038.0,East Village
28,3168,{41d256f5-f798-41ba-8f74-c1d4d5ae775f},sidewalk,Kelly s,Sondra tesseyman,Kelly's Corp                      tesseyman,31-04,Crescent street,Queens,11106,"31-04 Crescent street, Queens, NY",G780969,20.0,5.0,100.0,,,,yes,no,yes,G780969,OP,no,,yes,06/21/2020 10:11:00 PM,40.765485,-73.926544,1.0,22.0,75.0,4006667.0,4005690054.0,Astoria
29,8737,{AC19D631-707D-4733-8C66-3FA0F78FD317},both,Tiberias,Sternbach holdings llc,Tiberias,45 E,34th st,Manhattan,10016,"45 E 34th st, Manhattan, NY",41474224,30.0,10.0,300.0,15.0,6.0,90.0,yes,yes,yes,Dec-51,RW,no,,yes,07/17/2020 12:37:00 PM,40.747573,-73.982482,6.0,2.0,74.0,1017099.0,1008640027.0,Midtown-Midtown South
30,5572,{EC039268-3E3A-43C8-8450-C3F2E1AD3D6B},both,Sabor Andino,SABOR ANDINO #2 INC,SABOR ANDINO #2 INC,6314,14th Avenue,Brooklyn,11219,"6314  14th Avenue , Brooklyn, NY",41682968,24.0,17.0,408.0,24.0,8.0,192.0,yes,yes,yes,839335,RW,no,,yes,06/25/2020 08:40:00 PM,40.625682,-73.998271,10.0,38.0,194.0,3141852.0,3057400044.0,Dyker Heights
31,10238,{85BFBE61-D8A6-41A0-8999-31298F274D3C},sidewalk,Oso,"Oso Hamilton Heights, LLC","Oso Hamilton Heights, LLC",1616,Amsterdam Ave,Manhattan,10031,"1616 Amsterdam Ave, Manhattan, NY",50035069,23.0,12.0,276.0,,,,yes,no,yes,Jun-15,OP,no,,yes,08/14/2020 10:50:00 AM,40.821836,-73.950107,9.0,7.0,225.0,1061738.0,1020710036.0,Hamilton Heights
32,12153,{B14DAB32-C6E7-4E97-8578-2F09356900FD},both,ACCESS INITIATIVES,ACCESS INITIATIVES LLC,ACCESS INITIATIVES,undefined,2162 3 AVENUE,Manhattan,10035,"2162 3 AVENUE, Manhattan, NY",50109061,40.0,4.0,160.0,40.0,8.0,320.0,yes,yes,no,,,no,,yes,03/31/2021 09:29:00 PM,40.799354,-73.938989,11.0,8.0,182.0,1081471.0,1017670033.0,East Harlem North
33,14083,{8216CA88-BC81-4187-853A-5A77EF3BE4AD},sidewalk,TU CASA RESTAURANT,TU CASA RESTAURANT CORP.,TU CASA RESTAURANT,,11905 METROPOLITAN AVENUE,Queens,11415,"11905 METROPOLITAN AVENUE, Queens, NY",41037850,24.0,12.0,288.0,,,,yes,no,yes,1301368,OP,no,,yes,03/29/2023 07:51:00 PM,40.70606,-73.831441,9.0,29.0,136.0,4192758.0,4092300087.0,Kew Gardens
34,2860,{7d6be8d0-f1a8-428c-88e0-63686bece345},sidewalk,Bayridge Sushi,"Bayridge Japanese Cuisine, Inc","Bayridge Japanese Cuisine, Inc",6914,3rd Ave,Brooklyn,11209,"6914  3rd Ave , Brooklyn, NY",50039979,20.0,10.0,200.0,,,,yes,no,yes,1289996,RW,no,,yes,06/21/2020 01:09:00 PM,40.635524,-74.026136,10.0,43.0,68.0,3145624.0,3058710050.0,Bay Ridge
35,4174,{D545ED7D-49F1-45E1-8111-C77B100226F1},roadway,Delice & Sarrasin,Delice & Sarrasin llc,Delice & Sarrasin llc,20,christopher street,Manhattan,10014,"20 christopher street, Manhattan, NY",50016926,,,,14.0,6.0,84.0,no,yes,no,,,yes,yes,yes,06/23/2020 09:58:00 AM,40.733919,-74.00066,2.0,3.0,71.0,1010278.0,1005930042.0,West Village
36,8037,{CB544D97-79A9-4D9E-8929-4469CED3E8DA},both,El lider bar restaurant,El lider bar restaurant,El lider bar restaurant,4535,Park ave,Bronx,10457,"4535  Park ave , Bronx, NY",41271537,13.0,19.0,247.0,13.0,8.0,104.0,yes,yes,yes,Aug-51,OP,no,,yes,07/10/2020 03:58:00 PM,40.855498,-73.894857,6.0,15.0,38302.0,2011173.0,2030300159.0,Fordham South
37,8408,{FF9CBE26-56A2-456D-8880-9EA3FD2EE4A6},both,El Cantinero,Beau Maison Corp,El Cantinero,86,University Place,Manhattan,10003,"86 University Place, Manhattan, NY",40392834,24.0,8.0,192.0,24.0,8.0,192.0,yes,yes,yes,###############################################################################################################################################################################################################################################################,OP,no,,yes,07/14/2020 08:57:00 PM,40.733576,-73.993105,2.0,2.0,61.0,1009284.0,1005690025.0,West Village
38,54,8ad08283-22e5-4da9-8c5e-5fe161589b5b,both,Holy Schnitzel,Yoniski Caterers LLC,Yoniski Caterers LLC,7222,Main Street,Queens,11367,"7222 Main Street, Queens, NY",50065634,15.0,8.0,120.0,15.0,6.0,90.0,yes,yes,no,,,no,,yes,06/19/2020 10:59:00 AM,40.726085,-73.821537,8.0,24.0,77902.0,4143395.0,4066210010.0,Kew Gardens Hills
39,13337,{377D7A02-843C-404D-8A3A-8AF2E203CF58},both,KAHKOW,KAHKOW USA LLC,KAHKOW,,97 NORTH   10 STREET,Brooklyn,11249,"97 NORTH   10 STREET, Brooklyn, NY",50091837,27.0,6.0,162.0,27.0,8.0,216.0,yes,yes,no,,,no,,yes,03/22/2022 11:12:00 AM,40.720761,-73.957957,1.0,33.0,557.0,3000000.0,3022960012.0,North Side-South Side
40,12201,{850F169B-DB87-4031-867B-ABD8A0A6EFB0},roadway,MERCADO LA MERCED NYC,MERCADO LA MERCED NYC INC,MERCADO LA MERCED NYC,undefined,1008 MANHATTAN AVENUE,Brooklyn,11222,"1008 MANHATTAN AVENUE, Brooklyn, NY",50105732,,,,18.0,8.0,144.0,no,yes,no,,,no,,yes,04/08/2021 01:09:00 PM,40.733411,-73.954778,1.0,33.0,575.0,3064174.0,3025230005.0,Greenpoint
41,4986,{B308FE96-EC23-4A22-8768-1E90E950AC24},roadway,Mexicue,Mexicue,Mexicue,1440,Broadway,Manhattan,10018,"1440 Broadway, Manhattan, NY",50011690,,,,41.0,8.0,328.0,no,yes,yes,1276762,OP,no,,yes,06/24/2020 03:23:00 PM,40.754611,-73.986761,5.0,4.0,113.0,1022563.0,1009930011.0,Midtown-Midtown South
42,707,8fa01153-6051-4e72-8584-d8fe5e4b52b8,sidewalk,Chama Mama,Chama Mama llc,Chama Mama llc,149 West,14 street,Manhattan,10011,"149 West  14 street , Manhattan, NY",563282,24.0,22.0,528.0,,,,yes,no,yes,1309522,OP,no,,yes,06/19/2020 01:36:00 PM,40.737957,-73.998235,4.0,3.0,81.0,1014516.0,1007900008.0,Hudson Yards-Chelsea-Flatiron-Union Square
43,2710,{e96f1462-eb9f-4c59-8c27-b4bd4acdc7fa},both,POP & POUR,FRANCISCO & FRANCISCO INC DBA POP & POUR,POP & POUR,200-8,"200 Dyckman Street Frnt 8, Frnt 8",Manhattan,10040,"200-8 200 Dyckman Street Frnt 8, Frnt 8, Manhattan, NY",50056063,18.0,11.0,198.0,18.0,8.0,144.0,yes,yes,yes,1307919,OP,no,,yes,06/20/2020 09:51:00 PM,,,,,,,,
44,8443,{A63C2AE1-9833-4804-8D48-FC06A0052A0A},sidewalk,Sushi Teru,Hui&Yuri Inc,Hui&Yuri Inc,165 1/2,Hudson Street,Manhattan,10014,"165 1/2  Hudson Street, Manhattan, NY",4610756,10.0,16.0,160.0,,,,yes,no,yes,Dec-19,RW,yes,yes,yes,07/15/2020 12:51:00 PM,,,,,,,,
45,11115,{DADFBAC1-426A-48C4-852E-79BBBDDE3375},sidewalk,PARISCIEN BAKERY,PARISCIEN BAKERY CORP,Pariscien Bakery,undefined,99-21 NORTHERN BOULEVARD,Queens,11368,"99-21 NORTHERN BOULEVARD, Queens, NY",41014673,30.0,5.0,150.0,,,,yes,no,no,,,no,,yes,09/26/2020 01:02:00 PM,40.757269,-73.869208,3.0,21.0,363.0,4035112.0,4014290034.0,East Elmhurst
46,6987,{18FF16EF-4487-4744-8F34-D6112CEF1BA4},sidewalk,The Alligator Lounge,600 Metropolitan Corp,The Alligator Lounge,600,Metropolitan Avenue,Brooklyn,11211,"600 Metropolitan Avenue , Brooklyn, NY",40999052,14.0,9.0,126.0,,,,yes,no,yes,Oct-16,OP,no,,yes,07/02/2020 03:47:00 PM,40.714102,-73.948882,1.0,34.0,503.0,3068806.0,3027620006.0,East Williamsburg
47,8081,{77265B02-98F9-4B0B-8C88-9526B2168CAC},roadway,Thai Son,Thai Son Restaurant Inc.,Thai Son Restaurant Inc.,89,Baxter Street,Manhattan,10013,"89 Baxter Street, Manhattan, NY",40559606,,,,24.0,8.0,192.0,no,yes,yes,Sep-00,EB,no,,yes,07/11/2020 02:06:00 PM,40.716904,-73.999697,3.0,1.0,29.0,1002370.0,1001990006.0,Chinatown
48,6025,{656A4970-5F8E-48C9-863C-44D94650F49F},sidewalk,TARTINE INC,TARTINE INC,TARTINE INC,285,253 west 11 street,Manhattan,10014,"285 253 west 11 street, Manhattan, NY",40392496,27.0,4.0,108.0,,,,yes,no,no,,,yes,yes,yes,06/27/2020 03:43:00 PM,,,,,,,,
49,3139,{948a9637-3fb0-4d75-888b-58c71b4bdbd8},sidewalk,Denny's,HLK Diner LLC,Denny's,805,Pennsylvania Ave.,Brooklyn,11207,"805  Pennsylvania Ave., Brooklyn, NY",50017990,15.0,4.0,60.0,,,,yes,no,no,,,no,,yes,06/21/2020 09:02:00 PM,40.6579,-73.890098,5.0,42.0,1104.0,3097669.0,3043470015.0,East New York
