,Fiscal Year,Project ID,Project Name,Project Description,Project Address,Current Phase,Current Phase Type,Project URL,Latitude,Longitude,Council Districts,Location
13,2020,P876664,Roof Replacement: College,"This project provides for the replacement/major repair of roofs and entrance canopies on buildings at all three campuses, including the addition of roof insulation as part of the replacement work. Project costs are based on comprehensive roof surveys of all College buildings completed in 2008. An update to this survey was completed in FY18.",,Ongoing,1,,,,,
14,2020,P661401,College Affordability Reconciliation,This project description form (PDF) is used to reconcile Montgomery College's capital budget requests with affordability and the County's bond capacity.,,Ongoing,1,,,,,
15,2020,P382003,Spring Gardens WWPS Replacement,,,Planning Stage,1,,,,,
16,2020,P917587,Reopening of English Manor ES,,,Planning Stage,1,,39.0917,-77.091,3.0,"(39.0917, -77.091)"
17,2020,P083804,Tapestry WWPS Force Main,,,TBA,1,,,,2.0,
18,2020,P083800,Blue Plains WWTP: Enhanced Nutrient Removal,,,TBA,1,https://www.dcwater.com/blue-plains,39.0834,-77.2326,,"(39.0834, -77.2326)"
19,2019,P073800,Seneca WWTP Enhanced Nutrient Removal,,,TBA,1,,,,2.0,
20,2020,P023811,"Clarksburg Triangle Outfall Sewer, Part 2",Check appropriation.,,TBA,1,,,,,
21,2020,P450305,Female Facility Upgrade,"This project provides for the design and construction of locker, shower, and rest rooms for selected fire stations to accommodate the use of these facilities for both male and female staff.",,Ongoing,1,,,,,
22,2020,P023808,Cabin Branch WWPS Force Main,Check appropriation.,,TBA,1,,,,,
23,2020,P083801,Twinbrook Commons Sewer,Check appropriation.,,TBA,1,,,,1.0,
24,2020,P033812,Potomac WFP Submerged Channel Intake,,,TBA,1,,,,,
25,2020,P063807,Cabin John Trunk Sewer Relief,,,,1,,,,,
26,2020,P500403,Stringtown Road Extended,"This project provides for the final design, right-of-way acquisition and construction of a 2,400 foot extension of Stringtown Road westward from Frederick Road (MD 355) to I-270 ramps at existing MD 121. This road will be a four-lane divided closed section arterial highway with two lanes in each direction. It will include a five-foot sidewalk on the south side, an eight-foot bike path on the north side, street trees and streetlights within a 120-foot right of way. Appropriate auxiliary lanes and traffic signals will be provided at the intersections with MD 355 and with Gateway Center Drive.",,Ongoing,1,,39.239751,-77.270569,2.0,"(39.239751, -77.270569)"
27,2020,P056510,Transportation Maintenance Depot,"MCPS transportation depots in the county are near capacity and in need of minor modifications to improve the parking areas for both buses and staff.  Expenditures shown above will be used both to pave the bus and staff parking for many of the transportation depots used by MCPS, and to explore some additional temporary sites for parking buses.  An FY 2005 appropriation was approved for the planning and construction of this project.",,Ongoing,1,,,,,
28,2020,P998703,PLAR: LP - Play Equipment,"Renovation of local park playground equipment, timbers, wood chips, drainage, and edging.",,Ongoing,1,,,,,
29,2020,P711503,21st Century Library Enhancements Level Of Effort,"This level of effort project is intended to maintain and keep technology current in existing libraries by updating technology and technology support systems. When appropriate, upgrades will be coordinated with Library Refurbishment project work.",,Ongoing,1,,,,,
30,2020,P746032,Design and Construction Management,"This project funds positions essential for implementation of the multi-year capital improvements program. Personnel provide project administration, in-house design, and engineering services in the Department of Facilities Management and the Division of Construction. An FY 2015 appropriation was approved for salaries of 44 current staff, legal fees and other non-reimbursable costs for MCPS real estate issues. An FY 2016 appropriation was approved for salaries of current staff, legal fees and other non-reimbursable costs for MCPS real estate issues. An FY 2017 appropriation was approved to continue this level of effort project. An FY 2018 appropriation was approved to continue this project. An FY 2019 appropriation was approved for salaries of current staff, legal fees and other non-reimbursable costs for MCPS real estate issues. An FY 2020 appropriation is requested to continue this level of effort project.",,Ongoing,1,,,,,
31,2020,P078701,Pollution Prevention and Repairs to Ponds & Lakes,"This PDF funds continuing efforts to update and maintain our existing facilities to meet today's standards and enhance environmental conditions throughout the park system. M-NCPPC operates 12 maintenance yards (MY) throughout the County that are regulated as industrial sites under NPDES because bulk materials storage and equipment maintenance have the potential to pollute surface waters. Each MY is subject to NPDES regulations, and must have a Stormwater Pollution Prevention Plans (SWPPPs) in place. SWPPPs are generally a combination of operational efforts and capital projects, such as covered structures for bulk materials and equipment, vehicle wash areas, or stormwater management facilities. In addition, M-NCPPC has identified between 60 and 70 existing farm ponds, lakes, constructed wetlands, irrigation ponds, recreational ponds, nature ponds, and historic dams on park property that do not qualify for funding through Montgomery County's Water Quality Protection program. Based on the results of field inspections, projects are prioritized for design, permitting, and construction.",,Ongoing,1,,,,,
32,2019,P136506,Rosemary Hills ES Addition,Enrollment projections at Rosemary Hills Elementary School reflect a need for an addition.  Rosemary Hills Elementary School has a program capacity for 476 students.  Enrollment is expected to reach 571 students by the 2015-2016 school year.  A feasibility study was conducted in FY 2011 to determine the cost and scope of the project.  An FY 2013 appropriation was approved to begin planning this addition. An FY 2014 appropriation was approved for construction funds.  An FY 2015 appropriation was approved to complete this project.  This project is scheduled to be completed by August 2015.,"The design of the project IS UNDERWAY UNDER C.I.P. NO. 509132 AND is expected to finish in the FALL 2015.  The construction is scheduled to start in the Spring 2016 and be completed in the Summer FALL 2017.  The schedule is delayed due to requirements for Federal funding, and additional stream work and drainage required for MNCPPC park permit, AND WSSC'S DESIGN SCHEDULE FOR WATERMAIN RELOCATION.",Planning Stage                                    ,1,http://www.montgomeryschoolsmd.org/schools/rosemaryhillses/,39.001361,-77.045808,5.0,"(39.001361, -77.045808)"
33,2020,P098706,Magruder Branch Trail Extension,"This project adds 3/4 mile of hard surface trail in Magruder Branch Stream Valley Park Unit #2 from Valley Park Drive to the Damascus Town Center.  This segment meets with the existing 3.1 mile trail that runs from Damascus Recreational Park north, thereby providing an eight foot wide hard surface trail through wooded stream valley that connects Damascus Recreational Park to the Damascus Town Center. This new trail segment includes one bridge and 1,300 feet of boardwalk through sensitive areas, as well as road crossing improvements at Bethesda Church Road.",,Planning Stage,1,https://www.montgomeryparks.org/projects/directory/magruder-branch-hiker-biker-trail-extension/,39.277259,-77.209271,2.0,"(39.277259, -77.209271)"
34,2020,P727007,ALARF: M-NCPPC,"The Advance Land Acquisition Revolving Fund (ALARF) was established in the Commission's FY72-FY77 Capital Improvements Program pursuant to Land Use Article Section 18-401 of the Annotated Code of the State of Maryland to enable the Commission to acquire rights-of-way and other property needed for future public projects. Before acquisition of a specific parcel, the Montgomery County Planning Board will submit an authorization request to the Montgomery County Council for approval by formal resolution. The corpus of the revolving fund includes the original $7 million bond issue in FY71, an additional $5 million bond issue in FY90, an additional $2.2 million bond issue in FY95, an additional $2 million bond issue in FY05, plus reimbursements in excess of costs, accumulated interest, and any surplus of Advance Land Acquisition (ALA) tax revenue over debt service. M-NCPPC must seek County Council approval to change the use of ALARF-acquired property. It is the intent of the County Council that land acquisition costs for ALARF-acquired properties will ultimately be appropriated in a specific project PDF or acquisition PDF so that ALARF can be reimbursed and continue to revolve. In the event that the County Council does not require that ALARF be reimbursed, the cost of the land acquisition related to the development project shall be disclosed in the PDF text.",,Ongoing,1,,,,,
35,2020,P501914,White Flint Metro Station Northern Entrance,"<p style=""margin-bottom:6.0pt;pub-height:normal""><span lang=""EN"" style=""pub-size:12.0pt;pub-family:"" times="""" new="""" roman"",serif;mso-fareast-pub-family:="""" ""times="""" roman"";mso-ansi-language:en""="""">This project provides for planning and preliminary engineering of access improvements to the White Flint Metro Station. Access is currently limited to the southern end of the platform. Metro has conducted a feasibility study of providing additional access at the northern end of the platform, including potential pedestrian underpass connections of MD 355 (Rockville Pike). Construction of northern access to the station will reduce walk times to the Metro Platform. If included, the pedestrian underpasses will reduce conflicts with motor vehicle traffic at the intersection of Old Georgetown Road and MD 355. </span></p>",MD355 (Rockville Pike) at Old Georgetown Road/White Flint Metro Station.,Preliminary Design Stage,1,,39.047364,-77.11268,1.0,"(39.047364, -77.11268)"
36,2020,P501733,Bradley Boulevard (MD 191) Improvements,"This project provides for completing final design and construction for the master planned dual bikeway along Bradley Boulevard (MD 191) which includes two 11' traffic lanes, two 5' on-road bike lanes, an 8' off-road shared use path on the north side of the road, and a 5' sidewalk on the south side of the road. The project limits extend approximately one mile from Wilson Lane to Glenbrook Road. The project connects the existing sidewalk on Bradley Boulevard east of Goldsboro Road and an existing sidewalk on Wilson Lane to improve pedestrian safety and provide access to transit stops and the Bethesda Central Business District. The project also includes two additional un-signalized crosswalks across Bradley Boulevard at Durbin Road and Pembroke Road, drainage improvements, and pedestrian lighting. This project also includes the land acquisitions and utility relocations that support the roadway improvements. The project is broken down into phases. Phase I includes everything except for the shared-use path, which is assumed in Phase II.",,Final Design Stage,1,http://www.montgomerycountymd.gov/dot-dte/projects/bradley/index.html,38.981349,-77.112565,1.0,"(38.981349, -77.112565)"
37,2020,P500500,Burtonsville Access Road,"This project provides a new roadway between Spencerville Road (MD 198) and the School Access Road in Burtonsville. This roadway will consist of two 12-foot lanes, closed section, for a length of approximately 1,000 linear feet. The project also includes an eight-foot parking lane, curb and gutter, five-foot sidewalks, landscaping, and street lighting. Approximately 400 linear feet of the road has been built by a developer as access to the Burtonsville Town Square Shopping Center.",,Final Design Stage,1,,38.999311,-77.029539,5.0,"(38.999311, -77.029539)"
38,2020,P507017,Intersection and Spot Improvements,This project provides for planning and reconstructing various existing intersections in Montgomery County and for an annual congestion study to identify locations where there is a need for congestion mitigation. The project also includes the identification and implementation of corridor modifications and traffic calming treatments to enhance pedestrian safety. At these identified locations either construction begins immediately or detailed design plans are prepared and developed into future projects. The projects listed below reflect their current status.,,Ongoing,1,,,,,
39,2020,P858710,Trails: Natural Surface & Resource-based Recreation,"This project is one of the key level-of-effort projects that will support providing access to natural, undeveloped park land. The focus will still be natural surface trails, but it will also help support natural resource-based recreation uses such as bicycling, hiking, running, horseback riding, bird watching, nature photography, wildlife viewing, kayaking, rowing, canoeing, and fishing, as identified in the 2012 Park, Recreation and Open Space (PROS) Plan. This PDF includes planning, design, and construction and reconstruction of natural surface trails. Natural surface trails are usually located in stream valley parks. Surfaces include dirt, wood chip, soil mixtures, and sometimes gravel or stone, supplemented by boardwalk or other elevated surfaces when needed; they are generally narrower than hard surface trails. Work may include grading, drainage, signage, bridges/culverts, edging, realignments, etc. The trails generally do not meet Americans with Disabilities Act (ADA) requirements. The expenditure schedule does not include the value of work done by volunteers to assist with the construction of natural surface trails.",,Ongoing,1,,,,,
40,2016,P720916,Scotland Neighborhood Recreation Center (P720916),"This project will encompass demolishing the existing building and replacing with a new Recreation Center along with site improvements including parking.   A key component of the site and building infrastructure renovation is to upgrade the facility to conform to the Montgomery County Manual for Planning, Design, and Construction of Sustainable Buildings, including meeting green building/sustainability goals; Montgomery County Energy Design Guidelines; and the Americans with Disabilities Act (ADA). The project will be designed to comply with SILVER Leadership in Energy and Environmental Design (LEED) guidelines.",7700 Scotland Drive,Completed,1,http://www.montgomerycountymd.gov/DGS-BDC/BCC/720916.html,39.031249,-77.158678,1.0,"(39.031249, -77.158678)"
41,2020,P500010,Redland Rd from Crabbs Branch Way - Baederwood La,"This project provides for reconstruction of a segment of Redland Road including the intersections with Crabbs Branch Way and Needwood Road for congestion mitigation. Anticipated improvements include: widening a portion of Redland Road from Crabbs Branch Way to Baederwood Lane, construction of additional turning lanes, installation of traffic improvement devices, storm drain modifications as needed, and an eight feet wide mixed use bike path/sidewalk (Class I). The bike path will be located within the project limits on the northeast side of Redland Road and the south side of Needwood Road. The concrete sidewalk on the north side of Needwood Road will be extended 430 feet to Deer Lake Road. This includes curb, gutter, and storm drainage improvements. Land acquisition is required. A shared-use bike path will be added to the south side of Needwood Road from Redland Road to Deer Lake Road. The path will be 1,350 linear feet long, eight feet wide, and constructed with asphalt. Land acquisition is also required for the bike path.",,Final Design Stage,1,http://www.montgomerycountymd.gov/dot-dte/projects/redland/index.html,39.125837,-77.152078,3.0,"(39.125837, -77.152078)"
42,2020,P006503,Indoor Air Quality Improvements:  MCPS,"This project funds mechanical retrofits and building envelope modifications necessary to address schools experiencing Indoor Air Quality (IAQ) problems.  In the FY 2005-2010 CIP, the County Council approved a level of effort funding for the outyears of this project in order to adequately illustrate that this project will continue for the foreseeable future.  Funds approved in FYs 2006-2010 were used to address indoor air quality issues systemwide.   Due to fiscal constraints, the County Council's adopted FY 2011-2016 CIP reduced the expenditures, as requested in the Board of Education's FY 2011-2016 CIP for FYs 2012-2016 by approximately $2.8 million.  The title of this PDF was change to more accurately reflect the work accomplished in this project.   An FY 2012 appropriation and amendment to the FY 2011-2016 CIP was approved to provide an additional $394,000 above the adopted CIP to reinstate funds that were removed by the County Council during reconciliation in May 2010.  An FY 2013 appropriation was approved to continue to address indoor air quality issues through remediation efforts such as carpet removal, floor and ceiling tile replacement, and minor mechanical retrofits.  An FY 2014 appropriation was approved to continue this level of effort project.  An FY 2015 appropriation was approved to address indoor air quality issues throughout the school system.  The increase in for FY 2015 will provide funds for replacements of pipe insulation to improve indoor air quality where identified.  An FY 2016 appropriation was approved to continue this level of effort project.  An FY 2017 appropriation was approved to continue to address indoor air quality issues at various school throughout the county.  An FY 2018 appropriation was approved to continue this project.",,Ongoing,1,,,,,
43,2020,P958776,Facility Planning: Non-Local Parks,"This project funds preparation of park master plans and studies, concept plans, facility plans, detailed design plans for small and phased projects and related plans/studies/analysis, e.g. environmental, feasibility, engineering, and utilities analysis. Facility plans produce well reasoned project cost estimates based on preliminary design, i.e. thirty percent of final design and construction documents. Preliminary design includes topographic surveys, environmental assessments, traffic studies, site plans, schematic drawings, floor plans, elevations, quantity calculations, and cost estimates, as well as public participation. Facility planning is needed when the variables or options involved in the project do not support reliable independent cost estimating. This project also supports upfront planning activities associated with capital investments that may result from public-private partnerships.",,Ongoing,1,,,,,
44,2020,P096510,Seneca Valley HS - Current  Revitalizations/Expansions,"Seneca Valley High School was built in 1974. Scheduling of this modernization is consistent with the MCPS long-range plans to renew aging facilities on a rational and periodic basis. The modernization will include an addition to this facility due to projected enrollment growth. Due to fiscal constraints, high school modernizations were delayed two years in the FY 2013-2018 CIP. An FY 2014 appropriation was approved for planning funds. An FY 2015 appropriation was approved for the balance of planning funds. While planning funds remain on schedule, due to fiscal constraints, construction funds for this project were delayed one year in the approved FY2015-2020 CIP. The Board of Education's requested FY2015-2020 Amended CIP reinstated the construction schedule previously requested by the Board. Due to fiscal constraints, the County Council did not approve the Board's request. An FY2018 appropriation was approved for construction funds. An FY 2019 appropriation was approved to continue this construction project. An FY 2020 appropriation is requested to expand the scope of the Career and Technology Education program at this school. This revitalization/expansion project is now scheduled to be completed by September 2020.",,Planning Stage,1,http://www.montgomeryschoolsmd.org/schools/senecavalleyhs/,39.174225,-77.263768,2.0,"(39.174225, -77.263768)"
45,2019,P651517,Northwood Cluster HS Solution,"Due to increasing enrollment growth, this project includes funds to design and construct 10 high school classrooms serving Northwood High School in the Down County Consortium.  These additional classrooms would meet capacity requirements under the Subdivision Staging Policy, avoiding a residential moratorium in the Northwood Cluster.  The County Council anticipates that ultimately, the Board of Education will request a specific project that will add, at least, these classrooms and these funds would be used towards that purpose.  On October 13, 2016, Supplement B - Superintendent's Recommendation for the Walter Johnson Cluster Schools, was released and included the recommendation that a study be conducted to address the overutilization at the high school level in the Walter Johnson Cluster as well as all of the high schools in the Downcounty Consortium.  The Board of Education, on November 21, 2016 included Bethesda-Chevy Chase and Walt Whitman high schools as part of the study.  Therefore, the Board of Education's Requested FY 2018 Capital Budget and Amendments to the FY 2017-2022 CIP includes an expenditure shift of one year for this project and it is anticipated that a recommendation to address the overutilization will be included in the FY 2019-2024 CIP. The County Council, in the adopted FY 2017-2022 Amended CIP increased the expenditures in this project and the number of classrooms from 10 to 16 in order to avoid residential moratorium.  It is anticipated that the Board of Education will request a specific project that will add at least these classrooms by the start of the 2021-2022 school year.  ",,Planning Stage                                    ,1,http://www.montgomeryschoolsmd.org/schools/northwoodhs/,39.035539,-77.023333,5.0,"(39.035539, -77.023333)"
46,2020,P316222,ALARF: MCG,"The Advance Land Acquisition Revolving Fund (ALARF) was established to support the implementation of capital project and facility programs in the County. Acquisition of land in advance of actual construction saves money in the face of rising land prices and enables suitable locations for libraries, fire stations, and similar facilities to be secured before development eliminates choice and forces acceptance of a less accessible or desirable site. The revolving fund works in the following way: the unencumbered revolving appropriation balance in the fund is used to purchase land for various public facilities which are either approved in the capital program or which appear in adopted area master plans. Later, the Fund is reimbursed by appropriations to the specific facility project accounts; then, the associated expenditures are transferred from the ALARF project to the facility project, thereby freeing up the appropriation for future expenditures. The reimbursement is desirable for accounting purposes in order to make the cost of the site clearly a part of the total cost of a specific project. Reimbursement also maintains the balance in the revolving fund. A number of such reimbursements are scheduled in this capital program. Cost estimates are not given for possible acquisitions since any estimates would be speculative. Immediately prior to initiating acquisition proceedings on any site, independent professional appraisals are prepared. When projected land costs appear to be considerably greater than anticipated, consultation with the County Council is useful. In the event the County Executive proceeds with advance land acquisition in years before those shown on project description forms, consultation with Council would be useful. The cumulative appropriation is the amount of the revolving fund, as well as certain special appropriations to this project as described below. Costs shown for prior years include the land acquisition reimbursable to the fund and other charges incurred in site selection, such as appraisal, legal costs, and other required actions. Also displayed are expenditures associated with special appropriations, not to be reimbursed. The nonreimbursable amounts are considered sunk costs. Expenditures portrayed above in FY19-24 are for fiscal planning purposes only and represent land acquisition not shown on applicable individual CIP project description forms in order to preserve confidentiality of estimates and negotiations with landowners. ALARF acquisitions are typically reimbursed by appropriations from projects with various revenue sources.",,Ongoing,1,,,,,
47,2020,P871548,Western Grove Urban Park,"Western Grove Urban Park is a 1.89-acre site that provides a significant opportunity to create green open space for the use and enjoyment of urban residents in one of the most densely-populated Metro Station areas in Montgomery County. The site is adjacent to the Friendship Heights CBD and is within the limits of Chevy Chase Village. Now vacant, the site was formerly a single-family home, located at 5409 Grove Street, Chevy Chase.",,Under Construction,1,https://www.montgomeryparks.org/parks-and-trails/western-grove-urban-park/,38.9632,-77.0839,1.0,"(38.9632, -77.0839)"
48,2020,P998710,Energy Conservation - Local Parks,"This project provides funds to modify existing local park buildings and facilities to control fuel and utilities consumption. The project scope encompasses planning, identifying, implementing and monitoring effective energy conservation measures at each major local park facility. Emphasis is placed upon positive and proven measures to remedy heat losses and gains through modifications to building envelope systems and through improvement and retrofit of building support systems; and modification of electrical and mechanical systems and equipment and their associated control and distribution systems.",,Ongoing,1,,,,,
49,2020,P116502,Reuse of Woodward HS as a Holding Facility,"The scheduling of modernizations is consistent with the MCPS long-range plans to renew aging facilities on a rational and periodic basis. Since the re-opening of Northwood High School in 2004, there has been no high school holding facility.  Tilden Middle School is currently located at the Woodward facility,located on Old Georgetown Road and has expenditures in the Future Modernization PDF for a modernization.  The Tilden Holding Facility, currently used to house middle schools during modernizations, is located on Tilden Lane. Instead of modernizing the Woodward facility for Tilden Middle School, expenditures included in the FY 2011-2016 CIP in the Future Modernization PDF will be used to modernize the Tilden Holding Facility for Tilden Middle School.  Expenditures in this PDF will be used to renovate the existing Woodward facility to be reused as a secondary school holding facility for modernizations scheduled after Tilden Middle School. Planning funds to begin renovations to Woodward facility will be requested in FY 2017.  This project is scheduled to be completed August 2019.",,Under Construction,1,,,,,
