,Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date,Agency
19,D27B72F7FB3FF203AEA4226C41DFC711D55117EF_1714743490,05/03/2024 01:38:10 PM +0000,COLLISION WITH INJURY,POINT (-97.567773 30.348151),30.348151,-97.567773,12400-12445 ENTRADA BLVD,ARCHIVED,05/03/2024 02:25:18 PM +0000,TRAVIS COUNTY SHERIF
20,F9ACA1E856D5E255C5BE2638827DD7CF87A08B1D_1709217062,02/29/2024 02:31:02 PM +0000,Crash Service,POINT (-97.699518 30.231138),30.231138,-97.699518,1200-1213 Montopolis Dr,ARCHIVED,02/29/2024 03:00:16 PM +0000,AUSTIN PD           
21,22578BD38EF7CE8C61CA0F4551751F7E861D015F_1714739748,05/03/2024 12:35:48 PM +0000,Crash Urgent,POINT (-97.749325 30.259712),30.259712,-97.749325,W Riverside Dr / S 1st St,ARCHIVED,05/03/2024 02:30:20 PM +0000,AUSTIN PD           
22,23C48E1AA4867FD335AC3497FA1061DE28CC7819_1709218502,02/29/2024 02:55:02 PM +0000,Traffic Hazard,POINT (-97.70234 30.276585),30.276585,-97.70234,1200-1213 Mc Kinley Ave,ARCHIVED,02/29/2024 03:25:11 PM +0000,AUSTIN PD           
23,50796C51AC2A96A54D8F1B0E65EA7D2B2D8346F5_1709215796,02/29/2024 02:09:56 PM +0000,COLLISION WITH INJURY,POINT (-97.89518 30.223306),30.223306,-97.89518,HIGH VALLEY RD / SUMMERVALE DR,ARCHIVED,02/29/2024 03:30:11 PM +0000,TRAVIS COUNTY SHERIF
24,53B43ADA41A9083EFA9B04AD10970C2B494633F1_1709220120,02/29/2024 03:22:00 PM +0000,Traffic Hazard,POINT (-97.710605 30.308872),30.308872,-97.710605,5000 N Ih 35 Nb,ARCHIVED,02/29/2024 03:55:10 PM +0000,AUSTIN PD           
25,8A2A193948DF988A8B881A75CC050C55ABD1A1DE_1709219863,02/29/2024 03:17:43 PM +0000,Traffic Hazard,POINT (-97.68337 30.230996),30.230996,-97.68337,800-900 Bastrop Hwy Sb,ARCHIVED,02/29/2024 04:15:13 PM +0000,AUSTIN PD           
26,00DC35710D10349FA58F9D679882587A0D70C16A_1714746741,05/03/2024 02:32:21 PM +0000,Traffic Hazard,POINT (-97.690813 30.21874),30.21874,-97.690813,183 Toll Sb To E Ben White Wb Ramp / E Ben White Blvd Wb,ARCHIVED,05/03/2024 03:30:18 PM +0000,AUSTIN PD           
27,5A475AA62E49E59017B1FF7A402B92A8DC8D4A41_1714749585,05/03/2024 03:19:45 PM +0000,Traffic Hazard,POINT (-97.674018 30.221223),30.221223,-97.674018,E Sh 71 Wb / Brandt Dr,ARCHIVED,05/03/2024 03:35:11 PM +0000,AUSTIN PD           
28,127DE7FFA5BC9D10BEEC85A3055BFD5CC0A4D308_1714746248,05/03/2024 02:24:08 PM +0000,COLLISN/ LVNG SCN,POINT (-97.55636 30.454339),30.454339,-97.55636,17700-blk BRIDGEFARMER BLVD,ARCHIVED,05/03/2024 04:30:22 PM +0000,TRAVIS COUNTY SHERIF
29,9C3D9746E3DEF4E72391716B528F6F3F28368E16_1714749689,05/03/2024 03:21:29 PM +0000,Crash Urgent,POINT (-97.776903 30.180716),30.180716,-97.776903,7600 S Ih 35 Nb,ARCHIVED,05/03/2024 05:10:22 PM +0000,AUSTIN PD           
30,1AE6C5E0E0F345457C3ADB9A0EAD763BA11FDF44_1706305364,01/26/2024 09:42:44 PM +0000,TRFC HAZD/ DEBRIS,POINT (-97.537592 30.34941),30.34941,-97.537592,12100-12520 E Us 290 Hwy Wb,ARCHIVED,01/26/2024 10:15:12 PM +0000,TRAVIS COUNTY SHERIF
31,1158E006B9E3C21DE43C05B80711D379AE3EE7E9_1706305390,01/26/2024 09:43:10 PM +0000,Stalled Vehicle,POINT (-97.693796 30.335807),30.335807,-97.693796,1124 E ANDERSON LN EB,ARCHIVED,01/26/2024 10:25:11 PM +0000,AUSTIN PD           
32,34810FCDC1F46D92A69CB6E76B055A856FDC5580_1706307066,01/26/2024 10:11:06 PM +0000,Crash Urgent,POINT (-97.750278 30.180887),30.180887,-97.750278,E William Cannon Dr / Meadow Lake Blvd,ARCHIVED,01/26/2024 10:30:12 PM +0000,AUSTIN PD           
33,2A7A84FC69D56A2C379C274D2F0831442D3E7B8E_1706307239,01/26/2024 10:13:59 PM +0000,Crash Urgent,POINT (-97.788729 30.167062),30.167062,-97.788729,129 W Slaughter Ln,ARCHIVED,01/26/2024 10:40:12 PM +0000,AUSTIN PD           
34,6BCFFC15B660B6DF99D88A62E6F07E27520309EE_1706306446,01/26/2024 10:00:46 PM +0000,Crash Service,POINT (-97.683457 30.212455),30.212455,-97.683457,2498 S Us 183 Hwy Sb,ARCHIVED,01/26/2024 10:45:14 PM +0000,AUSTIN PD           
35,74651A0D02E97130ABB18882EBB61B9FE5884603_1714749407,05/03/2024 03:16:47 PM +0000,TRFC HAZD/ DEBRIS,POINT (-97.624173 30.193449),30.193449,-97.624173,3834-3998 E Sh 71 Svrd Eb,ARCHIVED,05/03/2024 03:35:11 PM +0000,TRAVIS COUNTY SHERIF
36,474AA38A091D3D883DF86C596AAB764EE61D5EB3_1714745969,05/03/2024 02:19:29 PM +0000,Crash Urgent,POINT (-97.755736 30.217833),30.217833,-97.755736,709 E Ben White Blvd Svrd Eb,ARCHIVED,05/03/2024 03:50:16 PM +0000,AUSTIN PD           
37,AAC89C40628A35265F632940B678104349122A9F_1709221129,02/29/2024 03:38:49 PM +0000,TRFC HAZD/ DEBRIS,POINT (-97.805371 30.304363),30.304363,-97.805371,905-919 TERRACE MOUNTAIN DR,ARCHIVED,02/29/2024 03:50:14 PM +0000,TRAVIS COUNTY SHERIF
38,BE80DC70441C58446A64B2F526F2770EE63F00C5_1709221988,02/29/2024 03:53:08 PM +0000,Crash Urgent,POINT (-97.717627 30.331657),30.331657,-97.717627,500 Brentwood St,ARCHIVED,02/29/2024 04:05:11 PM +0000,AUSTIN PD           
39,AC711C0E8B83BE520E19D176CE432689B1E309DA_1706305650,01/26/2024 09:47:30 PM +0000,Crash Urgent,POINT (-97.804387 30.174089),30.174089,-97.804387,750-764 W Slaughter Ln,ARCHIVED,01/26/2024 10:25:11 PM +0000,AUSTIN PD           
40,0C044C6CEEC204CCAAC7CF0E5A05B45A122FBFEB_1706310160,01/26/2024 11:02:40 PM +0000,TRFC HAZD/ DEBRIS,POINT (-97.62748 30.232507),30.232507,-97.62748,S FM 973 RD / TESLA RD,ARCHIVED,01/26/2024 11:30:13 PM +0000,TRAVIS COUNTY SHERIF
41,CEDF5CCD8253FB636743D0248D10BCC0F11C8EDF_1706314847,01/27/2024 12:20:47 AM +0000,Traffic Hazard,POINT (-97.748427 30.298096),30.298096,-97.748427,N Lamar Blvd / W 29th St,ARCHIVED,01/27/2024 12:30:12 AM +0000,AUSTIN PD           
42,F4135B99ABD31C4D8F572A3D8CDA405E5EE86B62_1706307441,01/26/2024 10:17:21 PM +0000,Crash Urgent,POINT (-97.781126 30.208933),30.208933,-97.781126,5500-5523 S 1st St,ARCHIVED,01/27/2024 12:40:11 AM +0000,AUSTIN PD           
43,3A282FB67EA34786A1B4E01588D82AA0AD67E47A_1706318211,01/27/2024 01:16:51 AM +0000,TRFC HAZD/ DEBRIS,POINT (-97.862728 30.165643),30.165643,-97.862728,SPOTTED HORSE TRL / SADDLE MOUNTAIN TRL,ARCHIVED,01/27/2024 01:30:11 AM +0000,TRAVIS COUNTY SHERIF
44,AA0E9F704B12A27AF259750F79B22F99EFDB68C5_1706316976,01/27/2024 12:56:16 AM +0000,Crash Service,POINT (-97.649195 30.384802),30.384802,-97.649195,12201 Dessau Rd,ARCHIVED,01/27/2024 03:30:14 AM +0000,AUSTIN PD           
45,611425A9F0DDA81385E5B04298E7DFD179400131_1709222295,02/29/2024 03:58:15 PM +0000,TRFC HAZD/ DEBRIS,POINT (-97.670417 30.452049),30.452049,-97.670417,Pamela Dr / Scarlet St,ARCHIVED,02/29/2024 04:25:10 PM +0000,TRAVIS COUNTY SHERIF
46,D8F3CCD7B68FAD2CABB3DAD4B26EC24583BDDF8F_1709222194,02/29/2024 03:56:34 PM +0000,Crash Urgent,POINT (-97.864467 30.203676),30.203676,-97.864467,8900-9120 S Mopac Expy Sb,ARCHIVED,02/29/2024 04:35:11 PM +0000,AUSTIN PD           
47,0DAEAC5EE2D6AEAB0F5BB40AEEAC0B76597DE8A0_1709224119,02/29/2024 04:28:39 PM +0000,TRFC HAZD/ DEBRIS,POINT (-97.467825 30.351335),30.351335,-97.467825,15800-blk E Us 290 Hwy Eb,ARCHIVED,02/29/2024 04:35:11 PM +0000,TRAVIS COUNTY SHERIF
48,E090209B1D0C5D080509EDB9A76D409459F62679_1709223899,02/29/2024 04:24:59 PM +0000,Traffic Hazard,POINT (-97.775726 30.498003),30.498003,-97.775726,Avery Ranch Blvd / W Parmer Ln,ARCHIVED,02/29/2024 04:40:12 PM +0000,AUSTIN PD           
49,0A362CA04E5D1A1A33B972938C55AC2595D989F9_1709224817,02/29/2024 04:40:17 PM +0000,Stalled Vehicle,POINT (-97.722512 30.261694),30.261694,-97.722512,600 Chicon St,ARCHIVED,02/29/2024 05:10:10 PM +0000,AUSTIN PD           
