,Trip ID,Duration,Start Time,End Time,Starting Station ID,Starting Station Latitude,Starting Station Longitude,Ending Station ID,Ending Station Latitude,Ending Station Longitude,Bike ID,Plan Duration,Trip Route Category,Passholder Type,Starting Lat-Long,Ending Lat-Long
11,13896826,86400,11/17/2016 03:32:00 PM,11/19/2016 02:26:00 PM,3069.0,34.05088,-118.248253,,,,5772,0.0,One Way,Walk-up,"(34.05088, -118.248253)",
12,18324185,900,01/21/2017 11:25:00 AM,01/21/2017 11:40:00 AM,3037.0,34.034801,-118.231277,3000.0,,,6635,365.0,One Way,Flex Pass,,
13,20304938,51960,02/18/2017 12:05:00 AM,02/18/2017 02:31:00 PM,3008.0,34.046612,-118.262733,3000.0,,,6162,30.0,One Way,Monthly Pass,,
14,22223109,1680,03/15/2017 04:55:00 PM,03/15/2017 05:23:00 PM,3068.0,34.0532,-118.250954,3005.0,34.04855,-118.259048,5798,0.0,One Way,Walk-up,,"(34.04855, -118.259048)"
15,18363652,2580,01/21/2017 11:28:00 PM,01/22/2017 12:11:00 AM,3048.0,34.041691,-118.235352,3082.0,34.04652,-118.237411,6492,0.0,One Way,Walk-up,,"(34.04652, -118.237411)"
16,5049164,3060,08/31/2016 10:38:00 PM,08/31/2016 11:29:00 PM,3051.0,34.0454216,-118.25352,3006.0,34.0455399,-118.25667,6319,0.0,One Way,Walk-up,"(34.0454216, -118.25352)","(34.0455399, -118.25667)"
17,7730673,1920,09/25/2016 03:28:00 PM,09/25/2016 04:00:00 PM,3052.0,34.0511017,-118.26456,3082.0,34.0465202,-118.23741,6173,0.0,One Way,Walk-up,"(34.0511017, -118.26456)","(34.0465202, -118.23741)"
18,5057508,660,08/23/2016 07:49:00 AM,08/23/2016 08:00:00 AM,3055.0,34.0441589,-118.25158,3058.0,34.0358009,-118.23317,5910,30.0,One Way,Monthly Pass,"(34.0441589, -118.25158)","(34.0358009, -118.23317)"
19,4831751,120,08/03/2016 11:01:00 PM,08/03/2016 11:03:00 PM,3005.0,34.0485497,-118.25905,3008.0,34.0466118,-118.26273,5877,30.0,One Way,Monthly Pass,"(34.0485497, -118.25905)","(34.0466118, -118.26273)"
20,17621042,720,01/10/2017 08:19:00 AM,01/10/2017 08:31:00 AM,3049.0,34.056969,-118.253593,3048.0,34.041691,-118.235352,6243,30.0,One Way,Monthly Pass,,"(34.041691, -118.235352)"
21,19631653,1440,02/08/2017 04:09:00 PM,02/08/2017 04:33:00 PM,3030.0,34.051941,-118.24353,3042.0,34.049301,-118.238808,6536,365.0,One Way,Flex Pass,,"(34.049301, -118.238808)"
22,18201014,1980,01/19/2017 01:39:00 PM,01/19/2017 02:12:00 PM,3076.0,34.0406,-118.253838,3018.0,34.043732,-118.260139,6479,30.0,One Way,Monthly Pass,,"(34.043732, -118.260139)"
23,17497714,1800,01/08/2017 12:39:00 PM,01/08/2017 01:09:00 PM,3029.0,34.048851,-118.246422,3031.0,34.044701,-118.252441,6201,0.0,One Way,Walk-up,,"(34.044701, -118.252441)"
24,21869986,1680,03/11/2017 07:55:00 PM,03/11/2017 08:23:00 PM,3035.0,34.048401,-118.260948,3056.0,34.03746,-118.265381,5939,0.0,One Way,Walk-up,,"(34.03746, -118.265381)"
25,17327001,1140,01/05/2017 08:36:00 PM,01/05/2017 08:55:00 PM,3064.0,34.04681,-118.256981,3036.0,34.039188,-118.232529,6479,30.0,One Way,Monthly Pass,,"(34.039188, -118.232529)"
26,19831820,600,02/11/2017 09:21:00 PM,02/11/2017 09:31:00 PM,3063.0,34.049198,-118.252831,3063.0,34.049198,-118.252831,6503,0.0,Round Trip,Walk-up,,"(34.049198, -118.252831)"
27,17818151,11640,01/13/2017 06:45:00 AM,01/13/2017 09:59:00 AM,3014.0,34.05661,-118.237213,3000.0,,,6024,30.0,One Way,Monthly Pass,,
28,23440993,360,03/29/2017 12:32:00 PM,03/29/2017 12:38:00 PM,3031.0,34.044701,-118.252441,3027.0,34.04998,-118.247162,5721,0.0,One Way,Walk-up,,"(34.04998, -118.247162)"
29,23165642,600,03/26/2017 09:24:00 AM,03/26/2017 09:34:00 AM,3049.0,34.056969,-118.253593,3035.0,34.048401,-118.260948,6687,365.0,One Way,Flex Pass,,"(34.048401, -118.260948)"
30,18841349,480,01/29/2017 12:54:00 PM,01/29/2017 01:02:00 PM,3055.0,34.044159,-118.251579,3074.0,34.04417,-118.261169,6385,30.0,One Way,Monthly Pass,,"(34.04417, -118.261169)"
31,23005852,1080,03/24/2017 12:11:00 PM,03/24/2017 12:29:00 PM,3065.0,34.060558,-118.238327,3069.0,34.05088,-118.248253,6072,0.0,One Way,Walk-up,,"(34.05088, -118.248253)"
32,20987790,360,02/28/2017 07:34:00 PM,02/28/2017 07:40:00 PM,3068.0,34.0532,-118.250954,3064.0,34.04681,-118.256981,6115,30.0,One Way,Monthly Pass,,"(34.04681, -118.256981)"
33,18934637,600,01/30/2017 06:11:00 PM,01/30/2017 06:21:00 PM,3016.0,34.052898,-118.241562,3078.0,34.064281,-118.238937,6556,30.0,One Way,Monthly Pass,,"(34.064281, -118.238937)"
34,18000647,480,01/16/2017 09:11:00 AM,01/16/2017 09:19:00 AM,3064.0,34.04681,-118.256981,3069.0,34.05088,-118.248253,5799,30.0,One Way,Monthly Pass,,"(34.05088, -118.248253)"
35,18847464,1140,01/29/2017 03:07:00 PM,01/29/2017 03:26:00 PM,3014.0,34.05661,-118.237213,3031.0,34.044701,-118.252441,6416,0.0,One Way,Walk-up,,"(34.044701, -118.252441)"
36,17161602,300,01/02/2017 07:37:00 PM,01/02/2017 07:42:00 PM,3008.0,34.046612,-118.262733,3006.0,34.04554,-118.256668,5988,365.0,One Way,Flex Pass,,"(34.04554, -118.256668)"
37,17578069,480,01/09/2017 05:35:00 PM,01/09/2017 05:43:00 PM,3035.0,34.048401,-118.260948,3056.0,34.03746,-118.265381,5929,30.0,One Way,Monthly Pass,,"(34.03746, -118.265381)"
38,17546712,420,01/09/2017 06:47:00 AM,01/09/2017 06:54:00 AM,3049.0,34.056969,-118.253593,3029.0,34.048851,-118.246422,6043,30.0,One Way,Monthly Pass,,"(34.048851, -118.246422)"
39,17719729,420,01/11/2017 08:22:00 PM,01/11/2017 08:29:00 PM,3008.0,34.046612,-118.262733,3031.0,34.044701,-118.252441,6297,30.0,One Way,Monthly Pass,,"(34.044701, -118.252441)"
40,18209835,1860,01/19/2017 05:04:00 PM,01/19/2017 05:35:00 PM,3056.0,34.03746,-118.265381,3000.0,,,6101,,One Way,Monthly Pass,,
41,20307847,600,02/18/2017 03:16:00 PM,02/18/2017 03:26:00 PM,3069.0,34.05088,-118.248253,3082.0,34.04652,-118.237411,5796,0.0,One Way,Walk-up,,"(34.04652, -118.237411)"
42,10230396,12240,10/16/2016 02:34:00 PM,10/16/2016 05:58:00 PM,3066.0,34.063389,-118.23616,3000.0,,,6162,0.0,One Way,Walk-up,"(34.063389, -118.23616)",
43,17151288,1380,01/02/2017 03:34:00 PM,01/02/2017 03:57:00 PM,3023.0,34.050911,-118.240967,3030.0,34.051941,-118.24353,6174,0.0,One Way,Walk-up,,"(34.051941, -118.24353)"
44,17655200,1320,01/10/2017 08:27:00 PM,01/10/2017 08:49:00 PM,3065.0,34.060558,-118.238327,3063.0,34.049198,-118.252831,6115,0.0,One Way,Walk-up,,"(34.049198, -118.252831)"
45,21527192,1020,03/07/2017 05:23:00 PM,03/07/2017 05:40:00 PM,3068.0,34.0532,-118.250954,3068.0,34.0532,-118.250954,6130,0.0,Round Trip,Walk-up,,"(34.0532, -118.250954)"
46,21418444,720,03/06/2017 09:06:00 AM,03/06/2017 09:18:00 AM,3075.0,34.04211,-118.256187,3000.0,,,6205,,One Way,Monthly Pass,,
47,23421618,180,03/29/2017 06:07:00 AM,03/29/2017 06:10:00 AM,3052.0,34.051102,-118.264557,3005.0,34.04855,-118.259048,6393,30.0,One Way,Monthly Pass,,"(34.04855, -118.259048)"
48,20488067,240,02/21/2017 08:49:00 AM,02/21/2017 08:53:00 AM,3047.0,34.039982,-118.266403,3019.0,34.038609,-118.260857,6348,30.0,One Way,Monthly Pass,,"(34.038609, -118.260857)"
49,18326872,780,01/21/2017 12:01:00 PM,01/21/2017 12:14:00 PM,3014.0,34.05661,-118.237213,3022.0,34.04607,-118.233093,5731,0.0,One Way,Walk-up,,"(34.04607, -118.233093)"
