,the_geom,OBJECTID,Cost Center,Calendar Year,Fiscal Year,Fiscal Year Quarter,Deer Kill Date (UTC),County Number,Comments,Latitude (WGS84),Longitude (WGS84),Burial Description,Maintenance District Number,GLOBALID,RAMS Route ID,County Name,Record Created By,Date Record Created (UTC),Edited BY,Date Last Edited (UTC),REST Service Last Updated (UTC),UTC Offset for REST Service Date,UTC Offset for Deer Kill Date,Reference Post,Reference Post Offset,Common Route Name,Burial Method,Sex of Deer,Response to Complaint (Y/N)
10,POINT (-92.462666277503 42.653221092041),752209,552809,,2007,1,,,,42.65322879,-92.46267351,Tall Grass Burial,,e05d5622-828c-4544-8943-ce3774841308,S001920218N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,female,0
11,POINT (-94.540322088285 41.496376961599),875912,554602,,2018,4,,,,41.49638434,-94.54032976,Tall Grass Burial,,77041053-782d-431c-9c51-b5e435f5e9a5,S001910080E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Unknown,0
12,POINT (-95.655521946058 42.98311444066),757471,553808,,2007,2,,,,42.98312197,-95.6555301,Tall Grass Burial,,3d1a4f4d-6d85-4c6f-81a1-be427569e84e,S001930010E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,female,0
13,POINT (-92.653383459631 43.300758562728),826821,552666,,2015,4,,,,43.30076634,-92.65339082,Tall Grass Burial,,13e9c9e2-14ab-46e8-912b-a301f4fd7c51,S001930009E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
14,POINT (-92.662503559739 41.274841600718),836092,555662,,2018,4,,,,41.27484906,-92.66251069,Tall Grass Burial,,b347a563-4fbc-4271-97d6-778f90711130,S001930163E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
15,POINT (-95.769641567963 41.302623029397),747245,554805,,2006,3,,,,41.3026303,-95.76964955,Tall Grass Burial,,afbdfc3a-fddc-4c7d-aa43-52f6694e2402,S001910080E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,female,0
16,POINT (-91.748927459316 41.725480629974),799193,556607,,2012,1,,,,41.72548822,-91.74893438,Tall Grass Burial,,da683d87-2434-4875-8ba4-59e5ea8d0506,S001920006E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
17,POINT (-92.651517680345 41.487091705557),840458,551803,,2018,4,,,,41.4870992,-92.65152483,Tall Grass Burial,,adf61f83-6396-4774-84a6-08103ac6109b,S001930146N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Unknown,1
18,POINT (-92.694346276362 41.999778215732),797648,551605,,2011,2,,,,41.99978579,-92.69435349,Tall Grass Burial,,3a888c4b-0641-4e4e-ba3b-fcbfad1d56a6,S001920030E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
19,POINT (-92.295603116618 41.695737799829),838363,556606,,2018,2,,,,41.69574535,-92.29561019,Tall Grass Burial,,908a1fb6-401f-4d37-be3b-871aa7f0ba4a,S001910080E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
20,POINT (-91.984422869088 42.964756177379),792867,552833,,2011,1,,,,42.96476395,-91.98443,Relocation,,265abc92-768a-45da-a89c-fca773b81980,S001920018E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
21,POINT (-92.85693017583 40.796892901459),870879,555668,,2018,3,,,,40.79690027,-92.85693731,Tall Grass Burial,,23112c3e-0837-4e44-a22f-8e73e6868512,S001930005N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
22,POINT (-91.796092908624 42.687230192821),820031,552822,,2014,2,,,,42.68723793,-91.79609995,Relocation,,6fa4e6de-83f2-418e-86ea-fa0dfe409c67,S001930003E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
23,POINT (-91.4733450974 40.538603472666),788439,555856,,2010,2,,,,40.53861088,-91.47335182,Tall Grass Burial,,47f6e903-3131-4266-aff3-e066491320a6,S001920218N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
24,POINT (-92.05833824223 42.351714200376),751116,556602,,2006,4,,,,42.35172187,-92.05834532,Landfill Free,,a45bcb08-23d9-4f4b-8e28-cdbda4435aed,S001910380N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,unknown,0
25,POINT (-93.525533271924 41.357692240615),830353,555691,,2015,2,,,,41.35769966,-93.52554065,Tall Grass Burial,,75b21d78-efaa-4ba2-9546-4f4bf5e4188f,S001930092E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
26,POINT (-93.779225215705 41.285330698563),755632,555620,,2007,2,,,,41.28533809,-93.77923266,Tall Grass Burial,,9335555e-172a-4363-9bf2-6ffe9941bf6d,S001910035N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,male,0
27,POINT (-92.589060678876 41.695697655445),812650,551803,,2013,1,,,,41.69570519,-92.58906784,Tall Grass Burial,,deefb48e-af3b-4950-931c-00ed5766a9af,S001910080E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
28,POINT (-94.927866066367 41.496996008812),830698,554602,,2015,2,,,,41.49700336,-94.92787384,Tall Grass Burial,,4ba87653-162e-46e9-9ae0-da62aa0107b3,S001910080E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Unknown,0
29,POINT (-95.901794218817 41.239730140616),782516,554803,,2009,4,,,,41.23973739,-95.90180223,Tall Grass Burial,,62e4fd50-8496-4754-910e-305cc6cc5cfa,,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
30,POINT (-91.154179206083 40.755429729989),769215,555829,,2008,3,,,,40.75543719,-91.15418586,Tall Grass Burial,,5b567b1d-b4f2-4329-8c78-dc959a85b9a5,S001920061N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
31,POINT (-92.645655282886 43.356598901106),809665,552666,,2013,1,,,,43.35660669,-92.64566265,Tall Grass Burial,,df728559-aecf-4674-a2d7-b3642b60e8f5,S001930009E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
32,POINT (-93.778858096706 41.275205212472),810432,555620,,2012,4,,,,41.2752126,-93.77886554,Tall Grass Burial,,7b8d869a-0574-4cb5-be03-32908a590a0a,S001910035N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
33,POINT (-91.927398041227 42.714687991592),785448,552833,,2009,4,,,,42.71469573,-91.92740512,Relocation,,e4b7745c-b68a-4e9c-99e9-bd47fbfe4096,S001930003E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
34,POINT (-91.193799142076 41.656270529106),844505,556802,,2016,1,,,,41.65627814,-91.1938059,Tall Grass Burial,,eaa1d785-642d-46f4-82e2-bb318aaecd06,S001910080E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
35,POINT (-93.210716734854 43.204768688625),848397,552617,,2016,3,,,median,43.20477642,-93.21072424,Tall Grass Burial,,4dc76257-7610-4a85-beb2-46dbd04eaa17,S001920065N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
36,POINT (-91.534873022575 41.295919714285),830623,555892,,2015,2,,,,41.29592724,-91.53487984,Tall Grass Burial,,b987074c-1f51-4af2-b162-3883f4dbb75b,S001920218N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
37,POINT (-92.070066995126 40.649143303924),758071,555826,,2007,3,,,,40.64915069,-92.0700739,Tall Grass Burial,,91becd8a-aae2-4c2c-93a9-d1d89beebec1,S001930002E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,female,0
38,POINT (-93.761206670294 40.845911953222),747242,555627,,2006,3,,,,40.84591927,-93.76121406,Relocation,,173895a4-77cc-4dcf-bf53-b34121d1a660,S001920069N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,male,0
39,POINT (-91.382654722983 42.874732853153),855711,552822,,2017,2,,,,42.87474065,-91.38266167,Relocation,,5a5386a5-fed4-43cb-a2f4-b2dc4b1db978,S001930013N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
40,POINT (-95.536904332863 41.030763525296),777393,554807,,2009,2,,,,41.03077077,-95.53691222,Tall Grass Burial,,3de1d616-3357-404d-8856-11448db51dd4,S001920034E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
41,POINT (-91.646494541964 40.635633700116),800844,555856,,2011,3,,,,40.63564111,-91.64650132,Tall Grass Burial,,af100018-812f-48e2-84ab-cc273598912e,S001930002E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
42,POINT (-93.606481383848 41.498463972423),831343,551809,,2018,2,,,,41.49847141,-93.6064888,Tall Grass Burial,,91554b79-8f11-4d33-903a-d865db0d42aa,S001930005N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
43,POINT (-96.001010636547 42.977603861175),801532,553808,,2012,2,,,,42.97761137,-96.00101888,Tall Grass Burial,,4993ca2e-08ba-4633-9258-51aec729bd01,S001930060N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
44,POINT (-93.852051032121 41.349318671859),865449,555691,,2018,2,,,,41.34932607,-93.8520585,Tall Grass Burial,,f963c7ec-5201-4296-aa33-c1b1c8eca354,S001930092E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
45,POINT (-91.385743473188 40.90549493872),758855,555844,,2007,2,,,,40.90550241,-91.38575021,Tall Grass Burial,,c4e624c5-3f16-4327-9bd0-a810f784c738,S001920034E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,female,0
46,POINT (-92.372048707946 41.041619560036),777625,555690,,2009,3,,,,41.041627,-92.37205573,Tall Grass Burial,,6fc33763-a7fd-489a-95d0-cca22550f475,S001920063N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
47,POINT (-95.353566297856 42.055366632017),765776,553612,,2008,2,,,,42.05537404,-95.35357426,Tall Grass Burial,,86fbe46b-57be-4505-8690-23cebaf8f470,S001930039N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Male,0
48,POINT (-91.196796836349 42.268421251151),747741,556605,,2006,3,,,,42.26842896,-91.19680366,Relocation,,da2a9564-38be-4df0-8e9b-2534bbd77193,S001930038N,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,female,0
49,POINT (-95.470401261862 40.749968941393),780208,554808,,2009,4,,,,40.74997614,-95.4704091,Tall Grass Burial,,efff04c8-6ec4-4eb5-bdcc-53c44ed0904d,S001930002E,,MAINTENANCE,11/29/2018 01:50:04 PM +0000,MAINTENANCE,11/29/2018 01:50:04 PM +0000,12/04/2019 06:13:08 PM +0000,,,,,,,Female,0
