,Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,Published Screenshots,Screenshot Address,Funding,ID,Location
10,471, BURNET RD / GAULT LN,TURNED_ON,08/26/2019,Advidia,LOC16-002245,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,11700, BURNET RD,,2901.0, GAULT LN,,5160013.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/471.jpg,None Identified,591a10a420eacf2d16669c5f,POINT (-97.716049 30.404934)
11,472, BURNET RD / ESPERANZA XING,TURNED_ON,02/23/2023,Advidia,LOC16-004290,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,11100, BURNET RD,,2901.0, ESPERANZA XING,,5159662.0,03/30/2024 11:33:00 PM,,https://cctv.austinmobility.io/image/472.jpg,None Identified,591a10a420eacf2d16669c61,POINT (-97.719322 30.398321)
12,473, METRIC BLVD / RUNDBERG LN,TURNED_ON,03/15/2018,Advidia,LOC16-003590,,NORTHWEST,4,AUSTIN FULL PURPOSE,ROADWAY,,,9310, METRIC BLVD,,2101.0, RUNDBERG LN,,5159686.0,12/05/2023 07:04:00 PM,,https://cctv.austinmobility.io/image/473.jpg,1/4 Cent,591a10a420eacf2d16669c63,POINT (-97.719727 30.375181)
13,474, RUNDBERG LN / PARKFIELD DR,TURNED_ON,03/14/2018,Advidia,LOC16-002355,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,1200, RUNDBERG LN,,9300.0, PARKFIELD DR,,5161164.0,10/23/2023 10:31:00 PM,,https://cctv.austinmobility.io/image/474.jpg,1/4 Cent,591a10a420eacf2d16669c65,POINT (-97.706245 30.367405)
14,475, RUNDBERG LN / COLLINFIELD DR,TURNED_ON,06/08/2018,Advidia,LOC16-002415,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,1000, RUNDBERG LN,,9200.0, COLLINFIELD DR,,5161615.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/475.jpg,1/4 Cent,591a10a420eacf2d16669c67,POINT (-97.701653 30.365328)
15,476, RUNDBERG LN / GEORGIAN DR,TURNED_ON,05/31/2018,Advidia,LOC16-002410,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,100, RUNDBERG LN,,9100.0, GEORGIAN DR,,5162565.0,12/05/2023 08:02:00 PM,,https://cctv.austinmobility.io/image/476.jpg,1/4 Cent,591a10a420eacf2d16669c69,POINT (-97.693405 30.36083)
16,477, RUNDBERG LN / NORTH PLZ,TURNED_ON,06/08/2018,Advidia,LOC16-002345,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,832, RUNDBERG LN,,8800.0, NORTH PLZ,,5163613.0,12/11/2023 11:50:00 PM,,https://cctv.austinmobility.io/image/477.jpg,1/4 Cent,591a10a420eacf2d16669c6b,POINT (-97.684334 30.355965)
17,478,FM 2222 RD / PARK CENTRE ,TURNED_ON,01/24/2018,Advidia,LOC16-004495,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,8502,FM 2222 RD,,, PARK CENTRE ,,5148919.0,06/14/2023 05:09:00 PM,,https://cctv.austinmobility.io/image/478.jpg,1/4 Cent,591a10a420eacf2d16669c6d,POINT (-97.813118 30.382252)
18,479,FM 2222 RD / BELL MOUNTAIN DR,TURNED_ON,01/24/2018,Advidia,LOC16-004240,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,7706,FM 2222 RD,,7751.0, BELL MOUNTAIN DR,,5149559.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/479.jpg,1/4 Cent,591a10a420eacf2d16669c6f,POINT (-97.805458 30.37719)
19,480,FM 2222 RD / JESTER BLVD,TURNED_ON,03/09/2018,Advidia,LOC16-003395,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,7200,FM 2222 RD,,6501.0, JESTER BLVD,,5149888.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/480.jpg,1/4 Cent,591a10a420eacf2d16669c71,POINT (-97.801994 30.369497)
20,481,FM 2222 RD / CITY PARK RD,TURNED_ON,07/08/2017,Advidia,LOC16-002625,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,6200,FM 2222 RD,,5914.0, CITY PARK RD,,5150327.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/481.jpg,1/4 Cent,591a10a420eacf2d16669c73,POINT (-97.79744 30.365801)
21,482,FM 2222 RD / MESA DR,TURNED_ON,07/08/2017,Wisenet,LOC16-004600,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,4014,FM 2222 RD,,5700.0, MESA DR,,5153101.0,06/26/2023 07:32:00 PM,,https://cctv.austinmobility.io/image/482.jpg,1/4 Cent,591a10a420eacf2d16669c75,POINT (-97.769638 30.341314)
22,483,FM 2222 RD / DRY CREEK DR,TURNED_ON,07/06/2017,Wisenet,LOC16-004700,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,3600,FM 2222 RD,,3801.0, DRY CREEK DR,,5153910.0,11/03/2023 08:47:00 PM,,https://cctv.austinmobility.io/image/483.jpg,1/4 Cent,591a10a420eacf2d16669c77,POINT (-97.762993 30.342556)
23,486,FM 620 RD / HATCH RD,TURNED_ON,01/30/2018,Advidia,LOC16-004480,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,12108,FM 620 RD,,3400.0, HATCH RD,,5148292.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/486.jpg,1/4 Cent,591a10a420eacf2d16669c7d,POINT (-97.819923 30.460848)
24,487,FM 620 RD / DEERBROOK TRL,TURNED_ON,01/26/2018,Advidia,LOC16-004470,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,12400,FM 620 RD,,12324.0, DEERBROOK TRL,,5148947.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/487.jpg,1/4 Cent,591a10a420eacf2d16669c7f,POINT (-97.810623 30.46389)
25,488,FM 620 RD / PECAN PARK BLVD,TURNED_ON,01/30/2018,Advidia,LOC16-003085,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,12700,FM 620 RD,,11000.0, PECAN PARK BLVD,,5149481.0,12/05/2023 05:50:00 PM,,https://cctv.austinmobility.io/image/488.jpg,1/4 Cent,591a10a420eacf2d16669c81,POINT (-97.803963 30.465965)
26,489,FM 620 RD / 183 HWY SVRD,TURNED_ON,,Advidia,LOC16-004430,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,12811,FM 620 RD,,13870.0,US 183 HWY SVRD,,5150067.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/489.jpg,1/4 Cent,591a10a520eacf2d16669c83,POINT (-97.797371 30.468016)
27,490,FM 620 RD / LAKE CREEK PKWY,TURNED_ON,01/26/2018,Advidia,LOC16-004475,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,12220,FM 620 RD,,11422.0, LAKE CREEK PKWY,,5148573.0,06/06/2023 04:29:00 PM,,https://cctv.austinmobility.io/image/490.jpg,1/4 Cent,591a10a520eacf2d16669c85,POINT (-97.816017 30.462158)
28,491,FM 620 RD / EL SALIDO PKWY,TURNED_ON,06/18/2018,Wisenet,LOC16-004465,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,11804,FM 620 RD,,11701.0, EL SALIDO PKWY,,5148045.0,01/17/2024 02:54:00 PM,,https://cctv.austinmobility.io/image/491.jpg,1/4 Cent,591a10a520eacf2d16669c87,POINT (-97.823113 30.458035)
29,492, AIRPORT BLVD / LEVANDER LOOP,TURNED_ON,05/30/2017,Wisenet,LOC16-000865,,NORTHEAST,3,AUSTIN FULL PURPOSE,ROADWAY,,,750, AIRPORT BLVD,,7400.0, LEVANDER LOOP,,5162956.0,11/06/2023 09:37:00 PM,,https://cctv.austinmobility.io/image/492.jpg,None Identified,592d80bdd7fef5476c5ab7a2,POINT (-97.692543 30.253723)
30,494, BURNET RD / OHLEN RD,TURNED_ON,06/15/2017,Wisenet,LOC16-000455,,NORTHWEST,"4, 7",AUSTIN FULL PURPOSE,ROADWAY,,,8300, BURNET RD,,2301.0, OHLEN RD,,5158652.0,06/23/2023 11:34:00 PM,,https://cctv.austinmobility.io/image/494.jpg,None Identified,5942f362bb42d75585c85ab6,POINT (-97.729057 30.362911)
31,495, PARMER LN / HARRIS RIDGE BLVD,TURNED_ON,06/22/2017,Advidia,LOC16-003650,,NORTHEAST,"7, 1",AUSTIN FULL PURPOSE,ROADWAY,,,300, PARMER LN,,12801.0, HARRIS RIDGE BLVD,,5165757.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/495.jpg,None Identified,594d4cfa0a463f5550bc6f6f,POINT (-97.657372 30.402313)
32,496, PARMER LN / INNOVAR CIR,TURNED_ON,06/22/2017,Advidia,LOC16-002805,,NORTHEAST,1,AUSTIN FULL PURPOSE,ROADWAY,,,3201, PARMER LN,,12200.0, INNOVAR CIR,,5167289.0,01/22/2024 01:10:00 PM,,https://cctv.austinmobility.io/image/496.jpg,None Identified,594da6ee6e9eb5668bf77899,POINT (-97.631714 30.376001)
33,497, PARMER LN / LEGENDARY DR (Riata Vista Circle - East),TURNED_ON,05/31/2017,Wisenet,LOC16-004985,Riata Vista Circle - East,NORTHWEST,6,AUSTIN FULL PURPOSE,BUILDING,,,5400, PARMER LN,,13000.0, LEGENDARY DR,,5157977.0,11/08/2023 07:41:00 PM,,https://cctv.austinmobility.io/image/497.jpg,None Identified,5951919e2afee24e0a04db36,POINT (-97.73172 30.434356)
34,498, MANOR RD / BERKMAN DR,TURNED_ON,05/30/2017,Wisenet,LOC16-002395,,NORTHEAST,"1, 9",AUSTIN FULL PURPOSE,ROADWAY,,,3500, MANOR RD,,3700.0, BERKMAN DR,,5162218.0,06/24/2023 08:25:00 PM,,https://cctv.austinmobility.io/image/498.jpg,None Identified,59519201c8f6f94ef6c883d7,POINT (-97.69854 30.289087)
35,499, STASSNEY LN / 1ST ST,TURNED_ON,06/26/2017,Advidia,LOC16-001975,,SOUTH,"2, 3",AUSTIN FULL PURPOSE,ROADWAY,,,600, STASSNEY LN,,5501.0, 1ST ST,,5152189.0,01/20/2023 12:49:00 AM,,https://cctv.austinmobility.io/image/499.jpg,None Identified,5951a4bbd8e003500a760c1e,POINT (-97.781525 30.208471)
36,500, HARRIS BRANCH PKWY / PARMER LN,TURNED_ON,06/27/2017,Wisenet,LOC16-004250,,NORTHEAST,1,AUSTIN FULL PURPOSE,ROADWAY,,,12300, HARRIS BRANCH PKWY,,5700.0, PARMER LN,,5168235.0,11/02/2023 06:12:00 PM,,https://cctv.austinmobility.io/image/500.jpg,None Identified,59527afa8e9dba492342bb86,POINT (-97.613174 30.368521)
37,501,FM 620 RD / WILSON PARKE AVE,TURNED_ON,06/27/2017,Advidia,LOC16-004330,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,8116,FM 620 RD,,11701.0, WILSON PARKE AVE,,5145963.0,05/03/2023 08:04:00 PM,,https://cctv.austinmobility.io/image/501.jpg,None Identified,5952f6e9975ab55184de5481,POINT (-97.847313 30.416769)
38,502,FM 620 RD / BOULDER LN (South),TURNED_ON,06/27/2017,Wisenet,LOC16-004375,South,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,8400,FM 620 RD,,10200.0, BOULDER LN,,5146359.0,11/10/2023 05:50:00 PM,,https://cctv.austinmobility.io/image/502.jpg,None Identified,5952f752cc917550e29aa7df,POINT (-97.842659 30.428783)
39,504, LAMAR BLVD / MEADOWS DR,TURNED_ON,06/27/2017,Advidia,LOC16-002510,,NORTHEAST,4,AUSTIN FULL PURPOSE,BUILDING,,,10508, LAMAR BLVD,,801.0, MEADOWS DR,,5162805.0,10/10/2022 05:11:00 PM,,https://cctv.austinmobility.io/image/504.jpg,None Identified,5952f9533bec3b534367ed55,POINT (-97.690773 30.37413)
40,505, BURNET RD / WATERFORD CENTRE BLVD,TURNED_ON,12/13/2016,Wisenet,LOC16-003725,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,9300, BURNET RD,,9234.0, WATERFORD CENTRE BLVD,,5159052.0,06/22/2023 06:36:00 PM,,https://cctv.austinmobility.io/image/505.jpg,None Identified,5954274297c50759e04bfc1e,POINT (-97.725472 30.377354)
41,506, CAMERON RD / 290 HWY SVRD,TURNED_ON,10/12/2020,Wisenet,LOC16-003270,,NORTHEAST,"4, 1",AUSTIN FULL PURPOSE,ROADWAY,,,6317, CAMERON RD,,6450.0,US 290 HWY SVRD,,5162504.0,10/02/2023 04:45:00 PM,,https://cctv.austinmobility.io/image/506.jpg,None Identified,59542e5abf49275c0a3deffc,POINT (-97.694946 30.321856)
42,507, CAPITAL OF TEXAS HWY / STONELAKE BLVD,TURNED_ON,09/09/2016,Wisenet,LOC16-004210,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,9600, CAPITAL OF TEXAS HWY,,9900.0, STONELAKE BLVD,,5157000.0,07/26/2023 12:21:00 PM,,https://cctv.austinmobility.io/image/507.jpg,None Identified,59542e97bf3f5357b695e821,POINT (-97.739441 30.390692)
43,508, ENFIELD RD / EXPOSITION BLVD,TURNED_ON,09/26/2016,Advidia,LOC16-003700,,CENTRAL,10,AUSTIN FULL PURPOSE,ROADWAY,,,2700, ENFIELD RD,,1500.0, EXPOSITION BLVD,,5152981.0,10/31/2023 05:41:00 PM,,https://cctv.austinmobility.io/image/508.jpg,None Identified,59542f344f7fd15c971693eb,POINT (-97.772057 30.290598)
44,509, STECK AVE / MOPAC EXPY SVRD,TURNED_ON,03/20/2018,Wisenet,LOC16-002210,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,3451, STECK AVE,,8200.0, MOPAC EXPY SVRD,,5156695.0,11/06/2023 09:33:00 PM,,https://cctv.austinmobility.io/image/509.jpg,None Identified,59542f61e9effd56760a7d12,POINT (-97.741921 30.367931)
45,511,3901 BLK W SLAUGHTER LN (BOWIE HIGH SCHOOL),TURNED_ON,09/29/2016,Wisenet,LOC16-002605,BOWIE HIGH SCHOOL,SOUTH,8,AUSTIN FULL PURPOSE,ROADWAY,,,3901, SLAUGHTER LN,,,,,,06/22/2023 10:44:00 PM,,https://cctv.austinmobility.io/image/511.jpg,None Identified,59542fd71b337258e6c6634b,POINT (-97.856888 30.189102)
46,512, SLAUGHTER LN / WEST GATE BLVD,TURNED_ON,09/29/2016,Wisenet,LOC16-002760,,SOUTH,5,AUSTIN FULL PURPOSE,ROADWAY,,,2812, SLAUGHTER LN,,9801.0, WEST GATE BLVD,,5147070.0,11/10/2023 07:56:00 PM,,https://cctv.austinmobility.io/image/512.jpg,None Identified,59543009bf3f5357b695e956,POINT (-97.841011 30.17927)
47,513, 1ST ST / DITTMAR RD,TURNED_ON,09/30/2016,Wisenet,LOC16-002105,,SOUTH,2,AUSTIN FULL PURPOSE,ROADWAY,,,7500, 1ST ST,,622.0, DITTMAR RD,,5151136.0,09/29/2023 03:27:00 PM,,https://cctv.austinmobility.io/image/513.jpg,None Identified,595430bc69e2085528594fde,POINT (-97.792656 30.183899)
48,514, OLD LAMPASAS TRL / SPICEWOOD SPRINGS RD (SCOTLAND WELL DR),TURNED_ON,03/02/2016,Advidia,LOC16-003670,SCOTLAND WELL DR,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,8800, OLD LAMPASAS TRL,,8043.0, SPICEWOOD SPRINGS RD,,5150518.0,02/20/2024 08:50:00 PM,,https://cctv.austinmobility.io/image/514.jpg,None Identified,59543160e7785756fa7754a4,POINT (-97.79361 30.422527)
49,515, LAMAR BLVD / 51ST ST,TURNED_ON,06/29/2017,Wisenet,LOC16-000010,,NORTHWEST,"7, 9",AUSTIN FULL PURPOSE,ROADWAY,,,5000, LAMAR BLVD,,601.0, 51ST ST,,5158588.0,11/16/2023 10:18:00 PM,,https://cctv.austinmobility.io/image/515.jpg,None Identified,59559538d8fab96123b52266,POINT (-97.73082 30.31877)
