,OBJECTID,Feature Type,Feature Subtype,Feature Name,Administrative Unit Code,Administrative State,QC Reviewer Name,QC Date,QC Delete Feature Flag,QC Comments,Data Source,Original Feature Type from State Data,DESCRIPTION,WEB_LINK,PHOTO_TEXT,created_user,created_date,last_edited_user,last_edited_date,UNIT_NAME,SOURCE,WEB_DISPLAY,PHOTO_LINK,PHOTO_THUMB,GlobalID,Original_GlobalID,Latitude,Longitude,x,y
13,57121,4,Scenic Overlook,POMPEYS PILLAR NATIONAL MONUMENT ,MT001200,MT,,,,,,,,,,ILMOCDBO,10/13/2017 2:59:45 PM,ILMOCDBO,10/13/2017 2:59:45 PM,,,YES,,,2181de28-51d0-47cd-b5f0-e2b5c8ab9a29,{9C6CC148-7419-49A2-A3DE-A3A9ACF13B9D},45.9953873,-108.00572825,-108.005728249,45.995387302
14,57203,10,Campground,JUDITH LANDING,MTL07000,MT,,,,,,,,,,ILMOCDBO,5/1/2020 4:09:37 PM,ILMOCDBO,5/1/2020 4:09:37 PM,,,YES,,,7f31de11-0456-40c7-bae7-4f2c98e2f770,{ECA8BE5A-62B4-4D60-827C-5760B80A4FE6},47.73889408,-109.6232445,-109.6232445,47.7388940800001
15,57269,10,Campground,WOODHAWK RECREATION AREA,MTL07000,MT,,,,,,,,,,ILMOCDBO,7/10/2020 11:32:01 PM,ILMOCDBO,7/10/2020 11:32:01 PM,,,YES,,,781cf62f-a00b-40a5-8181-98de415516b0,{156B8636-B5DB-49AE-84EE-4228C57D240D},47.74123,-108.949,-108.949,47.74123
16,57388,3,Campsite - Primitive - Non Reservable - No Fee,SEINEURS REACH,MTL07000,MT,,,,,,,,,,ILMOCDBO,10/12/2018 7:57:29 PM,ILMOCDBO,10/12/2018 7:57:29 PM,,,YES,,,8c14741a-8cb7-42f4-bcfd-8d83c828e363,{C7B0DE62-F16F-41E0-AE5F-68E6381F7B2B},47.880191,-110.474,-110.474000001,47.8801910000001
17,57414,4,Point of Interest,MONROE CABIN HOMESTEAD,MTL07000,MT,,,,,,,,,,ILMOCDBO,7/10/2020 11:32:01 PM,ILMOCDBO,7/10/2020 11:32:01 PM,,,YES,,,b0da04b9-cae1-4f83-8505-3a029144d98e,{1F157222-D255-42C7-88F1-9697689BEBA6},47.942471,-110.077561,-110.077561,47.9424710000001
18,57485,1,Visitor Center,POMPEYS PILLAR NATIONAL MONUMENT EDUCATION CENTER,MT001200,MT,,,,,,,,,,ILMOCDBO,9/8/2017 10:58:18 PM,ILMOCDBO,9/8/2017 10:58:18 PM,,,YES,,,c02cc6c7-cc98-4680-b8bc-c4e22a6d0ac1,{3BB6EC6A-B1BC-481C-A11A-CD77A1AB7546},45.995355,-108.003865,-108.003865,45.9953550000001
19,57520,8,Parking Area,DECISION POINT,MTL07000,MT,,,,,,,,,,ILMOCDBO,5/1/2020 4:09:37 PM,ILMOCDBO,5/1/2020 4:09:37 PM,,,YES,,,0291516d-fa23-4052-be2a-cecdc777c93c,{95DA6ED9-7C7F-4F9A-AB49-AA94CCB74B42},47.92484651,-110.4985936,-110.4985936,47.9248465100001
20,57523,2,Boat Launch,WOODHAWK (LOWER),MTL07000,MT,,,,,,,,,,ILMOCDBO,10/12/2018 7:57:29 PM,ILMOCDBO,10/12/2018 7:57:29 PM,,,YES,,,f7fd69d5-0ccd-4b5e-8e03-0cdaa801cca6,{22C1F4CD-0F13-434C-BE32-4ABD532C0996},47.74123,-108.949,-108.949,47.74123
21,57554,5,Toilet,WOODHAWK (LOWER),MTL07000,MT,,,,,,,,,,ILMOCDBO,10/12/2018 7:57:29 PM,ILMOCDBO,10/12/2018 7:57:29 PM,,,YES,,,66612d05-5919-433c-97e0-06672a395f0b,{5473BE8C-67B9-45C2-A040-0CD18CC70281},47.74123,-108.949,-108.949,47.74123
22,58855,3,Campsite - Primitive - Non Reservable - Fee,Upper Magaritaville,COS05400,CO,,,,,,,,,,ILMOCDBO,11/3/2017 4:41:04 PM,ILMOCDBO,11/3/2017 4:41:04 PM,,,YES,,,69a6439c-4b19-4ad3-8a3a-1d970b9a448e,{125A2D97-498A-424A-9D0A-9153B39C7244},38.61824913,-107.82099248,-107.820992476,38.6182491340001
23,58878,7,Access Point,Phils World Rec Area,COS01000,CO,,,,,,,,,,ILMOCDBO,12/1/2017 7:49:42 PM,ILMOCDBO,12/1/2017 7:49:42 PM,,,YES,,,bc680cca-7408-4160-a7e1-1894844f6db4,{EFA01192-F0F2-4C8D-95AA-AD0495CB808D},37.34942,-108.4955,-108.4955,37.3494200000001
24,59040,4,Interpretive Site,Wells Gulch,COS05000,CO,,,,,,,,,,ILMOCDBO,11/3/2017 4:41:04 PM,ILMOCDBO,11/3/2017 4:41:04 PM,,,YES,,,a5a0d96c-77f7-46cb-bee5-95bb5d68bcc2,{0A66DCED-8FF6-4578-BE44-0EF32F78F0D9},38.81106446,-108.28014274,-108.280142736,38.811064457
25,59084,7,Staging Area,Flat Top Staging Area,COS05400,CO,,,,,,,,,,ILMOCDBO,11/3/2017 4:41:04 PM,ILMOCDBO,11/3/2017 4:41:04 PM,,,YES,,,c1126b99-005d-4471-b750-4821ff9211a6,{A444F592-C0E2-499D-9000-1E1F09FE496E},38.52154757,-107.8593604,-107.859360401,38.5215475700001
26,61404,4,Interpretive Site,Whitney Pocket Kiosk,AZA03000,AZ,,,,,,,An informational and directional kiosk located on the Las Vegas Field Office at Whitney Pocket.,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Grand Canyon Parashant National Monument,,YES,,,26fc92a1-915f-45eb-b36d-53909426e6de,{350B8ECD-22F4-40E5-A74D-460B7E3F382C},36.52308028,-114.14051555,-114.140515547,36.5230802840001
27,61405,4,Scenic Overlook,Kelly Point Overlook,AZA03000,AZ,,,,,,,Kelly Point provides outstanding views of the Grand Canyon. The road is extremely rough and has seasonal closures. Vehicles without high clearance are not recommended.,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Grand Canyon Parashant National Monument,,YES,,,5d851a02-1e2b-4cf7-8c4a-9fb08e73e463,{F414D5C2-22DB-4824-8426-7CA9E9623AC8},35.83493249,-113.47054012,-113.470540119,35.83493249
28,61409,4,Interpretive Site,Dinner Pocket Historic Cabin,AZA03000,AZ,,,,,,,This structure was built by Bill Shanley who operated a still at a nearby water pocket. The structure is entirely collapsed.,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Grand Canyon Parashant National Monument,,YES,,,f1fc82d7-2e63-4279-8bc8-9f7c70f5ab47,{2EBD598A-282F-423C-9DF1-38CCE77A8126},35.99080288,-113.4752702,-113.475270204,35.99080288
29,61410,4,Interpretive Site,Lehner Mammoth Kill Interpretive Site,AZG02200,AZ,,,,,,,,,,ILMOCDBO,4/8/2019 5:42:42 PM,ILMOCDBO,4/8/2019 5:42:42 PM,San Pedro Riparian National Conservation Area,,YES,,,9f96bd83-aff4-4bfe-933f-e41d287df066,{7538C078-CBEB-461A-B6DA-11131D5850FF},31.42164682,-110.11479338,-110.114793378,31.421646824
30,61414,8,Parking Area,Escapule Parking,AZG02200,AZ,,,,,,,,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,San Pedro Riparian National Conservation Area,,YES,,,b7a568b5-9ee3-4134-be4e-c9c54040c246,{D4A8BB6D-2AAB-43AE-85F8-787526CC7ABE},31.59688022,-110.15767498,-110.157674977,31.596880217
31,61418,4,Point of Interest,Brittlebush Trailhead Information Kiosk,AZP04000,AZ,,,,,,,,,,ILMOCDBO,5/3/2019 4:13:59 PM,ILMOCDBO,5/3/2019 4:13:59 PM,Sonoran Desert National Monument,,YES,,,e04d1975-d583-415f-b488-3ac1446d965e,{75BC5271-BC2C-4234-B1B3-F9FAD55589D1},33.0370164,-112.55412052,-112.553551955,33.0369053580001
32,61421,5,Toilet,Badger Springs Restroom,AZP03000,AZ,,,,,,,,,,ILMOCDBO,6/5/2020 7:04:10 PM,ILMOCDBO,6/5/2020 7:04:10 PM,Agua Fria National Monument,,YES,,,96328858-0b53-4b44-973a-106e9aa25931,{A701F8DF-2DF3-4FA0-BBF5-31DAF6388F35},34.23189434,-112.10285606,-112.102856064,34.2318943390001
33,61422,4,Point of Interest,Badger Springs Information Kiosk,AZP03000,AZ,,,,,,,,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Agua Fria National Monument,,YES,,,d1b0f841-7e55-4bf2-8f8f-c6d09eda7634,{24BB92F5-8B57-44E1-8055-861E9A12FADA},34.23698151,-112.10939339,-112.109393391,34.236981513
34,61423,4,Fire Lookout,Black Rock Fire Lookout,AZA01000,AZ,,,,,,,The Black Rock Fire Lookout is an active fire lookout station on the Arizona Strip. It provides outsanding 360 degree views of the area. A locked gate prevents the public from entering the facilities premises. ,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Arizona Strip Field Office,,YES,,,a5105e70-58d9-4a38-8720-f36506b5467d,{D0DF2E20-8C58-4B00-B8D2-8F54DD5C5BBE},36.79283497,-113.75201964,-113.752019641,36.7928349680001
35,61425,7,Access Point,Big Bug Trailhead Restroom,AZP01000,AZ,,,,,,,,,,ILMOCDBO,6/5/2020 7:04:10 PM,ILMOCDBO,6/5/2020 7:04:10 PM,,,YES,,,0edbc14e-2f8b-4467-8e9f-86e89bdbae52,{8E686A81-4128-40EB-B7CB-F340A2D3CCF8},34.36249483,-112.17589391,-112.175893913,34.3624948300001
36,61428,7,Access Point,Gloriana Trailhead,AZP01000,AZ,,,,,,,,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,,,YES,,,b4e33b90-6433-469f-945d-9ef1445f567d,{B475D377-2ECF-4F8C-847D-4FF1F342E9D3},34.15093528,-112.15323853,-112.153238532,34.1509352800001
37,61429,4,Point of Interest,Margie's Cove East Information Kiosk,AZP04000,AZ,,,,,,,,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Sonoran Desert National Monument,,YES,,,0c042d02-1be2-4f7e-859a-488016b4cead,{9AD2D717-A2C3-4A11-AF86-A98D521DF4AC},33.07778274,-112.47044489,-112.470444887,33.07778274
38,61432,10,Campground,Road Canyon Camp Area,AZG02100,AZ,,,,,,,,,,ILMOCDBO,4/8/2019 5:42:42 PM,ILMOCDBO,4/8/2019 5:42:42 PM,Las Cienagas National Conservation Area,,YES,,,f8185d30-851a-45da-ba21-c49d864b4758,{E7864EF4-1073-413A-9210-10C39E5D6438},31.73963678,-110.58522933,-110.585229332,31.7396367750001
39,61433,4,Picnic Area,Spring Canyon Picnic Area,AZG01100,AZ,,,,,,,,,,ILMOCDBO,2/9/2019 2:41:42 AM,ILMOCDBO,2/9/2019 2:41:42 AM,Gila Box Riparian National Conservation Area,,YES,,,066fb59e-ab66-4cda-9f4e-8858ba20c721,{3AB4AC43-7E18-48D4-A381-39C5A6BE2B79},32.88749506,-109.4968192,-109.496819195,32.8874950590001
40,61434,8,Parking Area,Waterman Group Site,AZG03000,AZ,,,,,,,,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Ironwood Forest National Monument,,YES,,,9f29c822-bae5-4a0e-89db-e5c7afba0bba,{03302AAF-908C-4E2D-A9CE-EF40E452992C},32.35983477,-111.46763219,-111.46763219,32.3598347710001
41,61436,4,Point of Interest,Lava Flow South Trailhead Information Kiosk,AZP04000,AZ,,,,,,,,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Sonoran Desert National Monument,,YES,,,84424b1b-54f3-4a9b-9cd6-f76ac74c031f,{C0F28ADF-5EB7-40EF-A0EC-8A954A99C93D},32.71592079,-112.1713819,-112.171381904,32.7159207930001
42,61437,10,Campground,Maternity Well Group Site,AZG02100,AZ,,,,,,,,,,ILMOCDBO,4/8/2019 5:42:42 PM,ILMOCDBO,4/8/2019 5:42:42 PM,Las Cienagas National Conservation Area,,YES,,,921d8beb-dd3f-4e4e-a7b2-bc36d7eb5b85,{E1A33A81-1569-4896-A104-F25C929352C6},31.76555394,-110.66751343,-110.667513428,31.7655539450001
43,61440,4,Point of Interest,BLM AFNM Information Kiosk,AZP03000,AZ,,,,,,,,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Agua Fria National Monument,,YES,,,51380e3a-3e65-4e4f-90ef-cd9641330134,{169382CF-699A-48C9-A2B5-FAEC47660317},34.22783773,-111.99166087,-111.991660869,34.227837735
44,61443,10,Campground,Silverbell Group Site,AZG03000,AZ,,,,,,,,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Ironwood Forest National Monument,,YES,,,01539ff5-da7a-4552-90cc-72cfd576b356,{827C1CE2-C396-46F4-A234-705982263702},32.47362593,-111.49793519,-111.497935187,32.473625929
45,61444,4,Interpretive Site,Whitmore Canyon Overlook,AZA03000,AZ,,,,,,,"This overlook offers spectacular views of the Colorado River. A short, easy trail loops around a hill amid desert plants that flower colorfully in the spring. Another trail leads down the canyon the river in Grand Canyon National Park.",,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Grand Canyon Parashant National Monument,,YES,,,069b9571-9158-41ad-b21c-72f7e2b461a1,{BBC1A4D8-44D2-438C-95D7-C42AB6948D41},36.15251891,-113.20434351,-113.204343506,36.152518908
46,61446,2,Boat Launch,Gila River Boat Put In,AZG01100,AZ,,,,,,,,,,ILMOCDBO,2/9/2019 2:41:42 AM,ILMOCDBO,2/9/2019 2:41:42 AM,Gila Box Riparian National Conservation Area,,YES,,,3834ba55-9124-40fc-8ead-93a1eaa2fb88,{4E7919D2-AA75-44F0-BEAF-49BA48FA94C3},32.96527645,-109.30975125,-109.309751245,32.965276449
47,61447,5,Toilet,Margie's Cove East Trail Restroom,AZP04000,AZ,,,,,,,,,,ILMOCDBO,6/5/2020 7:04:10 PM,ILMOCDBO,6/5/2020 7:04:10 PM,Sonoran Desert National Monument,,YES,,,10d24905-a5a1-4ce8-a49f-883e20d605c4,{533B2B0B-32A6-4E50-B7D9-28E093729440},33.07779758,-112.47020153,-112.470201533,33.077797579
48,61448,4,Point of Interest,Tabletop Trailhead Information Kiosk,AZP04000,AZ,,,,,,,,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Sonoran Desert National Monument,,YES,,,4735e830-c58c-4a58-9fb9-cf86f4af8117,{EC031D64-0419-4754-BD56-B1A535A0520D},32.71643988,-112.15949645,-112.159496448,32.7164398790001
49,61450,4,Point of Interest,Lava Flow West Trailhead Information Kiosk,AZP04000,AZ,,,,,,,,,,ILMOCDBO,1/5/2018 8:16:15 PM,ILMOCDBO,1/5/2018 8:16:15 PM,Sonoran Desert National Monument,,YES,,,d73f90d4-b8eb-4f36-9790-822b390c8b17,{A19F066E-F565-4072-9F43-6D92E471678C},32.75297679,-112.20604558,-112.206045581,32.75297679
