,ID,OBS_DATE,ASM,ASM_D11,ASM_D,ASM_D_D11,ASM_I,ASM_I_D11,RPM,RPM_D11,RPM_D,RPM_D_D11,RPM_I,RPM_I_D11,LOAD_FACTOR,LOAD_FACTOR_D11,LOAD_FACTOR_D,LOAD_FACTOR_D_D11,LOAD_FACTOR_I,LOAD_FACTOR_I_D11,ENPLANE_I,ENPLANE_I_D11,ENPLANE_D,ENPLANE_D_D11,ENPLANE,ENPLANE_D11,AIR_RPM_TSI,AIR_RPM_TSI_D11,AIR_RTMFM,AIR_RTMFM_D11,RAIL_FRT_CARLOADS,RAIL_FRT_CARLOADS_D11,RAIL_FRT_INTERMODAL,RAIL_FRT_INTERMODAL_D11,RAIL_PM,RAIL_PM_D11,TRANSIT,TRANSIT_D11,PETROLEUM,PETROLEUM_D11,NATURAL_GAS,NATURAL_GAS_D11,WATERBORNE,WATERBORNE_D11,TRUCK_D11,VMT,VMT_D11,TSI_Freight,TSI_Freight_C,TSI_Passenger,TSI_Passenger_C,TSI_Total,TSI_Total_C,IND_PRO,MANUF,INV_TO_SALES,IDX_AIR_RPM,IDX_AIR_RTMFM,IDX_RAIL_FRT_CARLOADS,IDX_RAIL_FRT_INTERMODAL,IDX_RAIL_PM,IDX_TRANSIT_D11,IDX_PETROLEUM_D11,IDX_NATURAL_GAS_D11,IDX_WATERBORNE_D11,IDX_TRUCK_D11
31,SATD200208,08/01/2002,80868442,75739035,59972808,56631465,20895634,19107571,62332762,54629846,45415533,40043274,16917229,14586571,77.1,72.1,75.7,70.7,81.0,76.3,6418,5438,51141,47028,57559,52466,63657944,54992524,2518364,2486721,1467852,1399397,867104,805962,516067118,437483241,781609,797239,218464,211817,1725.7,1925.6,48.8,46.4,78.3,258666,239615,102.6,-0.2,95.7,0.4,100.7,0.0,97.89440141,94.20045688,1.53,0.9323,0.9686,1.0002,1.0557,0.9386,1.0124,0.9468,1.028,0.9401,1.0449
32,SATD200209,09/01/2002,73849591,75472580,54357595,56282270,19491996,19190310,48731119,53198909,34211925,38516218,14519194,14682691,66.0,70.5,62.9,68.4,74.5,76.5,5082,5571,40143,45255,45225,50826,49270915,54615563,2385972,2428458,1395757,1385948,810856,798183,385089969,423847665,805016,795478,209278,212278,1542.2,1940.5,44.9,47.0,79.1,233625,239653,103.1,0.5,95.1,-0.6,100.8,0.1,97.99235257,94.34037693,1.57,0.9259,0.9459,0.9906,1.0455,0.9093,1.0102,0.9489,1.036,0.951,1.0559
33,SATD200210,10/01/2002,77124746,76196787,57505033,56545472,19619713,19651315,53268604,54525610,39065248,39730470,14203356,14795139,69.1,71.6,67.9,70.3,72.4,75.3,5100,5635,48055,48530,53155,54165,54019748,55467284,3345807,3089937,1462330,1370533,791259,721742,399247828,421932336,877109,803185,210045,209758,1645.9,1965.0,50.3,47.5,79.1,245556,237938,104.5,1.4,96.4,1.4,102.2,1.4,97.73936612,94.10879497,1.57,0.9404,1.2036,0.9795,0.9453,0.9052,1.02,0.9376,1.0491,0.9611,1.0559
34,SATD200211,11/01/2002,72812742,75904052,54513457,56428219,18299285,19475833,49186629,54547807,36348009,39968016,12838620,14579791,67.6,71.9,66.7,70.8,70.2,74.9,4866,5633,44850,48421,49716,54054,50106815,56289105,3074803,2916693,1359625,1378975,791000,791226,376011411,428222917,788746,794760,212871,214681,1913.6,1986.7,50.7,49.4,79.3,230648,238385,104.9,0.4,97.1,0.7,102.7,0.5,98.27388107,94.49600228,1.57,0.9543,1.1361,0.9856,1.0364,0.9187,1.0093,0.9596,1.0607,1.0,1.0583
35,SATD200212,12/01/2002,75616059,75785516,56713015,56380500,18903044,19405016,55458015,55073705,41361303,40601150,14096712,14472555,73.3,72.7,72.9,72.0,74.6,74.6,5360,5530,49684,49044,55044,54574,56656595,56116809,2810584,2785306,1326501,1385067,744615,786032,448245893,417821666,754257,791588,229928,223689,2378.9,1956.4,46.4,47.1,80.2,234260,239969,105.2,0.3,96.7,-0.4,102.8,0.1,97.72304093,92.70873786,1.56,0.9514,1.0849,0.9899,1.0296,0.8964,1.0053,0.9999,1.0445,0.9534,1.0708
36,SATD200301,01/01/2003,75100667,76371733,56191300,57008183,18909367,19363550,49830903,54733707,36211422,40311392,13619481,14422315,66.4,71.7,64.4,70.7,72.0,74.5,5206,5487,43032,48203,48238,53690,51197174,56305850,2573661,2856610,1348631,1371604,787446,807938,393287373,460932440,778679,789227,222634,219766,2700.6,1938.2,39.7,45.4,79.2,218534,239077,104.2,-1.0,97.0,0.3,102.2,-0.6,98.53011093,94.1676185,1.56,0.9546,1.1127,0.9803,1.0582,0.9889,1.0023,0.9823,1.0347,0.9194,1.0579
37,SATD200302,02/01/2003,66514415,74454735,50088434,55620679,16425981,18834056,45514803,54030016,34148439,40010781,11366364,14019235,68.4,72.6,68.2,71.9,69.2,74.4,4530,5273,41167,47514,45697,52786,47040806,56158334,2446178,2775640,1232970,1365991,730315,815993,390041481,477065765,732135,782569,188368,213314,2500.3,2028.6,36.0,42.7,78.9,203677,233578,103.4,-0.8,96.7,-0.3,101.6,-0.6,98.65411753,95.17418618,1.6,0.9521,1.0811,0.9763,1.0688,1.0235,0.9938,0.9535,1.083,0.865,1.0527
38,SATD200303,03/01/2003,76228184,75365032,57592901,56307418,18635283,19057614,54994261,52975343,41774564,39840558,13219697,13134785,72.1,70.3,72.5,70.8,70.9,68.9,5305,5075,49993,47576,55298,52651,56766580,54402532,2925823,2739853,1400506,1357357,826783,821443,472573962,484688661,820157,799525,213683,214953,2197.9,1865.0,45.7,45.2,79.6,236679,236830,103.9,0.5,95.3,-1.4,101.4,-0.2,98.38999536,95.9363221,1.58,0.9223,1.0672,0.9701,1.0759,1.0399,1.0153,0.9608,0.9957,0.9142,1.0623
39,SATD200304,04/01/2003,70959285,72047736,54639679,55325251,16319606,16722485,50304173,50367308,39465980,39143132,10838193,11224176,70.9,69.9,72.2,70.8,66.4,67.1,4560,4650,47033,46313,51593,50963,51857453,52470466,2733039,2725621,1362930,1367675,810805,825520,483653074,476344016,810703,789641,215713,219618,1743.5,1833.8,47.5,45.7,79.6,239415,238036,104.0,0.1,92.7,-2.7,100.7,-0.7,97.76531345,93.0122787,1.59,0.8896,1.0617,0.9775,1.0813,1.022,1.0028,0.9817,0.979,0.9249,1.0628
40,SATD200305,05/01/2003,71761853,70790541,55349897,54901415,16411956,15889126,53070727,51936130,41001934,40200761,12068793,11735370,74.0,73.4,74.1,73.2,73.5,73.9,4819,4751,49152,47366,53971,52117,54335598,53514640,2732471,2764067,1402692,1361480,836029,819567,489484678,479025272,799984,781000,232437,224682,1514.7,1823.1,45.5,43.9,78.7,253244,239910,103.0,-1.0,93.6,1.0,100.3,-0.4,97.74282577,93.98972016,1.58,0.9073,1.0766,0.9731,1.0735,1.0277,0.9918,1.0043,0.9733,0.8887,1.0502
41,SATD200306,06/01/2003,74465181,72815563,56555517,55614665,17909664,17200898,58958204,53858239,44492972,40845060,14465232,13013179,79.2,74.0,78.7,73.4,80.8,75.7,5635,5110,52210,48024,57845,53134,60272900,54557563,2680999,2675742,1370794,1374389,829971,826257,531138943,475913439,754298,771576,231320,228035,1368.4,1689.6,46.6,44.6,78.8,252145,241491,102.9,-0.1,94.4,0.9,100.5,0.2,97.86661614,94.91347801,1.56,0.925,1.0422,0.9823,1.0822,1.021,0.9798,1.0193,0.902,0.903,1.0525
42,SATD200307,07/01/2003,79108160,73865365,59617048,56115833,19491112,17749532,64470622,55848847,48321924,41994890,16148698,13853957,81.5,75.6,81.1,74.8,82.9,78.1,6466,5417,55811,49512,62277,54928,65962215,56091374,2794091,2780236,1357086,1376526,839459,835530,578767927,481533409,767411,780825,226790,221826,1600.5,1807.8,47.9,44.4,79.8,262105,243389,104.3,1.4,96.5,2.2,102.1,1.6,98.3723728,95.84266134,1.55,0.951,1.0829,0.9838,1.0944,1.0331,0.9916,0.9915,0.9651,0.8992,1.0656
43,SATD200308,08/01/2003,79595941,74506334,59634190,56340064,19961751,18166270,63540849,55900280,46982527,41659540,16558322,14240741,79.8,75.0,78.8,73.9,83.0,78.4,6567,5582,53921,49669,60488,55252,64989766,56577326,2819634,2810110,1450003,1382805,871757,816487,557897322,482567078,745756,776593,232664,225471,1651.6,1836.5,47.1,45.0,79.0,260687,242803,103.8,-0.5,96.9,0.4,101.9,-0.2,98.15203674,95.22501428,1.51,0.9592,1.0946,0.9883,1.0694,1.0353,0.9862,1.0078,0.9805,0.9115,1.0547
44,SATD200309,09/01/2003,73605919,75421888,54973852,56957451,18632067,18464437,51022359,55897350,36819820,41447832,14202539,14449518,69.3,74.1,67.0,72.8,76.2,78.3,5105,5651,44213,49535,49318,55186,52121480,57757817,2748240,2768186,1410429,1399951,857231,839389,427807444,467389207,807125,777352,225315,228585,1428.6,1801.2,43.7,46.5,80.1,237451,243182,105.0,1.2,98.2,1.3,103.2,1.3,98.79758463,96.93061108,1.53,0.9792,1.0782,1.0006,1.0994,1.0028,0.9872,1.0218,0.9616,0.9415,1.0696
45,SATD200310,10/01/2003,76529369,75951745,58001020,57277586,18528349,18674159,55549640,56547646,41480412,41943047,14069228,14604599,72.6,74.5,71.5,73.2,75.9,78.2,5202,5688,49945,49514,55147,55202,56724551,57757112,3104919,2870267,1491289,1402984,928584,848967,463025617,479479523,830771,752991,227711,228376,1553.2,1852.4,49.6,47.0,81.5,254048,245423,106.7,1.6,97.3,-0.9,104.0,0.8,98.92472653,97.17075957,1.56,0.9792,1.118,1.0027,1.112,1.0287,0.9562,1.0208,0.9889,0.9514,1.0874
