,App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
13,6075495,HDR,05/27/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/21/2024 11:00:01 PM
14,6078690,HDR,07/20/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
15,6077498,HDR,06/29/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
16,6076556,HDR,06/13/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/21/2024 11:00:01 PM
17,6078165,HDR,07/11/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
18,6077098,HDR,06/23/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,07/21/2024 11:00:01 PM
19,6078349,HDR,07/15/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,07/21/2024 11:00:01 PM
20,6075463,HDR,05/27/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/21/2024 11:00:01 PM
21,6076470,HDR,06/12/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,07/21/2024 11:00:01 PM
22,6078540,HDR,07/18/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
23,6075240,HDR,05/22/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,07/21/2024 11:00:01 PM
24,6076853,HDR,06/18/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
25,6076952,HDR,06/20/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
26,6078001,HDR,07/09/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
27,6075757,HDR,05/31/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
28,6078220,HDR,07/12/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
29,6074081,HDR,05/06/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,07/21/2024 11:00:01 PM
30,6076177,HDR,06/06/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed,07/21/2024 11:00:01 PM
31,6077881,HDR,07/07/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
32,6076532,HDR,06/12/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Not Applicable,07/21/2024 11:00:01 PM
33,6072553,HDR,04/16/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/21/2024 11:00:01 PM
34,6075567,HDR,05/28/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/21/2024 11:00:01 PM
35,6076691,HDR,06/14/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,07/21/2024 11:00:01 PM
36,6077525,HDR,06/30/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/21/2024 11:00:01 PM
37,6076280,HDR,06/08/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,07/21/2024 11:00:01 PM
38,6078316,HDR,07/15/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
39,6074130,HDR,05/07/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/21/2024 11:00:01 PM
40,6075477,HDR,05/27/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/21/2024 11:00:01 PM
41,6077452,HDR,06/28/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
42,6076184,HDR,06/06/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,07/21/2024 11:00:01 PM
43,6078611,HDR,07/19/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
44,6077464,HDR,06/28/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
45,6077472,HDR,06/28/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,07/21/2024 11:00:01 PM
46,6074455,HDR,05/12/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/21/2024 11:00:01 PM
47,6077711,HDR,07/03/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,07/21/2024 11:00:01 PM
48,6072369,HDR,04/12/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,07/21/2024 11:00:01 PM
49,6074346,HDR,05/10/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,07/21/2024 11:00:01 PM
