,cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,desccription,year,value,mode,chained_value,estimate_actual,deflator,gov_level_sort_order,mode_sort_order,user_other_grp
39,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2010,190000000,General,211685012.7011008,Actual,89.756,0,6,-
40,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2011,105000000,General,113893980.9742817,Actual,92.191,0,6,-
41,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2012,99000000,General,106515751.42021,Actual,92.944,0,6,-
42,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2013,168000000,General,178052864.7434131,Actual,94.354,0,6,-
43,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2014,158000000,General,164246286.2667235,Actual,96.197,0,6,-
44,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2015,141000000,General,145302404.1880069,Actual,97.039,0,6,-
45,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2016,148000000,General,151026572.5131638,Actual,97.996,0,6,-
46,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2017,122000000,General,122000000.0,Actual,100.0,0,6,-
47,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2018,241000000,General,234060117.5156607,Actual,102.965,0,6,-
48,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2019,132000000,General,125870124.9165634,Actual,104.87,0,6,-
49,Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2020,136000000,General,129001659.9478302,Actual,105.425,0,6,-
