,OBJECTID,ESMTROW_NM,ESMTROW_TP,ESMTROW_FTR,AUTH_USE,RGT_HOLDER,GRANTOR,ACCESS_ESMTROW,CASEFILE,BLM_ORG_CD,CASETP,LOCAL_ID,COORD_SRC,ACCURACY_FT,EXCL_TP,GIS_ACRES,GLOBALID,MLRS Casefile Number,Shape__Area,Shape__Length
11,12,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.43895769,1c865a6d-daa8-4075-9b69-eec3ce9b0328,,1.97217559616547e-07,0.0053635078708176
12,13,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.07435591,46b655da-b259-400b-8b1b-c6d43177766d,,3.34093783749267e-08,0.0010077055056221
13,14,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.89560339,1bcaf3ac-fa79-4034-8dba-8605bc7cfae1,,4.01847501052544e-07,0.0142271469451095
14,15,Weed Lake Powerline,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   019400,ORB05,285003.0,,UNK,40,,0.5257733,4ac2e8c7-362f-43c5-821b-70a3f828945f,,2.3563188733533e-07,0.0049441530541905
15,16,Prinecton-Anderson Valley,ROW,TELE_BURIED,Power Transportation,PVI,BL,PUBLIC,OROR   019256,ORB05,286203.0,,UNK,40,,0.04882742,d5d36902-995f-4ffc-8916-ac4c051e119a,,2.1896994439885e-08,0.0016361726164078
16,17,Summit Creek Pipline,ESMT,PIPELINE,Water Transportation,BL,PV,ADMIN,OROR   066015,ORB06,210013.0,,UNK,40,,0.27033548,eec41681-7518-450c-9d82-c47821ac02fa,,1.20488493848825e-07,0.0084184139576457
17,18,Ten Cent Lake Ditch/Canal,ROW,DITCH_CANAL,Water Transportation,PV,BL,PUBLIC,OROR   041638,ORB06,287400.0,,UNK,40,,1.4617899,b1e165c4-e2cc-495e-a714-4624bb1616c7,,6.53049482934875e-07,0.0390984649365413
18,19,Ten Cent Lake Ditch/Canal,ROW,DITCH_CANAL,Water Transportation,PV,BL,PUBLIC,OROR   041638,ORB06,287400.0,,UNK,40,,0.39375609,261b6baf-7f7b-4c02-b4c6-9e3c4e20ffa0,,1.75863988260971e-07,0.0108386725960353
19,20,Ten Cent Lake Ditch/Canal,ROW,DITCH_CANAL,Water Transportation,PV,BL,PUBLIC,OROR   041638,ORB06,287400.0,,UNK,40,,0.27607944,e058ad25-dea9-4a5a-9680-c2dbd6eb4e27,,1.2330747267697e-07,0.0076638473630697
20,21,Fields Section,ROW,TELE_BURIED,Power Transportation,PVI,BL,PUBLIC,OROR   045329,ORB06,286203.0,,UNK,40,,7.46006593,6864c81b-68e3-4117-9a1f-cf2b6d675aca,,3.29682779920404e-06,0.121877175425795
21,22,Fields Section,ROW,TELE_BURIED,Power Transportation,PVI,BL,PUBLIC,OROR   045329,ORB06,286203.0,,UNK,40,,4.99649643,92326520-3497-403d-9a8b-e35f43763dbd,,2.2101667127572e-06,0.0805925285171269
22,23,Fields Section,ROW,TELE_BURIED,Power Transportation,PVI,BL,PUBLIC,OROR   045329,ORB06,286203.0,,UNK,40,,3.92269204,22f4567a-87fc-4b01-89db-55440a2eac45,,1.73622083821101e-06,0.0657157384411578
23,24,Frenchglen Section,ROW,TELE_BURIED,Power Transportation,PVI,BL,PUBLIC,OROR   045329,ORB05,286203.0,,UNK,40,,0.03971054,e225d102-ba52-441b-a968-69156ca3a5ad,,1.77292349690106e-08,0.0007873416764599
24,25,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.48557638,9d318e9d-3920-4a93-8eeb-de61985eb6f6,,2.1684581952286e-07,0.006036288581657
25,26,ORE-5183 TO OR-64509,ROW,POWERLINE,Power Transportation,PV,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,-1,,4.22864421,6c96f3e2-5478-4539-9ddc-7c243ec7d1c6,,1.9054746189795e-06,0.0694768677393771
26,27,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,8.74238159,403420ba-0327-4e53-877e-ca3a66919c81,,3.93924437958049e-06,0.143092291003178
27,28,CROWLEY OREGON PROJECT,ROW,TELEPHONE,Communication Facility,PV,BL,PUBLIC,OROR   064292,ORV00,286203.0,,UNK,-1,,0.52590306,65c2f803-faf2-455d-ae52-a4fda0d57716,,2.3624215828022e-07,0.009116892648067
28,29,Crowley Oregon Project,ROW,TELEPHONE,Communication Facility,PV,BL,PUBLIC,OROR   064292,ORB06,286203.0,,UNK,40,,0.13498624,fbb924cc-66e8-4f19-b738-871de14cd674,,6.03731677983887e-08,0.002769479998187
29,30,Crowley Oregon Project,ROW,TELEPHONE,Communication Facility,PV,BL,PUBLIC,OROR   064292,ORB06,286203.0,,UNK,40,,0.40033405,5a65996e-2b3a-414f-b5d8-ee183c283e01,,1.7875117919175e-07,0.0073427158108418
30,31,Crowley Oregon Project,ROW,TELEPHONE,Communication Facility,PV,BL,PUBLIC,OROR   064292,ORB06,286203.0,,UNK,40,,0.76932743,9b4d9ce2-9c59-4ff6-950d-771059dd5bc3,,3.43466581398388e-07,0.0140253634227705
31,32,Crowley Oregon Project,ROW,TELEPHONE,Communication Facility,PV,BL,PUBLIC,OROR   064292,ORB06,286203.0,,UNK,40,,2.62197693,12bbdd63-5285-49a7-97c9-9f4349593bc2,,1.1703368727467e-06,0.0498476618087229
32,33,Warm Springs Reservoir Site,ROW,PARCEL,Water Transportation,PV,BL,PUBLIC,ORTD   025873,ORB05,287100.0,,UNK,40,,53.1245354,265fb244-5005-46e5-85cc-ea9f9b4b7ba8,,2.40066283367923e-05,0.0519098353575933
33,34,Warm Springs Reservoir Site,ROW,PARCEL,Water Transportation,PV,BL,PUBLIC,ORTD   025873,ORB05,287100.0,,UNK,40,,76.12969397,c1247b94-fa1b-49d4-8a50-ffb007dd5d56,,3.4397733543301e-05,0.0489673187181649
34,35,Warm Springs Reservoir Site,ROW,PARCEL,Water Transportation,PV,BL,PUBLIC,ORTD   025873,ORB05,287100.0,,UNK,40,,18.1579933,00d85898-0576-411c-98b9-923127fdb1da,,8.20231980469543e-06,0.01528107091662
35,36,Warm Springs Reservoir Site,ROW,PARCEL,Water Transportation,PV,BL,PUBLIC,ORTD   025873,ORB05,287100.0,,UNK,40,,52.24071272,e5ad725a-9180-44a5-9d32-be3c18d91995,,2.35953411902301e-05,0.0303730494111435
36,37,Warm Springs Reservoir Site,ROW,PARCEL,Water Transportation,PV,BL,PUBLIC,ORTD   025873,ORB05,287100.0,,UNK,40,,0.11915553,ee4af660-1777-4007-a173-57a692e0154b,,5.38179847353604e-08,0.0011330162705564
37,38,Warm Springs Reservoir Site,ROW,PARCEL,Water Transportation,PV,BL,PUBLIC,ORTD   025873,ORB05,287100.0,,UNK,40,,8.21989112,bb17e260-149f-4012-8807-139ec8808a68,,3.71239775631693e-06,0.0080789547011568
38,39,WARM SPRINGS RESERVOIR SITE,ROW,PARCEL,Water Transportation,PV,BL,PUBLIC,TD-025873,ORV00,,,,40,,41.7367364,cd60b3c9-ab22-4bfa-8cab-91541e671469,,1.88449080269493e-05,0.0221122085297175
39,40,Warm Springs Reservoir Site,ROW,PARCEL,Water Transportation,PV,BL,PUBLIC,ORTD   025873,ORB05,287100.0,,UNK,40,,1.67060941,b10f4e0d-126b-48a0-98f8-ddcd2263b2b4,,7.54088432586286e-07,0.0035509673328223
40,41,Warm Springs Reservoir Site,ROW,PARCEL,Water Transportation,PV,BL,PUBLIC,ORTD   025873,ORB05,287100.0,,UNK,40,,0.56743987,bdad0dbb-98f2-44cc-8ad5-d639c6ad870b,,2.56231942330487e-07,0.0018821829020404
41,42,Warm Springs Reservoir Site,ROW,PARCEL,Water Transportation,PV,BL,PUBLIC,ORTD   025873,ORB05,287100.0,,UNK,40,,0.61801631,d362997d-dd73-4dba-8054-3c594206d557,,2.79327196039958e-07,0.0035493783754519
42,43,Gary Miller Stockwell,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064372,ORB06,285002.0,,UNK,40,,1.94171737,4e0ef14a-57e5-4eec-8fbd-ec0492def0a6,,8.65077709022444e-07,0.0105170947969518
43,44,Kiger Fence Project,ESMT,STAGING,Crossing Access,BL,PV,ADMIN,OROR   061083FD,ORB05,281001.0,,UNK,40,,3.97756626,2d9ccc34-ba93-4715-8268-2280dbafbbd4,,1.77095535036642e-06,0.0053261923683551
44,45,Fish Lake Rec Site,ESMT,PARCEL,Crossing Access,BL,ST,PUBLIC,OROR   001363,ORB06,210001.0,,UNK,40,,389.1513146,0a4487dc-b6c7-4a22-9efe-1982b1fbbd1e,,0.0001731858833409,0.0587468597855916
45,46,Stroemple,ESMT,PARCEL,Crossing Access,BL,PV,PUBLIC,OROR   047648,ORB06,210013.0,,UNK,40,,174.20707909,2e3b73ca-089d-4edd-9d56-6665fad801ad,,7.72519115344039e-05,0.0537898818791698
46,47,Fields Administration Site,ROW,ADMIN_SITE,Crossing Access,BL,BL,PUBLIC,OROR   059132,ORB06,289007.0,,UNK,40,,12.22544933,4733b024-59ed-4843-940f-ec02699b811f,,5.40009159522015e-06,0.0096738572833284
47,48,Barclay Road ROW Renewal,ROW,ROAD,Crossing Access,PV,BL,PUBLIC,OROR   017896,ORB06,281001.0,,SOURCEL,40,,0.52279207,f71208b8-b425-410a-9d4c-7fe89c9b9fc8,,2.3005532057141e-07,0.0046696002253692
48,49,Hodges ROW,ROW,ROAD,Crossing Access,PV,BL,PUBLIC,OROR   064808,ORB06,281001.0,,UNK,40,,0.03152979,5e4ad58a-c4d1-4e0d-893c-6180d86c7c58,,1.39270923682489e-08,0.0004720724467901
49,50,ORORE 5183 to OROR 64509,ROW,POWERLINE,Power Transportation,PVI,BL,PUBLIC,OROR   064509,ORB00,285003.0,,UNK,40,,0.74233191,ab925a81-86d6-4904-be7c-d81136645812,,3.31923729390837e-07,0.0117524759181349
