,Report Received Date,NHTSA ID,Recall Link,Manufacturer,Subject,Component,Mfr Campaign Number,Recall Type,Potentially Affected,Recall Description,Consequence Summary,Corrective Action,Park Outside Advisory ,Do Not Drive Advisory,Completion Rate % (Blank - Not Reported)
10,01/17/2024,24V018000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V018000),"Heartland Recreational Vehicles, LLC",Incorrect Tire Size Information/FMVSS 120,EQUIPMENT,99.01.77,Vehicle,6,"Heartland Recreational Vehicles, LLC (Heartland) is recalling certain 2024 Corterra fifth wheels.  The certification labels may have missing or incorrect tire size information.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 120, ""Wheels and Rims-Other Than Passenger Cars.""","Incorrect tire information could result in the wrong tires being installed on the vehicle, increasing the risk of a crash.","Heartland will send out replacement certification labels, free of charge.  Owner notification letters are expected to be mailed March 15, 2024.  Owners may contact Heartland customer service at 1-877-262-8032.",No,No,
11,01/17/2024,24V019000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V019000),Newmar Corporation,Incorrect Weld May Cause Seat Failure/FMVSS 207,SEATS,608 RSB,Vehicle,160,"Newmar Corporation (Newmar) is recalling certain 2022-2023 Dutch Star, Mountain Aire, London Aire, Essex, and 2016 London Aire motorhomes.  The pedestal mounting plate may be improperly welded, causing the plate to separate and the seat assembly to loosen or detach.  As such, these seat assemblies fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 207, ?Seating Systems,"", and number 210, ""Seat belt assembly anchorages.""",A loose or detached seat assembly increases the risk of injury.,"Dealers will inspect for a missing weld, and replace the pedestal as necessary, free of charge.  Owner notification letters were mailed January 31, 2024.  Owners may contact Newmar customer service at 1-800-731-8300.  Newmar's number for this recall is 608 RSB.",No,No,
12,01/15/2024,24V017000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V017000),PACCAR Incorporated,Cab Mirror Assembly May Detach,VISIBILITY,24KWA/24PBA,Vehicle,11053,"PACCAR Incorporated (PACCAR) is recalling certain 2022-2024 Peterbilt 535, 536, 537, 548, and Kenworth T180, T280, T380, T480 trucks.  The glass lock ring on the cab mirror assembly may not be fully seated, allowing the mirror glass to detach.","A detached mirror glass can reduce driver visibility, increasing the risk of a crash.","Dealers will inspect the mirror glass lock ring and repair it as necessary, free of charge.  Owner notification letters are expected to be mailed March 15, 2024.  Owners may contact Kenworth customer service at 1-425-828-5888 and/or Peterbilt customer service at 1-940-591-4220.  PACCAR's numbers for this recall are 24KWA and 24PBA.",No,No,
13,01/12/2024,24V016000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V016000),E-One Incorporated,Loss of Power Steering Assist,STEERING,NR (Not Reported),Vehicle,280,"E-One Incorporated (E-One) is recalling certain 2022-2023 Cyclone 2, Cyclone N, Typhoon N, and 2023 Cyclone E vehicles.  The steering assist bracket may have been machined incorrectly.","The incorrectly machined bracket may cause a reduction in hydraulic force, requiring greater steering effort and increasing the risk of a crash.","Dealers will inspect and replace the steering assist bracket, free of charge.  Owner notification letters are expected to be mailed January 31, 2024.  Owners may contact E-One customer service at 1-352-237-1122.",No,No,
14,01/11/2024,24V015000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V015000),"Altec Industries, Inc.",Engine Compartment Fire from Short Circuit,ELECTRICAL SYSTEM,CSN-3142,Vehicle,437,"Altec Industries, Inc. (Altec) is recalling certain 2004-2023 AT Series aerial devices.  The cables in the engine compartment may contact the vehicle's hood, damaging the cables and causing a short circuit.",A short circuit increases the risk of a fire.,"Altec will inspect and relocate the cables and fuse blocks, free of charge.  Owner notification letters are expected to be mailed March 8, 2024.  Owners may contact Altec customer service at 1-877-462-5832.  Altec's number for this recall is CSN-3142.",No,No,
15,01/11/2024,24V014000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V014000),"General Motors, LLC",Front-Drive Unit May Leak Oil and Cause Fire,POWER TRAIN,N232433420,Vehicle,66,"General Motors, LLC (GM) is recalling certain 2022 BrightDrop EV600 vehicles.  The front-drive unit may leak oil and cause an engine compartment fire.",A fire increases the risk of injury.,"GM will replace the vehicles, free of charge.  Owner notification letters are expected to be mailed February 15, 2024.  Owners may contact GM customer service at 1-888-988-7267.  BrightDrop owners may contact customer service number 888-987-4377.  GM's number for this recall is N232466420.",No,No,
16,01/11/2024,24E002000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24E002000),Villa International,Incorrect Weld May Cause Seat Failure/FMVSS 207,SEATS,NR (Not Reported),Equipment,35,"Villa International is recalling certain seat pedestals, with part number 400029.  The pedestal mounting plate may be improperly welded, which can cause the plate to separate and the seat assembly to loosen or detach.  As such, these seat assemblies fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 207, ""Seating Systems,"" and number 210, ""Seat belt assembly anchorages.""",A loose or detached seat assembly increases the risk of injury.,"Villa International will work with the affected vehicle manufacturers to inspect for a missing weld and replace the pedestal, as necessary, free of charge.  Owner notification letters are expected to be mailed January 15, 2024.  Owners may contact Villa International customer service at 1-888-707-7272.",No,No,
17,01/11/2024,24E003000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24E003000),SVI Trucks,Overloaded Electrical System May Cause Fire,ELECTRICAL SYSTEM,NR (Not Reported),Equipment,6,"SVI Trucks is recalling certain Command Light Towers & Traffic Flowboards that contain Weldon 8X16 Input-Output nodes.  In the event of a short circuit or wiring failure, the firmware in the node may fail to shut off the output pin, resulting in overloaded electrical circuits.","Overloaded electrical circuits can overheat, increasing the risk of fire.","SVI Trucks will work with Weldon to update the firmware, free of charge.  Owner notification letters were mailed January 16, 2024.  Owners may contact SVI Trucks customer service at 1-888-784-1112.",No,No,
18,01/10/2024,24V011000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V011000),"Lucid USA, Inc.",Coolant Heater May Fail to Defrost Windshield,VISIBILITY,SR-24-01-0,Vehicle,2042,"Lucid USA, Inc. (Lucid) is recalling certain 2022-2023 Air vehicles.  The high voltage coolant heater may fail to defrost the windshield.","A high voltage coolant heater that fails to defrost the windshield can reduce the driver's view, increasing the risk of a crash.","Lucid will update the software to identify a high voltage coolant heater failure and provide a warning to the driver.  High voltage coolant heaters that fail will be replaced.  Repairs will be performed free of charge.  Owner notification letters are expected to be mailed March 8, 2024.  Owners may contact Lucid customer service at 1-888-995-8243.  Lucid's number for this recall is SR-24-01-0.",No,No,
19,01/10/2024,24V013000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V013000),"Daimler Trucks North America, LLC",Delay in Park Brake Engagement/FMVSS 121,PARKING BRAKE,FL992,Vehicle,149,"Daimler Trucks North America, LLC (DTNA) is recalling certain 2023-2024 Western Star 4900 and 2023 Western Star 6900 vehicles.  A defect in the inversion valve may delay park brake engagement, which could allow the vehicle to move unintentionally.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 121, ""Air Brake Systems.""",Unintentional vehicle movement can increase the risk of a crash or injury.,"The remedy is currently under development.  Owner notification letters are expected to be mailed March 10, 2024.  Owners may contact DTNA customer service at 1-800-547-0712.  DTNA's number for this recall is FL992.",No,No,
20,01/10/2024,24V010000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V010000),"Volvo Car USA, LLC",Inoperative Left Rear Turn Signal,ELECTRICAL SYSTEM,R10256,Vehicle,17409,"Volvo Car USA, LLC (Volvo Car) is recalling certain 2024 XC40 vehicles.  A diagnostic error in the Central Electronic Module (CEM) software may cause the left rear turn signal indicator to not function.","A nonfunctioning exterior turn signal may not notify other drivers of a turning vehicle, increasing the risk of a crash.","The CEM software will be updated by a dealer or through an over-the-air (OTA) update, free of charge.  Owner notification letters are expected to be mailed February 28, 2024.  Owners may contact Volvo Car customer service at 1-800-458-1552.  Volvo Car's number for this recall is R10256.",No,No,
21,01/10/2024,24V012000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V012000),Pierce Manufacturing,Overloaded Electrical System May Cause Fire,ELECTRICAL SYSTEM,74B332,Vehicle,248,"Pierce Manufacturing (Pierce) is recalling certain 2020-2023 Freightliner and International Chassis vehicles equipped with Weldon 8X16 Input-Output nodes.  In the event of a short circuit or wiring failure, the firmware in the node may fail to shut off the output pin, resulting in overloaded electrical circuits.","Overloaded electrical circuits can overheat, increasing the risk of fire.","Pierce will work with the equipment manufacturer Weldon to update the firmware, free of charge.  The manufacturer has not yet provided a schedule for recall notification.  Owners may contact Pierce customer service at 1-888-974-3723.  Pierce's number for this recall is Pierce 74B332.",No,No,
22,01/09/2024,24V008000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V008000),PL Custom Emergency Vehicles,Overloaded Electrical System May Cause Fire,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,39,"PL Custom Emergency Vehicles (PL Customs) is recalling certain 2020-2024 Ambulance & Rescue Vehicle Type 1 and Type 3 vehicles.  In the event of a short circuit or wiring failure, the firmware in the vehicle multiplex system may fail to shut off the output pin, resulting in overloaded electrical circuits.","Overloaded electrical circuits can overheat, increasing the risk of fire.","Dealers will update the firmware, free of charge.  Owner notification letters are expected to be mailed January 15, 2024.  Owners may contact PL Custom customer service at 1-732-223-1411.",No,No,
23,01/09/2024,24V009000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V009000),Alexis Fire Equipment Company,Overloaded Electrical System May Cause Fire,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,56,"Alexis Fire Equipment Company (Alexis Fire) is recalling certain 2022-2023 Apparatus fire trucks equipped with Weldon 8X16 Input-Output nodes.   In the event of a short circuit or wiring failure, the firmware in the node may fail to shut off the output pin, resulting in overloaded electrical circuits.","Overloaded electrical circuits can overheat, increasing the risk of fire.","Dealers will update the firmware, free of charge.  Owner notification letters are expected to be mailed January 22, 2024.  Owners may contact Alexis Fire customer service at 1-309-482-6121.",No,No,
24,01/08/2024,24V005000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V005000),"Forest River, Inc.",Battery Boost Wiring May Short Circuit,ELECTRICAL SYSTEM,225-1716,Vehicle,572,"Forest River, Inc. (Forest River) is recalling certain 2020-2024 Coachmen Galleria motorhomes.  The battery boost wiring may become damaged, resulting in an electrical short circuit and causing a loss of power steering.",A loss of power steering increases the risk of a crash.,"Dealers will relocate the wiring to a different lug, free of charge.  Owner notification letters are expected to be mailed February 14, 2024.  Owners may contact Forest River Customer Service at 1-574-825-6319.  Forest River's number for this recall is 225-1716.",No,No,
25,01/08/2024,24V007000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V007000),Marion Body Works Inc.,Delay in Park Brake Engagement/FMVSS 121,PARKING BRAKE,23V-631,Vehicle,2,"Marion Body Works Inc. is recalling certain 2024 Spartan Fire MetroStar vehicles.  A defect in the inversion valve may delay park brake engagement, which could allow the vehicle to move unintentionally.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 121, ""Air Brake Systems.""",Unintentional vehicle movement can increase the risk of a crash or injury.,"Dealers will replace the inversion valve, free of charge.  Owner notification letters were mailed January 11, 2024.  Owners may contact Marion Body Works customer service at 1-715-754-5261.",No,No,
26,01/08/2024,24V006000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V006000),E-One Incorporated,Overloaded Electrical System May Cause Fire,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,408,"E-One Incorporated (E-One) is recalling certain 2021-2023 ARFF, Cyclone N, 2020-2024 Commercial, 2020, 2022-2023 Cyclone 2, 2023 Cyclone E, 2022 Typhoon, and 2020-2023 Typhoon N vehicles.  In the event of a short circuit or wiring failure, the firmware in the vehicle multiplex system may fail to shut off the output pin, resulting in overloaded electrical circuits.","Overloaded electrical circuits can overheat, increasing the risk of fire.","The equipment manufacturer, Weldon, will update the firmware, free of charge.  Owner notification letters are expected to be mailed January 24, 2024.  Owners may contact E-One customer service at 1-352-237-1122.",No,No,
27,01/05/2024,24V003000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V003000),"Forest River, Inc.",Draw Bar Locking Mechanism May Break,EQUIPMENT,95-1705,Vehicle,302,"Forest River, Inc. (Forest River) is recalling certain 2020 Cherokee travel trailers.  The draw bar locking mechanism may break, which can cause the front end of the trailer to contact the road.",A trailer that contacts the road during transit increases the risk of a crash or injury.,"The remedy is currently under development.  Owner notification letters are expected to be mailed February 14, 2024.  Owners may contact Forest River customer service at 1-574-825-4995.  Forest River's number for this recall is 95-1705.",No,No,
28,01/05/2024,24V004000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V004000),"Mickey Truck Bodies, Inc.",Exposed Wiring May Cause Fire,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,37,"Mickey Truck Bodies, Inc. is recalling certain 2020-2023 Isuzu NRR vehicles.  The 12-Volt wire harness on the truck refrigeration unit (TRU) may be exposed and missing heat shrink, which can cause electrical arcing.",Electrical arcing can increase the risk of a fire.,"Dealers will inspect and secure/insulate exposed wires of the TRU, add a connector, and remove a fuse, free of charge.  Owner notification letters are expected to be mailed in January 2024.  Owners may contact Mickey Truck Bodies customer service at 1-336-882-6806.",No,No,
29,01/04/2024,24V002000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V002000),"Terex Advance Mixer, Inc.",Improperly Secured Mixer Drum,EQUIPMENT,NR (Not Reported),Vehicle,128,"Terex Advance Mixer, Inc. (Terex) is recalling certain 2023-2024 Commander, Charger, and 2023 MM300 concrete mixer trucks.  The bolts connecting the drum to the drum drive plate may loosen, resulting in the drum separating from vehicle.","A detached drum can become a road hazard, increasing the risk of a crash or injury.","Terex will provide replacement fasteners and thread locker, free of charge.  The manufacturer has not yet provided a schedule for recall notification.  Owners may contact Terex customer service at 1-800-678-5961.",No,No,
30,01/04/2024,24V001000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V001000),Braun Northwest,Overloaded Electrical System May Cause Fire,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,2,"Braun Northwest is recalling certain 2020-2021 Northstar ambulances.  In the event of a short circuit or wiring failure, the firmware in the vehicle multiplex system may fail to shut off the output pin, resulting in overloaded electrical circuits.","Overloaded electrical circuits can overheat, increasing the risk of fire.","Braun Northwest will update the firmware, free of charge.  Owner notification letters are expected to be mailed January 10, 20224.  Owners may contact Braun Northwest customer service at 1-877-344-9990.",No,No,
31,01/03/2024,24E001000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24E001000),Spektrum Brakes LLC,Brake Rotor May Fracture,"SERVICE BRAKES, HYDRAULIC",NR (Not Reported),Equipment,699,"Spektrum Brakes LLC (Spektrum) is recalling certain Dynamic Friction R1 brake rotors, part number xxx-03054+kits.  The hub of the front brake rotor can fracture and cause a loss of braking ability.",Loss of braking ability increases the risk of a crash.,"Spektrum will replace the brake rotor, free of charge.  Owner notification letters are expected to be mailed January 10, 2024.  Owners may contact Spektrum customer service at 1-714-777-2323.",No,No,
32,12/29/2023,23E098000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=23E098000),Villa International,Incorrect Weld May Cause Seat Failure/FMVSS 207,SEATS,NR (Not Reported),Equipment,35,"Villa International is recalling certain pedestals and seat anchorages, part number 400004.  The pedestal mounting plate may be improperly welded, causing the plate to separate and the seat assembly to loosen or detach.  As such, these seat assemblies fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 207, ?Seating Systems,"", and number 210, ""Seat belt assembly anchorages.""",A loose or detached seat assembly increases the risk of injury.,"Villa International will work with the affected vehicle manufacturers to inspect for a missing weld, and replace the pedestal, as necessary, free of charge.  Owner notification letters were mailed January 9, 2024.  Owners may contact Villa International customer service at 1-888-707-7272.",No,No,
33,12/29/2023,23V904000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=23V904000),Cake 0 Emission USA Inc,Lithium-Ion Battery Cells Can Fail While Charging,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,264,"Cake 0 Emission USA Inc (Cake) is recalling certain 2018-2023 Kalk&, Kalk Ink&, and Kalk :work motorcycles.  The lithium-ion battery cells can fail while charging.",Battery cell failure increases the risk of a fire.,"Cake will replace the battery pack, free of charge.  As an interim action, owners will be instructed to check their battery serial number and if necessary, follow interim charging instructions until the remedy battery is available.  Interim letters notifying owners of the safety risk were mailed January 19, 2024.  A second notice will be sent once the remedy becomes available, anticipated March 2024.  Owners may contact Cake customer service at service@ridecake.com.",No,No,
34,12/29/2023,23V903000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=23V903000),"Ineos Automotive Americas, LLC",Non-Locking Steering Rod Ball Joint Nuts Installed,STEERING,NR (Not Reported),Vehicle,61,"Ineos Automotive Americas, LLC (Ineos) is recalling certain 2023-2024 Grenadier vehicles.  Non-locking nuts may have been mistakenly installed on the steering rod ball joint.","Loose or missing nuts can result in the steering rod ball joint disconnecting from the steering knuckle, causing a loss of steering and increasing the risk of a crash.","Dealers will install locking steering rod ball joint nuts, free of charge.  Owner notification letters are expected to be mailed January 26, 2024.  Owners may contact Ineos customer service at 1-919-296-3626.",No,No,
35,12/27/2023,23V902000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=23V902000),"Battle Motors, Inc.",Drag Link May Become Deformed or Break,STEERING,NR (Not Reported),Vehicle,1327,"Battle Motors, Inc. (Battle Motors) is recalling certain 2023-2024 Let2 trucks.  The drag link connecting the steering gear to the roadside steering knuckle may become deformed or break.","A broken drag link can cause a complete loss of steering control, increasing the risk of a crash.","Dealers will install a new drag link, free of charge.  Owner notification letters are expected to be mailed February 9, 2024.  Owners may contact Battle Motors customer service at 1-877-546-2537.",No,No,
36,12/26/2023,23V901000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=23V901000),Hyundai Motor America,Engine Compartment Fire from Short Circuit,ELECTRICAL SYSTEM,252,Vehicle,10984,Hyundai Motor America (Hyundai) is recalling certain 2024 Kona vehicles.  The 12-Volt battery cables may chafe against the engine control module bracket and short circuit during a crash.,A short circuit increases the risk of an engine compartment fire.,"Dealers will install sheathing over the wiring, free of charge.  Owner notification letters are expected to be mailed February 23, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 252.",No,No,
37,12/26/2023,23V899000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=23V899000),"Mack Trucks, Inc.",Steering Gear Assembled Incorrectly,STEERING,SC0457,Vehicle,284,"Mack Trucks, Inc. (Mack) is recalling certain 2024 Anthem, Pinnacle, and Terrapro vehicles.  The steering gear assemblies may have been assembled incorrectly with fewer recirculating balls than are required, which may result in a loss of steering control.",A loss of steering control increases the risk of a crash.,"Dealers will inspect and replace the defective gears as necessary, free of charge.  Owner notification letters are expected to be mailed February 23, 2024.  Owners may contact Mack customer service at 1-800-866-1177.  Mack's number for this recall is SC0457.",No,No,
38,12/26/2023,23V900000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=23V900000),Volvo Trucks North America,Steering Gear Assembled Incorrectly,STEERING,RVXX2316,Vehicle,1,"Volvo Trucks North America (Volvo Trucks) is recalling one 2020 VNL truck.  The steering gear assembly may have been assembled incorrectly with fewer recirculating balls than are required, which may result in a loss of steering control.",A loss of steering control increases the risk of a crash.,"A dealer will inspect and replace the defective gears as necessary, free of charge.  An owner notification letter is expected to be mailed February 23, 2024.  The owner may contact Volvo Trucks customer service at 1-800-528-6586.  Volvo Trucks number for this recall is RVXX2316.",No,No,
39,12/22/2023,23V893000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=23V893000),Daimler Coaches North America,120-Volt Passenger Outlets May Detach,ELECTRICAL SYSTEM,54.10T23277A,Vehicle,66,"Daimler Coaches North America (Daimler Coaches) is recalling certain 2022-2024 Tourrider Business and Premium coaches.  The 120-Volt passenger outlets may not be secured properly, allowing them to detach.","A detached 120-Volt outlet can shock passengers, increasing the risk of injury.","Dealers will install a cavity socket and quadruple screw connection, free of charge.  Owner notification letters are expected to be mailed February 16, 2024.  Owners may contact Daimler Coaches customer service at 1-416-624-3558.  Daimler Coaches number for this recall is 54.10T23277A.",No,No,
