,INCIDENT NUMBER,CRASH DATE,STREET ADDRESS,CITY,STATE,ZIP CODE,INTERSECTING STREET,DISTRICT,ZONE,SUBZONE,CRASH OCCURRED ON,KIND OF LOCATION,ACCESS CONTROL,TYPE OF ROADWAY,ROAD SURFACE,ROADWAY CONDITION,WEATHER CONDITION,LIGHTING CONDITION,INJURY,FATALITY,HIT AND RUN,PEDESTRIAN INVOLVED,TRAIN INVOLVED,INTERSECTION,TOTAL VEHICLES,VEHICLE ALIGNMENT,RELATION TO ROADWAY,MANNER OF COLLISION,PRIMARY FACTOR,SECONDARY FACTOR,LATITUDE,LONGITUDE,GEOMETRY
10,23-57317,06/11/2023 01:33:00 PM,79 WEST I-12 HWY,Baton Rouge,LA,70809,I-10 HWY,2.0,2B,2B3,Interstate,Business Continuous,FULL CONTROL (ONLY RAMP ENTRANCE & EXIT),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Sideswipe - same direction,Violations,Not applicable,30.4182502692477,-91.1063801469843,POINT (-91.1063801 30.4182503)
11,22-100781,10/21/2022 12:54:00 PM,220 INTERSTATE 110 HWY,Baton Rouge,LA,70802,,1.0,1B,1B1,Interstate,"Business, Mixed Residential",NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Wet,,Rain,Other,1,0,0,0,0,0,2,Curve Left,On roadway,Other,Violations,Road surface,30.4605020703572,-91.1653672405795,POINT (-91.1653672 30.4605021)
12,23-39042,04/24/2023 11:17:00 AM,,Baton Rouge,LA,70814,,3.0,3A,3A2,State highway,"Business, Mixed Residential",PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,Unknown,Angle - perpendicular/other angle,Violations,Movement prior to crash,30.4887687301956,-91.0763167202461,POINT (-91.0763167 30.4887687)
13,23-55193,06/06/2023 04:27:00 AM,136 INTERSTATE 110 HWY,Baton Rouge,LA,70802,,1.0,1A,1A2,Interstate,Business Continuous,PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Curve Right,On roadway,Sideswipe - same direction,Violations,Not applicable,30.4573784309503,-91.1768899379359,POINT (-91.1768899 30.4573784)
14,23-42178,05/03/2023 01:57:00 AM,10100 US 190,Baton Rouge,LA,70815,SHARP RD,3.0,3D,3D1,US highway,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),TWO-WAY ROAD WITH PHYSICAL SEPARATION,Dry,,Clear,Daylight,1,0,0,0,0,0,3,Straight,On roadway,Front to rear - rear end,Violations,Driver condition,30.4568062589562,-91.0714602548219,POINT (-91.0714603 30.4568063)
15,23-44499,05/09/2023 03:24:00 AM,,Baton Rouge,LA,70816,,3.0,3E,3E2,State highway,Other,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,Unknown,Sideswipe - same direction,Violations,Movement prior to crash,30.4347757394874,-91.0647124246344,POINT (-91.0647124 30.4347757)
16,23-42610,05/04/2023 02:50:00 AM,15780 I-10,Baton Rouge,LA,70808,,2.0,2B,2B1,Interstate,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Violations,Movement prior to crash,30.424083504982,-91.1505024693698,POINT (-91.1505025 30.4240835)
17,23-40803,04/29/2023 04:40:00 AM,200 WEST LEE DR,Baton Rouge,LA,70808,BOONE AVE,2.0,2D,2D3,City street,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),TWO-WAY ROAD WITH NO PHYSICAL SEPARATION,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Angle - left across flow,Violations,Violations,30.3962889512593,-91.1576109794623,POINT (-91.157611 30.396289)
18,23-2915,01/09/2023 12:11:00 PM,15791 WEST I-10 HWY,Baton Rouge,LA,70808,COLLEGE DR,2.0,2B,2B1,Interstate,Residential District,OTHER,ONE-WAY ROAD,Dry,,Clear,Dark - continuous street lights,0,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Violations,Not applicable,30.4235793080888,-91.1438988535576,POINT (-91.1438989 30.4235793)
19,22-94878,09/26/2022 03:00:00 AM,,Baton Rouge,LA,70802,GOVERNMENT ST,5.0,5A,5A1,Interstate,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,On roadway,Sideswipe - same direction,Movement prior to crash,Not applicable,30.4436298614499,-91.1792261778838,POINT (-91.1792262 30.4436299)
20,23-59230,06/16/2023 10:58:00 AM,,Baton Rouge,LA,70809,COLLEGE DR,2.0,2B,2B3,Interstate,"Business, Mixed Residential",NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Violations,Not applicable,30.4182011408392,-91.1067141772307,POINT (-91.1067142 30.4182011)
21,22-109575,11/08/2022 01:11:00 AM,,Baton Rouge,LA,70802,,1.0,1A,1A1,Interstate,Residential District,PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Violations,Not applicable,30.4394859933428,-91.1956367911841,POINT (-91.1956368 30.439486)
22,22-120937,12/13/2022 10:31:00 AM,19 S INTERSTATE 110 HWY,Baton Rouge,LA,70802,TERRACE  ST,1.0,1A,1A1,Interstate,Other,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Violations,Movement prior to crash,30.4381909947166,-91.1784050290148,POINT (-91.178405 30.438191)
23,22-109629,11/08/2022 04:45:00 AM,,Baton Rouge,LA,70802,N 22 ST,1.0,1B,1B2,Interstate,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Curve Left,On roadway,Front to rear - rear end,Movement prior to crash,Violations,30.4616064448945,-91.1656389832387,POINT (-91.165639 30.4616064)
24,23-59305,06/16/2023 02:28:00 PM,15849 INTERSTATE 10 HWY,Baton Rouge,LA,70808,COLLEGE  DR,2.0,2B,2B2,Interstate,"Business, Mixed Residential",PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Daylight,1,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Violations,Not applicable,30.4227553523656,-91.1358724703275,POINT (-91.1358725 30.4227554)
25,22-107310,11/01/2022 11:46:00 AM,9500 GOODWOOD BLVD,Baton Rouge,LA,70815,CORA DR,3.0,3C,3C2,City street,Business Continuous,PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,1,0,0,1,2,Straight,On roadway,Other,Violations,Violations,30.4436599224271,-91.0816756597915,POINT (-91.0816757 30.4436599)
26,23-31895,04/04/2023 02:58:00 AM,15748 E I-10 HWY,Baton Rouge,LA,70808,PERKINS RD,2.0,2D,2D2,Interstate,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,1,0,1,0,0,0,2,Straight,On roadway,Front to rear - rear end,Violations,Movement prior to crash,30.4249199077358,-91.159188556969,POINT (-91.1591886 30.4249199)
27,23-83373,08/20/2023 08:45:00 AM,10300 N MALL DR,Baton Rouge,LA,70836,SIEGEN LN,2.0,2F,2F2,City street,Business Continuous,PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,TWO-WAY ROAD WITH PHYSICAL SEPARATION,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Curve Right,On roadway,Front to rear - rear end,Violations,Not applicable,30.389819254365,-91.0911049139352,POINT (-91.0911049 30.3898193)
28,23-4494,01/14/2023 10:06:00 AM,9900 FLORIDA BLVD,Baton Rouge,LA,70815,SHARP RD,3.0,3C,3C1,US highway,Residential District,PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,1,0,0,0,2,Straight,On roadway,Unknown,Violations,Violations,30.456503340427,-91.0724582488611,POINT (-91.0724582 30.4565033)
29,22-105234,10/26/2022 03:57:00 AM,16121 W I-10 HWY,Baton Rouge,LA,70809,ESSEN LN,2.0,2B,2B3,Interstate,"Business, Mixed Residential",OTHER,ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Violations,Not applicable,30.4072526491188,-91.100358012718,POINT (-91.100358 30.4072526)
30,23-78057,08/05/2023 08:11:00 AM,15000 I-10,Baton Rouge,LA,70808,ACADIAN THWY,2.0,2B,2B1,Interstate,Other,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,1,0,0,0,0,1,2,Straight,On roadway,Front to rear - rear end,Violations,Not applicable,30.4239281169942,-91.1475650597162,POINT (-91.1475651 30.4239281)
31,23-69596,07/13/2023 06:18:00 AM,,Baton Rouge,LA,70816,,3.0,3F,3F2,City street,"Business, Mixed Residential",NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,Unknown,Front to rear - rear end,Violations,Movement prior to crash,30.4114724950789,-91.0470819755811,POINT (-91.047082 30.4114725)
32,23-32357,04/05/2023 04:49:00 AM,1600 STANFORD AVE,Baton Rouge,LA,70808,,2.0,2D,2D3,City street,"Business, Mixed Residential",NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Sideswipe - same direction,Violations,Driver condition,30.4145149518097,-91.1576880313343,POINT (-91.157688 30.414515)
33,22-105357,10/26/2022 11:36:00 AM,10010 COURSEY BLVD,Baton Rouge,LA,70816,COURSEY  BLVD,3.0,3C,3C3,City street,Residential District,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,On roadway,Other,Violations,Violations,30.4176418742544,-91.0656682369968,POINT (-91.0656682 30.4176419)
34,22-120661,12/12/2022 12:24:00 PM,35 S INTERSTATE 110 HWY,Baton Rouge,LA,70802,GOVERNMENT ST,1.0,1A,1A1,Interstate,Other,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Dawn/dusk,0,0,0,0,0,0,2,Straight,On roadway,Angle - left overtake,Violations,Movement prior to crash,30.447662684639,-91.180379134775,POINT (-91.1803791 30.4476627)
35,23-14740,02/14/2023 12:38:00 PM,,Baton Rouge,LA,70815,,3.0,3E,3E3,US highway,"Business, Mixed Residential",PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,Unknown,Angle - right into flow,Violations,Movement prior to crash,30.4619976833698,-91.0379048902054,POINT (-91.0379049 30.4619977)
36,23-65781,07/03/2023 07:30:00 AM,550 LEE DR,Baton Rouge,LA,70808,BOONE DR,2.0,2D,2D3,City street,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),TWO-WAY ROAD WITH NO PHYSICAL SEPARATION,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Violations,Not applicable,30.4002024612459,-91.1540485105347,POINT (-91.1540485 30.4002025)
37,23-85603,08/26/2023 08:12:00 AM,200 W LEE DR,Baton Rouge,LA,70808,HIGHLAND  RD,2.0,2C,2C3,City street,Residential District,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,1,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Movement prior to crash,Violations,30.3938311128053,-91.1597531409182,POINT (-91.1597531 30.3938311)
38,23-23460,03/11/2023 05:21:00 AM,1500 TAMS DR,Baton Rouge,LA,70815,N MARQUE ANN  DR,3.0,3D,3D2,City street,Other,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),TWO-WAY ROAD WITH NO PHYSICAL SEPARATION,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Movement prior to crash,Violations,30.4664368207212,-91.0431390337571,POINT (-91.043139 30.4664368)
39,23-32317,04/05/2023 03:13:00 AM,300 S ACADIAN THWY,Baton Rouge,LA,70806,GOVERNMENT ST,1.0,1B,1B1,City street,Other,PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,1,0,0,1,2,Straight,On roadway,Sideswipe - same direction,Violations,Not applicable,30.4451838339958,-91.154815415123,POINT (-91.1548154 30.4451838)
40,23-25030,03/05/2023 01:00:00 PM,200 S I-110 ST,Baton Rouge,LA,70802,,1.0,1B,1B2,Interstate,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,On roadway,Front to rear - rear end,Violations,Movement prior to crash,30.4623136415596,-91.1663568404046,POINT (-91.1663568 30.4623136)
41,23-32028,04/04/2023 09:22:00 AM,1500 MAIN ST,Baton Rouge,LA,70802,N. 15TH ST,1.0,1A,1A2,City street,Other,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,On roadway,Sideswipe - same direction,Violations,Movement prior to crash,30.4518416478065,-91.174466229297,POINT (-91.1744662 30.4518416)
42,22-93439,09/22/2022 02:22:00 AM,,Baton Rouge,LA,70802,N 9TH ST,1.0,1A,1A2,Interstate,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,1,0,0,0,0,0,3,Straight,On roadway,Other,Violations,Movement prior to crash,30.4575542658503,-91.1764105188411,POINT (-91.1764105 30.4575543)
43,23-15264,02/16/2023 02:38:00 AM,6900 AIRLINE HWY,Baton Rouge,LA,70805,BICENTENNIAL  PL,4.0,4G,4G3,US highway,Manufacturing or Industrial,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Cloudy,Daylight,0,0,0,0,0,1,2,Straight,On roadway,Front to rear - rear end,Violations,Violations,30.4877360181029,-91.1206936906281,POINT (-91.1206937 30.487736)
44,22-93225,09/21/2022 10:42:00 AM,,Baton Rouge,LA,70802,,1.0,1B,1B2,Interstate,"Business, Mixed Residential",FULL CONTROL (ONLY RAMP ENTRANCE & EXIT),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,1,0,0,1,3,Straight,On roadway,Sideswipe - same direction,Movement prior to crash,Not applicable,30.4681150912584,-91.1666037998138,POINT (-91.1666038 30.4681151)
45,23-65843,07/03/2023 09:49:00 AM,0 MALL OF LOUISIANA,Baton Rouge,LA,70836,,,,,Parish road,Business Continuous,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,0,0,0,1,2,Straight,On roadway,Backing - rear to front,Violations,Movement prior to crash,30.3894710376927,-91.0864842658352,POINT (-91.0864843 30.389471)
46,23-11357,02/04/2023 12:35:00 PM,0 INTERSTATE 12 HWY,Baton Rouge,LA,70816,O'NEAL LN,3.0,3F,3F1,Interstate,Business Continuous,PARTIAL CONTROL LIMITED ACCESS TO ROADWAY,ONE-WAY ROAD,Dry,,Clear,Dawn/dusk,0,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Movement prior to crash,Violations,30.4431478604965,-91.0078559515484,POINT (-91.007856 30.4431479)
47,23-6992,01/21/2023 04:32:00 AM,3100 HARDING BLVD,Baton Rouge,LA,70807,VETERANS MEMORIAL BLVD,4.0,4B,4B2,State highway,Other,UNKNOWN,TWO-WAY ROAD WITH PHYSICAL SEPARATION,Wet,,Rain,Daylight,1,0,1,0,0,1,2,Straight,On roadway,Front to rear - rear end,Violations,Violations,30.5213558836884,-91.1607658917929,POINT (-91.1607659 30.5213559)
48,22-103108,10/20/2022 03:02:00 AM,15452 I-10 EAST,Baton Rouge,LA,70802,,1.0,1A,1A1,Interstate,Residential District,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),ONE-WAY ROAD,Dry,,Clear,Daylight,0,0,1,0,0,0,2,Straight,On roadway,Sideswipe - same direction,Violations,Movement prior to crash,30.4391110928605,-91.1907005643551,POINT (-91.1907006 30.4391111)
49,22-113557,11/20/2022 12:28:00 PM,,Baton Rouge,LA,70802,N-110 HWY,1.0,1A,1A1,Interstate,"Business, Mixed Residential",NO CONTROL (UNLIMITED ACCESS TO ROADWAY),TWO-WAY ROAD WITH A PHYSICAL BARRIER,Dry,,Clear,Daylight,0,0,0,0,0,0,2,Straight,On roadway,Front to rear - rear end,Violations,Not applicable,30.4391622186068,-91.1924361334813,POINT (-91.1924361 30.4391622)
