,Fiscal Year,Transaction Date,Transaction County,Residential County,Fuel Type,Primary Use Class,Counts
48,2017,01/31/2017,Yakima,King,Gasoline,All Terrain Vehicle (WATV),1
49,2017,01/31/2017,Kitsap,Whatcom,Unpowered,Private Use Trailer,1
50,2017,01/31/2017,Yakima,Walla Walla,Diesel,Truck,2
51,2017,01/31/2017,Benton,Klickitat,Gasoline,Farm Use,1
52,2017,01/31/2017,Pierce,Pierce,Electric,Off Road Vehicle,1
53,2017,01/31/2017,King,Ferry,Gasoline,Passenger,4
54,2017,01/31/2017,Walla Walla,Walla Walla,Gasoline,Farm Exempt,1
55,2017,01/31/2017,King,Chelan,Gasoline,Government (Federal),1
56,2017,01/31/2017,Snohomish,Benton,Gasoline,Motorhome,2
57,2017,01/31/2017,Columbia,Walla Walla,Diesel,Combination (Farm Use),1
58,2017,01/31/2017,King,Benton,Electric,Passenger,2
59,2017,01/31/2017,Cowlitz,Clark,Hybrid,Passenger,1
60,2017,01/31/2017,Kitsap,Clark,Gasoline,Truck,2
61,2017,01/31/2017,Spokane,Out Of State,Gasoline,Passenger,48
62,2017,01/31/2017,Thurston,Benton,Unpowered,Private Use Trailer,3
63,2017,01/31/2017,Franklin,Benton,Diesel,Combination (Non-Farm Use),10
64,2017,01/31/2017,King,Snohomish,Gasoline,Snowmobile,40
65,2017,01/31/2017,Okanogan,Okanogan,Diesel,Logging,4
66,2017,01/31/2017,Clark,Kitsap,Hybrid,Passenger,1
67,2017,01/31/2017,Kittitas,Kittitas,Gasoline,Moped,2
68,2017,01/31/2017,Grant,Pierce,Gasoline,Passenger,4
69,2017,01/31/2017,Whatcom,Grant,Gasoline,Passenger,2
70,2017,01/31/2017,Kittitas,Yakima,Unpowered,Private Use Trailer,7
71,2017,01/31/2017,Skagit,Out Of State,Diesel,Truck,1
72,2017,01/31/2017,Benton,Asotin,Gasoline,Passenger,4
73,2017,01/31/2017,Mason,Kitsap,Unpowered,Private Use Trailer,8
74,2017,01/31/2017,Douglas,Chelan,Electric,Passenger,2
75,2017,01/31/2017,Thurston,Whatcom,Gasoline,Passenger,15
76,2017,01/31/2017,Spokane,Whitman,Unpowered,Commercial,1
77,2017,01/31/2017,King,Snohomish,Gasoline,Medium-Speed Electric Truck,2
78,2017,01/31/2017,King,Grays Harbor,Diesel,Truck,2
79,2017,01/31/2017,Thurston,Pierce,Diesel,Motorhome,1
80,2017,01/31/2017,Grant,Franklin,Diesel,Commercial,1
81,2017,01/31/2017,Okanogan,Douglas,Gasoline,All Terrain Vehicle (WATV),1
82,2017,01/31/2017,Kittitas,King,Gasoline,Passenger,26
83,2017,01/31/2017,Yakima,Yakima,Diesel,Exempt (State/County/Local/Tribal),3
84,2017,01/31/2017,Pierce,Pierce,Unpowered,Combination (Non-Farm Use),33
85,2017,01/31/2017,Kitsap,Adams,Gasoline,All Terrain Vehicle (WATV),2
86,2017,01/31/2017,Asotin,Whitman,Diesel,Truck,2
87,2017,01/31/2017,Franklin,Adams,Unpowered,Commercial,1
88,2017,01/31/2017,Clark,Snohomish,Hybrid,Passenger,2
89,2017,01/31/2017,Grays Harbor,Lewis,Gasoline,Motorcycle,1
90,2017,01/31/2017,Skamania,Cowlitz,Gasoline,Passenger,1
91,2017,01/31/2017,Snohomish,Spokane,Gasoline,Snowmobile,1
92,2017,01/31/2017,King,Cowlitz,Unpowered,Private Use Trailer,2
93,2017,01/31/2017,King,King,Gasoline,Passenger,104589
94,2017,01/31/2017,Adams,Grant,Unpowered,Farm Exempt,1
95,2017,01/31/2017,Skagit,Skagit,Unpowered,Commercial,110
96,2017,01/31/2017,Benton,Benton,Diesel,Fixed Load Vehicle,1
97,2017,01/31/2017,San Juan,San Juan,Unpowered,Intermittent Use Trailer,1
98,2017,01/31/2017,Yakima,Yakima,Diesel,Motorhome,15
99,2017,01/31/2017,Kittitas,Kittitas,Diesel,Fixed Load Vehicle,2
