,X,Y,OBJECTID,Route,RteSuffix,RouteS,PMRouteID,County,District,PMPrefix,PM,PMSuffix,PMc,Odometer,PMInterval,HwySegment,AlignCode,RouteType,Direction,PMoffset
21,-13714562.8661,4649638.3494,22,1,,1,SON001...L,SON,4,,29.10000038,,29.1,508.48901367,0.1,Mid Segment,Left,State,SB,29.1
22,-13714297.4701,4649453.2308,23,1,,1,SON001...L,SON,4,,28.89999962,,28.9,508.28900146,0.1,Mid Segment,Left,State,SB,28.9
23,-13714181.803,4649295.2528,24,1,,1,SON001...L,SON,4,,28.79999924,,28.8,508.18899536,0.1,Mid Segment,Left,State,SB,28.8
24,-13713608.1007,4649069.9308,25,1,,1,SON001...L,SON,4,,28.39999962,,28.4,507.78900146,0.1,Mid Segment,Left,State,SB,28.4
25,-13713459.9564,4648950.5895,26,1,,1,SON001...L,SON,4,,28.29999924,,28.3,507.68899536,0.1,Mid Segment,Left,State,SB,28.3
26,-13713196.6719,4648709.6454,27,1,,1,SON001...L,SON,4,,28.10000038,,28.1,507.48901367,0.1,Mid Segment,Left,State,SB,28.1
27,-13713008.6193,4648657.8196,28,1,,1,SON001...L,SON,4,,28.0,,28.0,507.38900757,1.0,Mid Segment,Left,State,SB,28.0
28,-13712703.8946,4648432.453,29,1,,1,SON001...L,SON,4,,27.79999924,,27.8,507.18899536,0.1,Mid Segment,Left,State,SB,27.8
29,-13712524.2508,4648443.3314,30,1,,1,SON001...L,SON,4,,27.70000076,,27.7,507.08898926,0.1,Mid Segment,Left,State,SB,27.7
30,-13712436.084,4648280.6321,31,1,,1,SON001...L,SON,4,,27.60000038,,27.6,506.98901367,0.1,Mid Segment,Left,State,SB,27.6
31,-13712326.3443,4648134.889,32,1,,1,SON001...L,SON,4,,27.5,,27.5,506.88900757,0.1,Mid Segment,Left,State,SB,27.5
32,-13711857.571,4647935.8293,33,1,,1,SON001...L,SON,4,,27.20000076,,27.2,506.58898926,0.1,Mid Segment,Left,State,SB,27.2
33,-13711692.6861,4647848.521,34,1,,1,SON001...L,SON,4,,27.10000038,,27.1,506.48901367,0.1,Mid Segment,Left,State,SB,27.1
34,-13711512.5548,4647824.5303,35,1,,1,SON001...L,SON,4,,27.0,,27.0,506.38900757,1.0,Mid Segment,Left,State,SB,27.0
35,-13711359.7458,4647722.3727,36,1,,1,SON001...L,SON,4,,26.89999962,,26.9,506.28900146,0.1,Mid Segment,Left,State,SB,26.9
36,-13711185.3879,4647633.3475,37,1,,1,SON001...L,SON,4,,26.79999924,,26.8,506.18899536,0.1,Mid Segment,Left,State,SB,26.8
37,-13710906.8726,4647440.6579,38,1,,1,SON001...L,SON,4,,26.60000038,,26.6,505.98901367,0.1,Mid Segment,Left,State,SB,26.6
38,-13710544.3638,4647345.9417,39,1,,1,SON001...L,SON,4,,26.39999962,,26.4,505.78900146,0.1,Mid Segment,Left,State,SB,26.4
39,-13709876.8568,4646997.0675,40,1,,1,SON001...L,SON,4,,26.0,,26.0,505.38900757,1.0,Mid Segment,Left,State,SB,26.0
40,-13709943.8797,4646608.9011,41,1,,1,SON001...L,SON,4,,25.79999924,,25.8,505.18899536,0.1,Mid Segment,Left,State,SB,25.8
41,-13709920.5144,4646428.4177,42,1,,1,SON001...L,SON,4,,25.70000076,,25.7,505.08898926,0.1,Mid Segment,Left,State,SB,25.7
42,-13709888.5003,4646322.327,43,1,,1,SON001...L,SON,4,,25.60000038,,25.6,504.98901367,0.1,Mid Segment,Left,State,SB,25.6
43,-13709744.53,4646604.1032,44,1,,1,SON001...L,SON,4,,25.20000076,,25.2,504.58898926,0.1,Mid Segment,Left,State,SB,25.2
44,-13709596.3657,4646454.0367,45,1,,1,SON001...L,SON,4,,24.70000076,,24.7,504.08898926,0.1,Mid Segment,Left,State,SB,24.7
45,-13709528.9414,4646264.8834,46,1,,1,SON001...L,SON,4,,24.60000038,,24.6,503.98901367,0.1,Mid Segment,Left,State,SB,24.6
46,-13709299.7552,4645399.6622,47,1,,1,SON001...L,SON,4,,24.10000038,,24.1,503.48901367,0.1,Mid Segment,Left,State,SB,24.1
47,-13708983.2958,4645168.1696,48,1,,1,SON001...L,SON,4,,23.89999962,,23.9,503.28900146,0.1,Mid Segment,Left,State,SB,23.9
48,-13708821.6357,4645051.1389,49,1,,1,SON001...L,SON,4,,23.79999924,,23.8,503.18899536,0.1,Mid Segment,Left,State,SB,23.8
49,-13708489.2705,4644835.201,50,1,,1,SON001...L,SON,4,,23.60000038,,23.6,502.98901367,0.1,Mid Segment,Left,State,SB,23.6
