,the_geom,OBJECTID,Rec_Type,Site_Num,Fac_Type,Loc_Id,Eff_Date,Region_Cod,Field_Offi,State_Post,State_Name,County,County_Pos,City,Fac_Name,Owner_Type,Fac_Use,Owner_Name,Owner_Addr,Owner_City,Owner_Phon,Manager_Na,Manager_Ad,Manager_Ci,Manager_Ph,Ref_Point_,Ref_Poin_1,Ref_Poin_2,Ref_Poin_3,Ref_Poin_4,Elevation,Elevation_,Mag_Var,Mag_Var_Ye,Pattern_Al,Sectional_,Dist_City_,Dir_City_T,Land_Area_,Boundary_A,Boundary_1,Boundary_2,Responsibl,Responsi_1,Responsi_2,Fss_On_Fac,Fss_Id,Fss_Name,Local_Phon,Toll_Free_,Alt_Fss_Id,Alt_Fss_Na,Toll_Fre_1,Notam_Wx_F,Notam_DSer,Activation,Status_Cod,Arff_Cert_,Npias_Fed_,Airspace_A,Intl_Custo,Intl_Cus_1,Mil_Joint_,Mil_Landin,Inspection,Agency_Ins,Last_Inspe,Last_Info_,Fuel_Types,Repair_Ser,Power_Plan,Bottled_Ox,Bulk_Oxyge,Lighting_S,Beacon_Lig,Atc_Tower,Unicom,Ctaf,Seg_Circle,Beacon_Col,Landing_Fe,Medical_Fa,Based_Sing,Based_Mult,Based_Jet_,Based_Heli,Based_Glid,Based_Mili,Based_Ultr,Commercial,Commuter_O,Air_Taxi_O,Ga_Local_O,Ga_Itinera,Mitary_Ops,Annual_Ops,Position_S,Position_1,Elevatio_1,Elevatio_2,Contract_F,Transient_,Other_Serv,Wind_Indic,Icao_Ident,Min_Op_Net,Filler
10,POINT (-86.54557638869602 41.922265278157454),8242,APT,09604.51*A,AIRPORT,MI25,7/16/2020,AGL,DET,MI,MICHIGAN,BERRIEN,MI,BRIDGMAN,MYERS,PR,PR,STEVE MYERS,10616 S. GAST RD,"BRIDGMAN, MI 49106",616-465-5392,,,,,41-55-20.1550N,150920.1550N,086-32-44.0750W,311564.0750W,E,670.0,E,02W,1985.0,,CHICAGO,2.0,SE,4.0,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,,LAN,LANSING,,1-800-WX-BRIEF,,,,,N,Feb-90,O,,,CONDITIONAL,,,,,2,N,,5182019.0,,,,,,,,N,,,N,,,,2.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
11,POINT (-77.46636769399483 25.03911444393619),19830,APT,90730.*A,AIRPORT,MYNN,7/16/2020,,NONE,,,BAHAMAS,BS,NASSAU,LYNDEN PINDLING INTL,PU,PU,,,,,NASSAU AIRPORT DEVELOPMENT COMPANY,,,1-242-702-1000,25-02-20.8120N,090140.8120N,077-27-58.9237W,278878.9237W,E,16.0,E,08W,2010.0,,MIAMI,7.0,W,,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,,MIA,MIAMI,,1-800-WX-BRIEF,,,,,,,O,,,,Y,,,,,N,,,100LLA1,,,,,,,Y,122.8,,,CG,,,,,,,,,,,,,,,,,FAA-EST,12/27/2018,AIP,8/28/2008,,,CARGO,,MYNN,N,
12,POINT (-65.89027777823078 45.316111111133246),19783,APT,90399.*A,AIRPORT,CYSJ,7/16/2020,,NONE,,,"NEW BRUNSWICK, CANADA",CN,SAINT JOHN,SAINT JOHN,PU,PU,,,,,,,,,45-18-58.0000N,163138.0000N,065-53-25.0000W,237205.0000W,E,357.0,E,19W,,,,8.0,ENE,,ZYZ,ZYZ,TORONTO,ZYZ,ZYZ,TORONTO,,YHZ,HALIFAX FIC,,,,,,,,Mar-05,O,,,,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYSJ,N,
13,POINT (-128.15666666669694 52.18500000015256),19740,APT,90033.*A,AIRPORT,CBBC,7/16/2020,,NONE,,,"B.C., CANADA",CN,BELLA BELLA,BELLA BELLA/CAMPBELL ISLAND,PR,PR,BELLA BELLA ARPT LTD,,,250-957-2868,,,,,52-11-06.0000N,187866.0000N,128-09-24.0000W,461364.0000W,E,141.0,,21E,,,,1.0,NW,,ZVR,ZVR,VANCOUVER,ZVR,ZVR,VANCOUVER,,YKA,KAMLOOPS FIC,,,,,,CYZT,,Sep-05,O,,,,,,,,,N,,,100LLA,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBBC,N,
14,POINT (-63.05385277799104 18.2048000002342),19815,APT,90680.*A,AIRPORT,TQPF,7/16/2020,,NONE,,,ANGUILLA,AI,THE VALLEY,CLAYTON J LLOYD INTL,PU,PU,,,,,AIRPORT MANAGER,,,1-264-497-3510,18-12-17.2800N,065537.2800N,063-03-13.8700W,226993.8700W,E,127.0,E,14W,2005.0,,,1.0,S,,ZSU,ZSU,SAN JUAN,ZSU,ZSU,SAN JUAN,,SJU,SAN JUAN,,1-800-WX-BRIEF,,,,,,,O,,,,Y,,,,,N,,,100  A,,,,,,SEE RMK,Y,,,,G,,,,,,,,,,,,,,,,,AIP,10/22/2009,AIP,3/13/2008,,,CARGO,Y-L,TQPF,N,
15,POINT (-77.54999999983501 34.51666666734002),10402,APT,16811.12*A,AIRPORT,14NC,7/16/2020,ASO,MEM,NC,NORTH CAROLINA,JONES,NC,HOLLY RIDGE,CAMP DAVIS MCOLF,MN,PR,US NAVY,,,,,,,919-466-2233,34-31-00.0000N,124260.0000N,077-33-00.0000W,279180.0000W,E,60.0,E,08W,1990.0,,CHARLOTTE,1.0,SE,,ZDC,ZCW,WASHINGTON,ZDC,ZCW,WASHINGTON,N,RDU,RALEIGH,,1-800-WX-BRIEF,,,,NCA,N,Sep-93,O,,,,,,,,,N,,12031993.0,,,,,,,,N,,253.3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
16,POINT (-97.52953638875273 46.98747666671303),10713,APT,17278.*A,AIRPORT,ND59,7/16/2020,AGL,DMA,ND,NORTH DAKOTA,CASS,ND,BUFFALO,GRIEVE,PR,PR,,,,,WM GRIEVE,,"BUFFALO, ND 58011",701-633-5515,46-59-14.9160N,169154.9160N,097-31-46.3310W,351106.3310W,E,1208.0,E,07E,1985.0,,TWIN CITIES,4.0,NE,,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,GFK,GRAND FORKS,,1-800-WX-BRIEF,,,,,N,,O,,,NOT ANALYZED,,,,,2,N,,1162017.0,,NONE,NONE,,,,,N,,,N,,N,,3.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
17,POINT (-97.2714272221077 41.47251055621044),11006,APT,12681.12*A,AIRPORT,NE37,7/16/2020,ACE,NONE,NE,NEBRASKA,PLATTE,NE,COLUMBUS,LOSEKE AIRSTRIP,PR,PR,LOUIS E LOSEKE,"ROUTE 7, BOX 30","COLUMBUS, NE 68601",402-564-5824,,,,,41-28-21.0380N,149301.0380N,097-16-17.1380W,350177.1380W,E,1490.0,E,07E,1985.0,,OMAHA,5.0,NE,,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,OLU,COLUMBUS,,1-800-WX-BRIEF,,,,,N,Oct-73,O,,,CONDITIONAL,,,,,2,N,,4162008.0,,,,,,,,N,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,Y,,N,
18,POINT (-77.18192361080365 43.098396666821934),12153,APT,15177.*A,AIRPORT,NY16,7/16/2020,AEA,NYC,NY,NEW YORK,WAYNE,NY,EAST PALMYRA,OAK RIDGE,PR,PR,MAX ALBERTSON,OAK RIDGE FARMS,"PALMYRA, NY 14522",315-926-4845,,,,,43-05-54.2280N,155154.2280N,077-10-54.9250W,277854.9250W,E,540.0,E,11W,1985.0,,NEW YORK,3.0,SE,,ZOB,ZCC,CLEVELAND,ZOB,ZCC,CLEVELAND,N,BUF,BUFFALO,,1-800-WX-BRIEF,,,,,N,Mar-74,O,,,CONDITIONAL,,,,,2,N,,1131994.0,,,,,,,,N,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,N,,N,
19,POINT (-82.17682249991712 40.6328380560916),12918,APT,18112.1*A,AIRPORT,9OI6,7/16/2020,AGL,DET,OH,OHIO,HOLMES,OH,LOUDENVILLE,NESTA,PR,PR,R. V. NESTA,220 S PARK ST,"MANSFIELD, OH 44902",419-522-1342,,,,,40-37-58.2170N,146278.2170N,082-10-36.5610W,295836.5610W,E,950.0,E,06W,1985.0,,DETROIT,3.0,E,,ZOB,ZCC,CLEVELAND,ZOB,ZCC,CLEVELAND,N,CLE,CLEVELAND,,1-800-WX-BRIEF,,,,,N,Nov-83,O,,,OBJECTIONABLE,,,,,2,N,,1031994.0,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
20,POINT (-98.17390388889885 30.289368333048035),16215,APT,23776.*A,AIRPORT,14TX,7/16/2020,ASW,TEX,TX,TEXAS,HAYS,TX,DRIPPING SPRINGS,KEYES RANCH,PR,PR,WILLIAM O. KEYES,15209 RAINBOW ONE,"AUSTIN, TX 78734",512-266-3081,,,,,30-17-21.7260N,109041.7260N,098-10-26.0540W,353426.0540W,E,1150.0,E,07E,1985.0,,SAN ANTONIO,8.0,NW,,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,,N,Jul-90,O,,,NO OBJECTION,,,,,2,N,,8031994.0,,,,,,,,N,,,N,,,,1.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
21,POINT (-97.67113027844516 31.358500832742628),16316,APT,23882.23*A,AIRPORT,23XS,7/16/2020,ASW,TEX,TX,TEXAS,BELL,TX,FORT HOOD/KILLEEN/,SHORTHORN AUX LANDING STRIP,MR,PR,UNKNOWN,,,,UNKNOWN,UNKNOWN,UNKNOWN,,31-21-30.6030N,112890.6030N,097-40-16.0690W,351616.0690W,E,720.0,E,07E,1985.0,,SAN ANTONIO,7.0,NW,,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,,N,,O,,,NOT ANALYZED,,,,,,N,,5161978.0,,,,,,,,N,122.7,122.7,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
22,POINT (-97.42667638895931 31.214618610849655),17486,APT,24895.2*A,AIRPORT,TS92,7/16/2020,ASW,TEX,TX,TEXAS,BELL,TX,TEMPLE,LITTLE PEACH,PR,PR,WILLIAM C ELLIOT,RT 5/BOX 342A,"TEMPLE, TX 76501",817-986-2673,,,,,31-12-52.6270N,112372.6270N,097-25-36.0350W,350736.0350W,E,710.0,E,07E,1985.0,,SAN ANTONIO,12.0,NW,,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,,N,Jul-84,O,,,CONDITIONAL,,,,,2,N,,9021994.0,,,,,,,,N,,,N,,,,2.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
23,POINT (-77.19135611083142 36.549040555650855),17886,APT,25648.5*A,AIRPORT,VG28,7/16/2020,AEA,DCA,VA,VIRGINIA,SOUTHAMPTON,VA,BOYKINS,MANN,PR,PR,,,,,MELVIN E MANN,34327 MEHERRIN RD,"BOYKINS, VA 23827",804-654-6336,36-32-56.5460N,131576.5460N,077-11-28.8820W,277888.8820W,E,35.0,E,08W,1985.0,,WASHINGTON,2.0,S,,ZDC,ZCW,WASHINGTON,ZDC,ZCW,WASHINGTON,N,DCA,LEESBURG,,1-800-WX-BRIEF,,,,,N,Jan-72,O,,,CONDITIONAL,,,,,2,N,,9061994.0,,NONE,NONE,,,,,N,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,N,
24,POINT (-81.43312333268199 28.904988610906987),3400,APT,03180.04*A,AIRPORT,6FD6,7/16/2020,ASO,ORL,FL,FLORIDA,LAKE,FL,EUSTIS,ROSE RANCH,PR,PR,MELANIE ROSE,31614 BOTTANY WOODS DR.,"EUSTIS, FL 32736",352-636-8204,,,,,28-54-17.9590N,104057.9590N,081-25-59.2440W,293159.2440W,E,167.0,E,03W,1985.0,,JACKSONVILLE,15.0,W,,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,,N,Mar-88,O,,,CONDITIONAL,,,,,2,N,,3142019.0,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
25,POINT (-86.22228611092396 34.666347222025315),1074,APT,00597.*A,AIRPORT,4AL5,7/16/2020,ASO,JAN,AL,ALABAMA,JACKSON,AL,WOODVILLE,J5 MIKE,PR,PR,MICHAEL GUERIN,25919 ALABAMA HWY 35,"WOODVILLE, AL 35776",256-508-8228,MICHAEL GUERIN,25919 ALABAMA HWY 35,"WOODVILLE, AL 35776",256-508-8228,34-39-58.8500N,124798.8500N,086-13-20.2300W,310400.2300W,E,680.0,,,,,ATLANTA,4.0,NE,,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,,ANB,ANNISTON,,1-800-WX-BRIEF,,,,,,Oct-13,O,,,,,,,,,N,,5062020.0,,,,,,,,N,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,N,
26,POINT (162.3278333329556 11.34083333277517),19714,APT,51514.4*A,AIRPORT,PKMA,7/16/2020,,HNL,,,MARSHALL ISLANDS,MH,ENEWETAK,ENEWETAK AUX AF,PR,PR,,,,,,,,,11-20-27.0000N,040827.0000N,162-19-40.2000E,584380.2000E,E,13.0,,,,,,,,,ZHN,ZHN,HONOLULU CONTROL FACILITY,ZHN,ZHN,HONOLULU CONTROL FACILITY,,HNL,HONOLULU,,1-800-WX-BRIEF,,,,,,Apr-09,O,,,,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
27,POINT (-121.88221277796065 40.445711944155335),2164,APT,01859.5*A,AIRPORT,CN42,7/16/2020,AWP,SFO,CA,CALIFORNIA,SHASTA,CA,MANTON,DOUBLE CREEK AIRPARK,PR,PR,DOUBLE CREEK AIRPARK PARTNERSHIP,68-333 PEREZ ROAD,"CATHEDRAL CITY, CA 92234",619-746-9400,ERIC & PEGGY MATSON,,,916-474-5757,40-26-44.5630N,145604.5630N,121-52-55.9660W,438775.9660W,E,2030.0,E,17E,1985.0,800.0,KLAMATH FALLS,1.0,NW,360.0,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,,N,,O,,,CONDITIONAL,,,,,2,N,,11272017.0,,MINOR,MINOR,NONE,NONE,,,N,,,N,,N,,,,,,,,,,,,10.0,150.0,,,,,,,,,,Y,,N,
28,POINT (-151.4489102776125 61.013884443962084),646,APT,50788.1*A,AIRPORT,9AK3,7/16/2020,AAL,NONE,AK,ALASKA,KENAI-COOK INLET,AK,TYONEK,NIKOLAI CREEK,PU,PR,ALASKA MENTAL HEALTH TRUST,"2600 CORDOVA ST, STE 100","ANCHORAGE, AK 99503-2745",(907) 269-8658,TRUST LAND OFFICE,2600 CORDOVA ST  STE 100,"ANCHORAGE, AK 99503-2745",(907) 269-8658,61-00-49.9840N,219649.9840N,151-26-56.0770W,545216.0770W,E,30.0,E,24E,1985.0,,ANCHORAGE,10.0,SW,10.0,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,,N,Oct-65,O,,,NOT ANALYZED,N,N,N,N,2,F,6231977.0,6272018.0,,NONE,NONE,NONE,NONE,,,N,,122.7,N,,N,,,,,,,,,,,400.0,,500.0,,6/23/1977,,,,,,,CARGO,Y,,N,
29,POINT (-85.78794444393063 31.09361111118011),893,APT,00329.16*H,HELIPORT,15AL,7/16/2020,ASO,JAN,AL,ALABAMA,GENEVA,AL,FORT RUCKER/HARTFORD,HIGHFALLS STAGEFIELD AHP,MR,PR,US ARMY AVIATION CTR & FORT RUCKER,NOVOSEL ST,"FORT RUCKER, AL 36362",334-255-9764,JACK A HOLMES,"USAACE G3 AIR,","FORT RUCKER, AL 36362",334-255-9764,31-05-37.0000N,111937.0000N,085-47-16.6000W,308836.6000W,E,220.0,E,02W,2000.0,,NEW ORLEANS,7.0,W,,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,,ANB,ANNISTON,,1-800-WX-BRIEF,,,,OZR,Y,May-02,O,,,NOT ANALYZED,,,,,2,N,,1222015.0,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,MILITARY,5/17/2002,MILITARY,5/17/2002,,,,,,N,
30,POINT (-149.9086111109695 61.50916666685487),70,APT,50068.*C,SEAPLANE BASE,85AK,7/16/2020,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,BIG LAKE,MARION,PR,PR,MIKE GRAVES,P.O. BOX 520815,"BIG LAKE, AK 99602",907-841-1977,MIKE GRAVES,P.O. BOX 520815,"BIG LAKE, AK 99602",907-841-1977,61-30-33.0000N,221433.0000N,149-54-31.0000W,539671.0000W,E,150.0,E,,,,ANCHORAGE,3.0,SW,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,,ENA,KENAI,907-283-7211,1-866-864-1737,,,,,,Apr-07,O,,,CONDITIONAL,,,,,,N,,1052012.0,,,,,,,,N,,122.8,,,,,,,,,,,,,,,,,,,OWNER,12/8/2006,OWNER,12/8/2006,,,,,,N,
31,POINT (-88.41265222167817 38.37863305612795),5386,APT,04635.1*A,AIRPORT,FWC,7/16/2020,AGL,CHI,IL,ILLINOIS,WAYNE,IL,FAIRFIELD,FAIRFIELD MUNI,PU,PU,CITY OF FAIRFIELD,"CITY HALL,109 NE 2ND ST","FAIRFIELD, IL 62837",618-842-3871,TRAVIS WILLIAMS,CITY HALL 109 NE 2ND ST,"FAIRFIELD, IL 62837",618-842-9587,38-22-43.0790N,138163.0790N,088-24-45.5480W,318285.5480W,E,434.3999939,S,01W,2000.0,,ST LOUIS,2.0,W,173.0,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,STL,SAINT LOUIS,,1-800-WX-BRIEF,,,,FWC,Y,Apr-54,O,,NGY,NO OBJECTION,N,N,N,Y,S,S,7012019.0,,100LLA,,,NONE,NONE,SEE RMK,SS-SR,N,123.05,123.05,N,CG,N,,13.0,1.0,0.0,0.0,0.0,0.0,0.0,,,500.0,6000.0,1500.0,,6/30/2019,FAA,12/20/2011,3RD PARTY SURVEY,2/15/2011,,TIE,AGRI,Y-L,KFWC,N,
