,the_geom,Order Number,Borough,On Street,From Street,To Street,Side of the Street,Sign Description,Relief Stand,Space Count,Shape Length
15,"MULTILINESTRING ((-73.98571418206669 40.743147769634945, -73.98606243788825 40.74329388172037, -73.9860628356724 40.7432940492628, -73.98606251365672 40.74329391324731))",P-01471770,Manhattan,EAST 27 STREET,PARK AVENUE SOUTH,MADISON AVENUE,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,5,110.438912336
16,"MULTILINESTRING ((-73.98543297644633 40.75320976481429, -73.98554411130202 40.753056637036046))",P-01621697,Manhattan,6 AVENUE,WEST 39 STREET,WEST 40 STREET,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,3,63.722398041
17,"MULTILINESTRING ((-73.93912906082844 40.79747988593668, -73.93922128062187 40.79751763492164))",P-01462246,Manhattan,EAST 116 STREET,3 AVENUE,2 AVENUE,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,1,29.0018299191
18,"MULTILINESTRING ((-73.98644260291736 40.743112298468766, -73.9866175979124 40.742870532838786, -73.98661739894892 40.742870807470254))",P-01265149,Manhattan,MADISON AVENUE,EAST 26 STREET,EAST 27 STREET,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,TAXI/FHV,5,100.662851627
19,"MULTILINESTRING ((-73.99274875068838 40.75807850702118, -73.99262291140572 40.75824828112701))",P-01368370,Manhattan,9 AVENUE,WEST 42 STREET,WEST 41 STREET,E,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,3,71.0023489946
20,"MULTILINESTRING ((-73.99594316729824 40.74248602363039, -73.99645750940559 40.74270679356643))",P-01602793,Manhattan,WEST 21 STREET,6 AVENUE,7 AVENUE,S,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,8,163.655841072
21,"MULTILINESTRING ((-73.97959138252648 40.73743196737337, -73.9793063489068 40.73731357540116))",P-01643527,Manhattan,EAST 23 STREET,1 AVENUE,2 AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,4,89.9998029602
22,"MULTILINESTRING ((-73.98620219279692 40.7442791087924, -73.98657662754748 40.74443359354225))",P-438461,Manhattan,EAST 28 STREET,5 AVENUE,MADISON AVENUE,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,5,118.03751119
23,"MULTILINESTRING ((-73.998170653312 40.75062647659693, -73.99808286432811 40.75074322935848))",S-01574846,Manhattan,9 AVENUE,WEST 30 STREET,WEST 29 STREET,E,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,2,49.0002164671
24,"MULTILINESTRING ((-74.0027789251481 40.74430193714934, -74.00263523527452 40.7445018268964))",P-01312923,Manhattan,9 AVENUE,WEST 20 STREET,WEST 19 STREET,E,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,4,82.9997863672
25,"MULTILINESTRING ((-73.89899579511578 40.75188111244028, -73.89896135052597 40.751696316342006))",S-01510509,Queens,64 STREET,34 AVENUE,35 AVENUE,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,3,68.0001982567
26,"MULTILINESTRING ((-73.91014729750434 40.742460346423925, -73.91011024876241 40.742639295159854))",S-01510508,Queens,55 STREET,QUEENS BOULEVARD,ROOSEVELT AVENUE,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,3,66.0000775889
27,"MULTILINESTRING ((-73.92771644823219 40.74604575933133, -73.92844115485406 40.74612930432674))",S-01328388,Queens,43 AVENUE,36 STREET,37 STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,10,203.1021095
28,"MULTILINESTRING ((-73.90328867541903 40.7499556121556, -73.90307016067827 40.749898674054585))",S-01326829,Queens,37 AVENUE,60 STREET,59 STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,3,63.9998026578
29,"MULTILINESTRING ((-73.94631257531022 40.74947570363029, -73.94645943114476 40.74950426760489))",S-01510270,Queens,44 AVENUE,21 STREET,22 STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,2,41.9998036569
30,"MULTILINESTRING ((-73.93462779124991 40.75196604140992, -73.9339127439017 40.75169109432074))",S-01510268,Queens,40 AVENUE,NORTHERN BOULEVARD,30 STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,11,221.999816152
31,"MULTILINESTRING ((-73.9294243602826 40.75299258227006, -73.9295372443798 40.752852040986674))",S-01511148,Queens,34 STREET,37 AVENUE,38 AVENUE,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT 10:30AM-7PM ALL DAYS -->,TAXI/FHV,3,59.9999608412
32,"MULTILINESTRING ((-73.99362993398653 40.718173654951315, -73.99318415609578 40.7180360414084))",S-01502404,Manhattan,GRAND STREET,FORSYTH STREET,CHRYSTIE STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,TAXI/FHV,6,133.355779547
33,"MULTILINESTRING ((-73.99303498650556 40.761176021363134, -73.9928457374786 40.76109593240208))",S-01630850,Manhattan,WEST 45 STREET,9 AVENUE,10 AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,3,60.0000587251
34,"MULTILINESTRING ((-73.95397398859946 40.771114675530384, -73.95382245376969 40.77105076020946))",S-01433511,Manhattan,EAST 77 STREET,1 AVENUE,2 AVENUE,S,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,2,47.9998417993
35,"MULTILINESTRING ((-73.9591826010602 40.77413992979967, -73.95930274601993 40.77419028879459))",S-01255367,Manhattan,EAST 78 STREET,LEXINGTON AVENUE,THIRD AVENUE,S,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,1,37.9997009546
36,"MULTILINESTRING ((-73.94687501851288 40.77592046391203, -73.94661307412615 40.77580980254007))",S-01255366,Manhattan,EAST 86 STREET,HENDERSON PLACE,YORK AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,4,82.9996619695
37,"MULTILINESTRING ((-73.99968835199252 40.754036679541564, -73.99933413751609 40.7545118459287))",S-209700,Manhattan,10 AVENUE,WEST 33 STREET,WEST 34 STREET,W,TAXI RELIEF STAND 1 HOUR LIMIT NO PARKING ANYTIME EXCEPTTAXIS <----->,TAXI,9,198.999700898
38,"MULTILINESTRING ((-73.98720403231621 40.733460521385744, -73.98692007877106 40.73384603930442))",S-01600249,Manhattan,3 AVENUE,EAST 15 STREET,EAST 14 STREET,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,TAXI/FHV,8,160.999652469
39,"MULTILINESTRING ((-73.99016217885402 40.76803880361012, -73.990066795142 40.767996080037896))",S-01370888,Manhattan,WEST 55 STREET,10 AVENUE,11 AVENUE,S,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-4PM ALL DAYS --> (SUPERSEDES SP-789CA),TAXI,1,30.6653291015
40,"MULTILINESTRING ((-73.94931543361014 40.777690655389584, -73.94905346990329 40.77758001129787))",S-01390129,Manhattan,EAST 87 STREET,1 AVENUE,2 AVENUE,S,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 10:30AM-7PM ALL DAYS -->,TAXI,4,82.9996006917
41,"MULTILINESTRING ((-73.99766534790055 40.76151985967418, -73.99741765193804 40.76185496540871))",S-01378152,Manhattan,11 AVENUE,WEST 44 AVENUE,WEST 43 AVENUE,E,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,7,140.051328386
42,"MULTILINESTRING ((-74.00211003251829 40.74137157496732, -74.00253002471764 40.74154826220135))",S-01539557,Manhattan,WEST 16 STREET,9 AVENUE,8 AVENUE,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,6,132.999777659
43,"MULTILINESTRING ((-73.98351168563934 40.74105773363399, -73.98338524324333 40.74123073259615, -73.98333114309182 40.74130485182184))",S-366255,Manhattan,LEXINGTON AVENUE,EAST 26 STREET,EAST 25 STREET,E,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-7PM ALL DAYS -->,TAXI,5,102.999756219
44,"MULTILINESTRING ((-73.99665868889369 40.76289967502054, -73.99674040030493 40.762789761808286))",S-01367068,Manhattan,11 AVENUE,WEST 46 STREET,WEST 45 STREET,E,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,2,45.9997236762
45,"MULTILINESTRING ((-73.95023044744707 40.779711502207384, -73.9500190077035 40.7796221421143))",S-367194,Manhattan,EAST 89 STREET,1 AVENUE,2 AVENUE,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 8AM-6PM <->,TAXI/FHV,3,67.0000463608
46,"MULTILINESTRING ((-74.01143230094996 40.7228102084722, -74.01147541221135 40.72255706198537))",S-367197,Manhattan,WEST STREET,LAIGHT STREET,VESTRY STREET,E,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,TAXI/FHV,4,93.0000017336
47,"MULTILINESTRING ((-73.98277635581611 40.74206960864761, -73.98255399269043 40.742374416603305, -73.98243069100623 40.742543369884714))",S-379632,Manhattan,LEXINGTON AVENUE,EAST 28 STREET,EAST 27 STREET,E,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-7PM ALL DAYS -->,TAXI,9,197.402571753
48,"MULTILINESTRING ((-74.00768176746054 40.711457801967086, -74.00791879131589 40.71139951205476))",S-01335489,Manhattan,PARK ROW,ANN STREET,BEEKMAN STREET,E,TAXI RELIEF STAND 1 HOUR LIMIT NO PARKING 7AM-10PM EXCEPT TAXIS W/ SINGLE ARROW,TAXI,3,69.0573947504
49,"MULTILINESTRING ((-73.95408016807977 40.81313693667457, -73.95375329574395 40.812996204160875))",S-01409747,Manhattan,WEST 127 STREET,CONVENT AVENUE,WEST 126 STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,5,103.999769034
50,"MULTILINESTRING ((-73.9952374561317 40.761173562526466, -73.99551191657034 40.76128962966524))",S-01497419,Manhattan,WEST 44 STREET,11 AVENUE,10 AVENUE,S,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,4,87.0009801349
51,"MULTILINESTRING ((-73.99392181285658 40.75829804234049, -73.99314752462436 40.75796750817991))",S-01283699,Manhattan,WEST 41 STREET,9 AVENUE,DYER AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 10AM-4PM <->,TAXI,12,245.999482178
52,"MULTILINESTRING ((-73.92776816777538 40.74731609785912, -73.927451677167 40.74737835808492))",S-01322615,Queens,SKILLMAN AVENUE,37 STREET,36 STREET,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,4,90.5806470426
53,"MULTILINESTRING ((-73.92839208581064 40.746605377144434, -73.92847351906973 40.74621223768926))",S-01326352,Queens,36 STREET,SKILLMAN AVENUE,43 AVENUE,E,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,7,144.999717937
54,"MULTILINESTRING ((-73.94771363365965 40.74892563815853, -73.94803874720722 40.74898908456939))",S-01510506,Queens,44 ROAD,21 STREET,11 STREET,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,4,93.00008476
55,"MULTILINESTRING ((-73.9289860760304 40.74619449969094, -73.92932180733338 40.74623151351257))",S-01510269,Queens,43 AVENUE,35 STREET,36 STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,4,93.9996638779
56,"MULTILINESTRING ((-73.93699467823832 40.76438399790388, -73.93685919055184 40.76460549551375))",S-01537180,Queens,12 STREET,34 AVENUE,33 ROAD,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,TAXI/FHV,4,88.9996945416
57,"MULTILINESTRING ((-73.81467995853379 40.58670660540031, -73.81487766793249 40.58662760312893))",S-01274989,Queens,ROCKAWAY BEACH BOULEVARD,B 92 STREET,B 91 STREET,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,TAXI/FHV,3,62.0000370779
58,"MULTILINESTRING ((-73.91088439752352 40.742811148957266, -73.91092732238198 40.74260233919563, -73.9109390322337 40.74254539296025))",S-383726,Queens,54 STREET,ROOSEVELT AVENUE,QUEENS BOULEVARD,E,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 9AM-5PM <->,TAXI,4,97.9998378653
59,"MULTILINESTRING ((-73.92850479160397 40.746593139034196, -73.92856695051931 40.74628382922779))",S-384990,Queens,36 STREET,SKILLMAN AVENUE,43 AVENUE,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,5,114.000066606
60,"MULTILINESTRING ((-73.94930930905913 40.6450463660002, -73.94911164861557 40.64505740010464))",S-366778,Brooklyn,BEVERLEY ROAD,EAST 29 STREET,NOSTRAND AVENUE,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,2,54.999736131
61,"MULTILINESTRING ((-74.00487630588002 40.71880846042076, -74.00514406647133 40.71853240106598))",S-373163,Manhattan,CHURCH STREET,FRANKLIN STREET,WHITE STREET,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,6,124.999694082
62,"MULTILINESTRING ((-73.98942642315748 40.735191152190794, -73.98905376250198 40.73503448483357))",S-01309612,Manhattan,EAST 15 STREET,IRVING PLACE,UNION SQUARE EAST,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,5,118.000767714
63,"MULTILINESTRING ((-73.99605765820888 40.72502330929564, -73.99617674514515 40.724879256166275))",S-01590877,Manhattan,CROSBY STREET,PRINCE STREET,EAST HOUSTON STREET,W,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 8AM-6PM <->,TAXI,3,62.0000448861
64,"MULTILINESTRING ((-73.91527186660541 40.7640877144054, -73.91505682150955 40.76398681751068))",P-01510514,Queens,30 AVENUE,STEINWAY STREET,38 STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,3,69.9997108131
65,"MULTILINESTRING ((-73.91342727132474 40.765414414267305, -73.91352899688262 40.76546155192091))",P-01510513,Queens,28 AVENUE,41 STREET,STEINWAY STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,TAXI/FHV,1,32.9998142042
66,"MULTILINESTRING ((-73.85675783455393 40.840321440067804, -73.85691092874025 40.84027976340634))",P-01583439,Bronx,METROPOLITAN AVENUE,PURDY STREET,RED OAK DRIVE,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,2,44.9999758379
67,"MULTILINESTRING ((-73.91843713410685 40.77177002092974, -73.91822596788495 40.77162021298))",S-01510510,Queens,HOYT AVENUE NORTH,29 STREET,28 STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,4,79.999921938
68,"MULTILINESTRING ((-73.93837978980952 40.75190240334645, -73.93853880809735 40.75198810660771))",S-01510512,Queens,41 AVENUE,CRESCENT STREET,27 STREET,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,2,54.0009913696
69,"MULTILINESTRING ((-73.98227782671951 40.7427541875541, -73.98198102303249 40.743156269155946))",S-01368059,Manhattan,LEXINGTON AVENUE,EAST 29 STREET,EAST 28 STREET,E,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-7PM ALL DAYS -->,TAXI,8,167.999652665
70,"MULTILINESTRING ((-73.9976754489882 40.71377116288744, -73.99779238212216 40.713697864537174))",S-428705,Manhattan,CHATHAM SQUARE,EAST BROADWAY,CATHERINE STREET,E,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,2,41.9998280448
71,"MULTILINESTRING ((-73.99277954274048 40.76433463162853, -73.99236502483417 40.76416156763775))",S-01292980,Manhattan,WEST 49 STREET,10 AVENUE,11 AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,6,130.99974683
72,"MULTILINESTRING ((-73.88368299488288 40.85364659782262, -73.88360914708423 40.85379558806796))",S-01510516,Bronx,CROTONA AVENUE,EAST 183 STREET,EAST 187 STREET,E,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,2,57.9998785383
73,"MULTILINESTRING ((-74.00484833296512 40.722310707538966, -74.00502123146545 40.72210486618001))",S-01434727,Manhattan,THOMPSON STREET,GRAND STREET,AVENUE OF AMERICAS,W,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,4,89.000015956
74,"MULTILINESTRING ((-73.93091297081182 40.7549950405943, -73.93075815002 40.755186861586346))",P-01511147,Queens,31 STREET,37 AVENUE,36 AVENUE,E,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT 10AM-6PM EXCEPT SATURDAY -->,TAXI/FHV,4,81.9998779194
75,"MULTILINESTRING ((-73.9838202309161 40.72934925889408, -73.98358332790947 40.72924977139192))",S-01566720,Manhattan,EAST 11 STREET,AVENUE A,1 AVENUE,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT 5AM-MIDNIGHT ALL DAYS -->,TAXI/FHV,3,75.0000641781
76,"MULTILINESTRING ((-73.99006703499785 40.714133279029866, -73.98930774290459 40.71417341700225))",P-01387182,Manhattan,EAST BROADWAY,CLINTON STREET,RUTGERS STREET,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT <->,TAXI,10,210.999799004
77,"MULTILINESTRING ((-73.98733398711828 40.72285666721663, -73.98734964877912 40.722863079664776, -73.98740689736375 40.72288652439869, -73.98746415664081 40.722909971806786, -73.98749282535123 40.7229217103628))",P-01643862,Manhattan,EAST 1 STREET,EAST HOUSTON STREET,1 AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-7PM ALL DAYS -->,TAXI,2,49.9999462542
78,"MULTILINESTRING ((-73.92518910032177 40.86212262125895, -73.92491615330873 40.86167413675358))",P-01588755,Manhattan,DYCKMAN STREET,SHERMAN AVENUE,NAGLE AVENUE,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,9,179.999389383
79,"MULTILINESTRING ((-73.99081412554075 40.73660251099761, -73.99112314351937 40.73673328714465))",P-01613062,Manhattan,EAST 16 STREET,5 AVENUE,UNION SQUARE WEST,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,4,97.9996607243
80,"MULTILINESTRING ((-73.994961690412 40.767601239966325, -73.99536766123731 40.7677747255228))",S-01383674,Manhattan,WEST 52 STREET,TWELFTH AVENUE,ELEVENTH AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,6,128.999561459
81,"MULTILINESTRING ((-73.99569369631563 40.755673837040966, -73.99589929992878 40.755759773453654))",S-01399235,Manhattan,WEST 37 STREET,9 AVENUE,10 AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,3,64.9998719913
82,"MULTILINESTRING ((-73.98767341535525 40.7237547513915, -73.98742109320487 40.723648147027475))",S-01415613,Manhattan,EAST 2 STREET,AVENUE A,1 AVENUE,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,4,79.9998932597
83,"MULTILINESTRING ((-74.0028149379968 40.74472689978162, -74.00306178536931 40.74482979707919))",S-01502769,Manhattan,WEST 20 STREET,10 AVENUE,9 AVENUE,N,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,3,77.999857381
84,"MULTILINESTRING ((-73.97643879194337 40.74005464635517, -73.97649142749178 40.740076801485735, -73.97655067432655 40.740101774725225, -73.97660077078258 40.74012290000884, -73.97660992120194 40.74012675874023, -73.97666916812555 40.74015173191859, -73.97672841627687 40.7401767068676, -73.9767876621054 40.740201679984615, -73.97684689731945 40.74022666297446, -73.97689123379648 40.740245353802585, -73.9769059337112 40.740251548639094))",S-01515208,Manhattan,EAST 28 STREET,1 AVENUE,MT CARMEL PLACE,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,7,147.999935981
85,"MULTILINESTRING ((-73.98678582891957 40.72263022475141, -73.98640966442169 40.72247281063981))",S-01644255,Manhattan,EAST HOUSTON STREET,AVENUE A,EAST 1 STREET,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-7PM ALL DAYS -->,TAXI,5,118.999643055
