,PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,VEHICLE_ID,CRASH_DATE,SEAT_NO,CITY,STATE,ZIPCODE,SEX,AGE,DRIVERS_LICENSE_STATE,DRIVERS_LICENSE_CLASS,SAFETY_EQUIPMENT,AIRBAG_DEPLOYED,EJECTION,INJURY_CLASSIFICATION,HOSPITAL,EMS_AGENCY,EMS_RUN_NO,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,PEDPEDAL_ACTION,PEDPEDAL_VISIBILITY,PEDPEDAL_LOCATION,BAC_RESULT,BAC_RESULT VALUE,CELL_PHONE_USE
12,O848601,DRIVER,f25f09798b51603bde602ded37fea826fc8b7f962fc3b0b5ba1cbf87e663adb59f730ee54aa34cdbc1204c844b1b1f79b8da30c55772043c8536fa0466c17f6c,805348,02/23/2020 06:15:00 PM,,CHICAGO,IL,60625.0,F,34.0,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
13,O877654,DRIVER,e9146986f4b0884d00ff3a54da5249263b4b36c15d01ce12dc5afc1deb13df4afa6396dd7581d1953d87f645ff430eb981fd1be4ee4554d50935fbe2af0a7c4a,832624,04/30/2020 03:05:00 PM,,CHICAGO,IL,60620.0,M,53.0,IL,B,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,REFUSED,,,UNKNOWN,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,
14,O879085,DRIVER,f15ccbd94a8e29ce8424882ce93061d4e1d0deb214acfe813d17f0b8e98db1b48fe2cb88a73db9d76c957cc5d13128d40f67e2a88c13c6494053a10f44b42c0f,833984,05/03/2020 10:30:00 PM,,CALUMENT CITY,,,M,65.0,IL,D,USAGE UNKNOWN,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,
15,O879114,DRIVER,70b069a5e0b3449d30fda1f551bccf8418b599b2485f9bd163d5cf535443096c550b4394aa1ae9ae0a8da2d14548750eeeed0f879f7319c22053bce8bde23776,834009,05/03/2020 10:50:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,DISREGARDED CONTROL DEVICES,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
16,O879679,DRIVER,49336aaca932f7935c361c892d31e01360a08133079e3a67fc0409849d2099b86ec688f2d7a92be95d57fc83bd8a7c5f8768d8a264cce09a83d9c1ad94c71ff0,834553,05/05/2020 12:20:00 PM,,WESTCHESTER,IL,60154.0,M,26.0,IL,,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,IMPROPER BACKING,WINDSHIELD (WATER/ICE),NORMAL,,,,TEST NOT OFFERED,,
17,O879680,DRIVER,49336aaca932f7935c361c892d31e01360a08133079e3a67fc0409849d2099b86ec688f2d7a92be95d57fc83bd8a7c5f8768d8a264cce09a83d9c1ad94c71ff0,834560,05/05/2020 12:20:00 PM,,CHICAGO,IL,60641.0,F,64.0,IL,D,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
18,O879685,DRIVER,cb7e25c6e63094307e5b999a8a5ec6f781a54781aeaef31083fbb02faf74d5cc9f065bc4e06dd2cb9d7a848696b5684333ed4eba395fa0751d97270e5effbc97,834563,05/05/2020 11:35:00 AM,,MELROSE PARK,IL,60164.0,M,33.0,IL,D,USAGE UNKNOWN,"DEPLOYED, COMBINATION",NONE,NO INDICATION OF INJURY,REFUSED,,,UNKNOWN,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,
19,O880033,DRIVER,2bdb105a834f9917ee9be1937302d775525192c91e7398a3c328a6cb2df452c9bd195ac971198d90017dbd630723f3baba99af3ef35feb1e466f9855d664bb13,834906,05/06/2020 12:53:00 AM,,CARBONDALE,IL,62901.0,M,22.0,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,NOT OBSCURED,UNKNOWN,,,,TEST NOT OFFERED,,
20,O880096,DRIVER,8f023e80247cc6a21c48af0a66c4c5a22ee82ac2c6e7a9b5cf6b6e3a1a076e550009e7f1bfc8e3dd785c86780f4dae19dbe03482195108789ecea634b05458fe,834965,05/06/2020 10:15:00 AM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
21,O10112,DRIVER,2cbf41a7af247bcddf1bf9c4f293d2bb73838d8f634ac35db61851783c7eadc0ecac2de8dca6e6270ac380bfe755f58274b2a6ec1363dc90232204d9370fd342,9670,10/29/2015 06:30:00 AM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,IMPROPER BACKING,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
22,O10114,DRIVER,6361cc7c85904c91df0bfd55f141e5e8785983cd4996fad7b05fd882b7d63ff7225175b036054b125725149dbaceeeff59279c1d8ec7bbfb4e3f7eadf296dbad,9671,11/01/2015 05:30:00 PM,,,,,X,,XX,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
23,O10130,DRIVER,7fad98278b24b6bdc9eeb1e6652986893994e3e9296ceb1863be29e7de85e77251118e905f99f5818a21bd69ecf85a9a3e590931471d289ac244f0c80cfee7f5,9689,10/30/2015 04:45:00 AM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
24,O10134,DRIVER,cde8a9b84b0dfd2a2a0182aa08b080edae73604dc7a447a12143c246e30cdadae6a9feffb13fb720adca471d7bf60aa1f5cbd078a84472b33349d94ad6035316,9693,10/28/2015 09:00:00 AM,,CICERO,IL,60804.0,X,,XX,,NONE PRESENT,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,NONE,NOT OBSCURED,UNKNOWN,,,,TEST NOT OFFERED,,
25,O10151,DRIVER,c182528a9237790a2ebcf42647bd07451248dcba072ca922e9d67a3024ea8431f3e81609514189228591564c36f76423ff8b73adbfc761a8b14d2a047c592060,9709,11/01/2015 04:00:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,IMPROPER BACKING,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
26,O10153,DRIVER,2659c4a1941557817b6121590ff878bd3a5777c19c6bb5cf4454db56668feaaa100fafbda2370f7a01b71aea5ad644c4feae1be6f6053bf96e767fa9b40cdc7f,9712,11/01/2015 09:20:00 PM,,,,,X,,XX,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,TOO FAST FOR CONDITIONS,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
27,O10158,DRIVER,16fe175441c68656f4a3fcd328bdbc15310d4e6b3cf385f861def5cf92471140d3e2c5e4c9f129c7acf472987df3d372a72379b50963cad46ad715cb7eab52e0,9715,11/02/2015 07:41:00 AM,,,,,X,,XX,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
28,O10166,DRIVER,ca17b7b4d5087280a11286243a07349be6ef22ffc799c5af9454773e2a1306b0ea6d041d8a51907b4acb4f42229493db317313e5ac708bafc37a7ae88b9ef282,9725,10/30/2015 06:00:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,OTHER,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
29,O10170,DRIVER,1c2e4109f853540ce3c0b9dd87fe901cd50d419a05609685dda74f7df3917bd8f4c14d077f0164e5dd5f6205b05a9213146676d7fdb3555a47389d7b11586c5e,9727,11/02/2015 01:30:00 AM,,,,,X,,XX,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
30,O10186,DRIVER,7e4c9dd51c87f055dc27a33ec501326d300b268d6a69a52e0b5a0e9ff85c97606e42a4d1ee812eb1fb92dadb223dc12e564c4ffa158d1565606acda195758b29,9743,10/30/2015 12:00:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,DNA,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
31,O10200,DRIVER,80fd3852c1ce2b8fc6f6cb69dc267dab158aa7ac8cbb4af3acbad58d0fb435bdb4f4ee7a36ae15961b15591f2e3adae0002a64056232ebe60a31424fe05c8329,9759,11/02/2015 10:00:00 AM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,OTHER,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
32,O10202,DRIVER,7a5636603e1ebdb7dc9f9e49a159f7dbf167efb7c3b207188e84bb2c25193110bfb8bd3e43602fef3038fb62e8d7ecb0e5e5478b9e4d79edea57dd2f735693f0,9761,11/01/2015 08:00:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,FOLLOWED TOO CLOSELY,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
33,O10216,DRIVER,7e73e4e898fb004277e3dc73f76851a937c1974bf77bd8d691b1805edf737c7711cdb5c290d9999aa6d8827692ab2de7c9704586f368e52503bb48313b68a113,9778,11/02/2015 12:30:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
34,O10222,DRIVER,6ef389ac337b4d2139a5aec179746525832ca42b60a47b36d3edbdf475e65cc866678569286c6108cc16337d5ab7bf4e4ae964c740288e3f6b6af2347017a3e0,9781,11/02/2015 12:45:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,IMPROPER LANE CHANGE,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
35,O10226,DRIVER,b6f1e9522ba107bd33aaf750f405e31e8c4dbb3fc60e99b01b5cf986bbdb8c297aa2494f829b89d5ab887969a105832bbb5d7cd5b60611c71427860714ae62b7,9785,11/01/2015 04:00:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,IMPROPER PASSING,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
36,O848627,DRIVER,30ee5e5d0a838eada30d78047dbf3c05e9e1118c0e301329ad598815d4dc5af1fe0b57996bc158ac3b03b35ccf023f60baae88cd6bb98b8da3683adc24818747,805356,02/23/2020 06:15:00 PM,,LONG GROVE,IL,60047.0,F,70.0,IL,D,USAGE UNKNOWN,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
37,O848628,DRIVER,0471d392a958a0fabaed931ee563b8228cedce40c426ba32c8a7c099dcf396a575ce1e71ad8a22fdf2f888bbba2b5dc99dd4c2f49b6b047ac8c716b37dd3f90f,805359,02/23/2020 06:22:00 PM,,CHICAGO,IL,60612.0,F,51.0,IL,D,USAGE UNKNOWN,"DEPLOYED, SIDE",NONE,NO INDICATION OF INJURY,,,,UNKNOWN,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
38,O848629,DRIVER,0471d392a958a0fabaed931ee563b8228cedce40c426ba32c8a7c099dcf396a575ce1e71ad8a22fdf2f888bbba2b5dc99dd4c2f49b6b047ac8c716b37dd3f90f,805363,02/23/2020 06:22:00 PM,,CHICAGO,IL,60649.0,F,25.0,IL,D,USAGE UNKNOWN,DID NOT DEPLOY,NONE,"REPORTED, NOT EVIDENT",,,,UNKNOWN,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
39,O848632,DRIVER,cfcba2d95759c585d01df85e9f8408247e30090094f500e7793b4954803f0037b2f20e664386f743470b8dd9ed18fc5e3051be20daaf6fdceb82bffe269f4640,805362,02/23/2020 06:22:00 PM,,CHICAGO,IL,60609.0,M,22.0,IL,D,USAGE UNKNOWN,"DEPLOYED, FRONT",NONE,NO INDICATION OF INJURY,,,,IMPROPER LANE CHANGE,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,
40,O880165,DRIVER,343f56c14e824e3e10b59cb9c9f15811fd417f5ea2492deacabd186b12a9f41567cd0625c178e4dab25d171955e536ddd45c2306629984bb51963925ecceb265,835308,05/02/2020 11:00:00 AM,,LAGRANGE,IL,60525.0,M,61.0,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
41,O880119,DRIVER,25216cdcf25041b5a4f41ca0bbdc06132bbe53acc8d8966cd061ca951cd971b4dcc963218484ebe5bbc8f8fcd71a8bfcf81d92efb30261c0c168ef54f0366cc6,834994,05/06/2020 10:30:00 AM,,,,,M,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,IMPROPER BACKING,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
42,O10228,DRIVER,645cb34122ed3a592515afa45c16749ca837d30dcd849d792ec6b6ebda5cff176c7fe1307d96fba46e84a507ee3a2e7e878c5971b92a5703fbe12399dd82b631,9786,11/02/2015 12:15:00 PM,,,,,X,,XX,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
43,O102305,DRIVER,c4cfa74573aa2a8e4c7d72dd8fc2274882129defce5db7e4c5e3d3d3bc53b85032caa56c2ac1a5149d490a8bfe42e9a02c16aed0582ce1d181bf18866a0baeec,99551,08/18/2016 06:25:00 PM,,,,,X,,,9,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,FAILED TO YIELD,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
44,O1304796,DRIVER,bca52a367d2f053f3a338c9199261b11b245fb00db3b9ece86b6af6cf7a955c835dc1b8d69f640c093b81a3ee5834826c9fac04c5fdfabc623d010e2cb761425,1239150,03/25/2022 05:10:00 AM,,CHICAGO,IL,60641.0,M,28.0,IL,D,SAFETY BELT USED,"DEPLOYED, COMBINATION",NONE,NO INDICATION OF INJURY,,,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
45,O1304797,DRIVER,bca52a367d2f053f3a338c9199261b11b245fb00db3b9ece86b6af6cf7a955c835dc1b8d69f640c093b81a3ee5834826c9fac04c5fdfabc623d010e2cb761425,1239154,03/25/2022 05:10:00 AM,,CHICAGO,IL,60651.0,M,27.0,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
46,O1304798,DRIVER,91a50c583a041e524a0807626ebcc57cc302a97270d1608b828361b00dd986389e86a266b4b5bb2fd11f29804259f97b1c7896e98a40573d1e9bbdd0c02fff2c,1239149,03/25/2022 04:45:00 AM,,,,,X,,,,USAGE UNKNOWN,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,FAILED TO YIELD,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
47,O1304802,DRIVER,ad540890753eea75c569779c5b35c5005e5f716aa923ab2d33b63e506544ee9f4ac771b6c14dcfad378ab6f71e0d985d8832e32a9a168e5d5aa94e8dfdba166a,1239156,03/25/2022 04:54:00 AM,,SKOKIE,IL,60076.0,F,29.0,IL,D,SAFETY BELT USED,"DEPLOYED, COMBINATION",NONE,NO INDICATION OF INJURY,,,,OTHER,UNKNOWN,IMPAIRED - DRUGS,,,,TEST NOT OFFERED,,
48,O10232,DRIVER,28c23b0c9f207cf592263bc039773137bb7f380494ebfe168f32408c6d44950b5974d6ffa2734ecbb4b07f990e825c3be08f6922d6dae8edbb98f812f8294512,9790,11/02/2015 12:15:00 PM,,,,,X,,XX,,USAGE UNKNOWN,NOT APPLICABLE,UNKNOWN,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
49,O10265,DRIVER,7c86edb203d1ef23b01a095d13db7a2026ee402a0561018e2036ccc5cc64150fd0293f5985e385dea768a84d477ca1ae7e2b53bcbf3e01fe9b17adcd5fa04c11,9820,11/02/2015 01:00:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
