,the_geom,Group_Id,WorksiteNa,Address,Latitude,Longitude,City,Origin_Des,EmployerID,WorksiteID
21,POINT (-122.11070299999994 47.56520100000006),846,Fred Hutch - Fairview Ave N Seattle,"4455 173rd Ave SE, Bellevue, WA 98006, USA",47.565201,-122.110703,Bellevue,Origin,6130.0,2898.0
22,POINT (-122.31868929999996 47.63781850000004),1032,Microsoft - Bldg 37,"2018 Federal Ave E, Seattle, WA 98102, USA",47.6378185,-122.3186893,Seattle,Origin,1024.0,4303.0
23,POINT (-122.37009999999998 47.52247546000007),1081,Fred Hutch - Fairview Ave N Seattle,"9023 29th Ave SW, Seattle, WA 98126, USA",47.52247546,-122.3701,Seattle,Origin,6130.0,2898.0
24,POINT (-122.21096299999999 48.17592100000007),1262,Northwest Hospital - Out Patient,"19808 15th Ave NE, Arlington, WA 98223, USA",48.175921,-122.210963,Arlington,Origin,6013.0,2957.0
25,POINT (-122.46084469999994 47.451399200000026),1331,Boeing Delivery Ctr.,"17141 Vashon Hwy SW, Vashon, WA 98070, USA",47.4513992,-122.4608447,Vashon,Origin,2013.0,4057.0
26,POINT (-122.27804499999996 47.85879090000003),1506,Kaiser Permanente - Capitol Hill,"15415 35th Ave W, Lynnwood, WA 98087, USA",47.8587909,-122.278045,Lynnwood,Origin,6021.0,490.0
27,POINT (-122.30482789999996 47.317539500000066),1553,Microsoft - Main Campus,"Federal Way Transit Center, Federal Way, WA 98003, USA",47.3175395,-122.3048279,Federal Way,Origin,1024.0,1.0
28,POINT (-122.42781039999994 47.240739690000055),1594,Swedish - First Hill,"512 Puyallup Ave, Tacoma, WA 98421, USA",47.24073969,-122.4278104,Tacoma,Origin,6030.0,934.0
29,POINT (-122.25914759999995 47.85119590000005),1635,King Co - Adult Detention Center,"Unnamed Road, Lynnwood, WA 98087, USA",47.8511959,-122.2591476,Lynnwood,Origin,9761.0,556.0
30,POINT (-122.13501999999994 47.75173630000006),1664,Kaiser Permanente - Renton Campus Adams,"Hollywood Hills Equestrian Park, 15205 NE 172nd St, Woodinville, WA 98072, USA",47.7517363,-122.13502,Woodinville,Origin,6021.0,5280.0
31,POINT (-122.36855519999995 47.30459640000004),1713,King Co - Adult Detention Center,"2625 SW 332nd Pl, Federal Way, WA 98023, USA",47.3045964,-122.3685552,Federal Way,Origin,9761.0,556.0
32,POINT (-122.14192419999995 48.04783990000004),1743,Northwest Hospital,"5718 66th Ave NE, Marysville, WA 98270, USA",48.0478399,-122.1419242,Marysville,Origin,6013.0,700.0
33,POINT (-122.24357079999999 47.48935920000008),1754,Virginia Mason Hospital & Clinic,"7200 S 127th St, Seattle, WA 98178, USA",47.4893592,-122.2435708,Seattle,Origin,6040.0,1042.0
34,POINT (-122.06722359999998 48.00418600000006),1857,Northwest Hospital,"725 E Lakeshore Dr, Lake Stevens, WA 98258, USA",48.004186,-122.0672236,Lake Stevens,Origin,6013.0,700.0
35,POINT (-122.24073409999994 47.46020560000005),1906,Microsoft - RTC,"7301 Longacres Way, Tukwila, WA 98188, USA",47.4602056,-122.2407341,Tukwila,Origin,1024.0,3610.0
36,POINT (-122.02408929999996 47.69569930000006),1915,Microsoft - Bldg 83,"11004 236th Pl NE, Redmond, WA 98053, USA",47.6956993,-122.0240893,Redmond,Origin,1024.0,5025.0
37,POINT (-122.2377952 47.38413090000006),1938,King Co - Adult Detention Center,"401 4th Avenue North, Kent, WA 98032, USA",47.3841309,-122.2377952,Kent,Origin,9761.0,556.0
38,POINT (-122.21081559999999 47.49428830000005),1939,Boeing Everett ESRC,"600-704 Nishiwaki Ln, Renton, WA 98057, USA",47.4942883,-122.2108156,Renton,Origin,2013.0,4968.0
39,POINT (-122.35431759999994 47.82283080000008),1987,Virginia Mason Hospital & Clinic,"19412 89th Pl W, Edmonds, WA 98026, USA",47.8228308,-122.3543176,Edmonds,Origin,6040.0,1042.0
40,POINT (-122.26904199999996 47.792625900000075),2016,Swedish - Cherry Hill,"Brier Park, 2903 228th St SW, Brier, WA 98036, USA",47.7926259,-122.269042,Brier,Origin,6030.0,3599.0
41,POINT (-122.28559969999998 47.36978602000005),2018,Seattle Housing Authority - Queen Anne,"25943 38th Ave S, Kent, WA 98032, USA",47.36978602,-122.2855997,Kent,Origin,5551.0,4419.0
42,POINT (-122.06097179999995 47.79295980000006),2020,Alaska Airlines - The Hub,"22422 Echo Lake Rd, Snohomish, WA 98296, USA",47.7929598,-122.0609718,Snohomish,Origin,9432.0,5769.0
43,POINT (-122.31152629999997 47.53247790000006),2105,Boeing Everett Plant,"7755 E Marginal Way S, Seattle, WA 98108, USA",47.5324779,-122.3115263,Seattle,Origin,2013.0,62.0
44,POINT (-122.22119139999995 47.19926870000006),2125,Alaska Airlines Maintenance Hangar,"15606 63rd St Ct E, Sumner, WA 98390, USA",47.1992687,-122.2211914,Sumner,Origin,9432.0,2590.0
45,POINT (-122.03498609999997 47.64986220000003),2135,Fred Hutch - Fairview Ave N Seattle,"4518 228th Ave NE, Redmond, WA 98053, USA",47.6498622,-122.0349861,Redmond,Origin,6130.0,2898.0
46,POINT (-122.20204369999999 47.42332980000003),2163,Swedish - First Hill,"19848 104th Ave SE, Renton, WA 98055, USA",47.4233298,-122.2020437,Renton,Origin,6030.0,934.0
47,POINT (-122.01973499999997 47.60185400000006),2211,Microsoft - City Center,"778 239th Pl SE, Sammamish, WA 98074, USA",47.601854,-122.019735,Sammamish,Origin,1024.0,4246.0
48,POINT (-122.31400959999996 47.828647800000056),2212,Microsoft - Studio A,"18723 60th Ave W, Lynnwood, WA 98037, USA",47.8286478,-122.3140096,Lynnwood,Origin,1024.0,5179.0
49,POINT (-122.21081559999999 47.49428830000005),2264,Boeing Everett Plant,"600-704 Nishiwaki Ln, Renton, WA 98057, USA",47.4942883,-122.2108156,Renton,Origin,2013.0,62.0
50,POINT (-122.36103099999997 47.31505200000004),2267,Expedia - Group Way,"SW 320th St & 21ST Ave SW, Federal Way, WA 98023, USA",47.315052,-122.361031,Federal Way,Origin,10391.0,5503.0
51,POINT (-122.01853589999996 47.59074170000008),2276,Microsoft - Main Campus,"24014 SE 21st St, Sammamish, WA 98075, USA",47.5907417,-122.0185359,Sammamish,Origin,1024.0,1.0
52,POINT (-122.32055979999996 47.691437800000074),2428,Boeing Everett Plant,"8603 8th Ave NE, Seattle, WA 98115, USA",47.6914378,-122.3205598,Seattle,Origin,2013.0,62.0
53,POINT (-122.02320809999998 47.56994800000007),2467,Microsoft - Bldg 16,"23800 SE 41st St, Issaquah, WA 98029, USA",47.569948,-122.0232081,Issaquah,Origin,1024.0,4295.0
54,POINT (-122.29430149999996 47.88710000000003),2470,Northwest Hospital,"Harbour Pointe Blvd SW & Harbour Reach Dr, Mukilteo, WA 98275, USA",47.8871,-122.2943015,Mukilteo,Origin,6013.0,700.0
55,POINT (-122.05717749999997 47.59330980000004),2512,Microsoft - Bldg 115,"1807 212th Ave SE, Sammamish, WA 98075, USA",47.5933098,-122.0571775,Sammamish,Origin,1024.0,4768.0
56,POINT (-121.99164819999999 47.554126600000075),2547,Microsoft - City Center,"2568 33rd Ave NE, Issaquah, WA 98029, USA",47.5541266,-121.9916482,Issaquah,Origin,1024.0,4246.0
57,POINT (-122.30430649999994 47.31807880000008),2563,Transportation Security Administration - Intl Blvd SeaTac,"31635 23rd Ave S, Federal Way, WA 98003, USA",47.3180788,-122.3043065,Federal Way,Origin,5021.0,3581.0
58,POINT (-122.37003599999997 47.02008900000004),2573,K2 Sports - Des Moines,"25924 Mountain Hwy E, Spanaway, WA 98387, USA",47.020089,-122.370036,Spanaway,Origin,3032.0,5072.0
59,POINT (-121.88149599999997 47.51855400000005),2592,Costco - 999 Lake Dr,"Jeanne Hansen Community Park, 34226 SE Jacobia St, Snoqualmie, WA 98065, USA",47.518554,-121.881496,Snoqualmie,Origin,4424.0,1100.0
60,POINT (-122.31092529999995 47.69742670000005),2607,Expedia - Group Way,"1525 NE 95th St, Seattle, WA 98115, USA",47.6974267,-122.3109253,Seattle,Origin,10391.0,5503.0
61,POINT (-122.00037059999994 47.569759600000054),2609,Microsoft - City Center,"4202 255th Pl SE, Issaquah, WA 98029, USA",47.5697596,-122.0003706,Issaquah,Origin,1024.0,4246.0
62,POINT (-122.18480749999998 47.33763800000003),2634,Costco - 999 Lake Dr,"29513 118th Ave SE, Auburn, WA 98092, USA",47.337638,-122.1848075,Auburn,Origin,4424.0,1100.0
63,POINT (-122.38762079999998 47.58806240000007),2652,SEATTLE CANCER CARE ALLIANCE,"44th Avenue Southwest & Southwest Massachusetts Street, Seattle, WA 98116, USA",47.5880624,-122.3876208,Seattle,Origin,10252.0,3085.0
64,POINT (-122.01464229999999 47.616981200000055),2693,Microsoft - Bldg 40,"24369 NE 8th St, Sammamish, WA 98074, USA",47.6169812,-122.0146423,Sammamish,Origin,1024.0,3819.0
65,POINT (-122.34016349999996 47.49003540000007),2733,University of Washington - 814 Northlake,"425 SW 126th St, Seattle, WA 98146, USA",47.4900354,-122.3401635,Seattle,Origin,7001.0,3625.0
66,POINT (-121.93792289999999 47.23591140000008),2756,King County Public Works,"40704 302nd Ave SE, Enumclaw, WA 98022, USA",47.2359114,-121.9379229,Enumclaw,Origin,9761.0,570.0
67,POINT (-122.01821089999999 47.362581000000034),2774,City of Bellevue - Resource Management,"26520 Maple Valley Black Diamond Rd SE, Maple Valley, WA 98038, USA",47.362581,-122.0182109,Maple Valley,Origin,5014.0,3985.0
68,POINT (-122.22514099999995 47.88292000000007),2778,Seattle Children's Hospital- Main Campus,"505 128th Street Southeast, Everett, WA 98208, USA",47.88292,-122.225141,Everett,Origin,6133.0,315.0
69,POINT (-122.01382259999997 47.59743600000007),2781,Microsoft - 121,"1241 244th Pl SE, Sammamish, WA 98075, USA",47.597436,-122.0138226,Sammamish,Origin,1024.0,5384.0
70,POINT (-122.19788219999998 47.49168220000007),2787,PACCAR - HQ,"1601 N 8th St, Renton, WA 98057, USA",47.4916822,-122.1978822,Renton,Origin,3024.0,111.0
71,POINT (-122.16876979999995 47.491151400000035),2800,Qualitel Corporation,"512 Queen Pl NE, Renton, WA 98056, USA",47.4911514,-122.1687698,Renton,Origin,10925.0,4030.0
72,POINT (-122.29176249999995 47.42202740000005),2803,Qualitel Corporation,"20020 32nd Ave S, SeaTac, WA 98198, USA",47.4220274,-122.2917625,SeaTac,Origin,10925.0,4030.0
73,POINT (-122.34844149999998 47.77337230000006),2829,University of Washington - UW Tower,"19904 Linden Ave N, Shoreline, WA 98133, USA",47.7733723,-122.3484415,Shoreline,Origin,7001.0,4188.0
74,POINT (-122.03068669999999 47.15528460000007),2834,City of Renton - Public Works,"536 Mountain View Ave, Buckley, WA 98321, USA",47.1552846,-122.0306867,Buckley,Origin,5035.0,3730.0
75,POINT (-122.15273119999995 47.58049440000008),2874,Swedish - First Hill,"SE Eastgate Way & 140th Ave SE, 14200 Eastgate P&R Acrd, Bellevue, WA 98007, USA",47.5804944,-122.1527312,Bellevue,Origin,6030.0,934.0
76,POINT (-122.01940699999994 47.54491000000007),2936,Fred Hutch - Fairview Ave N Seattle,"1755 Highlands Dr NE, Issaquah, WA 98029, USA",47.54491,-122.019407,Issaquah,Origin,6130.0,2898.0
77,POINT (-122.17396889999998 47.46597920000005),2940,Crane Aerospace & Electronics,"3318 SE 17th St, Renton, WA 98058, USA",47.4659792,-122.1739689,Renton,Origin,3014.0,4835.0
78,POINT (-122.18581659999995 47.661009800000045),2996,Technical Glass Products,"5837 NE 60th St, Kirkland, WA 98033, USA",47.6610098,-122.1858166,Kirkland,Origin,11001.0,4133.0
79,POINT (-122.28078899999997 46.90157300000004),3096,City of Renton - Public Works,"11423 114th Ave E, Eatonville, WA 98328, USA",46.901573,-122.280789,Eatonville,Origin,5035.0,3730.0
80,POINT (-122.0164782 47.364000100000055),3135,Costco - 999 Lake Dr,"26424 242nd Ave SE, Maple Valley, WA 98038, USA",47.3640001,-122.0164782,Maple Valley,Origin,4424.0,1100.0
81,POINT (-122.20935099999997 47.414896000000056),3136,Swedish - First Hill,"9739 S 208th St, Kent, WA 98031, USA",47.414896,-122.209351,Kent,Origin,6030.0,934.0
82,POINT (-122.30482789999996 47.317539500000066),3151,Boeing Everett ESRC,"Federal Way Transit Center, Federal Way, WA 98003, USA",47.3175395,-122.3048279,Federal Way,Origin,2013.0,4968.0
83,POINT (-122.32584499999996 47.70316500000007),3172,Swedish - First Hill,"3rd Ave NE & NE 103rd St, Seattle, 98125, USA",47.703165,-122.325845,Seattle,Origin,6030.0,934.0
84,POINT (-122.375227 47.552104400000076),3209,Fred Hutch - Fairview Ave N Seattle,"5459 34th Ave SW, Seattle, WA 98126, USA",47.5521044,-122.375227,Seattle,Origin,6130.0,2898.0
85,POINT (-122.16429549999998 47.49218560000003),3229,Esterline/Korry Electronics - Beverly Park Rd Everett,"Union Ave NE & NE 6th St, Renton, WA, USA",47.4921856,-122.1642955,Renton,Origin,3021.0,4273.0
86,POINT (-122.05479069999996 48.079711100000054),3258,Northwest Hospital,"9210 131st Ave NE, Lake Stevens, WA 98258, USA",48.0797111,-122.0547907,Lake Stevens,Origin,6013.0,700.0
87,POINT (-122.22579719999999 47.495400440000026),3272,Esterline/Korry Electronics - Beverly Park Rd Everett,"8492 S 120th St, Seattle, WA 98178, USA",47.49540044,-122.2257972,Seattle,Origin,3021.0,4273.0
88,POINT (-122.3845078 47.67787560000005),3295,PATH - Westlake,"2200 NW 67th St, Seattle, WA 98117, USA",47.6778756,-122.3845078,Seattle,Origin,10527.0,4314.0
89,POINT (-122.28227399999997 47.101667500000076),3296,City of Issaquah,"17002 110th Ave Ct E, Puyallup, WA 98374, USA",47.1016675,-122.282274,Puyallup,Origin,5024.0,328.0
90,POINT (-121.9501469 47.35585460000004),3298,City of Issaquah - Public Works,"27405 Retreat-Kanaskat Rd, Ravensdale, WA 98051, USA",47.3558546,-121.9501469,Ravensdale,Origin,5024.0,3986.0
91,POINT (-122.02184199999999 47.60192200000006),3302,T-Mobile - Five Newport,"23901 SE 7th Ln, Sammamish, WA 98074, USA",47.601922,-122.021842,Sammamish,Origin,10153.0,3112.0
92,POINT (-122.24073409999994 47.46020560000005),3308,Microsoft - Willows,"7301 Longacres Way, Tukwila, WA 98188, USA",47.4602056,-122.2407341,Tukwila,Origin,1024.0,2811.0
93,POINT (-122.16505309999997 47.39037550000006),3327,Seattle Housing Authority-Operations,"13202 SE 236th Pl, Kent, WA 98042, USA",47.3903755,-122.1650531,Kent,Origin,5551.0,4333.0
94,POINT (-122.29253099999994 47.56606800000003),3347,University of Washington - 814 Northlake,"4102 Renton Ave S, Seattle, WA 98108, USA",47.566068,-122.292531,Seattle,Origin,7001.0,3625.0
95,POINT (-122.06540709999996 47.638941300000056),3364,Microsoft - Bldg 32,"20522 NE 32nd Ct, Sammamish, WA 98074, USA",47.6389413,-122.0654071,Sammamish,Origin,1024.0,4384.0
96,POINT (-122.23241339999998 47.38335274000008),3369,Swedish - First Hill,"301 Railroad Ave N, Kent, 98032, USA",47.38335274,-122.2324134,Kent,Origin,6030.0,934.0
97,POINT (-122.15735639999997 47.55182000000008),3389,Microsoft - Bldg 17,"5725 137th Ave SE, Bellevue, WA 98006, USA",47.55182,-122.1573564,Bellevue,Origin,1024.0,4304.0
98,POINT (-122.18605439999999 47.206691500000034),3398,Seattle City Light - 4th Ave S Seattle,"5601 183rd Ave E, Bonney Lake, WA 98391, USA",47.2066915,-122.1860544,Bonney Lake,Origin,5171.0,2356.0
99,POINT (-122.20739409999999 47.49044710000004),3405,Boeing Everett ESRC,"419 Logan Ave N, Renton, WA 98057, USA",47.4904471,-122.2073941,Renton,Origin,2013.0,4968.0
