,Month,Borough,Equipment Type,Equipment Code,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
11,01/01/2015,Manhattan,Escalator,ES610X,0,0,0,0,,1.0,124.0,124.0,1.0,124.0,124,1.0,744.0,744.0,GRANDCENTRAL-42ST-LEX-4/5/6,402,"Grand Central-42 St (S,4,5,6,7)",610
12,01/01/2015,Manhattan,Escalator,ES405,4,2,2,0,303.0,1.0,123.5,123.5,0.967741935483871,120.0,124,0.98109105731561,722.0666666666667,735.9833333333333,LEXINGTONAV/63ST-63S-F/Q,223,Lexington Av/63 St - Station,223
13,01/01/2015,Manhattan,Elevator,EL235,3,2,1,0,70.0,0.990322580645161,122.8,124.0,1.0,124.0,124,0.98698476702509,734.3166666666666,744.0,47-50STS-ROCKEFELLERCTR-6AV-B/D/F/M,225,47-50 Sts-Rockefeller Ctr - Station,225
14,01/01/2015,Manhattan,Escalator,ES341,7,3,4,0,131.0,1.0,124.0,124.0,0.964112903225806,119.55,124,0.969802867383512,721.5333333333333,744.0,BOWLINGGREEN-LEX-4/5,414,Bowling Green - Station,414
15,01/01/2015,Queens,Elevator,EL432,0,0,0,0,114.0,1.0,124.0,124.0,1.0,124.0,124,1.0,744.0,744.0,JAMAICA-179ST-QBL-F,254,Jamaica-179 St - Station,254
16,01/01/2015,Manhattan,Elevator,EL105,4,4,0,0,636.0,1.0,124.0,124.0,1.0,124.0,124,0.973879928315412,724.5666666666666,744.0,191ST-BWY7-1,300,191 St - Station,300
17,01/01/2015,Manhattan,Elevator,EL239,4,3,1,1,134.0,1.0,124.0,124.0,0.981182795698925,121.66666666666669,124,0.981339605734767,730.1166666666667,744.0,72ST-BWY7-1/2/3,313,72 St - Station,313
18,01/01/2015,Manhattan,Escalator,ES342,4,2,2,0,118.0,1.0,124.0,124.0,0.973118279569892,120.66666666666666,124,0.968682795698925,720.7,744.0,BOWLINGGREEN-LEX-4/5,414,Bowling Green - Station,414
19,01/01/2015,Bronx,Elevator,EL196,4,0,4,0,2.0,0.98991935483871,122.75,124.0,0.984677419354839,122.1,124,0.991465053763441,737.65,744.0,HUNTSPOINTAV-PEL-6,371,Hunts Point Av - Station,371
20,01/01/2015,Queens,Elevator,EL446,0,0,0,0,43.0,1.0,124.0,124.0,1.0,124.0,124,1.0,744.0,744.0,COURTSQ-FLS-7,462,"Court Sq (E,G,M,7)",606
21,01/01/2015,Brooklyn,Elevator,EL343,6,1,5,0,108.0,0.977822580645161,121.25,124.0,0.916666666666667,113.66666666666669,124,0.960282258064516,714.45,744.0,EUCLIDAV-8AV-A/C,188,Euclid Av - Station,188
22,01/01/2015,Manhattan,Elevator,EL206,5,3,2,0,293.0,0.945295698924731,117.21666666666668,124.0,1.0,124.0,124,0.964896953405018,717.8833333333333,744.0,GRANDCENTRAL-42ST-LEX-4/5/6,402,"Grand Central-42 St (S,4,5,6,7)",610
23,01/01/2015,Manhattan,Escalator,ES363X,0,0,0,0,,0.935483870967742,116.0,124.0,0.935483870967742,116.0,124,0.93546146953405,695.9833333333333,744.0,FULTONST-8AV-A/C,172,"Fulton St (A,C,J,Z,2,3,4,5)",628
24,01/01/2015,Queens,Elevator,EL428,2,1,1,0,107.0,1.0,124.0,124.0,0.999731182795699,123.96666666666668,124,0.986066308243728,733.6333333333333,744.0,QUEENSPLAZA-QBL-E/M/R,273,Queens Plaza - Station,273
25,01/01/2015,Brooklyn,Escalator,ES322,10,6,4,0,200.0,0.907930107526882,112.58333333333334,124.0,0.903225806451613,112.0,124,0.882773297491039,656.7833333333333,744.0,HIGHST-8AV-A/C,173,High St - Station,173
26,01/01/2015,Bronx,Elevator,EL185,2,1,1,0,97.0,1.0,124.0,124.0,0.975,120.9,124,0.989650537634409,736.3,744.0,231ST-BWY7-1,295,231 St - Station,295
27,01/01/2015,Queens,Elevator,EL423,6,2,4,0,108.0,1.0,124.0,124.0,0.965456989247312,119.71666666666668,124,0.973969534050179,724.6333333333333,744.0,74ST-BROADWAY-FLS-7,454,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616
28,01/01/2015,Manhattan,Elevator,EL232,7,5,2,1,102.0,0.972983870967742,120.65,124.0,1.0,124.0,124,0.967898745519713,720.1166666666667,744.0,TIMESSQ-42ST-7AV-1/2/3,317,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
29,01/01/2015,Manhattan,Elevator,EL403,4,4,0,0,302.0,1.0,124.0,124.0,1.0,124.0,124,0.979547491039426,728.7833333333333,744.0,ROOSEVELTISLAND-63S-F,222,Roosevelt Island - Station,222
30,01/01/2015,Brooklyn,Escalator,ES321,4,2,2,0,200.0,1.0,124.0,124.0,1.0,124.0,124,0.987522401433692,734.7166666666667,744.0,HIGHST-8AV-A/C,173,High St - Station,173
31,01/01/2015,Manhattan,Elevator,EL278,1,1,0,0,63.0,1.0,124.0,124.0,1.0,124.0,124,0.996281362007168,741.2333333333333,744.0,59ST-COLUMBUSCIRCLE-8AV-A/B/C/D,161,"59 St-Columbus Circle (A,B,C,D,1)",614
32,01/01/2015,Queens,Elevator,EL436,2,1,1,0,78.0,1.0,124.0,124.0,0.969758064516129,120.25,124,0.991173835125448,737.4333333333333,744.0,KEWGARDENS-UNIONTPKE-QBL-E/F,259,Kew Gardens-Union Tpke - Station,259
33,01/01/2015,Manhattan,Elevator,EL328,8,2,6,0,28.0,0.978763440860215,121.36666666666667,124.0,0.985752688172043,122.23333333333336,124,0.96989247311828,721.6,744.0,BWAY-LAFAYETTEST-6AV-B/D/F/M,230,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",619
34,01/01/2015,Manhattan,Escalator,ES339,4,2,2,0,130.0,0.994220430107527,123.28333333333336,124.0,0.967741935483871,120.0,124,0.975112007168459,725.4833333333333,744.0,BOWLINGGREEN-LEX-4/5,414,Bowling Green - Station,414
35,01/01/2015,Manhattan,Elevator,EL289X,0,0,0,0,,1.0,124.0,124.0,1.0,124.0,124,1.0,744.0,744.0,42ST/PORTAUTHORITY-BUSTERMINAL-8AV-A/C/E,163,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
36,01/01/2015,Manhattan,Escalator,ES608X,0,0,0,0,,0.96760752688172,119.98333333333336,124.0,0.908602150537634,112.66666666666669,124,0.928763440860215,691.0,744.0,GRANDCENTRAL-42ST-LEX-S,469,"Grand Central-42 St (S,4,5,6,7)",610
37,01/01/2015,Manhattan,Escalator,ES234,10,4,6,0,84.0,0.980779569892473,121.61666666666667,124.0,1.0,124.0,124,0.980533154121864,729.5166666666667,744.0,34ST-HERALDSQ-6AV-B/D/F,227,"34 St-Herald Sq (B,D,F,M,N,Q,R)",607
38,01/01/2015,Manhattan,Elevator,EL240,2,1,1,0,134.0,1.0,124.0,124.0,0.996505376344086,123.56666666666666,124,0.984296594982079,732.3166666666666,744.0,72ST-BWY7-1/2/3,313,72 St - Station,313
39,01/01/2015,Manhattan,Escalator,ES230,16,4,12,0,98.0,0.95497311827957,118.41666666666666,124.0,0.953897849462366,118.28333333333332,124,0.960931899641577,714.9333333333333,744.0,34ST-HERALDSQ-6AV-B/D/F,227,"34 St-Herald Sq (B,D,F,M,N,Q,R)",607
40,01/01/2015,Brooklyn,Elevator,EL321,6,5,1,0,198.0,0.971102150537634,120.41666666666669,124.0,1.0,124.0,124,0.964829749103943,717.8333333333333,744.0,CHURCHAV-NOS-2/5,356,Church Av - Station,356
41,01/01/2015,Manhattan,Elevator,EL202,6,2,4,0,306.0,1.0,124.0,124.0,0.953091397849462,118.18333333333334,124,0.960663082437276,714.7333333333333,744.0,51ST-LEX-6,401,"Lexington Av-53 St (E,M)/51 St (6)",612
42,01/01/2015,Bronx,Elevator,EL138,4,1,3,0,86.0,0.887365591397849,110.03333333333332,124.0,0.870967741935484,108.0,124,0.868682795698925,646.3,744.0,PELHAMPKWY-LWP-2/5,424,Pelham Pkwy - Station,424
43,01/01/2015,Manhattan,Escalator,ES312,2,1,1,0,18.0,1.0,124.0,124.0,0.99502688172043,123.38333333333334,124,0.994377240143369,739.8166666666666,744.0,WHITEHALLST-SOUTHFERRY-BWY-R,23,South Ferry (1)/Whitehall St (R),635
44,01/01/2015,Manhattan,Elevator,EL730,0,0,0,0,70.0,,0.0,0.0,,0.0,0,,0.0,0.0,SOUTHFERRY-7AV-1,330,South Ferry (1)/Whitehall St (R),635
45,01/01/2015,Queens,Escalator,ES437,11,5,6,0,313.0,0.967741935483871,120.0,124.0,0.940591397849462,116.63333333333334,124,0.935775089605735,696.2166666666667,744.0,SUTPHINBLVD-ARCHERAV-JFKAIRPORT-QBL-E/J/Z,279,Sutphin Blvd-Archer Av-JFK Airport - Station,279
46,01/01/2015,Manhattan,Elevator,EL722,3,2,1,0,13.0,1.0,124.0,124.0,0.967741935483871,120.0,124,0.977620967741936,727.3499999999999,744.0,FULTONST-NAS-J/Z,106,"Fulton St (A,C,J,Z,2,3,4,5)",628
47,01/01/2015,Queens,Escalator,ES427,7,4,3,0,73.0,1.0,124.0,124.0,0.989784946236559,122.73333333333332,124,0.973566308243728,724.3333333333334,744.0,JAMAICAVANWYCK-QBL-E,280,Jamaica Van Wyck - Station,280
48,01/01/2015,Brooklyn,Escalator,ES310,14,4,10,0,151.0,0.999596774193548,123.95000000000002,124.0,0.954166666666667,118.31666666666666,124,0.940636200716846,699.8333333333333,744.0,ATLANTICAV-BARCLAYSCTR-BWY-B/Q,40,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
49,01/01/2015,Queens,Elevator,EL420,3,2,1,0,108.0,0.949865591397849,117.78333333333332,124.0,1.0,124.0,124,0.976456093189964,726.4833333333333,744.0,74ST-BROADWAY-FLS-7,454,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616
