,GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
51,R20,15,602,BMT,Broadway - Brighton,14 St-Union Sq,M,N Q R W,Subway,40.735736,-73.990568,Uptown,Downtown,1,1,1,,POINT (-73.990568 40.735736)
52,A51,184,621,IND,8th Av - Fulton St,Broadway Junction,Bk,A C,Subway,40.678334,-73.905316,Manhattan,Outbound,0,0,0,,POINT (-73.905316 40.678334)
53,614,372,372,IRT,Pelham,Longwood Av,Bx,6,Subway,40.816104,-73.896435,Northbound,Manhattan,0,0,0,,POINT (-73.896435 40.816104)
54,M06,111,111,BMT,Myrtle Av,Seneca Av,Q,M,Elevated,40.702762,-73.90774,Inbound,Middle Village,0,0,0,,POINT (-73.90774 40.702762)
55,L15,126,126,BMT,Canarsie,Jefferson St,Bk,L,Subway,40.706607,-73.922913,Manhattan,Outbound,0,0,0,,POINT (-73.922913 40.706607)
56,249,344,344,IRT,Eastern Pky,Kingston Av,Bk,3,Subway,40.669399,-73.942161,Manhattan,Outbound,0,0,0,,POINT (-73.942161 40.669399)
57,245,357,357,IRT,Nostrand,Beverly Rd,Bk,2 5,Subway,40.645098,-73.948959,Manhattan,Flatbush,0,0,0,,POINT (-73.948959 40.645098)
58,H01,196,196,IND,Rockaway,Aqueduct Racetrack,Q,A,At Grade,40.668234,-73.834058,Manhattan,Rockaways,1,1,1,,POINT (-73.834058 40.668234)
59,716,460,460,IRT,Flushing,33 St-Rawson St,Q,7,Elevated,40.744587,-73.930997,Outbound,Manhattan,0,0,0,,POINT (-73.930997 40.744587)
60,A20,158,158,IND,8th Av - Fulton St,86 St,M,B C,Subway,40.785868,-73.968916,Uptown,Downtown,0,0,0,,POINT (-73.968916 40.785868)
61,A57,189,189,IND,Liberty Av,Grant Av,Bk,A,Subway,40.677044,-73.86505,Manhattan,Queens,0,0,0,,POINT (-73.86505 40.677044)
62,R25,21,624,BMT,Broadway,Cortlandt St,M,R W,Subway,40.710668,-74.011029,Uptown,Downtown,1,1,1,,POINT (-74.011029 40.710668)
63,208,421,421,IRT,Lenox - White Plains Rd,Gun Hill Rd,Bx,2 5,Elevated,40.87785,-73.866256,Northbound,Manhattan,1,1,1,,POINT (-73.866256 40.87785)
64,D31,47,47,BMT,Broadway - Brighton,Newkirk Plaza,Bk,B Q,Open Cut,40.635082,-73.962793,Manhattan,Southbound,0,0,0,,POINT (-73.962793 40.635082)
65,J29,94,94,BMT,Jamaica,Halsey St,Bk,J,Elevated,40.68637,-73.916559,Outbound,Manhattan,0,0,0,,POINT (-73.916559 40.68637)
66,G28,284,284,IND,Crosstown,Nassau Av,Bk,G,Subway,40.724635,-73.951277,Queens,Southbound,0,0,0,,POINT (-73.951277 40.724635)
67,201,416,416,IRT,Lenox - White Plains Rd,Wakefield-241 St,Bx,2,Elevated,40.903125,-73.85062,Last Stop,Manhattan,0,0,0,,POINT (-73.85062 40.903125)
68,135,325,325,IRT,Broadway - 7Av,Canal St,M,1,Subway,40.722854,-74.006277,Uptown,Downtown,0,0,0,,POINT (-74.006277 40.722854)
69,A15,153,153,IND,8th Av - Fulton St,125 St,M,A B C D,Subway,40.811109,-73.952343,Uptown,Downtown,1,1,1,,POINT (-73.952343 40.811109)
70,D18,228,228,IND,6th Av - Culver,23 St,M,F M,Subway,40.742878,-73.992821,Uptown,Downtown,0,0,0,,POINT (-73.992821 40.742878)
71,G33,289,289,IND,Crosstown,Bedford-Nostrand Avs,Bk,G,Subway,40.689627,-73.953522,Queens,Southbound,0,0,0,,POINT (-73.953522 40.689627)
72,702,448,448,IRT,Flushing,Mets-Willets Point,Q,7,Elevated,40.754622,-73.845625,Outbound,Manhattan,0,0,0,,POINT (-73.845625 40.754622)
73,D43,58,58,BMT,Sea Beach / West End / Culver / Brighton,Coney Island-Stillwell Av,Bk,D F N Q,Viaduct,40.577422,-73.981233,Manhattan,Last Stop,1,1,1,,POINT (-73.981233 40.577422)
74,126,316,316,IRT,Broadway - 7Av,50 St,M,1,Subway,40.761728,-73.983849,Uptown,Downtown,0,0,0,,POINT (-73.983849 40.761728)
75,N10,79,79,BMT,Sea Beach,86 St,Bk,N,Open Cut,40.592721,-73.97823,Manhattan,Coney Island,0,0,0,,POINT (-73.97823 40.592721)
76,G08,261,261,IND,Queens Blvd,Forest Hills-71 Av,Q,E F M R,Subway,40.721691,-73.844521,Outbound,Manhattan,1,1,1,,POINT (-73.844521 40.721691)
77,R34,30,30,BMT,4th Av,Prospect Av,Bk,R,Subway,40.665414,-73.992872,Manhattan,Southbound,0,0,0,,POINT (-73.992872 40.665414)
78,D08,216,216,IND,Concourse,174-175 Sts,Bx,B D,Subway,40.8459,-73.910136,Northbound,Manhattan,0,0,0,,POINT (-73.910136 40.8459)
79,S31,501,501,SIR,Staten Island,St George,SI,SIR,Open Cut,40.643748,-74.073643,Last Stop,South Shore,1,1,1,,POINT (-74.073643 40.643748)
80,S14,518,518,SIR,Staten Island,Pleasant Plains,SI,SIR,Embankment,40.52241,-74.217847,Ferry,South Shore,0,0,0,,POINT (-74.217847 40.52241)
81,A30,165,165,IND,8th Av - Fulton St,23 St,M,C E,Subway,40.745906,-73.998041,Uptown,Downtown,0,0,0,,POINT (-73.998041 40.745906)
82,A46,179,179,IND,8th Av - Fulton St,Nostrand Av,Bk,A C,Subway,40.680438,-73.950426,Manhattan,Outbound,0,0,0,,POINT (-73.950426 40.680438)
83,502,443,443,IRT,Dyre Av,Baychester Av,Bx,5,Open Cut,40.878663,-73.838591,Eastchester,Manhattan,0,0,0,,POINT (-73.838591 40.878663)
84,131,321,321,IRT,Broadway - 7Av,18 St,M,1,Subway,40.74104,-73.997871,Uptown,Downtown,0,0,0,,POINT (-73.997871 40.74104)
85,618,376,376,IRT,Pelham,Brook Av,Bx,6,Subway,40.807566,-73.91924,Northbound,Manhattan,0,0,0,,POINT (-73.91924 40.807566)
86,D03,211,211,IND,Concourse,Bedford Park Blvd,Bx,B D,Subway,40.873244,-73.887138,Northbound,Manhattan,1,1,1,,POINT (-73.887138 40.873244)
87,F39,253,253,IND,6th Av - Culver,Neptune Av,Bk,F,Elevated,40.581011,-73.974574,Manhattan,Coney Island,0,0,0,,POINT (-73.974574 40.581011)
88,S21,511,511,SIR,Staten Island,Oakwood Heights,SI,SIR,Open Cut,40.56511,-74.12632,Ferry,South Shore,0,0,0,,POINT (-74.12632 40.56511)
89,M23,107,107,BMT,Jamaica,Broad St,M,J Z,Subway,40.706476,-74.011056,Brooklyn,Last Stop,0,0,0,,POINT (-74.011056 40.706476)
90,F22,238,238,IND,6th Av - Culver,Smith-9 Sts,Bk,F G,Viaduct,40.67358,-73.995959,Northbound,Southbound,0,0,0,,POINT (-73.995959 40.67358)
91,L11,122,122,BMT,Canarsie,Graham Av,Bk,L,Subway,40.714565,-73.944053,Manhattan,Outbound,0,0,0,,POINT (-73.944053 40.714565)
92,253,348,348,IRT,Eastern Pky,Rockaway Av,Bk,3,Elevated,40.662549,-73.908946,Manhattan,New Lots,0,0,0,,POINT (-73.908946 40.662549)
93,J17,85,85,BMT,Jamaica,75 St-Elderts Ln,Q,J Z,Elevated,40.691324,-73.867139,Jamaica,Manhattan,0,0,0,,POINT (-73.867139 40.691324)
94,241,353,353,IRT,Nostrand,President St-Medgar Evers College,Bk,2 5,Subway,40.667883,-73.950683,Manhattan,Flatbush,0,0,0,,POINT (-73.950683 40.667883)
95,S26,506,506,SIR,Staten Island,Old Town,SI,SIR,Embankment,40.596612,-74.087368,Ferry,South Shore,0,0,0,,POINT (-74.087368 40.596612)
96,A10,149,149,IND,8th Av - Fulton St,163 St-Amsterdam Av,M,C,Subway,40.836013,-73.939892,Uptown,Downtown,0,0,0,,POINT (-73.939892 40.836013)
97,626,397,397,IRT,Lexington Av,86 St,M,4 5 6,Subway,40.779492,-73.955589,Uptown,Downtown,2,1,0,Uptown local only,POINT (-73.955589 40.779492)
98,G07,280,280,IND,Queens - Archer,Jamaica-Van Wyck,Q,E,Subway,40.702566,-73.816859,Jamaica,Manhattan,1,1,1,,POINT (-73.816859 40.702566)
99,B15,62,62,BMT,West End,55 St,Bk,D,Elevated,40.631435,-73.995476,Manhattan,Southbound,0,0,0,,POINT (-73.995476 40.631435)
