,ID ,Traffic Volume Count Location  Address,Street,Date of Count,Total Passing Vehicle Volume,Vehicle Volume By Each Direction of Traffic,Latitude,Longitude,Location
25,365,7020 South,St Lawrence Ave,05/04/2006,5000,North Bound: 3400 / South Bound: 1600,41.766933,-87.610456,"(41.766933, -87.610456)"
26,673,4453 North,Damen Ave,08/16/2006,13000,North Bound: 6700 / South Bound: 6300,41.963061,-87.679019,"(41.963061, -87.679019)"
27,1111,223 West,Jackson Blvd,09/28/2006,11300,East Bound: 11300 / / Oneway East Bound ,41.878111,-87.634405,"(41.878111, -87.634405)"
28,277,944 West,55th Street,04/27/2006,33800,East Bound: 16800 / West Bound: 17000,41.794244,-87.648908,"(41.794244, -87.648908)"
29,961,1525 West,Belmont Ave,10/16/2006,19200,East Bound: 9800 / West Bound: 9400,41.939715,-87.667324,"(41.939715, -87.667324)"
30,557,650 West,Washington St,09/27/2006,19000,East Bound: 19000 / / Oneway East Bound ,41.883162,-87.644644,"(41.883162, -87.644644)"
31,1170,2126 South,Central Park Ave,09/14/2006,9100,North Bound: 4400 / South Bound: 4700,41.852621,-87.715027,"(41.852621, -87.715027)"
32,1034,511 North,Laramie Ave,10/23/2006,20600,North Bound: 9600 / South Bound: 11000,41.889649,-87.755407,"(41.889649, -87.755407)"
33,506,2335 West,Madison St,10/12/2006,13200,East Bound: 5100 / West Bound: 8100,41.881177,-87.6854,"(41.881177, -87.6854)"
34,259,1623 West,43rd St,03/29/2006,6100,East Bound: 3200 / West Bound: 2900,41.815858,-87.666235,"(41.815858, -87.666235)"
35,1011,855 West,Washington St,09/19/2006,9500,East Bound: 9500 / / Oneway East Bound,41.883107,-87.649602,"(41.883107, -87.649602)"
36,2,1708 West,71st Street,03/09/2006,14600,East Bound: 6900 / West Bound: 7700,41.764877,-87.666635,"(41.764877, -87.666635)"
37,1275,6240 North,Cicero Ave,08/08/2006,21900,North Bound: 10800 / South Bound: 11100,41.994184,-87.748337,"(41.994184, -87.748337)"
38,839,173 West,Ohio St,09/21/2006,37700,East Bound: 37700 / / Oneway East Bound ,41.892388,-87.634088,"(41.892388, -87.634088)"
39,598,6214 South,Kedzie Ave,08/10/2006,24200,North Bound: 13100 / South Bound: 11100,41.780314,-87.703172,"(41.780314, -87.703172)"
40,715,835 North,Clark St,09/20/2006,16500,South Bound: 16500/ Oneway South Bound ,41.897747,-87.631275,"(41.897747, -87.631275)"
41,106,7500 South,Ashland Ave,03/21/2006,26300,North Bound: 12800 / South Bound: 13500,41.757724,-87.663608,"(41.757724, -87.663608)"
42,1199,4281 South,Archer Ave,08/10/2006,30600,North Bound: 15800 / South Bound: 14800,41.815505,-87.701939,"(41.815505, -87.701939)"
43,520,206 West,Van Buren St,09/20/2006,10500,West Bound: 10500/ Oneway West Bound ,41.876846,-87.633902,"(41.876846, -87.633902)"
44,384,10535 South,Wentworth Ave,11/01/2006,8300,North Bound: 3600 / South Bound: 4700,41.70242,-87.628153,"(41.70242, -87.628153)"
45,1297,2816 East,95th St,10/18/2006,13700,East Bound: 7100 / West Bound: 6600,41.722709,-87.55587,"(41.722709, -87.55587)"
46,442,4856 West,Foster Ave,08/10/2006,27600,East Bound: 12400 / West Bound: 15200,41.9753,-87.750239,"(41.9753, -87.750239)"
47,1050,555 West,Adams St,09/20/2006,11700,West Bound: 11700/ Oneway West Bound,41.879284,-87.641796,"(41.879284, -87.641796)"
48,193,1165 East,83rd Street,03/28/2006,9000,East Bound: 5300 / West Bound: 3700,41.744086,-87.595315,"(41.744086, -87.595315)"
49,1308,2223 West,107th St,09/06/2006,8200,East Bound: 3500 / West Bound: 4700,41.699096,-87.6777,"(41.699096, -87.6777)"
50,562,4047 West,Fullerton Ave,08/16/2006,37900,East Bound: 21300 / West Bound: 16600,41.924462,-87.728691,"(41.924462, -87.728691)"
51,1250,440 East,31st St,10/12/2006,16600,East Bound: 8200 / West Bound: 8400,41.838445,-87.615498,"(41.838445, -87.615498)"
52,625,2032 North,Milwaukee Ave,10/23/2006,14600,North Bound: 7600 / South Bound: 7000,41.918295,-87.689798,"(41.918295, -87.689798)"
53,821,4042 West,Cermak Rd,11/14/2006,23200,East Bound: 12800 / West Bound: 10400,41.851522,-87.726497,"(41.851522, -87.726497)"
54,1081,300 South,Damen Ave,08/17/2006,21500,North Bound: 10500 / South Bound: 11000,41.877446,-87.676545,"(41.877446, -87.676545)"
55,136,7234 South,Western Ave,03/23/2006,40500,North Bound: 20300 / South Bound: 20200,41.761813,-87.683164,"(41.761813, -87.683164)"
56,733,645 North,State St,01/09/2007,23100,North Bound: 10500 / South Bound: 12600,41.893306,-87.628117,"(41.893306, -87.628117)"
57,787,750 North,Central Park Ave,10/12/2006,10300,North Bound: 5200 / South Bound: 5100,41.895238,-87.716306,"(41.895238, -87.716306)"
58,241,7724 South,Racine Ave,03/28/2006,10700,North Bound: 5100 / South Bound: 5600,41.753377,-87.653813,"(41.753377, -87.653813)"
59,305,3610 South,Morgan St,03/09/2006,5300,North Bound: 2600 / South Bound: 2700,41.828474,-87.65091,"(41.828474, -87.65091)"
60,1153,6023 South,State St,10/11/2006,20400,North Bound: 9300 / South Bound: 11100,41.784837,-87.625446,"(41.784837, -87.625446)"
61,1068,406 North,Clark St,09/27/2006,20700,South Bound: 20700/ Oneway South Bound ,41.889469,-87.631064,"(41.889469, -87.631064)"
62,337,1519 West,Harrison St,04/26/2006,8800,East Bound: 4400 / West Bound: 4400,41.874199,-87.665037,"(41.874199, -87.665037)"
63,799,3110 South,California Ave,08/17/2006,30800,North Bound: 15900 / South Bound: 14900,41.836927,-87.695017,"(41.836927, -87.695017)"
64,1160,30 South,Wabash Ave,09/26/2006,9200,South Bound: 9200/ Oneway South Bound ,41.88133,-87.626189,"(41.88133, -87.626189)"
65,9,2050 East,71st St,03/09/2006,8600,East Bound: 3600 / West Bound: 5000,41.76626,-87.574226,"(41.76626, -87.574226)"
66,941,2231 North,Kimball Ave,10/09/2006,12200,North Bound: 6100 / South Bound: 6100,41.92195,-87.712021,"(41.92195, -87.712021)"
67,1302,9352 South,Dr Martin Luther King Jr Dr,08/31/2006,20000,North Bound: 10400 / South Bound: 9600,41.723931,-87.614195,"(41.723931, -87.614195)"
68,486,3845 West,Lawrence Ave,08/10/2006,23800,East Bound: 11500 / West Bound: 12300,41.968273,-87.724989,"(41.968273, -87.724989)"
69,142,5420 South,Western Blvd,03/23/2006,20100,North Bound: 10300 / South Bound: 9800,41.79459,-87.684058,"(41.79459, -87.684058)"
70,273,329 East,51st St,04/27/2006,8800,East Bound: 4000 / West Bound: 4800,41.802072,-87.618178,"(41.802072, -87.618178)"
71,1231,4432 South,Ashland Ave,10/11/2006,39400,North Bound: 21100 / South Bound: 18300,41.813049,-87.665083,"(41.813049, -87.665083)"
72,411,1055 North,Central Ave,11/13/2006,22700,North Bound: 10700 / South Bound: 12000,41.900144,-87.765583,"(41.900144, -87.765583)"
73,1370,7000 South,Jeffery Ave,09/06/2006,24700,North Bound: 11900 / South Bound: 12800,41.767951,-87.576347,"(41.767951, -87.576347)"
74,946,3758 West,Montrose Ave,08/23/2006,22000,East Bound: 11600 / West Bound: 10400,41.961009,-87.722889,"(41.961009, -87.722889)"
75,477,3535 West,47th St,08/22/2006,23600,East Bound: 12300 / West Bound: 11300,41.808006,-87.712716,"(41.808006, -87.712716)"
76,702,243 North,Homan Ave,09/27/2006,12600,North Bound: 6300 / South Bound: 6300,41.88602,-87.711158,"(41.88602, -87.711158)"
77,550,2857 West,Pershing Rd,09/26/2006,7800,East Bound: 4300 / West Bound: 3500,41.822739,-87.696963,"(41.822739, -87.696963)"
78,659,3242 North,California Ave,10/09/2006,11900,North Bound: 5900 / South Bound: 6000,41.940634,-87.697862,"(41.940634, -87.697862)"
79,298,1015 East,Hyde Park Blvd,04/27/2006,9700,East Bound: 5000 / West Bound: 4700,41.802322,-87.600681,"(41.802322, -87.600681)"
80,726,6656 West,Diversey Ave,08/10/2006,23900,East Bound: 12400 / West Bound: 11500,41.930915,-87.792906,"(41.930915, -87.792906)"
81,226,1905 South,Loomis St,03/09/2006,5300,North Bound: 2300 / South Bound: 3000,41.855898,-87.661264,"(41.855898, -87.661264)"
82,642,2859 North,Central Park Ave,10/17/2006,9000,North Bound: 3700 / South Bound: 5300,41.933649,-87.717233,"(41.933649, -87.717233)"
83,1121,1251 South,Michigan Ave,11/16/2006,21600,North Bound: 12500 / South Bound: 9100,41.866034,-87.624114,"(41.866034, -87.624114)"
84,929,3809 West,Diversey Ave,08/10/2006,17700,East Bound: 9300 / West Bound: 8400,41.931846,-87.722476,"(41.931846, -87.722476)"
85,1265,8333 South,Dr Martin Luther King Jr Dr,10/18/2006,19600,North Bound: 10300 / South Bound: 9300,41.742807,-87.614706,"(41.742807, -87.614706)"
86,14,4107 South,Cottage Grove Ave,03/30/2006,10800,North Bound: 5600 / South Bound: 5200,41.820171,-87.606798,"(41.820171, -87.606798)"
87,1165,1629 West,Warren Blvd,10/05/2006,4500,East Bound: 4500 / / Oneway East Bound,41.882362,-87.668041,"(41.882362, -87.668041)"
88,418,5900 West,Diversey Ave,08/10/2006,21800,East Bound: 11000 / West Bound: 10800,41.931174,-87.77358,"(41.931174, -87.77358)"
89,417,5741 West,Grand Ave,10/23/2006,21700,East Bound: 11700 / West Bound: 10000,41.919484,-87.769758,"(41.919484, -87.769758)"
90,70,2950 South,Michigan Ave,03/02/2006,13200,North Bound: 5100 / South Bound: 8100,41.839562,-87.623493,"(41.839562, -87.623493)"
91,1226,222 West,75th St,10/04/2006,20300,East Bound: 9800 / West Bound: 10500,41.758139,-87.630684,"(41.758139, -87.630684)"
92,573,2208 West,111th St,08/22/2006,22600,East Bound: 11100 / West Bound: 11500,41.69184,-87.676796,"(41.69184, -87.676796)"
93,593,7845 South,Cottage Grove Ave,10/18/2006,27300,North Bound: 13700 / South Bound: 13600,41.75174,-87.605221,"(41.75174, -87.605221)"
94,164,1445 West,63rd Street,03/28/2006,10800,East Bound: 5600 / West Bound: 5200,41.779519,-87.661134,"(41.779519, -87.661134)"
95,539,210 South,Clinton St,10/02/2006,11600,South Bound: 11600/ Oneway South Bound,41.878904,-87.641098,"(41.878904, -87.641098)"
96,1256,2856 East,79th St,10/18/2006,8600,East Bound: 3800 / West Bound: 4800,41.751887,-87.554734,"(41.751887, -87.554734)"
97,859,3501 North,Central Ave,10/26/2006,27200,North Bound: 14000 / South Bound: 13200,41.944085,-87.766693,"(41.944085, -87.766693)"
98,770,2761 North,Narragansett Ave,10/25/2006,23700,North Bound: 11100 / South Bound: 12600,41.931002,-87.785687,"(41.931002, -87.785687)"
99,1376,1325 West,Granville Ave,11/02/2006,6400,East Bound: 3300 / West Bound: 3100,41.994513,-87.663898,"(41.994513, -87.663898)"
