,Year,GDP Deflator,Sector,Coal,Distillate,Residual,Kerosene,Propane,Natural Gas,Electricity,Wood,Motor Gasoline,Jet Fuel
56,2002,0.7496,Commercial,1.92,6.38,4.12,7.92,11.82,6.26,34.55,,,
57,2002,0.7496,Industrial,1.92,6.39,4.12,6.03,12.31,5.4,15.17,,,
58,2002,0.7496,Residential,3.63,9.14,,7.92,15.37,9.61,39.71,3.03,,
59,2002,0.7496,Transportation,,9.81,3.47,,,,23.29,,10.92,5.54
60,2001,0.7379,Commercial,1.62,6.76,4.07,8.74,13.16,9.3,35.88,,,
61,2001,0.7379,Industrial,1.66,6.61,4.07,6.73,13.01,7.47,16.28,,,
62,2001,0.7379,Residential,3.42,10.23,,8.74,17.5,11.37,41.14,3.34,,
63,2001,0.7379,Transportation,,10.53,3.17,,,,24.18,,11.54,5.79
64,2000,0.7175,Commercial,1.6,7.96,4.6,9.44,12.42,7.53,35.46,,,
65,2000,0.7175,Industrial,1.63,7.6,4.6,8.26,12.67,5.95,15.75,,,
66,2000,0.7175,Residential,3.02,10.82,,9.44,16.68,9.55,40.95,3.5,,
67,2000,0.7175,Transportation,,11.33,4.1,,,,23.9,,12.27,6.9
68,1999,0.6941,Commercial,1.34,4.71,2.78,5.45,9.7,5.01,30.28,,,
69,1999,0.6941,Industrial,1.47,4.68,2.78,4.63,9.7,3.79,13.96,,,
70,1999,0.6941,Residential,3.21,7.27,,5.45,13.25,8.87,38.9,2.33,,
71,1999,0.6941,Transportation,,8.81,2.47,,,,23.85,,9.57,4.23
72,1998,0.6791,Commercial,1.37,4.4,2.38,4.44,9.52,5.91,32.36,,,
73,1998,0.6791,Industrial,1.45,4.18,2.38,4.01,9.49,3.9,14.49,,,
74,1998,0.6791,Residential,3.25,7.12,,4.44,13.05,9.31,39.91,2.27,,
75,1998,0.6791,Transportation,,8.21,1.94,,,,24.07,,8.56,3.4
76,1997,0.6687,Commercial,1.65,5.5,3.44,6.26,10.74,6.32,34.22,,,
77,1997,0.6687,Industrial,1.69,5.4,3.44,5.24,10.2,4.92,15.23,,,
78,1997,0.6687,Residential,3.57,7.99,,6.26,14.15,9.47,41.38,2.63,,
79,1997,0.6687,Transportation,,9.29,2.79,,,,24.98,,10.04,4.53
80,1996,0.6537,Commercial,1.6,6.01,4.04,6.03,11.17,6.69,34.05,,,
81,1996,0.6537,Industrial,1.64,5.88,4.04,5.72,9.24,4.91,16.48,,,
82,1996,0.6537,Residential,3.38,7.98,,6.03,14.06,8.67,41.14,2.64,,
83,1996,0.6537,Transportation,,9.68,3.15,,,,24.9,,9.93,4.88
84,1995,0.635,Commercial,1.67,5.07,3.34,5.38,10.03,5.91,33.64,,,
85,1995,0.635,Industrial,1.69,4.84,3.34,4.46,8.7,4.55,16.97,,,
86,1995,0.635,Residential,3.18,7.17,,5.38,13.48,8.17,40.73,2.3,,
87,1995,0.635,Transportation,,9.02,2.66,,,,24.79,,9.57,4.04
88,1994,0.6175,Commercial,1.67,5.16,3.08,5.62,10.31,6.33,33.03,,,
89,1994,0.6175,Industrial,1.7,5.09,3.08,5.15,8.76,5.08,19.86,,,
90,1994,0.6175,Residential,3.29,7.25,,5.62,13.8,8.51,39.72,2.35,,
91,1994,0.6175,Transportation,,9.26,2.4,,,,25.44,,9.16,4.14
92,1993,0.6021,Commercial,1.67,5.29,2.88,5.56,9.12,5.99,32.92,,,
93,1993,0.6021,Industrial,1.7,5.07,2.88,4.84,9.87,5.02,19.53,,,
94,1993,0.6021,Residential,3.25,7.51,,5.56,13.35,7.91,38.61,2.42,,
95,1993,0.6021,Transportation,,9.04,2.29,,,,25.0,,9.08,4.47
96,1992,0.5846,Commercial,1.75,5.47,2.89,5.8,9.33,5.59,31.52,,,
97,1992,0.5846,Industrial,1.74,5.51,2.89,4.88,10.03,4.79,19.06,,,
98,1992,0.5846,Residential,3.21,7.71,,5.8,14.43,7.37,36.43,2.48,,
99,1992,0.5846,Transportation,,8.89,2.33,,,,23.77,,9.28,4.84
