,the_geom,Site_Serve,EventDate,Activity,LONG,LAT,X,Y
24,POINT (-73.78418735372358 40.84109631984895),PSS City Island Senior Center,1/10/2020,Seniors - Streetwise,-73.7841873537,40.8410963198,1043963.99998,245784.999949
25,POINT (-73.928282490906 40.8370765143561),PSS Highbridge Gardens,1/17/2020,Seniors - Streetwise,-73.9282824909,40.8370765144,1004095.0,244255.000057
26,POINT (-73.9156786613724 40.87874353611455),Riverdale Senior Center,1/16/2020,Seniors - Streetwise,-73.9156786614,40.8787435361,1007567.99994,259438.999872
27,POINT (-73.81730901796327 40.58769920075756),Seaside Senior Center,1/7/2020,Seniors - Streetwise,-73.817309018,40.5876992008,1034991.99988,153443.99992
28,POINT (-73.88743854661988 40.74725820093739),YLC Adult Day Care Center,1/16/2020,Seniors - Streetwise,-73.8874385466,40.7472582009,1015438.99995,211542.999864
29,POINT (-73.91799496971774 40.82143850626989),Andrew Jackson Senior Center,12/6/2019,Seniors - Streetwise,-73.9179949697,40.8214385063,1006946.99987,238559.999964
30,POINT (-73.97952727214215 40.77862340615587),Hamilton Innovative Senior Center,12/30/2019,Seniors - Streetwise,-73.9795272721,40.7786234062,989920.000131,222951.000014
31,POINT (-73.8912200021214 40.632807609601876),JASA Senior Center at HES,12/3/2019,Seniors - Streetwise,-73.8912200021,40.6328076096,1014442.99997,169843.999929
32,POINT (-73.9178579973223 40.62506471348382),Midwood Neighborhood Center,12/2/2019,Seniors - Streetwise,-73.9178579973,40.6250647135,1007051.99999,167015.000009
33,POINT (-73.99920278213386 40.716091615012736),NY Chinatown Senior Center,12/18/2019,Seniors - Streetwise,-73.9992027821,40.716091615,984470.999874,200167.999976
34,POINT (-73.8691060446486 40.86967006419508),Parkside Neighborhood Senior Center,12/16/2019,Seniors - Streetwise,-73.8691060446,40.8696700642,1020452.00009,256148.999891
35,POINT (-73.94475658585658 40.63009551690973),Philip Howard NORC Program,12/4/2019,Seniors - Streetwise,-73.9447565859,40.6300955169,999584.00016,168841.999964
36,POINT (-73.92570561920876 40.83723133147026),PSS Highbridge Gardens Senior Center,12/3/2019,Seniors - Streetwise,-73.9257056192,40.8372313315,1004807.99988,244311.999943
37,POINT (-73.86706003054135 40.87487167007737),RAIN NYCHA GUN HILL APARTMENTS,12/2/2019,Seniors - Streetwise,-73.8670600305,40.8748716701,1021014.99995,258045.000036
38,POINT (-73.85356829316144 40.89815775741058),RAIN Senior Center,12/10/2019,Community Fair,-73.8535682932,40.8981577574,1024732.00006,266535.000116
39,POINT (-73.9710573610809 40.627217627554565),Senior Citizen League of Flatbush,12/24/2019,Seniors - Streetwise,-73.9710573611,40.6272176276,992283.999996,167790.0001
40,POINT (-73.9557426823935 40.622340748411936),Senior Citizen League of Flatbush Midwood Center,12/9/2019,Seniors - Streetwise,-73.9557426824,40.6223407484,996536.000022,166015.000041
41,POINT (-73.98102491986971 40.73073882741254),Stuy Town Senior Center,12/27/2019,Seniors - Streetwise,-73.9810249199,40.7307388274,989508.999969,205505.000129
42,POINT (-73.91104729325207 40.75372352446417),Woodside Senior Center,12/4/2019,Seniors - Streetwise,-73.9110472933,40.7537235245,1008894.99991,213891.000089
43,POINT (-73.99226907840243 40.71979129432803),BRC Senior Center,11/1/2019,Seniors - Streetwise,-73.9922690784,40.7197912943,986392.999967,201515.999905
44,POINT (-73.95739042375924 40.76668596672754),Center at Lenox Hill Neighborhood House,11/1/2019,Seniors - Streetwise,-73.9573904238,40.7666859667,996053.000004,218603.99985
45,POINT (-74.00181538495838 40.7491960861056),Hudson Guild Elliott-Chelsea NORC Program,11/13/2019,Seniors - Streetwise,-74.001815385,40.7491960861,983747.00001,212229.000132
46,POINT (-73.82858224608016 40.869471512751055),JASA Bartow Senior Center,11/12/2019,Seniors - Streetwise,-73.8285822461,40.8694715128,1031659.99998,256095.999997
47,POINT (-74.00049315092976 40.57383770966049),JASA NORC,11/18/2019,Seniors - Streetwise,-74.0004931509,40.5738377097,984112.999934,148340.999956
48,POINT (-73.88155776098021 40.85377248544144),RAIN - Mt Carmel,11/15/2019,Seniors - Streetwise,-73.881557761,40.8537724854,1017016.00007,250352.000002
49,POINT (-73.82313149228754 40.76010244025346),Royal Adult Day Care Center,11/27/2019,Seniors - Streetwise,-73.8231314923,40.7601024403,1033248.00009,216251.99996
