,ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
13,14,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,EB,01/10/2012,20,14,5,2,13,24,104,477,322,148,124,142,157.0,146.0,292.0,266.0,223.0,271.0,160.0,137.0,116.0,91.0,58.0,32.0
14,15,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,EB,01/11/2012,16,11,3,6,12,24,118,519,348,165,143,150,156.0,173.0,296.0,242.0,206.0,220.0,189.0,130.0,98.0,89.0,57.0,38.0
15,16,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,EB,01/12/2012,26,14,7,1,6,27,128,483,390,195,144,136,150.0,156.0,291.0,284.0,222.0,229.0,158.0,127.0,104.0,98.0,68.0,46.0
16,17,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,EB,01/13/2012,29,11,10,2,9,30,119,401,301,182,106,144,161.0,154.0,258.0,224.0,225.0,202.0,156.0,131.0,88.0,88.0,59.0,64.0
17,18,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,EB,01/14/2012,32,31,17,20,9,14,23,50,70,105,127,97,,,,,,,,,,,,
18,19,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,WB,01/09/2012,18,7,7,4,3,23,28,179,177,136,126,204,173.0,177.0,280.0,326.0,496.0,301.0,182.0,172.0,77.0,73.0,38.0,21.0
19,20,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,WB,01/10/2012,21,10,9,3,2,18,33,179,183,138,141,177,163.0,177.0,296.0,452.0,335.0,289.0,198.0,155.0,100.0,94.0,47.0,41.0
20,21,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,WB,01/11/2012,19,12,6,9,5,18,33,185,173,146,139,160,158.0,190.0,278.0,424.0,336.0,308.0,235.0,152.0,84.0,54.0,44.0,33.0
21,22,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,WB,01/12/2012,32,9,4,3,3,11,41,187,187,108,126,158,130.0,180.0,272.0,449.0,444.0,368.0,198.0,141.0,91.0,83.0,70.0,37.0
22,23,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,WB,01/13/2012,37,19,8,6,5,17,45,127,132,147,132,200,164.0,223.0,311.0,649.0,585.0,345.0,296.0,157.0,99.0,62.0,77.0,56.0
23,24,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,WB,01/14/2012,29,27,15,11,6,10,23,36,72,105,164,78,,,,,,,,,,,,
24,25,14723,NARROWS ROAD SOUTH,HASTINGS STREET,GARSON AVENUE,SB,01/09/2012,15,13,5,9,3,22,64,145,134,80,74,84,64.0,81.0,162.0,137.0,145.0,105.0,108.0,85.0,85.0,59.0,39.0,33.0
25,26,14723,NARROWS ROAD SOUTH,HASTINGS STREET,GARSON AVENUE,SB,01/10/2012,29,20,9,5,4,23,72,140,146,90,72,59,76.0,86.0,156.0,150.0,111.0,116.0,101.0,89.0,69.0,60.0,34.0,22.0
26,27,14723,NARROWS ROAD SOUTH,HASTINGS STREET,GARSON AVENUE,SB,01/11/2012,10,16,11,10,8,24,85,139,171,103,76,84,78.0,88.0,140.0,155.0,113.0,112.0,120.0,89.0,66.0,87.0,47.0,47.0
27,28,14723,NARROWS ROAD SOUTH,HASTINGS STREET,GARSON AVENUE,SB,01/12/2012,26,19,17,8,5,27,76,158,157,99,75,81,73.0,87.0,180.0,133.0,122.0,130.0,112.0,68.0,67.0,62.0,66.0,33.0
28,29,14723,NARROWS ROAD SOUTH,HASTINGS STREET,GARSON AVENUE,SB,01/13/2012,35,20,13,6,3,34,61,135,131,88,76,90,87.0,89.0,177.0,133.0,109.0,132.0,95.0,115.0,70.0,73.0,69.0,60.0
29,30,14723,NARROWS ROAD SOUTH,HASTINGS STREET,GARSON AVENUE,SB,01/14/2012,44,55,23,10,22,13,24,54,46,61,58,0,,,,,,,,,,,,
30,31,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,EB,01/09/2012,16,16,9,4,4,38,150,583,418,216,162,175,172.0,200.0,302.0,341.0,273.0,264.0,233.0,182.0,125.0,114.0,55.0,49.0
31,32,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,EB,01/10/2012,22,18,5,7,4,35,162,594,414,196,179,158,205.0,193.0,285.0,320.0,274.0,259.0,219.0,148.0,133.0,107.0,67.0,48.0
32,33,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,EB,01/11/2012,29,16,6,6,4,32,160,571,461,204,179,164,174.0,191.0,324.0,328.0,255.0,275.0,220.0,238.0,145.0,109.0,68.0,52.0
33,34,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,EB,01/12/2012,28,18,7,2,5,40,155,553,480,217,150,149,168.0,194.0,297.0,340.0,258.0,256.0,227.0,202.0,165.0,140.0,70.0,54.0
34,35,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,EB,01/13/2012,30,12,6,7,2,39,153,490,409,203,158,170,197.0,213.0,282.0,321.0,247.0,222.0,203.0,158.0,127.0,129.0,96.0,63.0
35,36,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,EB,01/14/2012,47,37,17,14,5,12,33,56,88,126,153,170,,,,,,,,,,,,
36,37,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,WB,01/09/2012,16,8,3,3,2,16,41,200,186,121,108,154,130.0,153.0,278.0,304.0,332.0,290.0,186.0,137.0,91.0,89.0,38.0,38.0
37,38,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,WB,01/10/2012,15,11,1,4,2,20,47,205,166,120,112,132,148.0,136.0,257.0,407.0,319.0,281.0,191.0,124.0,87.0,56.0,56.0,32.0
38,39,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,WB,01/11/2012,27,6,1,2,1,14,46,191,224,102,109,139,135.0,141.0,279.0,362.0,310.0,292.0,201.0,147.0,79.0,81.0,53.0,38.0
39,40,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,WB,01/12/2012,25,10,4,3,2,15,40,186,199,96,108,133,135.0,139.0,269.0,394.0,333.0,294.0,195.0,123.0,91.0,83.0,44.0,31.0
40,41,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,WB,01/13/2012,27,11,6,2,3,10,38,148,153,112,108,177,129.0,179.0,263.0,406.0,352.0,313.0,176.0,112.0,89.0,69.0,48.0,38.0
41,42,11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,WB,01/14/2012,30,16,7,6,3,8,12,41,86,97,118,121,,,,,,,,,,,,
42,43,15741,BAY ST,CLINTON ST,BALTIC ST,NB,01/09/2012,54,44,30,40,50,88,266,364,478,402,366,336,371.0,418.0,417.0,383.0,372.0,403.0,333.0,265.0,208.0,149.0,92.0,93.0
43,44,15741,BAY ST,CLINTON ST,BALTIC ST,NB,01/10/2012,49,36,25,36,40,69,276,410,461,424,378,374,386.0,357.0,409.0,400.0,373.0,375.0,337.0,284.0,243.0,164.0,129.0,95.0
44,45,15741,BAY ST,CLINTON ST,BALTIC ST,NB,01/11/2012,61,38,26,25,45,98,265,374,446,422,350,364,386.0,390.0,431.0,438.0,429.0,378.0,321.0,284.0,211.0,163.0,122.0,112.0
45,46,15741,BAY ST,CLINTON ST,BALTIC ST,NB,01/12/2012,68,38,38,29,57,93,258,379,426,410,414,358,383.0,393.0,414.0,402.0,437.0,407.0,321.0,251.0,207.0,155.0,145.0,115.0
46,47,15741,BAY ST,CLINTON ST,BALTIC ST,NB,01/13/2012,85,46,32,38,52,98,257,393,416,425,391,396,385.0,403.0,425.0,461.0,413.0,400.0,357.0,366.0,249.0,194.0,160.0,149.0
47,48,15741,BAY ST,CLINTON ST,BALTIC ST,NB,01/14/2012,113,96,62,51,66,57,77,138,183,293,0,0,,,,,,,,,,,,
48,49,15741,BAY ST,CLINTON ST,BALTIC ST,SB,01/09/2012,88,65,48,36,54,99,255,461,536,409,400,484,565.0,539.0,564.0,638.0,597.0,567.0,484.0,374.0,294.0,186.0,157.0,151.0
49,50,15741,BAY ST,CLINTON ST,BALTIC ST,SB,01/10/2012,92,53,44,16,52,112,217,458,541,407,446,478,417.0,430.0,500.0,552.0,616.0,578.0,463.0,407.0,355.0,207.0,186.0,143.0
50,51,15741,BAY ST,CLINTON ST,BALTIC ST,SB,01/11/2012,83,50,40,33,51,92,248,439,545,444,450,486,534.0,545.0,562.0,614.0,590.0,613.0,510.0,390.0,294.0,271.0,196.0,142.0
51,52,15741,BAY ST,CLINTON ST,BALTIC ST,SB,01/12/2012,85,67,36,40,48,127,278,529,554,473,427,499,513.0,530.0,576.0,578.0,560.0,642.0,498.0,355.0,267.0,227.0,199.0,151.0
52,53,15741,BAY ST,CLINTON ST,BALTIC ST,SB,01/13/2012,99,69,53,38,50,124,237,486,547,413,466,535,558.0,565.0,580.0,580.0,590.0,614.0,499.0,406.0,302.0,284.0,220.0,210.0
53,54,15741,BAY ST,CLINTON ST,BALTIC ST,SB,01/14/2012,156,111,98,71,73,74,93,173,248,328,0,0,,,,,,,,,,,,
54,55,15047,CLOVE RD,NECKAR AVE,WESER AVE,NB,01/09/2012,57,19,26,23,42,71,211,346,363,262,296,271,316.0,324.0,347.0,362.0,320.0,331.0,329.0,277.0,215.0,202.0,122.0,97.0
55,56,15047,CLOVE RD,NECKAR AVE,WESER AVE,NB,01/10/2012,50,27,25,25,39,92,208,352,395,298,271,287,274.0,314.0,340.0,363.0,350.0,346.0,308.0,287.0,236.0,207.0,143.0,91.0
56,57,15047,CLOVE RD,NECKAR AVE,WESER AVE,NB,01/11/2012,71,34,25,17,16,54,148,328,358,279,244,281,291.0,309.0,327.0,332.0,342.0,315.0,338.0,297.0,226.0,208.0,159.0,109.0
57,58,15047,CLOVE RD,NECKAR AVE,WESER AVE,NB,01/12/2012,59,38,24,15,38,89,189,332,365,287,275,248,277.0,300.0,342.0,364.0,311.0,313.0,308.0,268.0,209.0,199.0,160.0,106.0
58,59,15047,CLOVE RD,NECKAR AVE,WESER AVE,NB,01/13/2012,65,33,19,27,39,94,209,341,350,275,255,291,282.0,301.0,335.0,374.0,304.0,340.0,323.0,269.0,248.0,186.0,165.0,154.0
59,60,15047,CLOVE RD,NECKAR AVE,WESER AVE,NB,01/14/2012,99,59,54,34,40,44,83,167,216,291,305,310,,,,,,,,,,,,
60,61,15047,CLOVE RD,NECKAR AVE,WESER AVE,SB,01/09/2012,56,33,26,16,21,72,155,427,420,335,305,300,317.0,296.0,415.0,384.0,343.0,375.0,352.0,312.0,220.0,186.0,124.0,89.0
61,62,15047,CLOVE RD,NECKAR AVE,WESER AVE,SB,01/10/2012,44,29,19,32,21,75,163,363,377,298,272,285,290.0,322.0,337.0,379.0,395.0,333.0,319.0,294.0,235.0,203.0,149.0,92.0
62,63,15047,CLOVE RD,NECKAR AVE,WESER AVE,SB,01/11/2012,71,34,28,24,32,74,178,404,407,271,307,282,307.0,316.0,396.0,416.0,365.0,383.0,361.0,289.0,261.0,183.0,149.0,107.0
63,64,15047,CLOVE RD,NECKAR AVE,WESER AVE,SB,01/12/2012,56,35,37,21,21,66,134,409,425,311,279,272,309.0,310.0,384.0,400.0,433.0,376.0,312.0,273.0,218.0,214.0,127.0,105.0
64,65,15047,CLOVE RD,NECKAR AVE,WESER AVE,SB,01/13/2012,59,44,30,27,26,66,157,412,458,259,279,315,300.0,337.0,395.0,402.0,352.0,419.0,331.0,284.0,226.0,208.0,177.0,132.0
65,66,15047,CLOVE RD,NECKAR AVE,WESER AVE,SB,01/14/2012,106,72,60,38,47,45,95,113,205,240,294,339,,,,,,,,,,,,
66,67,107956,HYLAN BLVD,NARROWS RD SO,STEUBEN ST,SB,01/09/2012,70,56,37,34,38,99,257,689,546,389,412,509,541.0,600.0,611.0,768.0,809.0,930.0,984.0,836.0,730.0,512.0,385.0,328.0
67,68,107956,HYLAN BLVD,NARROWS RD SO,STEUBEN ST,SB,01/10/2012,227,93,58,63,66,138,334,880,806,732,701,797,956.0,730.0,686.0,918.0,935.0,985.0,914.0,633.0,424.0,326.0,251.0,190.0
68,69,107956,HYLAN BLVD,NARROWS RD SO,STEUBEN ST,SB,01/11/2012,115,89,40,28,35,91,195,501,459,404,432,469,500.0,584.0,630.0,748.0,830.0,770.0,654.0,525.0,389.0,322.0,234.0,203.0
69,70,107956,HYLAN BLVD,NARROWS RD SO,STEUBEN ST,SB,01/12/2012,118,77,39,36,39,82,175,540,423,394,404,436,461.0,528.0,663.0,708.0,753.0,751.0,623.0,547.0,397.0,328.0,253.0,196.0
70,71,107956,HYLAN BLVD,NARROWS RD SO,STEUBEN ST,SB,01/13/2012,148,82,44,45,46,86,193,546,434,404,396,516,517.0,553.0,639.0,711.0,767.0,730.0,630.0,520.0,420.0,348.0,273.0,259.0
71,72,107956,HYLAN BLVD,NARROWS RD SO,STEUBEN ST,SB,01/14/2012,160,155,106,78,66,51,85,186,318,193,0,0,,,,,,,,,,,,
72,73,114869,HYLAN BLVD,OLGA PL,STEUBEN ST,NB,01/09/2012,66,49,42,33,69,152,414,1032,849,586,457,446,479.0,547.0,687.0,635.0,601.0,538.0,425.0,417.0,370.0,272.0,221.0,151.0
73,74,114869,HYLAN BLVD,OLGA PL,STEUBEN ST,NB,01/10/2012,86,59,49,40,78,142,422,1065,892,546,500,510,502.0,528.0,671.0,654.0,611.0,512.0,468.0,439.0,317.0,293.0,237.0,154.0
74,75,114869,HYLAN BLVD,OLGA PL,STEUBEN ST,NB,01/11/2012,110,55,37,40,60,153,407,973,742,530,456,474,502.0,494.0,708.0,616.0,607.0,627.0,456.0,414.0,362.0,303.0,205.0,146.0
75,76,114869,HYLAN BLVD,OLGA PL,STEUBEN ST,NB,01/12/2012,82,42,38,47,86,163,417,993,871,556,477,475,462.0,484.0,607.0,648.0,620.0,538.0,510.0,448.0,344.0,326.0,210.0,170.0
76,77,114869,HYLAN BLVD,OLGA PL,STEUBEN ST,NB,01/13/2012,120,66,57,34,77,135,385,974,857,546,498,486,514.0,482.0,706.0,614.0,588.0,591.0,531.0,459.0,380.0,316.0,263.0,241.0
77,78,114869,HYLAN BLVD,OLGA PL,STEUBEN ST,NB,01/14/2012,179,118,77,59,49,89,142,237,320,314,0,0,,,,,,,,,,,,
78,79,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,NB,01/09/2012,39,32,18,16,18,42,111,374,386,286,274,319,310.0,354.0,448.0,454.0,484.0,500.0,436.0,315.0,225.0,161.0,133.0,85.0
79,80,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,NB,01/10/2012,57,22,18,13,18,40,105,362,373,255,285,297,347.0,370.0,446.0,536.0,504.0,528.0,401.0,308.0,204.0,158.0,134.0,75.0
80,81,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,NB,01/11/2012,53,31,18,23,18,40,121,360,382,263,285,341,324.0,345.0,441.0,484.0,541.0,528.0,443.0,329.0,236.0,196.0,157.0,71.0
81,82,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,NB,01/12/2012,56,30,16,15,24,44,109,363,413,250,262,292,339.0,301.0,466.0,489.0,514.0,496.0,426.0,306.0,212.0,189.0,153.0,93.0
82,83,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,NB,01/13/2012,58,34,28,21,25,44,109,362,395,261,304,334,349.0,363.0,491.0,546.0,451.0,504.0,447.0,319.0,244.0,225.0,187.0,127.0
83,84,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,NB,01/14/2012,87,63,44,38,28,22,64,91,161,213,273,301,,,,,,,,,,,,
84,85,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,SB,01/09/2012,39,32,18,16,18,42,111,374,386,286,274,319,310.0,354.0,448.0,454.0,484.0,500.0,436.0,315.0,225.0,161.0,133.0,85.0
85,86,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,SB,01/10/2012,57,22,18,13,18,40,105,362,373,255,285,297,347.0,370.0,446.0,536.0,504.0,528.0,401.0,308.0,204.0,158.0,134.0,75.0
86,87,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,SB,01/11/2012,53,31,18,23,18,40,121,360,382,263,285,341,324.0,345.0,441.0,484.0,541.0,528.0,443.0,329.0,236.0,196.0,157.0,71.0
87,88,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,SB,01/12/2012,56,30,16,15,24,44,109,363,413,250,262,292,339.0,301.0,466.0,489.0,514.0,496.0,426.0,306.0,212.0,189.0,153.0,93.0
88,89,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,SB,01/13/2012,58,34,28,21,25,44,109,362,395,261,304,334,349.0,363.0,491.0,546.0,451.0,504.0,447.0,319.0,244.0,225.0,187.0,127.0
89,90,12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,SB,01/14/2012,87,63,44,38,28,22,64,91,161,213,273,301,,,,,,,,,,,,
90,91,11273,MANOR RD,LINCOLN ST,CROAK AVE,NB,01/09/2012,28,25,15,11,29,75,245,580,604,389,329,371,388.0,403.0,488.0,529.0,443.0,459.0,380.0,309.0,266.0,199.0,98.0,69.0
91,92,11273,MANOR RD,LINCOLN ST,CROAK AVE,NB,01/10/2012,32,20,14,19,25,79,256,592,622,395,336,357,410.0,378.0,396.0,565.0,463.0,447.0,399.0,305.0,248.0,204.0,131.0,91.0
92,93,11273,MANOR RD,LINCOLN ST,CROAK AVE,NB,01/11/2012,55,33,19,12,26,80,238,602,574,403,311,418,411.0,447.0,430.0,578.0,442.0,454.0,420.0,321.0,271.0,229.0,143.0,62.0
93,94,11273,MANOR RD,LINCOLN ST,CROAK AVE,NB,01/12/2012,35,26,23,16,24,71,225,581,623,380,317,362,373.0,407.0,429.0,507.0,454.0,399.0,427.0,360.0,240.0,224.0,105.0,88.0
94,95,11273,MANOR RD,LINCOLN ST,CROAK AVE,NB,01/13/2012,53,15,21,26,25,83,217,923,634,330,295,316,378.0,361.0,458.0,479.0,401.0,386.0,379.0,315.0,221.0,217.0,97.0,100.0
95,96,11273,MANOR RD,LINCOLN ST,CROAK AVE,NB,01/14/2012,54,25,25,15,10,28,67,235,498,523,374,292,,,,,,,,,,,,
96,97,11273,MANOR RD,LINCOLN ST,CROAK AVE,NB,01/09/2012,34,34,19,10,14,50,104,343,346,247,238,277,307.0,287.0,412.0,442.0,440.0,510.0,386.0,296.0,211.0,147.0,101.0,86.0
97,98,11273,MANOR RD,LINCOLN ST,CROAK AVE,NB,01/10/2012,51,22,10,15,15,37,92,339,338,230,245,265,301.0,339.0,401.0,489.0,474.0,512.0,388.0,300.0,223.0,148.0,110.0,83.0
98,99,11273,MANOR RD,LINCOLN ST,CROAK AVE,NB,01/11/2012,47,31,16,16,21,41,108,326,332,247,239,278,312.0,321.0,387.0,479.0,503.0,502.0,402.0,334.0,236.0,190.0,132.0,66.0
99,100,11273,MANOR RD,LINCOLN ST,CROAK AVE,NB,01/12/2012,48,30,19,15,21,46,92,323,362,219,263,274,308.0,284.0,391.0,469.0,513.0,474.0,418.0,307.0,199.0,173.0,116.0,82.0
