,Year,Value,Measure,Metric,Table,Source,Notes,MeasureNum,metricNum,date,id
10,2011,3.803,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2011_1_5
11,2010,3.028,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2010_1_5
12,2009,2.442,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2009_1_5
13,2008,3.273,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2008_1_5
14,2007,2.849,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2007_1_5
15,2006,2.682,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2006_1_5
16,2005,2.231,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2005_1_5
17,2004,1.819,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2004_1_5
18,2003,1.493,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2003_1_5
19,2002,1.288,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2002_1_5
20,2001,1.323,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2001_1_5
21,2000,1.306,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_2000_1_5
22,1999,1.059,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_1999_1_5
23,1998,0.975,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_1998_1_5
24,1997,1.128,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_1997_1_5
25,1996,1.116,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_1996_1_5
26,1995,1.005,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_1995_1_5
27,1994,0.957,Finished aviation gasoline,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPPV_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",5,1,,TET_3.1_0_1994_1_5
28,2021,1.954,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2021_1_1
29,2020,1.293,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2020_1_1
30,2019,1.97,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2019_1_1
31,2018,2.119,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2018_1_1
32,2017,1.629,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2017_1_1
33,2016,1.319,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2016_1_1
34,2015,1.629,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2015_1_1
35,2014,2.772,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2014_1_1
36,2013,2.979,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2013_1_1
37,2012,3.104,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2012_1_1
38,2011,3.054,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2011_1_1
39,2010,2.201,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2010_1_1
40,2009,1.704,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2009_1_1
41,2008,3.052,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2008_1_1
42,2007,2.165,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2007_1_1
43,2006,1.998,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2006_1_1
44,2005,1.735,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2005_1_1
45,2004,1.207,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2004_1_1
