,OID,Dataset Name/Description,Source: General,Source: Specific,Area/Geography Where Relevant,Types of Features/Relevance,Format,Date Received/ Acquired ,Use Constraints,Notes
32,33,NHD Map Services,U.S. Geological Survey (USGS),https://viewer.nationalmap.gov/services/,,,GIS Service,10/12/2015,,"To be used as reference, if necessary. Map service link: http://services.nationalmap.gov/arcgis/rest/services/nhd/MapServer. Original site: http://viewer.nationalmap.gov/example/services/serviceList.html"
33,34,NOAA Coastal Aerial Photos,National Oceanic and Atmospheric Administration (NOAA),https://geodesy.noaa.gov/storm_archive/coastal/viewer/index.html,Coastal CA,Aerial Photos,Unk,3/11/2016,http://geodesy.noaa.gov/storm_archive/coastal/viewer/index.html,
34,35,NR_Routes,CA Department of Water Resources,,Statewide (CA),Culvert data,shp,7/1/2019,,This is an associated file that came with the Culvert data provided by DWR. It is for the northern region only. Helpful in knowing where culverts intersect with a CalTrans road.
35,36,OneFoot_UrbanAerials_HSIP133UrbanAreaInitiative,U.S. Geological Survey (USGS),"Drew Decker, Carol Ostergren","Orange, Riverside, San Bernardino CO's Urban Areas",Aerial Photos,"Image Tiles: one foot resolution, natural color: Via Download",7/31/2015,,Other areas captured in 2014 and 2015 will be forthcoming for the SF Bay Area and LA County.
36,37,SEKI BND_River_Status_In,Sequoia & Kings Canyon National Parks (SEKI),Paul Hardwck - Information Resources Branch Chief,Sequoia & Kings Canyon National Parks,SEKI 30 main stream features,gdb,8/19/2020,,
37,38,SEKI Facility_Util_HydroPowerStations_pt,Sequoia & Kings Canyon National Parks (SEKI),Paul Hardwck - Information Resources Branch Chief,Sequoia & Kings Canyon National Parks,Hydro power at the end of Flume Diversion  operated by Southern California Edison,gdb,8/19/2020,,
38,39,SEKI Facility_UtilDams_pt,Sequoia & Kings Canyon National Parks (SEKI),Paul Hardwck - Information Resources Branch Chief,Sequoia & Kings Canyon National Parks,Small Diversion Dams operated by Southern California Edison,gdb,8/19/2020,,
39,40,SEKI Facility_UtilFlumes_In,Sequoia & Kings Canyon National Parks (SEKI),Paul Hardwck - Information Resources Branch Chief,Sequoia & Kings Canyon National Parks,Flume Diversion Dams operated by Southern California Edison,gdb,8/19/2020,,
40,41,SEKI Hydro_Springs_pt,Sequoia & Kings Canyon National Parks (SEKI),Paul Hardwck - Information Resources Branch Chief,Sequoia & Kings Canyon National Parks,Confirmed springs in SEKI,gdb,8/19/2020,,
41,42,SEKI Hydro_Swallets_Pt,Sequoia & Kings Canyon National Parks (SEKI),Paul Hardwck - Information Resources Branch Chief,Sequoia & Kings Canyon National Parks,SEKI swales,gdb,8/19/2020,,
42,43,SEKI Veg_WetMeadowFen_py,Sequoia & Kings Canyon National Parks (SEKI),Paul Hardwck - Information Resources Branch Chief,Sequoia & Kings Canyon National Parks,SEKI wet meadow fens,gdb,8/19/2020,,
43,44,Stream_Centerlines,County of Sonoma ,http://sonomavegmap.org/blog/2016/03/03/hydrologic-data-products-now-available/,Sonoma County,Streams,gdb,11/1/2018,,
44,45,Streams_Shasta,County of Shasta,County of Shasta,Shasta County,Streams,shp,2/4/2016,,
45,46,tl_2013_06023_linearwater_Humboldt,County of Humboldt,County of Humboldt,Humboldt County,Streams,shp,2/8/2016,,
46,47,tl_2013_06093_linearwater_Siskiyou,County of Siskiyou,County of Siskiyou,Siskiyou County,Streams,shp,10/30/2017,,
47,48,tl_2013_06097_areawater_Sonoma,County of Sonoma,http://sonomavegmap.org/blog/2016/03/03/hydrologic-data-products-now-available/,Sonoma County,Waterbodies,shp,2/9/2016,,
48,49,Trinity County streams / lakes,County of Trinity,County of Trinity,Trinity County,Lakes,gdb,,,
49,50,Trinity County streams / lakes,County of Trinity,County of Trinity,Trinity County,Streams,gdb,,,
