,ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
10,HOME DELIVERED MEAL SERVICE CONTRACTS,24E01,JASA BROOKLYN HOME DELIVERED MEALS - BROOKLYN 6 (24E),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1201 PENNSYLVANIA AVENUE,BROOKLYN,NY,11239,BROOKLYN,718-769-7455,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.651173,-73.885082,305.0,42.0,105801.0,3336175.0,3044350001.0,Starrett City,POINT (-73.885082 40.651173)
11,OLDER ADULT CENTER CONTRACTS,C5502,POLISH AND SLAVIC CENTER INC (C55),POLISH & SLAVIC CENTER INC,103 East 7th Street,NEW YORK,NY,10009,MANHATTAN,212-673-7704,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.726683,-73.985016,103.0,2.0,32.0,1005851.0,1004350049.0,East Village,POINT (-73.985016 40.726683)
12,HOME DELIVERED MEAL SERVICE CONTRACTS,42N01,CCNS HDM - QUEENS 1 (42N),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,89-18 Astoria Boulevard,FLUSHING,NY,11369,QUEENS,718-806-1080,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.763727,-73.87957,403.0,22.0,329.0,4032388.0,4013630011.0,Jackson Heights,POINT (-73.87957 40.763727)
13,HOME DELIVERED MEAL SERVICE CONTRACTS,28E03,RISEBORO HDM - BROOKLYN 3 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.704366,-73.943775,301.0,34.0,491.0,3071447.0,3030960030.0,East Williamsburg,POINT (-73.943775 40.704366)
14,TRANSPORTATION SERVICES CONTRACTS,10601,MID-BRONX - TRAN INDIVIDUAL RIDES - BX SOUTH (106),MID BRONX SENIOR CITIZENS COUNCIL INC,900 Grand Concourse,BRONX,NY,10451,BRONX,718-588-8200,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.827412,-73.922277,204.0,16.0,18301.0,2002802.0,2024600001.0,East Concourse-Concourse Village,POINT (-73.922277 40.827412)
15,HOME DELIVERED MEAL SERVICE CONTRACTS,24E02,JASA BROOKLYN HOME DELIVERED MEALS - BROOKLYN 7 (24E),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1201 PENNSYLVANIA AVENUE,BROOKLYN,NY,11239,BROOKLYN,718-727-443,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.651173,-73.885082,305.0,42.0,105801.0,3336175.0,3044350001.0,Starrett City,POINT (-73.885082 40.651173)
16,HOME DELIVERED MEAL SERVICE CONTRACTS,28E01,RISEBORO HDM - BROOKLYN 1 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.704366,-73.943775,301.0,34.0,491.0,3071447.0,3030960030.0,East Williamsburg,POINT (-73.943775 40.704366)
17,HOME DELIVERED MEAL SERVICE CONTRACTS,28E04,RISEBORO HDM - BROOKLYN 4 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.704366,-73.943775,301.0,34.0,491.0,3071447.0,3030960030.0,East Williamsburg,POINT (-73.943775 40.704366)
18,HOME DELIVERED MEAL SERVICE CONTRACTS,11Y02,SENIOR OPTION HOME DELIVERY MEALS PROGRAM - BRONX 3 (11Y),REGIONAL AID FOR INTERIM NEEDS INC,3450 Boston Road,BRONX,NY,10469,BRONX,718-829-2131,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.876304,-73.848594,212.0,12.0,364.0,2060739.0,2047370105.0,Eastchester-Edenwald-Baychester,POINT (-73.848594 40.876304)
19,OLDER ADULT CENTER CONTRACTS,C8301,JASA HES OLDER ADULT CENTER (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2705 Schley Avenue,BRONX,NY,10465,BRONX,718-251-3700,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.821662,-73.827061,210.0,13.0,144.0,2080423.0,2055680050.0,Schuylerville-Throgs Neck-Edgewater Park,POINT (-73.827061 40.821662)
20,HOME DELIVERED MEAL SERVICE CONTRACTS,28E02,RISEBORO HDM - BROOKLYN 2 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.704366,-73.943775,301.0,34.0,491.0,3071447.0,3030960030.0,East Williamsburg,POINT (-73.943775 40.704366)
21,HOME DELIVERED MEAL SERVICE CONTRACTS,11Y01,SENIOR OPTION HOME DELIVERY MEALS PROGRAM - BRONX 2 (11Y),REGIONAL AID FOR INTERIM NEEDS INC,3450 Boston Road,BRONX,NY,10469,BRONX,718-829-2131,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.876304,-73.848594,212.0,12.0,364.0,2060739.0,2047370105.0,Eastchester-Edenwald-Baychester,POINT (-73.848594 40.876304)
22,OLDER ADULT CENTER CONTRACTS,C4101,HENRY STREET OAC - GOOD COMPANIONS (C41),HENRY STREET SETTLEMENT,334 Madison Street,NEW YORK,NY,10002,MANHATTAN,212-349-2770,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713266,-73.983237,103.0,2.0,202.0,1077526.0,1002600001.0,Lower East Side,POINT (-73.983237 40.713266)
23,CASE MANAGEMENT SERVICES CONTRACTS,2MP01,RISEBORO - CMA - BK01 03 04 (2MP),RISEBORO COMMUNITY PARTNERSHIP INC,1175 Gates Avenue,BROOKLYN,NY,11221,BROOKLYN,929-563-5580,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.691707,-73.919907,304.0,34.0,399.0,3076253.0,3033310025.0,Bushwick South,POINT (-73.919907 40.691707)
24,OLDER ADULT CENTER CONTRACTS,C8312,JASA LUNA PARK ANNEX (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2880 West 12th Street,BROOKLYN,NY,11224,BROOKLYN,718-388-6865,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.577347,-73.979625,313.0,47.0,350.0,3196559.0,3072660060.0,West Brighton,POINT (-73.979625 40.577347)
25,TRANSPORTATION SERVICES CONTRACTS,30902,ARC XVI - TRAN GROUP RIDES - MN NORTH (309),ARC XVI FORT WASHINGTON INC,108 WEST  146 STREET,NEW YORK,NY,10039,MANHATTAN,212-281-1349,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.821341,-73.936317,110.0,9.0,232.0,1060189.0,1020140036.0,Central Harlem North-Polo Grounds,POINT (-73.936317 40.821341)
26,OLDER ADULT CENTER CONTRACTS,C9004,WAYSIDE OUT LANGSTON HUGHES SOCIAL CLUB (C90),WAYSIDE OUT-REACH DEVELOPMENT INC,301 Sutter Avenue,BROOKLYN,NY,11212,BROOKLYN,917-962-8277,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.667312,-73.909072,316.0,41.0,906.0,3348344.0,3035260021.0,Brownsville,POINT (-73.909072 40.667312)
27,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6101,SAMUEL FIELD Y CLEARVIEW GARDENS NORC (N61),SAMUEL FIELD YM & YWHA INC,163-59 17TH AVENUE,FLUSHING,NY,11357,QUEENS,718-352-4157,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.782976,-73.798982,407.0,19.0,1017.0,4444920.0,4057300001.0,Ft. Totten-Bay Terrace-Clearview,POINT (-73.798982 40.782976)
28,OLDER ADULT CENTER CONTRACTS,C4704,JCCGCI KINGS HIGHWAY OLDER ADULT CENTER (C47),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,1879 East 3rd Street,BROOKLYN,NY,11223,BROOKLYN,917-596-0761,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.604098,-73.969944,315.0,47.0,41402.0,3178594.0,3066810225.0,Homecrest,POINT (-73.969944 40.604098)
29,OLDER ADULT CENTER CONTRACTS,C0201,ALLEN AME THEODORA JACKSON CENTER (C02),ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,92-47 165th St Jamaica NY 11433,JAMAICA,NY,11433,QUEENS,929-357-9552,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.704457,-73.794108,412.0,27.0,444.0,4216225.0,4101550029.0,Jamaica,POINT (-73.794108 40.704457)
30,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5901,FOREST HILLS COMMUNITY HOUSE NORC (N59),QUEENS COMMUNITY HOUSE INC.,108-03 62ND DRIVE,FLUSHING,NY,11375,QUEENS,718-760-5231,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.735716,-73.850833,406.0,29.0,745.0,4432109.0,4021590002.0,Forest Hills,POINT (-73.850833 40.735716)
31,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6202,SELFHELP BIG SIX NORC (N62),SELFHELP COMMUNITY SERVICES INC,61-10 QUEENS BLVD.,FLUSHING,NY,11377,QUEENS,718-565-6569,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.741347,-73.903226,402.0,26.0,245.0,4437383.0,4023140100.0,Woodside,POINT (-73.903226 40.741347)
32,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6204,SELFHELP FRESH MEADOWS NORC (N62),SELFHELP COMMUNITY SERVICES INC,67-00 192ND STREET,FLUSHING,NY,11365,QUEENS,718-559-4330,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.737813,-73.781534,408.0,23.0,1347.0,4444040.0,4071170003.0,Fresh Meadows-Utopia,POINT (-73.781534 40.737813)
33,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6203,SELFHELP NORTHRIDGE 11-BRULENE NORC (N62),SELFHELP COMMUNITY SERVICES INC,33-45 90TH STREET,FLUSHING,NY,11372,QUEENS,718-396-5425,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.75489,-73.877655,403.0,25.0,277.0,4431400.0,4014380001.0,Jackson Heights,POINT (-73.877655 40.75489)
34,OLDER ADULT CENTER CONTRACTS,C7204,RAICES BLAND SOCIAL CLUB (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,40-15 College Point Blvd,FLUSHING,NY,11354,QUEENS,718-694-0895,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.757803,-73.83414,407.0,20.0,871.0,4443443.0,4050370008.0,Flushing,POINT (-73.83414 40.757803)
35,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6802,JASA BUSHWICK HYLAN NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,50 Humboldt Street,BROOKLYN,NY,11206,BROOKLYN,718-408-7532,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.703179,-73.940761,301.0,34.0,489.0,3338434.0,3031290001.0,Bushwick South,POINT (-73.940761 40.703179)
36,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6201,SELFHELP BOULEVARD GARDENS NORC (N62),SELFHELP COMMUNITY SERVICES INC,51-42 30th AVENUE,FLUSHING,NY,11377,QUEENS,646-648-3202,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.759516,-73.904993,401.0,22.0,295.0,4431254.0,4011110001.0,Woodside,POINT (-73.904993 40.759516)
37,OLDER ADULT CENTER CONTRACTS,C1202,BCA DYKER HEIGHTS OLDER ADULT CENTER (C12),BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,TBD -- 6521 8th AVE OR 911 66th St Broo,BROOKLYN,NY,11219,BROOKLYN,718-622-3333,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,,,,,,,,,
38,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5101,CENTER LIGHT PARKCHESTER ENHANCED NORC (N51),CENTERLIGHT HEALTH SYSTEM INC.,1525 Unionport Road,BRONX,NY,10462,BRONX,718-409-1619,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.836585,-73.856898,209.0,18.0,212.0,2096653.0,2039387501.0,Parkchester,POINT (-73.856898 40.836585)
39,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6901,NEIGHBORHOOD SHOPP NORC -LAFAYETTE ESTATES (N69),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,953 SOUTHERN BLVD,BRONX,NY,10459,BRONX,718-542-0006,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.82084,-73.872649,209.0,17.0,28.0,2092725.0,2036270030.0,Soundview-Castle Hill-Clason Point-Harding Park,POINT (-73.872649 40.82084)
40,OLDER ADULT CENTER CONTRACTS,C2101,CPC BROOKLYN SENIOR CENTER (C21),CHINESE AMERICAN PLANNING COUNCIL INC,4101 8th Ave,BROOKLYN,NY,11232,BROOKLYN,917-922-8382,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.64607,-73.998544,312.0,38.0,92.0,3018218.0,3009230009.0,Sunset Park East,POINT (-73.998544 40.64607)
41,OLDER ADULT CENTER CONTRACTS,C7205,TIMES PLAZA CENTER OAC (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,460 Atlantic Avenue,BROOKLYN,NY,11217,BROOKLYN,718-694-0895,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.686296,-73.983223,302.0,33.0,41.0,3000937.0,3001840025.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.983223 40.686296)
42,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6301,SPRING CREEK NORC (N63),SPRING CREEK SENIOR PARTNERS INC,160 SCHROEDERS AVENUE,BROOKLYN,NY,11239,BROOKLYN,718-348-7620,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.648735,-73.879612,305.0,42.0,1058.0,3343606.0,3044520200.0,Starrett City,POINT (-73.879612 40.648735)
43,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5401,HANAC QUEENSVIEW NORC (N54),HANAC INC.,33-34 Crescent Street,LONG ISLAND CITY,NY,11106,QUEENS,718-433-9045,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.762105,-73.929717,401.0,22.0,45.0,4430862.0,4005570003.0,Astoria,POINT (-73.929717 40.762105)
44,OLDER ADULT CENTER CONTRACTS,C9302,YOUNG AT HEART SENIOR CENTER AT THE FLATBUSH YMCA (C93),YMCA OF GREATER NEW YORK,1401 Flatbush Avenue,BROOKLYN,NY,11210,BROOKLYN,212-630-9645,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.636511,-73.951539,314.0,45.0,788.0,3120877.0,3052280008.0,Flatbush,POINT (-73.951539 40.636511)
45,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6801,JASA CO OP CITY NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2049 Bartow Avenue,BRONX,NY,10475,BRONX,718-320-2066,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.86942,-73.829027,210.0,12.0,46201.0,2097466.0,2051410100.0,Co-op City,POINT (-73.829027 40.86942)
46,OLDER ADULT CENTER CONTRACTS,C7401,PROSPECT HILL NSC (C74),ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH,283 Prospect Avenue,BROOKLYN,NY,11215,BROOKLYN,718-726--964,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.663323,-73.989165,307.0,39.0,141.0,3337801.0,3010530073.0,Park Slope-Gowanus,POINT (-73.989165 40.663323)
47,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6805,JASA TRUMPS UNITED NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,458 NEPTUNE AVENUE,BROOKLYN,NY,11224,BROOKLYN,718-372-8815,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.579782,-73.970866,313.0,48.0,356.0,3196580.0,3072740001.0,West Brighton,POINT (-73.970866 40.579782)
48,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5601,ISABELLA GERIATRIC FT GEORGE VISTAS NORC (N56),ISABELLA GERIATRIC CENTER INC,17 FT. GEORGE HILL,NEW YORK,NY,10040,MANHATTAN,212-304-1064,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.8577,-73.927505,112.0,10.0,283.0,1064067.0,1021700131.0,Washington Heights North,POINT (-73.927505 40.8577)
49,OLDER ADULT CENTER CONTRACTS,C0804,BERGEN BASIN MIDWOOD OLDER ADULT CENTER (C08),BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,2164 Ralph Avenue,BROOKLYN,NY,11234,BROOKLYN,718-253-5557,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.625065,-73.917858,318.0,46.0,692.0,3218178.0,3078390001.0,Flatlands,POINT (-73.917858 40.625065)
50,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6803,JASA CONEY ISLAND ACTIVE AGING NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2950 WEST 35TH STREET,BROOKLYN,NY,11224,BROOKLYN,718-943-7812,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.573838,-74.000493,313.0,47.0,342.0,3189511.0,3070460022.0,Seagate-Coney Island,POINT (-74.000493 40.573838)
51,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6102,SAMUEL FIELD Y DEEPDALE GARDENS NORC (N61),SAMUEL FIELD YM & YWHA INC,57-17 Marathon Parkway,FLUSHING,NY,11362,QUEENS,718-225-3929,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.75942,-73.731285,411.0,23.0,152902.0,4459800.0,4083370001.0,Douglas Manor-Douglaston-Little Neck,POINT (-73.731285 40.75942)
52,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6804,JASA WARBASSE CARES NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2844 OCEAN PARKWAY,BROOKLYN,NY,11235,BROOKLYN,718-996-5200,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.580542,-73.968428,313.0,47.0,356.0,3320735.0,3072530001.0,West Brighton,POINT (-73.968428 40.580542)
53,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N7401,AMALGAMATED PK RESEVOIR NORC (N74),YM YWHA OF THE BRONX dba RIVERDALE YM YWHA,98 VAN CORTLANDT PARK SOUTH,BRONX,NY,10463,BRONX,718-548-4990,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.905009,-73.907133,208.0,11.0,323.0,2086312.0,2059520374.0,North Riverdale-Fieldston-Riverdale,POINT (-73.907133 40.905009)
54,OLDER ADULT CENTER CONTRACTS,C5604,QCH QUEENS CENTER FOR GAY SENIORS (QCGS) OAC (C56),QUEENS COMMUNITY HOUSE INC.,37-06 77th Street,FLUSHING,NY,11372,QUEENS,718-533-6459,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.748907,-73.88902,403.0,25.0,287.0,4029864.0,4012870010.0,Jackson Heights,POINT (-73.88902 40.748907)
