,the_geom,OBJECTID,Segment_ID,StreetName,CENSUS_ID,DEPOT_NUMB,DEPOT_NAME,MOCO_MAINT,Shape_Leng,FromStreet,ToStreet,Length_1,Width,SurfaceTyp,PCI
10,"MULTILINESTRING ((-77.03066736978602 38.99488893919427, -77.03081518502887 38.99497916552249, -77.03093352598384 38.995052753362, -77.03111436370273 38.995224655017545, -77.03195918793452 38.99608280233096))",11009,309,2ND AVE,309,15,Silver Spring,YES,571.469320122,133 ft (0.03 Mi) W of WAYNE AVE,CAMERON ST,571.5,60.0,AC,83.0
11,"MULTILINESTRING ((-77.03195918793452 38.99608280233096, -77.03206831392069 38.99619680512188, -77.03232090766818 38.99650082188752, -77.03238074793204 38.99655571959559, -77.03244586638301 38.99661061547246, -77.03251714228581 38.99666550960111, -77.03260909181448 38.99672434522411, -77.03275647147026 38.996810192936934))",10677,310,2ND AVE,310,15,Silver Spring,YES,351.804038411,CAMERON ST,FENWICK LA,351.8,50.0,AC,79.0
12,"MULTILINESTRING ((-77.03445338462905 38.99788481929602, -77.03449782826134 38.99792822244574, -77.03460959806992 38.99803776007135, -77.03467383989263 38.99809265528746, -77.03473720211272 38.9981475503927, -77.03479264754188 38.9982024478178, -77.03484897275949 38.99825734529011, -77.03490441836026 38.99831224266097, -77.03496162345483 38.99836713947912, -77.0350192684902 38.998422036473215, -77.03507691318343 38.99847693310219, -77.0351341185432 38.99853182983412, -77.03519220369822 38.99858672660899, -77.03525072836555 38.998641622885806, -77.03530925355409 38.998696519468766, -77.03536733897819 38.99875141581862, -77.03542630377062 38.99880631187274, -77.0354843893746 38.99886120849937, -77.03554291492344 38.99891610462675, -77.03560231984332 38.99897100045662, -77.0356643644227 38.999025895787206, -77.03572552895372 38.99908079101689, -77.0357888928632 38.99913568554116, -77.03588130274805 38.999223519728545))",10636,312,2ND AVE,312,15,Silver Spring,YES,634.483687233,SPRING ST,BALLARD ST,634.5,30.0,AC,82.5
13,"MULTILINESTRING ((-77.03588130274805 38.999223519728545, -77.03596227144094 38.99930037437946, -77.03602651544473 38.99935526883826, -77.03608636139286 38.9994101642817, -77.03614532728469 38.99946505996585, -77.0362051734168 38.99951995568343, -77.03626369963152 38.99957485144277, -77.036641703469 38.99992884336386))",10519,313,2ND AVE,313,15,Silver Spring,YES,335.71955804,BALLARD ST,N SPRINGWOOD DR,335.7,30.0,AC,92.0
14,"MULTILINESTRING ((-77.03739684250236 39.00063648017967, -77.03751434100356 39.00074927364216, -77.03756142844065 39.000794476620975, -77.03763183949134 39.00086215270714, -77.03770225063026 39.00092974269075, -77.03777266237928 39.00099741869011, -77.037843072874 39.00106329278103, -77.03796629212114 39.00117882975718))",10358,315,2ND AVE,315,15,Silver Spring,YES,255.359621122,NOYES DR,NOYES LA,255.4,30.0,AC,87.5
15,"MULTILINESTRING ((-77.03796629212114 39.00117882975718, -77.03805430593688 39.001261600914646, -77.038124717688 39.001328847746066, -77.03819513000289 39.00139609453402, -77.0382417781522 39.001440782701955, -77.03830030751465 39.00149567742032, -77.03835883739814 39.00155057210861, -77.03843673045182 39.00162399407117))",10303,317,2ND AVE,317,15,Silver Spring,YES,210.1454732,NOYES LA,WILSON PL,210.1,38.0,AC,84.6199
16,"MULTILINESTRING ((-77.03843673045182 39.00162399407117, -77.03854718971195 39.00172838019381, -77.03859207765757 39.001770151525385, -77.03864268552172 39.00181629686068))",10250,318,2ND AVE,318,15,Silver Spring,YES,91.2767914723,WILSON PL,LEIGHTON WOOD LA,91.3,38.0,AC,79.7225
17,"MULTILINESTRING ((-77.03946035563 39.00258087264223, -77.03989779745518 39.00297927965451))",10145,319,2ND AVE,319,15,Silver Spring,YES,191.071775306,HIGHLAND DR,73 ft (0.01 Mi) SE of METRORAIL TRACK B1 RAIL,191.1,38.0,AC,80.3607
18,"MULTILINESTRING ((-77.04011834173446 39.003288953194904, -77.04036387457114 39.003447776063545, -77.04100860988189 39.004031527411996))",10052,320,2ND AVE,320,15,Silver Spring,YES,371.295523219,16TH ST,GRACE CHURCH RD,371.3,28.0,AC,69.677
19,"MULTILINESTRING ((-77.04100860988189 39.004031527411996, -77.04111071613859 39.004130594121314, -77.04115252669608 39.00417030616207, -77.04122294345295 39.00423617817483, -77.04129336043945 39.00430222159033, -77.04136377828644 39.004368779972715, -77.04146324158691 39.00445995338843, -77.04150461421345 39.004503097738414, -77.04157503235616 39.00456948420869, -77.04164545014919 39.00463578491278, -77.04180169011187 39.00478236665051))",9975,321,2ND AVE,321,15,Silver Spring,YES,354.396476502,GRACE CHURCH RD,HANOVER ST,354.4,28.0,AC,78.4074
20,"MULTILINESTRING ((-77.04291831985566 39.005904952563405, -77.0429843903337 39.00605190895401, -77.04300729697408 39.00610681434876, -77.0430284444798 39.006161720385364, -77.04304695261501 39.006216627724804, -77.04306106176968 39.0062715363436, -77.04307429157448 39.0063264452838, -77.0430875213999 39.00638135455803, -77.04310251042226 39.00643626284591, -77.04315410762337 39.00665289639771))",9763,323,2ND AVE,323,15,Silver Spring,YES,281.097732662,GLEN ROSS RD,LUZERNE AVE,281.1,28.0,AC,86.9133
21,"MULTILINESTRING ((-77.12048302378851 38.94276503420346, -77.12162331530924 38.942400644128845))",13479,8393,64TH ST,8393,14,Bethesda,YES,350.426303319,BROAD ST,RIDGE DR,350.4,24.0,AC,67.1861
22,"MULTILINESTRING ((-77.04315410762337 39.00665289639771, -77.04318100883235 39.006765717413046, -77.04319511862997 39.00682062600913, -77.04320878811407 39.00687553510166, -77.04322245804993 39.006930443855666, -77.04323612757618 39.00698535294372, -77.0432489177429 39.007040262018435, -77.0432621478353 39.00709517092846, -77.04328065639325 39.00715007822008, -77.04330444342851 39.00720498321844, -77.04337312410891 39.00730062797575, -77.04345545847795 39.00742449703447))",9697,324,2ND AVE,324,15,Silver Spring,YES,296.516386124,LUZERNE AVE,ROOKWOOD RD,296.5,24.0,AC,82.6791
23,"MULTILINESTRING ((-77.04345545847795 39.00742449703447, -77.04352722720658 39.00753438400919, -77.04358096068191 39.00764419193357, -77.04359946962808 39.007699098832205, -77.04361357950235 39.00775400736713, -77.04362681000867 39.00780891656379, -77.04364091992576 39.00786382509414, -77.04365415047357 39.00791873428644, -77.04371235838046 39.00815046641758))",9618,325,2ND AVE,325,15,Silver Spring,YES,275.897319156,ROOKWOOD RD,STRATTON RD,275.9,24.0,AC,69.0815
24,"MULTILINESTRING ((-77.04371235838046 39.00815046641758, -77.04375072280665 39.00830309541192, -77.0437643930034 39.008358004086126, -77.04377762373818 39.008412913258695, -77.0437908540623 39.008467822093124, -77.04380408483767 39.008522730925264, -77.04381731520279 39.0085776400916, -77.04383054601897 39.00863254891945, -77.04384245710813 39.00868745823971, -77.04385436778499 39.00874236789443, -77.04386583899438 39.00879727737591, -77.0438795086427 39.008850298445594, -77.04391875066916 39.0089988086344))",9519,326,2ND AVE,326,15,Silver Spring,YES,314.513053474,STRATTON RD,SEMINARY RD,314.5,24.0,AC,76.8981
25,"MULTILINESTRING ((-77.04392319421126 39.011210806892635, -77.04387090209423 39.011303579695046, -77.04383530819624 39.01136674391661, -77.04379707463862 39.01142990911455, -77.04376323954475 39.01149247225767, -77.0437232469213 39.01155623882023, -77.04362481727604 39.01173774856658))",9012,327,2ND AVE,327,15,Silver Spring,YES,209.849237654,LOCUST GROVE RD,OSBORN DR,209.8,22.0,AC,74.71
26,"MULTILINESTRING ((-77.04362481727604 39.01173774856658, -77.0435861487118 39.01180889347694, -77.04354131609475 39.01187206137931, -77.04350836080467 39.01193522451167, -77.04347540588702 39.01199838763371, -77.0434420105434 39.012061550909124, -77.0433936585738 39.01212471972181, -77.04327801843758 39.012220432983575))",8944,328,2ND AVE,328,15,Silver Spring,YES,203.703052488,OSBORN DR,LANSDOWNE WAY,203.7,22.0,AC,85.36
27,"MULTILINESTRING ((-77.04409250485776 39.003305541585405, -77.04427863500017 39.00341555682034, -77.04438952174205 39.0034818405665, -77.04445992544098 39.00352308493858, -77.04453032911594 39.00356347136528, -77.04460073238624 39.0036037720264, -77.0446711358437 39.00364424409088, -77.04474153970433 39.00368454466643, -77.04481194342972 39.00372518842765, -77.04488234842485 39.003767719733325, -77.04495275388079 39.00381016527308, -77.0450231589898 39.00385261077024, -77.04512172408664 39.003908430599004))",10051,594,3RD AVE,594,15,Silver Spring,YES,365.751958682,HANOVER ST,LANIER DR,365.8,25.0,AC,32.7174
28,"MULTILINESTRING ((-77.04305362106525 39.00269423841351, -77.04319266557394 39.00277544253189, -77.04326306793392 39.00281677368956, -77.04333347070192 39.002857933022085, -77.04340387301599 39.00289892086601, -77.0434742754634 39.00293999439023, -77.04354467842285 39.00298106787159, -77.04361508098015 39.00302205558732, -77.04368548372362 39.00306321470643, -77.04375588729566 39.00310488879314, -77.04382629088866 39.00314716323463, -77.04389669461825 39.00318952369257, -77.04409250485776 39.003305541585405))",10130,595,3RD AVE,595,15,Silver Spring,YES,369.775322623,GRACE CHURCH RD,HANOVER ST,369.8,25.0,AC,23.4406
29,"MULTILINESTRING ((-77.04512172408664 39.003908430599004, -77.04523437040137 39.00397231026147, -77.04530477480166 39.00401312550584, -77.04537517976787 39.0040540260942, -77.04544558438431 39.00409492697617, -77.04551598945746 39.00413574175606, -77.0455863942353 39.00417664221641, -77.04565679925929 39.0042178004754, -77.04572720451988 39.00425852940413, -77.04579760948525 39.004299344013326, -77.04586801464195 39.00434033036197, -77.0459384203105 39.00438131666772, -77.04613380444445 39.00450908609629, -77.04614921500668 39.004531989580315, -77.04615671011119 39.00455884280583, -77.04615936046284 39.00457583105445, -77.0461558491235 39.0045878447562))",9991,596,3RD AVE,596,15,Silver Spring,YES,391.608325259,LANIER DR,GLEN ROSS RD,391.6,25.0,AC,92.3232
30,"MULTILINESTRING ((-77.04432966566672 39.002012828646805, -77.04469703707198 39.00216147150297))",10204,784,4TH AVE,784,15,Silver Spring,YES,117.602832296,GRACE CHURCH RD,TALBOT AVE,117.6,18.0,AC,64.8692
31,"MULTILINESTRING ((-77.04469703707198 39.00216147150297, -77.04533327559196 39.00248847969662))",10187,822,4TH AVE,822,15,Silver Spring,YES,216.509189302,TALBOT AVE,HANOVER ST,216.5,18.0,AC,27.0315
32,"MULTILINESTRING ((-76.99110219623381 38.993765166302275, -76.99114748409758 38.993860325519535, -76.99117958114012 38.99393171620965, -76.99120947912108 38.99400310672466, -76.99123937673117 38.994074497230955, -76.99126751552774 38.99414588759722, -76.99128993706697 38.99421727753015, -76.99130840020865 38.99428866716365, -76.99132246511353 38.99436005646701, -76.99133257202692 38.994431445810605, -76.991338720937 38.99450283452309, -76.99134135079899 38.99457422297379, -76.99134046246387 38.99464561116299, -76.99133561609148 38.99471699905802, -76.99132725106915 38.99478838669098, -76.99131448772539 38.99485977399582, -76.99129820613956 38.99493116103653, -76.99128236435244 38.99500254810669, -76.99126608227101 38.995073935140795, -76.99125243958112 38.99514532236898, -76.99124583375583 38.99521671012129, -76.99124538515011 38.995288098333134, -76.99125153361598 38.99535948703747, -76.99126383977008 38.995430876200416, -76.99128318286903 38.99550226588556, -76.99131484052162 38.99557365681756, -76.99135045675557 38.99564504769648, -76.99138695273241 38.99571643862829, -76.9914674253246 38.99583253621889))",11141,2124,10TH AVE,2124,13,Colesville,YES,776.571040231,NAVAHOE DR,OSAGE ST,776.6,24.0,AC,50.8462
33,"MULTILINESTRING ((-76.9901970553104 38.993956778429805, -76.99023838057721 38.99407441798385, -76.99026124088871 38.994145808151686, -76.99028366098872 38.994217198277425, -76.99030696121832 38.99428858847075, -76.99032806192696 38.99435997847652, -76.9903434457777 38.99443136834183, -76.99035355172016 38.994502757432755, -76.99035881956713 38.994574146123114, -76.99035880990571 38.99464553437736, -76.99035352272003 38.994716922195444, -76.99034295756344 38.99478830957664, -76.99032535552898 38.994859696374114, -76.99030335515017 38.99493108280333, -76.99028135472727 38.99500246922738, -76.99025847502749 38.99507385557301, -76.9902391135089 38.99514524220674, -76.99022239094754 38.99521662905676, -76.99021182558543 38.995288016418705, -76.99021225561017 38.99535940469914, -76.99022148188483 38.995430793714085, -76.99023906460143 38.99550218342481, -76.99026456395018 38.99557357412709, -76.99029973929623 38.99564496528932, -76.9903467898474 38.99571635742043, -76.99039999819962 38.99578775003703, -76.99045188671782 38.995859142520644, -76.99050421517707 38.99593053501587, -76.99055654417201 38.99600192748668, -76.99064361453019 38.99610215259306))",11120,2312,11TH AVE,2312,13,Colesville,YES,820.905985167,NAVAHOE DR,OSAGE ST,820.9,24.0,AC,62.7642
34,"MULTILINESTRING ((-76.99196607151133 38.996760790296925, -76.99175012381906 38.99672199209682, -76.99148183427259 38.996708930848, -76.99129798578376 38.99673508741828, -76.99107982874122 38.99678080411995, -76.99056917386373 38.99694413322808, -76.99045173691137 38.99697681481241))",10790,2313,11TH AVE,2313,13,Colesville,YES,448.971614554,CARROLL AVE,RUATAN ST,449.0,34.0,AC,31.5621
35,"MULTILINESTRING ((-76.99045173691137 38.99697681481241, -76.99033473970668 38.997009410255636, -76.99002772413473 38.99714409555265, -76.98988521081928 38.99721547153431, -76.98976688785653 38.99728684945985, -76.9896661576308 38.997358228820005, -76.98957818231608 38.99742960922937, -76.98950428106023 38.99750099083507, -76.98943917616978 38.99757237318746, -76.98938110828055 38.99764375614152, -76.9893265590597 38.99771513938678, -76.98927552851787 38.99778652292819, -76.98922625683883 38.997857906608274, -76.98917742491044 38.99792929064339, -76.9891299124338 38.99800067444351, -76.98908371984363 38.99807205834643, -76.98903796615004 38.99814344227123, -76.98899001397044 38.99821482597016, -76.98893942215419 38.998286209398835, -76.98888575170292 38.99835759251214, -76.98882284467228 38.99842897471767, -76.98866932076196 38.99857173634355))",10665,2314,11TH AVE,2314,13,Colesville,YES,792.064884988,RUATAN ST,QUEBEC ST,792.1,34.0,AC,29.6681
36,"MULTILINESTRING ((-76.98866932076196 38.99857173634355, -76.98847928970777 38.99871397949946, -76.98837019936519 38.998785356899184, -76.98824351541731 38.99885698993495, -76.98808164489263 38.998923642606215, -76.98795056365829 38.998987123447215, -76.9878115677271 38.99903335683492, -76.9877411899946 38.999055143321605, -76.9876708130656 38.99907452750186, -76.98760043653145 38.999091423316415, -76.98753006014897 38.99910480107939, -76.98745968451826 38.999116205487745, -76.98738930904727 38.99912658016793, -76.98731893315558 38.999136783023324, -76.98724855764378 38.9991471576188, -76.98717818218869 38.99915710322023, -76.98710780639192 38.99916644770899, -76.98703743099178 38.99917587855088, -76.98696705514226 38.99918530901421, -76.98689623986344 38.99919465366286, -76.98682586443925 38.999203912258885, -76.98675548858184 38.99921308542557, -76.98668511302488 38.99922285894786, -76.98661473738413 38.99923297565639, -76.98654436130876 38.99924300659941, -76.9864739856281 38.99925312322322, -76.98640360994382 38.99926315408157, -76.98633323379246 38.99927327062062, -76.9862628575224 38.99928613294605, -76.98619248042864 38.999303113635946, -76.98612210200129 38.99932455591881, -76.98605172300465 38.99935088941872, -76.98598134292601 38.99938245635558, -76.98591096120015 38.999419858135624, -76.98586081341341 38.99945254317938))",10572,2315,11TH AVE,2315,13,Colesville,YES,879.409745137,QUEBEC ST,Dead End,879.4,24.0,AC,58.592
37,"MULTILINESTRING ((-77.02963666007511 38.98692417176399, -77.02955753190902 38.98699317755111, -77.02951313076757 38.98702965513028, -77.02946125364576 38.98706493344042, -77.02940541676527 38.98709618002862, -77.02932539452675 38.98713095033789, -77.02926559465995 38.9871504426632, -77.02918996276696 38.987168308822014, -77.02907914837198 38.987182408159576, -77.02774098663895 38.987273169941915))",11852,2716,13TH ST,2716,15,Silver Spring,YES,571.767112701,EASTERN AVE,KENNETT ST,571.8,44.0,AC,69.84
38,"MULTILINESTRING ((-77.02774098663895 38.987273169941915, -77.02714600355552 38.98731569619116, -77.02665787347108 38.98733502863439))",11892,2717,13TH ST,2717,15,Silver Spring,YES,308.754521013,KENNETT ST,BURLINGTON AVE,308.8,44.0,AC,63.05
39,"MULTILINESTRING ((-77.09154061430137 38.98153925826403, -77.09165691254512 38.98170236549176, -77.09208210261824 38.98236168862393, -77.09216131910058 38.98241139222232))",12344,7342,47TH ST,7342,14,Bethesda,YES,365.707944891,WILLOW LA,ELM ST,365.7,22.0,AC,72.8985
40,"MULTILINESTRING ((-77.11932793196014 38.940595801756054, -77.12046640380622 38.94021194743421))",13489,8273,61ST ST,8273,14,Bethesda,YES,352.705763407,BROAD ST,RIDGE DR,352.7,24.0,AC,69.3155
41,"MULTILINESTRING ((-77.11971896216942 38.941319503658754, -77.12107885705736 38.94088667939069))",13486,8335,62ND ST,8335,14,Bethesda,YES,417.680815524,BROAD ST,RIDGE DR,417.7,24.0,AC,65.9852
42,"MULTILINESTRING ((-77.12010120835367 38.94204209776382, -77.12145933403971 38.94159597127374))",13482,8387,63RD ST,8387,14,Bethesda,YES,419.065758613,BROAD ST,RIDGE DR,419.1,24.0,AC,57.9045
43,"MULTILINESTRING ((-77.15436611723884 38.97312271654904, -77.15426102372619 38.97413336562135, -77.15420227446278 38.97482055895028))",12831,8793,75TH PL,8793,14,Bethesda,YES,620.128185229,MAC ARTHUR BLV,ARDEN RD,620.1,20.0,AC,33.426
44,"MULTILINESTRING ((-77.15314940637512 38.972859354424116, -77.15312237325946 38.97316948467617, -77.15307215942006 38.97374143191166, -77.15304984403679 38.973996469884966, -77.15300779697138 38.97448157294453))",12835,8794,75TH ST,8794,14,Bethesda,YES,592.18843732,MAC ARTHUR BLV,ARDEN RD,592.2,28.0,AC,51.1002
45,"MULTILINESTRING ((-77.15300779697138 38.97448157294453, -77.15298724449137 38.97473892511653))",12744,8795,75TH ST,8795,14,Bethesda,YES,93.9106295599,ARDEN RD,ARDEN RD,93.9,28.0,AC,50.1773
46,"MULTILINESTRING ((-77.15298724449137 38.97473892511653, -77.15295068655094 38.975118825879385, -77.15296503465355 38.97524845657098, -77.15298976212081 38.97529716064144, -77.15303650291577 38.97535939301306, -77.15309334925308 38.97541835161291))",12516,8796,75TH ST,8796,14,Bethesda,YES,258.367767451,ARDEN RD,Dead End,258.4,28.0,AC,41.5174
47,"MULTILINESTRING ((-77.15698494254225 38.97497035958949, -77.15698522702927 38.97509949366449, -77.15692768235742 38.975723106256844, -77.15688332199457 38.97634429877673, -77.15686163740256 38.97648075551651, -77.1568406518025 38.97653526893107, -77.15678930381752 38.976579097847186))",12716,8819,76TH PL,8819,14,Bethesda,YES,593.774785733,TOMLINSON AVE,CABIN RD,593.8,20.0,AC,35.5659
48,"MULTILINESTRING ((-77.1557153364097 38.97386012684221, -77.1556941519038 38.97402489813648, -77.15561732810282 38.97488535404192))",12777,8820,76TH ST,8820,14,Bethesda,YES,374.453420203,TOMLINSON AVE,ARDEN RD,374.5,20.0,AC,39.8871
49,"MULTILINESTRING ((-77.15561732810282 38.97488535404192, -77.1555775899635 38.97541344277809, -77.15548012865037 38.9764897221055))",12723,8821,76TH ST,8821,14,Bethesda,YES,585.626868887,ARDEN RD,CABIN RD,585.6,20.0,AC,47.4839
50,"MULTILINESTRING ((-77.15854371082798 38.973620623816046, -77.15851535864421 38.973722682848255, -77.15847965991364 38.97408001812271, -77.15842592009908 38.974826754539116, -77.15838309628329 38.975341806344886, -77.15832561793339 38.97599004506684, -77.15826246992835 38.97606563794182))",12791,8839,77TH ST,8839,14,Bethesda,YES,898.467193255,MAC ARTHUR BLV,TOMLINSON AVE,898.5,25.0,AC,54.331
51,"MULTILINESTRING ((-77.16038496690821 38.97219926282838, -77.16023883491577 38.97271411401449))",12869,8852,78TH ST,8852,14,Bethesda,YES,192.058166624,Dead End,WOODROW PL,192.1,18.0,AC,87.3
52,"MULTILINESTRING ((-77.1599715461414 38.973903805106076, -77.16000571211747 38.97404215975553, -77.15996343215785 38.974598311456184, -77.15990661336271 38.97533784553231, -77.1598274747796 38.976320491636415, -77.15979627701765 38.976525862219816))",12774,8853,78TH ST,8853,14,Bethesda,YES,957.96214506,MAC ARTHUR BLV,TOMLINSON AVE,958.0,22.0,AC,30.6572
53,"MULTILINESTRING ((-77.16331539071304 38.97297464812529, -77.1633083587821 38.97297585942183, -77.1632697973171 38.97303262941268, -77.16308223378276 38.97349477243764))",12834,8865,79TH ST,8865,14,Bethesda,YES,202.009106727,RIVERSIDE DR,WOODROW PL,202.0,26.0,AC,60.3934
54,"MULTILINESTRING ((-77.16308223378276 38.97349477243764, -77.16273482810682 38.97462391863449, -77.16270071151871 38.974702219044445))",12799,8866,79TH ST,8866,14,Bethesda,YES,453.055046307,WOODROW PL,MAC ARTHUR BLV,453.1,26.0,AC,69.7882
55,"MULTILINESTRING ((-77.163122126046 38.974787521410256, -77.16305462357734 38.975071025061965, -77.16299931518506 38.97530363046578, -77.16296099043088 38.975464565676276, -77.16268645337672 38.97673827456812))",12511,8867,79TH ST,8867,14,Bethesda,YES,721.211147384,MAC ARTHUR BLV,450 ft (0.09 Mi) E of 79TH PL,721.2,18.0,AC,38.616
56,"MULTILINESTRING ((-77.16372740972956 38.97490697245064, -77.16374437462733 38.975018750856165, -77.16389232170452 38.97702266010995))",12721,8882,79TH PL,8882,14,Bethesda,YES,772.037696621,MAC ARTHUR BLV,79TH ST,772.0,18.0,AC,21.1197
57,"MULTILINESTRING ((-77.16393172681859 38.97752301204673, -77.16391361026179 38.97767559624739))",12587,8883,79TH PL,8883,14,Bethesda,YES,55.8099489416,SPRING RD,Dead End,55.8,20.0,AC,91.18
