,ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated
37,275763135,Passport - app,255.0,02/27/2021 06:08:00 PM,02/27/2021 10:23:00 PM,11.5,,39718,East Austin PTMD,App - Wallet,East Austin,05/04/2023 09:03:17 PM
38,275763136,Passport - app,150.0,02/27/2021 06:07:00 PM,02/27/2021 08:37:00 PM,5.5,,39306,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
39,275763203,Passport - app,60.0,02/27/2021 06:07:00 PM,02/27/2021 07:07:00 PM,2.25,,39186,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
40,275763255,Passport - app,45.0,02/27/2021 06:08:00 PM,02/27/2021 06:53:00 PM,1.75,,39735,East Austin PTMD,App - Wallet,East Austin,05/04/2023 09:03:17 PM
41,275763257,Passport - app,90.0,02/27/2021 06:08:00 PM,02/27/2021 07:38:00 PM,3.25,,39197,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
42,275763264,Passport - app,165.0,02/27/2021 06:08:00 PM,02/27/2021 08:53:00 PM,6.25,,39177,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
43,275763267,Passport - app,135.0,02/27/2021 06:08:00 PM,02/27/2021 08:23:00 PM,4.75,,39722,East Austin PTMD,App - Wallet,East Austin,05/04/2023 09:03:17 PM
44,275763381,Passport - app,531.0,02/27/2021 06:09:00 PM,02/28/2021 03:00:00 AM,5.25,,39003,MACC Lot,App - Wallet,MACC Lot,05/04/2023 09:03:19 PM
45,275763383,Passport - app,150.0,02/27/2021 06:06:00 PM,02/27/2021 08:36:00 PM,5.25,,39113,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
46,275763388,Passport - app,180.0,02/27/2021 06:09:00 PM,02/27/2021 09:09:00 PM,7.5,,39112,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
47,275763409,Passport - app,135.0,02/27/2021 06:09:00 PM,02/27/2021 08:24:00 PM,5.0,,39202,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
48,275763438,Passport - app,120.0,02/27/2021 06:09:00 PM,02/27/2021 08:09:00 PM,4.25,,39291,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
49,275763499,Passport - app,150.0,02/27/2021 06:10:00 PM,02/27/2021 08:40:00 PM,5.25,,39113,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
