,Customer,Address Line 1,Address Line 2,City,State,Zip,Date Enrolled,VAT202 Category,Status,Observation Date,Crash Notification,Conviction Notification,Suspension Notification,Point Insurance Reduction Course Completion Notification,Driver Status Change Notification,License Expiration Notification,Hazardous Material Endorsement Notification,CDL Medical Certification Status Change Notification,Ticket Notification,Drivers Monitored,Latest Driver Add Date,Latest Driver Drop Date,LENS Internet Interface Users
16,A PLUS TOWELS & LINEN,151 VERDI ST,,FARMINGDALE,NY,11735,08/01/2019,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,N,Y,N,N,Y,N,0,,,0
17,A POTTS CONSTRUCTION COMPANY LLC,1050 KINGS ROAD,,SCHENECTADY,NY,12303,03/06/2008,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,N,Y,N,2,03/21/2016,06/01/2023,1
18,A REAL ADVANTAGE INC,178-16 ELEVETH ROAD,,JAMAICA,NY,11434,02/06/2020,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,N,N,2,03/10/2020,,0
19,A SUPINO AND SONS SEPTIC AND EXCAVATION INC,3 BARGER ST,,PUTNAM VALLEY,NY,10579,04/22/2022,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,3,01/04/2023,08/09/2022,1
20,A THORP ENTERPRISES LTD,123 MAPLECREST DRIVE S,,RONKONKOMA,NY,11779,12/20/2019,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,1,01/03/2020,,1
21,A TO Z PLUMBING AND HEATING INC.,311 MONTAUK HWY,PO BOX 317,SPEONK,NY,11972,12/26/2019,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,0
22,A V M COMPANY INC,62 MARWAY CIRCLE,,ROCHESTER,NY,14624,02/09/2012,PAYING,NOT ACTIVE,06/12/2024,N,Y,Y,Y,Y,Y,N,N,N,11,04/17/2015,,0
23,A VANDERPOOL LLC,417 WODDSIDE AVE,,WEST LAWN,PA,19609,10/14/2020,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,0
24,A VERY SPECIAL PLACE INC,49 CEDAR GROVE AVE,,STATEN ISLAND,NY,10306,04/05/2012,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,N,N,N,53,05/29/2024,03/06/2024,1
25,A W GRIFFITH TRANSPORTATION CONSULTING,24 LYNN DRIVE,,SWAN LAKE,NY,12783,09/29/2017,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,9,06/03/2024,04/11/2023,1
26,A WASH CORP,429 JERICHO TPKE,,NEW HYDE PARK,NY,11040,03/20/2024,PAYING,ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,N,N,13,06/04/2024,,1
27,A YANKEE LINE INC,370 W FIRST ST,,SOUTH BOSTON,MA,2127,02/24/2017,PAYING,NOT ACTIVE,06/12/2024,N,N,N,N,N,N,N,Y,N,8,08/07/2020,,0
28,"A 2 Z RENTALS, INC.",2300 LOCKPORT ROAD,,SANBORN,NY,14132,07/20/2009,PAYING,ACTIVE,06/12/2024,Y,N,Y,Y,Y,Y,N,N,N,1,10/26/2009,,0
29,"A 24 HOUR DOOR NATIONAL, INC.",344 SYCAMORE STREET,,BUFFALO,NY,14204,09/13/2019,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,N,N,3,10/19/2020,,0
30,"A. AUTOMATIC SPRINKLER INSTALLATIONS, INC.",1358 UTICA AVENUE,,BROOKLYN,NY,11203,02/20/2018,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,N,N,N,8,06/10/2024,08/21/2023,1
31,A. DILEMME CONTRACTING INC,46 SATTERIE AVENUE,,VALLEY STREAM,NY,11580,11/13/2018,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,Y,N,0,,,0
32,A. DUIE PYLE INC,650 WESTTOWN RD,,WEST CHESTER,PA,19381,03/09/2017,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,389,06/11/2024,04/02/2024,3
33,"A. L. SMITH TRUCKING, INC",8984 MURPHY ROAD,,VERSAILLES,OH,45380,02/26/2019,PAYING,NOT ACTIVE,06/12/2024,N,N,Y,N,N,Y,N,Y,N,0,,,0
34,A. MONTILLI PLUMBING & HEATING CORP,205 IRVING PLACE,,WOODMERE,NY,11598,07/15/2021,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,5,04/03/2024,07/20/2023,1
35,A. SUPERIOR CONCRETE INC.,8443 SLAYTON SETTLEMENT,,GASPORT,NY,14067,05/18/2020,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,N,N,Y,N,Y,N,0,,,0
36,A.A. PASTOSA LLC,7425 NEW UTRECHT AVE.,,BROOKLYN,NY,11204,03/24/2018,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,4,04/18/2018,,0
37,A.C. ROMAN AND ASSOCIATES,1350 RXR PLAZA WEST TOWER,,UNIONDALE,NY,11556,07/09/2020,PAYING,ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,Y,N,N,11,05/18/2021,,0
38,A.CHILELLI LANDSCAPING & DESIGN INC,177 EVANS AVENUE,,ELMONT,NY,11003,10/12/2016,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,0
39,A.COLARUSSO & SON INC.,91 NEWMAN RD.,PO BOX 302,HUDSON,NY,12534,07/19/2007,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,120,05/24/2024,05/31/2024,1
40,"A.D. CALL & SONS EXCAVATING & TRUCKING, INC",6400 MAIN ROAD,PO BOX 60,STAFFORD,NY,14143,01/03/2009,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,13,05/17/2022,05/17/2022,1
41,A.D. WINSTON CORP,43-15 36TH STREET,,LONG ISLAND CITY,NY,11101,09/01/2017,PAYING,ACTIVE,06/12/2024,Y,Y,Y,N,N,Y,N,N,N,21,07/20/2023,06/07/2023,1
42,"A.D.BOWMAN & SON LUMBER CO., INC.",1690 US HWY 11,,CASTLE CREEK,NY,13744,07/24/2014,PAYING,ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,Y,N,8,07/02/2021,11/17/2021,1
43,"A.H. INDUSTRIES,INC.",310 LAKE AVENUE,,BUFFALO,NY,14219,07/24/2009,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,N,N,3,08/18/2012,,0
44,A.L. BURKE INC,16 CANAL STREET,,PORT CRANE,NY,13833,09/17/2020,PAYING,ACTIVE,06/12/2024,Y,Y,Y,N,Y,Y,N,N,N,8,12/06/2022,12/06/2022,1
45,A.M.A. SIGN & ELECTRIC COMPANY,30 WARREN PLACE,,MOUNT VERNON,NY,10550,07/31/2015,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,4,07/13/2020,10/19/2023,1
46,"A.N. MARTIN SYSTEMS, LLC",1110 CLYDE MARENGO RD.,,CLYDE,NY,14433,03/11/2015,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,57,04/09/2024,01/03/2024,1
47,"A.R. ARENA PRODUCTS, INC",100 METRO PARK,,ROCHESTER,NY,14623,03/11/2022,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,N,N,N,17,06/16/2023,06/16/2023,1
48,A.R. FUELS,500 BI-COUNTY ROAD  SUITE 209,,FARMINGDALE,NY,11735,08/23/2001,PAYING,ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,Y,N,4,01/25/2019,09/27/2023,1
49,A.R.J.R. TRUCKING CORP,225 RAILROAD AVE,,BEDFORD HILLS,NY,10507,10/23/2008,PAYING,NOT ACTIVE,06/12/2024,Y,Y,Y,Y,Y,Y,Y,N,N,8,02/15/2014,,0
