,License Num,DBA Indicator,Business Name,Business Address, Note,City,State,Zip Code ,License Expiration,License Type,New Georeferenced Column
14,M0925,DBA,CM TRAILERS,200 COUNTY RD,,MADILL,OK,73446,06/30/2026 12:00:00 AM,MANUFACTURER LICENSE,POINT (-96.770920035 34.111473991)
15,M1007,,GENESIS MOTOR AMERICA LLC,10550 TALBERT AVE,,FOUNTAIN VALLEY,CA,92708-6031,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-117.942690979 33.700430991)
16,M1032,,BETA USA INC,1228 11TH ST STE 103,,PASO ROBLES,CA,93446-5602,06/30/2026 12:00:00 AM,MANUFACTURER LICENSE,POINT (-120.684566992 35.625501981)
17,M0726,,POLARIS INDUSTRIES INC,2100 HWY 55,,MEDINA,MN,55340,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-93.576580087 45.057165942)
18,M1028,,SPARTAN FIRE LLC,907 N 7TH AVE,,BRANDON,SD,57005-2031,06/30/2026 12:00:00 AM,MANUFACTURER LICENSE,POINT (-96.579074029 43.60501798)
19,M0877,,BRP US INC,10101 SCIENCE DR,,STURTEVANT,WI,53177,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-87.90940439 42.712670224)
20,M0536,,FERRARI NORTH AMERICA INC,250 SYLVAN AVE,,ENGLEWOOD CLIFFS,NJ,07632,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-73.955470032 40.872030012)
21,M0531,DBA,MAZDA NORTH AMERICAN OPERATIONS,200 SPECTRUM CTR DRIVE,SUITE 100,IRVINE,CA,92618,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-117.74789798 33.652719019)
22,M1056,,HALCORE GROUP INC,101 AEV LANE,,JEFFERSON,NC,28640,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-81.480726274 36.426079765)
23,M0942,,KTM NORTH AMERICA INC,38429 INNOVATION CT,,MURRIETA,CA,92563-2570,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-117.134179975 33.560200996)
24,M0736,,CROSS COUNTRY MANUFACTURING INC,2355 ST HWY 206,BOX 565,GREENE,NY,13778,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-75.654767545 42.318017484)
25,M0919,,P L CUSTOM BODY & EQUIP CO INC,2201 ATLANTIC AVE,,MANASQUAN,NJ,08736,06/30/2026 12:00:00 AM,MANUFACTURER LICENSE,POINT (-74.082864986 40.135976998)
26,M1030,,SCUDERIA CAMERON GLICKENHAUS LLC,8 KENDALL AVE,,SLEEPY HOLLOW,NY,10591-2211,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-73.86366313 41.08435263)
27,M1042,,LIVEWIRE EV LLC,3700 W JUNEAU AVE,,MILWAUKEE,WI,53208-2818,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-87.961988984 43.045525985)
28,M1047,,XOS FLEET INC,3550 TYBURN ST,,LOS ANGELES,CA,90065-1427,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-118.252178001 34.118842983)
29,M0594,,HINO MOTORS SALES U.S.A. INC,41180 BRIDGE ST,,NOVI,MI,48375,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-83.452549215 42.483673227)
30,M0965,,"TESLA,  INC.",1 TESLA RD,,AUSTIN,TX,78725-4400,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-97.6194664 30.228666508)
31,M0768,,MASERATI NORTH AMERICA INC,ONE CHRYSLER DRIVE,,AUBURN HILLS,MI,48326,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-83.224215113 42.650564584)
32,M0901,,THE BRAUN CORP,631 WEST 11TH ST,,WINAMAC,IN,46996,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-86.616554971 41.054264992)
33,M0966,,RIVERSIDE RV INC,1775 US 20,,LAGRANGE,IN,46761,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-85.392061009 41.642813986)
34,M0768,DBA,ALFA ROMEO,ONE CHRYSLER DRIVE,,AUBURN HILLS,MI,48326,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-83.224215113 42.650564584)
35,M1014,,KELLERMAN COACHWORKS INC,3344 STATE ROUTE 134,,AMELIA,OH,45102,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-84.2161243 39.0320861)
36,M0010,,AMERICAN HONDA MOTOR CO INC,555 OLD COUNTY RD,,WINDSOR LOCKS,CT,06096-1558,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-72.658691962 41.908692984)
37,M0842,,HEARTLAND RECREATIONAL VEHICLES LLC,2831 DEXTER DR,,ELKHART,IN,46514,06/30/2026 12:00:00 AM,MANUFACTURER LICENSE,POINT (-86.000984984 41.72582999)
38,M1025,,ROADCLIPPER ENTERPRISES INC,4006 FM ROAD 3417,,MT PLEASANT,TX,75455-8784,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-94.973930016 33.096591017)
39,M1037,,LOAD TRAIL LLC,220 FARM ROAD 2216,,SUMNER,TX,75486-4648,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-95.838719968 33.719824997)
40,M0903,,NAVISTAR INC,2701 NAVISTAR DRIVE,,LISLE,IL,60532,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-88.107694037 41.810099004)
41,M1012,,CRAFCO INC,6165 W DETROIT ST,,CHANDLER,AZ,85226-2633,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-111.948844656 33.308196647)
42,M0988,DBA,DBA WOLF BRAND SCOOTERS AND QUALITY SCOOTER PARTS,13000 AUTOMOBILE BLVD STE 501,,CLEARWATER,FL,33762-4751,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-82.697059029 27.891040015)
43,M0590,,JAYCO INC,903 S MAIN ST,BOX 460,MIDDLEBURY,IN,46540,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-85.708131011 41.653153986)
44,M0980,,BWISE MANUFACTURING LLC,1002 WAYNE AVE,SUITE 1,CHAMBERSBURG,PA,17201,06/30/2026 12:00:00 AM,MANUFACTURER LICENSE,POINT (-77.654482023 39.913144018)
45,M0566,,TRIUMPH MOTORCYCLES AMERICA LTD,100 HARTSFIELD CENTRE PKWY,SUITE 200,ATLANTA,GA,30354,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-84.428765003 33.655305004)
46,M0599,DBA,DBA ASTON MARTIN THE AMERICAS,11 W 42ND ST,,NEW YORK,NY,10036,06/30/2026 12:00:00 AM,MANUFACTURER LICENSE,POINT (-73.981913595 40.754094329)
47,M0531,,MAZDA MOTOR OF AMERICA INC,200 SPECTRUM CTR DRIVE,SUITE 100,IRVINE,CA,92618,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-117.74789798 33.652719019)
48,M0815,,IC BUS LLC,2701 NAVISTAR DRIVE,,LISLE,IL,60532,06/30/2024 12:00:00 AM,MANUFACTURER LICENSE,POINT (-88.107694037 41.810099004)
49,M0915,,MERCEDES BENZ USA LLC,ONE MERCEDES DR,,SANDY SPRINGS,GA,30328,06/30/2025 12:00:00 AM,MANUFACTURER LICENSE,POINT (-84.362977959 33.933463993)
