,X,Y,OBJECTID,id,name,status,state,district,county,highway,milemarker,description,direction,snapshot,latitude,longitude,updateTS,EXTRACT_DT,UpdateIndicator
13,-9545408.65546589,4614704.683503,14,,,,,5.0,Jefferson,,,I-65 near M. Ali Exit,,http://www.trimarc.org/images/snapshots/CCTV070.jpg,38.2493,-85.74786,2021/05/15 03:00:17+00,,
14,-9531855.61474904,4613190.05822063,15,41.0,CCTV05029,Online,Kentucky,5.0,Jefferson,I-64,12.1,I-64 at I-264,West,http://www.trimarc.org/images/milestone/CCTV_05_64_0121.jpg,38.238614,-85.626111,2021/05/15 03:00:17+00,,
15,-9547298.08179834,4615961.65476165,16,75.0,CCTV05063,Online,Kentucky,5.0,Jefferson,I-64,4.0,I-64 at Frazier Museum,East,http://www.trimarc.org/images/milestone/CCTV_05_64_0041.jpg,38.258167,-85.764833,2021/05/15 03:00:17+00,,
16,-9528674.32524289,4611918.12019325,17,42.0,CCTV05030,Online,Kentucky,5.0,Jefferson,I-64,13.8,I-64 at Oxmoor Farm Rd.,West,http://www.trimarc.org/images/milestone/CCTV_05_64_0138.jpg,38.229639,-85.597533,2021/05/15 03:00:17+00,,
17,-9540736.79674916,4598782.33130226,18,45.0,CCTV05033,Online,Kentucky,5.0,Jefferson,I-65,126.7,I-65 at Outer Loop,North,http://www.trimarc.org/images/milestone/CCTV_05_65_1267.jpg,38.136886,-85.705892,2021/05/15 03:00:17+00,,
18,-9552605.23941481,4605628.47700754,19,47.0,CCTV05035,Online,Kentucky,5.0,Jefferson,I-264,7.5,I-264 at Dixie Hwy.,East-West,http://www.trimarc.org/images/milestone/CCTV_05_264_0075.jpg,38.185242,-85.812508,2021/05/15 03:00:17+00,,
19,-9534102.37710478,4620259.79410091,20,50.0,CCTV05038,Online,Kentucky,5.0,Jefferson,I-264,5.1,I-264 at I-71,East,http://www.trimarc.org/images/milestone/CCTV_05_71_0051.jpg,38.288479,-85.646294,2021/05/15 03:00:17+00,,
20,-9534584.50194994,4620707.9745444,21,51.0,CCTV05039,Online,Kentucky,5.0,Jefferson,I-71,4.8,I-71 at I-264,North-South,http://www.trimarc.org/images/milestone/CCTV_05_71_0048.jpg,38.291639,-85.650625,2021/05/15 03:00:17+00,,
21,-9533398.05849069,4620793.78356266,22,52.0,CCTV05040,Online,Kentucky,5.0,Jefferson,I-71,5.5,I-71 N. of I-264,South,http://www.trimarc.org/images/milestone/CCTV_05_71_0055.jpg,38.292244,-85.639967,2021/05/15 03:00:17+00,,
22,-9535411.71689679,4612824.26218636,23,54.0,CCTV05042,Online,Kentucky,5.0,Jefferson,I-64,10.2,I-64 at Cannons Ln.,West,http://www.trimarc.org/images/milestone/CCTV_05_64_0104.jpg,38.236033,-85.658056,2021/05/15 03:00:17+00,,
23,-9533591.86525181,4612784.15450442,24,55.0,CCTV05043,Online,Kentucky,5.0,Jefferson,I-64,11.2,I-64 at Breckenridge Ln.,East,http://www.trimarc.org/images/milestone/CCTV_05_64_0114.jpg,38.23575,-85.641708,2021/05/15 03:00:17+00,,
24,-9518460.53635535,4611152.90763983,25,58.0,CCTV05046,Online,Kentucky,5.0,Jefferson,I-265,25.5,I-265 at I-64,South,http://www.trimarc.org/images/milestone/CCTV_05_265_0256.jpg,38.224239,-85.505781,2021/05/15 03:00:17+00,,
25,-9542728.41542787,4616537.38702005,26,64.0,CCTV05052,Online,Kentucky,5.0,Jefferson,I-71,0.4,I-71 at Frankfort Ave.,North,http://www.trimarc.org/images/milestone/CCTV_05_71_0001.jpg,38.262228,-85.723783,2021/05/15 03:00:17+00,,
26,-9554494.66576263,4606025.03448992,27,65.0,CCTV05053,Online,Kentucky,5.0,Jefferson,I-264,6.4,"I-264 W. of Dixie Hwy., E. of Crums Ln.",East,http://www.trimarc.org/images/milestone/CCTV_05_264_0065.jpg,38.188042,-85.829481,2021/05/15 03:00:17+00,,
27,-9554425.31368201,4607066.3538753,28,66.0,CCTV05054,Online,Kentucky,5.0,Jefferson,I-264,5.9,I-264 at Crums Ln.,West,http://www.trimarc.org/images/milestone/CCTV_05_264_0060.jpg,38.195394,-85.828858,2021/05/15 03:00:17+00,,
28,-9552893.78008498,4613519.5818277,29,69.0,CCTV05057,Online,Kentucky,5.0,Jefferson,I-264,2.6,I-264 at Virginia Ave./Dumensil St.,West,http://www.trimarc.org/images/milestone/CCTV_05_264_0027.jpg,38.240939,-85.8151,2021/05/15 03:00:17+00,,
29,-9552045.30293141,4617275.06780014,30,71.0,CCTV05059,Online,Kentucky,5.0,Jefferson,I-264,0.6,I-264 at Bank St.,West,http://www.trimarc.org/images/milestone/CCTV_05_264_0007.jpg,38.267431,-85.807478,2021/05/15 03:00:17+00,,
30,-9551936.76650904,4618618.14384575,31,72.0,CCTV05060,Online,Kentucky,5.0,Jefferson,I-64,1.1,I-64 at I-264,East,http://www.trimarc.org/images/milestone/CCTV_05_64_0012.jpg,38.276903,-85.806503,2021/05/15 03:00:17+00,,
31,-9547335.262539,4615656.71850143,32,76.0,CCTV05064,Online,Kentucky,5.0,Jefferson, ,0.0,Intersection of 9th St & Market St,East,http://www.trimarc.org/images/milestone/CCTV_05_9th_&_Market.jpg,38.256016,-85.765167,2021/05/15 03:00:17+00,,
32,-9553668.1185306,4610693.09650303,33,68.0,CCTV05056,Online,Kentucky,5.0,Jefferson,I-264,4.0,I-264 at Bells Ln.,West,http://www.trimarc.org/images/milestone/CCTV_05_264_0041.jpg,38.220994,-85.822056,2021/05/15 03:00:17+00,,
33,-9540177.97252112,4595614.92672023,34,44.0,CCTV05032,Online,Kentucky,5.0,Jefferson,I-65,125.2,I-65 at I-265,North,http://www.trimarc.org/images/milestone/CCTV_05_65_1252.jpg,38.114503,-85.700872,2021/05/15 03:00:17+00,,
34,-9517139.17352853,4610843.8627605,35,59.0,CCTV05047,Online,Kentucky,5.0,Jefferson,I-64,19.4,I-64 at English Station Rd.,East,http://www.trimarc.org/images/milestone/CCTV_05_64_0195.jpg,38.222058,-85.493911,2021/05/15 03:00:17+00,,
35,-9549095.66890687,4606209.86411615,36,48.0,CCTV05036,Online,Kentucky,5.0,Jefferson,I-264,9.3,I-264 at Taylor Blvd.,East,http://www.trimarc.org/images/milestone/CCTV_05_264_0093.jpg,38.189347,-85.780981,2021/05/15 03:00:17+00,,
36,-9546024.2524998,4615679.96769888,37,77.0,CCTV05065,Online,Kentucky,5.0,Jefferson,,0.0,2nd and Main,Southwest,http://www.trimarc.org/images/milestone/CCTV_05_2nd_&_Main.jpg,38.25618,-85.75339,2021/05/15 03:00:17+00,,
37,-9522208.88738768,4611161.97634777,38,56.0,CCTV05044,Online,Kentucky,5.0,Jefferson,I-64,16.9,I-64 at Blankenbaker Ln.,West,http://www.trimarc.org/images/milestone/CCTV_05_64_0171.jpg,38.224303,-85.539453,2021/05/15 03:00:17+00,,
38,-9536743.54413292,4620730.80943959,39,37.0,CCTV05024,Online,Kentucky,5.0,Jefferson,I-71,3.7,I-71 at Blankenbaker Ln.,North-South,http://www.trimarc.org/images/milestone/CCTV_05_71_0037.jpg,38.2918,-85.67002,2021/05/15 03:00:17+00,,
39,-9508470.16561209,4610298.06238271,40,61.0,CCTV05049,Online,Kentucky,5.0,Jefferson,I-64,23.6,I-64 at Clark Station,West,http://www.trimarc.org/images/milestone/CCTV_05_64_0238.jpg,38.218206,-85.416036,2021/05/15 03:00:17+00,,
40,-9507558.90408272,4610131.86235433,41,62.0,CCTV05050,Online,Kentucky,5.0,Shelby,I-64,24.0,I-64 at Jeff./Shelby Co. Line,East,http://www.trimarc.org/images/milestone/CCTV_05_64_0242.jpg,38.217033,-85.40785,2021/05/15 03:00:17+00,,
41,-9869024.18308857,4447241.04593976,42,418.0,CCTV01002,Online,Kentucky,1.0,McCracken,I-24,6.4,I-24 MP 6.4,West,http://www.trimarc.org/images/milestone/CCTV_01_24_0064.jpg,37.058328,-88.654947,2021/05/15 03:00:17+00,,
42,-9864269.94872039,4442759.62692798,43,417.0,CCTV01001,Online,Kentucky,1.0,McCracken,I-24,9.6,I-24 MP 9.6,West,http://www.trimarc.org/images/milestone/CCTV_01_24_0096.jpg,37.026195,-88.612239,2021/05/15 03:00:17+00,,
43,-9327101.49980898,4676402.22976568,44,422.0,CCTV09002,Online,Kentucky,9.0,Mason,,18.0,US 68 MP 18 @ Ohio River Brdg Maysville,North,http://www.trimarc.org/images/milestone/CCTV_09_US68_0180.jpg,38.683252,-83.786774,2021/05/15 03:00:17+00,,
44,-9548947.50319343,4617150.58141572,45,147.0,CCTV05028,Online,Kentucky,5.0,Jefferson,I-64,3.0,I-64 EB at 22nd Street 3.1,East,http://www.trimarc.org/images/milestone/CCTV_05_64_0030.jpg,38.266553,-85.77965,2021/05/15 03:00:17+00,,
45,-9522367.85248089,4626248.30443745,46,150.0,CCTV05071,Online,Kentucky,5.0,Oldham,I-71,11.8,I-71 North of I-265 @ 11.8 MM,North-South,http://www.trimarc.org/images/milestone/CCTV_05_71_0116.jpg,38.330691,-85.540881,2021/05/15 03:00:17+00,,
46,-9531000.45823224,4615057.36363453,47,152.0,CCTV05073,Online,Kentucky,5.0,Jefferson, ,19.5,I-264 at Shelbyville Rd,East,http://www.trimarc.org/images/milestone/CCTV_05_264_0199.jpg,38.251788,-85.618429,2021/05/15 03:00:17+00,,
47,-9534527.28312457,4610782.93244606,48,153.0,CCTV05074,Online,Kentucky,5.0,Jefferson, ,16.5,I-264 at Taylorsville Rd,East,http://www.trimarc.org/images/milestone/CCTV_05_264_0170.jpg,38.221628,-85.650111,2021/05/15 03:00:17+00,,
48,-9200448.36764694,4461396.94154307,49,425.0,CCTV12002,Online,Kentucky,12.0,Letcher,,1.1,US 23 MP 1.1 @ US 119,South,http://www.trimarc.org/images/milestone/CCTV_12_US23_0011.jpg,37.15974,-82.64903,2021/05/15 03:00:17+00,,
49,-9542292.71001787,4604609.1113802,50,46.0,CCTV05034,Online,Kentucky,5.0,Jefferson,I-65,129.7,I-65 at Grade Ln.,South,http://www.trimarc.org/images/milestone/CCTV_05_65_1297.jpg,38.178044,-85.719869,2021/05/15 03:00:17+00,,
