,YEAR,MONTH,QUARTER,AIRLINE_ID,CARRIER,CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,PASSENGERS,MISHANDLED_BAGGAGE,ENPLANED_BAGGAGE,MISHANDLED_WCHR_SCTR,ENPLANED_WCHR_SCTR,FORM_TYPE,MKT_CARRIER_FLAG
31,2016,12,4,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,849314,2600,,,,,
32,2016,12,4,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,1687835,3535,,,,,
33,2016,12,4,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,2444664,14076,,,,,
34,2016,12,4,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,6466450,25918,,,,,
35,2016,12,4,21171,VX,Virgin America,VX,Virgin America,650961,892,,,,,
36,2016,12,4,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,12732611,48783,,,,,
37,2017,1,1,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,9289525,33827,,,,,
38,2017,1,1,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,1793803,3971,,,,,
39,2017,1,1,20409,B6,JetBlue Airways,B6,JetBlue Airways,2737977,5259,,,,,
40,2017,1,1,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,8747031,26921,,,,,
41,2017,1,1,20366,EV,ExpressJet Airlines Inc.,EV,ExpressJet Airlines Inc.,1393686,8811,,,,,
42,2017,1,1,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,1147969,6827,,,,,
43,2017,1,1,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,844841,2964,,,,,
44,2017,1,1,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,1640754,3029,,,,,
45,2017,1,1,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,2332048,12021,,,,,
46,2017,1,1,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,5828072,19309,,,,,
47,2017,1,1,21171,VX,Virgin America,VX,Virgin America,580630,1091,,,,,
48,2017,1,1,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11231184,37544,,,,,
49,2017,2,1,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,8723077,20793,,,,,
50,2017,2,1,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,1684028,2914,,,,,
51,2017,2,1,20409,B6,JetBlue Airways,B6,JetBlue Airways,2465383,3373,,,,,
52,2017,2,1,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,8461967,13091,,,,,
53,2017,2,1,20366,EV,ExpressJet Airlines Inc.,EV,ExpressJet Airlines Inc.,1247511,3871,,,,,
54,2017,2,1,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,1057079,3329,,,,,
55,2017,2,1,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,751640,2185,,,,,
56,2017,2,1,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,1597904,2364,,,,,
57,2017,2,1,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,2127311,7567,,,,,
58,2017,2,1,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,5493404,12193,,,,,
59,2017,2,1,21171,VX,Virgin America,VX,Virgin America,534869,663,,,,,
60,2017,2,1,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,10581340,24426,,,,,
61,2017,3,1,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10700764,28017,,,,,
62,2017,3,1,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,2108176,2907,,,,,
63,2017,3,1,20409,B6,JetBlue Airways,B6,JetBlue Airways,2944712,4701,,,,,
64,2017,3,1,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10852398,17739,,,,,
65,2017,3,1,20366,EV,ExpressJet Airlines Inc.,EV,ExpressJet Airlines Inc.,1513041,5507,,,,,
66,2017,3,1,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,1274828,3289,,,,,
67,2017,3,1,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,857395,2322,,,,,
68,2017,3,1,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,1903202,2525,,,,,
69,2017,3,1,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,2906129,9102,,,,,
70,2017,3,1,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,6988957,16918,,,,,
71,2017,3,1,21171,VX,Virgin America,VX,Virgin America,643953,806,,,,,
72,2017,3,1,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,13478853,31753,,,,,
73,2017,4,2,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10070814,28327,,,,,
74,2017,4,2,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,2008750,2838,,,,,
75,2017,4,2,20409,B6,JetBlue Airways,B6,JetBlue Airways,2913464,4377,,,,,
76,2017,4,2,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,9953754,30282,,,,,
77,2017,4,2,20366,EV,ExpressJet Airlines Inc.,EV,ExpressJet Airlines Inc.,1324149,6179,,,,,
78,2017,4,2,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,1248519,2881,,,,,
79,2017,4,2,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,819181,2068,,,,,
80,2017,4,2,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,2783144,8446,,,,,
81,2017,4,2,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,6734304,14249,,,,,
82,2017,4,2,21171,VX,Virgin America,VX,Virgin America,653156,928,,,,,
83,2017,4,2,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,13331080,32361,,,,,
84,2017,5,2,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10637844,27199,,,,,
85,2017,5,2,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,2193846,3521,,,,,
86,2017,5,2,20409,B6,JetBlue Airways,B6,JetBlue Airways,2905641,4814,,,,,
87,2017,5,2,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11122894,18576,,,,,
88,2017,5,2,20366,EV,ExpressJet Airlines Inc.,EV,ExpressJet Airlines Inc.,1361065,4693,,,,,
89,2017,5,2,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,1361806,3499,,,,,
90,2017,5,2,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,883544,2655,,,,,
91,2017,5,2,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,1888028,3110,,,,,
92,2017,5,2,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,2952995,7698,,,,,
93,2017,5,2,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,7214180,15259,,,,,
94,2017,5,2,21171,VX,Virgin America,VX,Virgin America,683462,1071,,,,,
95,2017,5,2,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,13567828,39413,,,,,
96,2017,6,2,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10762186,34433,,,,,
97,2017,6,2,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,2237360,4146,,,,,
98,2017,6,2,20409,B6,JetBlue Airways,B6,JetBlue Airways,2899515,5314,,,,,
99,2017,6,2,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11330703,19382,,,,,
