,violationnumber,violationtype,form,violationdate,casenumber,casetype,officer,violationjurisdiction,court,docket,appearancedate,outcomedate,outcomestat,receipt,offense,ObjectId
38,V21-015587,VIOL CTER,VR21-208883,2021/01/13 22:36:00+00,,,,40218.0,,,2021/01/13 17:36:00,2021/01/13 00:00:00,COMPLIED,R21-208883,91.002,39
39,V21-015587,VIOL CTER,VR21-208883,2021/01/13 22:36:00+00,,,,40218.0,,,2021/01/13 17:36:00,2021/01/13 00:00:00,COMPLIED,R21-208883,91.02,40
40,V21-015587,VIOL CTER,VR21-208883,2021/01/13 22:36:00+00,,,,40218.0,,,2021/01/13 17:36:00,2021/01/13 00:00:00,COMPLIED,R21-208883,91.071,41
41,V21-015588,VIOL CTER,VR21-208965,2021/01/14 22:49:00+00,,,,40218.0,,,2021/01/14 17:49:00,2021/01/14 00:00:00,COMPLIED,R21-208965,91.002,42
42,V21-015588,VIOL CTER,VR21-208965,2021/01/14 22:49:00+00,,,,40218.0,,,2021/01/14 17:49:00,2021/01/14 00:00:00,COMPLIED,R21-208965,91.02,43
43,V21-015588,VIOL CTER,VR21-208965,2021/01/14 22:49:00+00,,,,40218.0,,,2021/01/14 17:49:00,2021/01/14 00:00:00,COMPLIED,R21-208965,91.071,44
44,V21-015589,VIOL CTER,VR21-209036,2021/01/15 20:53:00+00,,,,40218.0,,,2021/05/01 00:00:00,2021/03/06 00:00:00,COMPLIED,,91.002,45
45,V21-015589,VIOL CTER,VR21-209036,2021/01/15 20:53:00+00,,,,40218.0,,,2021/05/01 00:00:00,2021/03/06 00:00:00,COMPLIED,,91.02,46
46,V21-015589,VIOL CTER,VR21-209036,2021/01/15 20:53:00+00,,,,40218.0,,,2021/05/01 00:00:00,2021/03/06 00:00:00,COMPLIED,,91.071,47
47,V21-015593,VIOL CTER,VR21-209050,2021/01/16 18:18:00+00,,,,40218.0,,,2021/01/16 13:18:00,2021/01/16 00:00:00,COMPLIED,R21-209050,91.002,48
48,V21-015593,VIOL CTER,VR21-209050,2021/01/16 18:18:00+00,,,,40218.0,,,2021/01/16 13:18:00,2021/01/16 00:00:00,COMPLIED,R21-209050,91.02,49
49,V21-015593,VIOL CTER,VR21-209050,2021/01/16 18:18:00+00,,,,40218.0,,,2021/01/16 13:18:00,2021/01/16 00:00:00,COMPLIED,R21-209050,91.071,50
50,V21-015633,WARNING,01-50241,2021/01/28 14:06:00+00,A21-088205-1,INVESTIGAT NEGLI,OFFICER RATLIFF,40245.0,,,2021/04/28 00:00:00,2021/05/04 00:00:00,COMPLIED,,91.02,51
51,V21-015633,WARNING,01-50241,2021/01/28 14:06:00+00,A21-088205-1,INVESTIGAT NEGLI,OFFICER RATLIFF,40245.0,,,2021/04/28 00:00:00,2021/05/04 00:00:00,COMPLIED,,91.02,52
52,V21-015635,WARNING,01-50242,2021/01/28 15:31:00+00,A21-088201-1,INVESTIGAT NEGLI,OFFICER RATLIFF,40299.0,,,2021/05/28 00:00:00,2021/06/14 00:00:00,COMPLIED,,91.02,53
53,V21-015635,WARNING,01-50242,2021/01/28 15:31:00+00,A21-088201-1,INVESTIGAT NEGLI,OFFICER RATLIFF,40299.0,,,2021/05/28 00:00:00,2021/06/14 00:00:00,COMPLIED,,91.02,54
54,V21-015642,CIT DD/PDD,N919037,2021/01/30 00:39:00+00,A21-088247-2,INVESTIGAT ANI ATTACK,OFFICER STEWART,40203.0,03/30/21,,,,,,91.15,55
55,V21-015646,CITE71,N919006,2021/01/30 19:00:00+00,A21-088256-1,STRAY AGGRS,OFFICER MILLER,,03/03/21,,,,,,91.071,56
56,V21-015646,CITE71,N919006,2021/01/30 19:00:00+00,A21-088256-1,STRAY AGGRS,OFFICER MILLER,,03/03/21,,,,,,91.002,57
57,V21-015646,CITE71,N919006,2021/01/30 19:00:00+00,A21-088256-1,STRAY AGGRS,OFFICER MILLER,,03/03/21,,,,,,91.02,58
58,V21-015665,VIOL CTER,VR21-209747,2021/02/02 22:44:00+00,,,,40218.0,,,2021/02/02 17:44:00,2021/02/02 00:00:00,COMPLIED,R21-209747,91.002,59
59,V21-015665,VIOL CTER,VR21-209747,2021/02/02 22:44:00+00,,,,40218.0,,,2021/02/02 17:44:00,2021/02/02 00:00:00,COMPLIED,R21-209747,91.02,60
60,V21-015665,VIOL CTER,VR21-209747,2021/02/02 22:44:00+00,,,,40218.0,,,2021/02/02 17:44:00,2021/02/02 00:00:00,COMPLIED,R21-209747,91.071,61
61,V21-015666,VIOL CTER,VR21-209790,2021/02/03 20:16:00+00,,,,40218.0,,,2021/02/03 15:16:00,2021/02/03 00:00:00,COMPLIED,R21-209790,91.002,62
62,V21-015666,VIOL CTER,VR21-209790,2021/02/03 20:16:00+00,,,,40218.0,,,2021/02/03 15:16:00,2021/02/03 00:00:00,COMPLIED,R21-209790,91.071,63
63,V21-015711,VET,01-50144,2021/02/19 19:06:00+00,A21-088825-1,INVESTIGAT ANI ATTACK,OFFICER STEWART,40215.0,,,2021/02/20 14:06:00,2021/02/19 00:00:00,COMPLIED,,91.09,64
64,V21-015741,CIVIL PEN,02-100957,2021/02/26 14:45:00+00,A21-089006-2,OWNED AGGRESSIVE,OFFICER THOMPSON,40214.0,,,2021/03/08 00:00:00,,HAND ADMIN,,91.002,65
65,V21-015598,CIT DD/PDD,N918843,2021/01/17 05:00:00+00,A21-087966-1,INVESTIGAT ANI ATTACK,OFFICER FORNER,40218.0,,,,2021/04/17 00:00:00,VOID,,91.15,66
66,V21-015744,VET,01-51827,2021/02/26 17:24:00+00,A21-089000-1,INVESTIGAT NEGLI,OFFICER THOMPSON,40272.0,,,2021/02/28 00:00:00,2021/02/27 00:00:00,COMPLIED,,91.09,67
67,V21-015765,VIOL RED,VR21-210884,2021/02/28 18:02:00+00,A21-089060-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218.0,,,2021/02/28 13:27:00,2021/03/01 00:00:00,COMPLIED,,91.071,68
68,V21-015765,VIOL RED,VR21-210884,2021/02/28 18:02:00+00,A21-089060-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218.0,,,2021/02/28 13:27:00,2021/03/01 00:00:00,COMPLIED,,91.071,69
69,V21-015841,VIOL CTER,VR21-211806,2021/03/12 22:16:00+00,,,,40218.0,,,2021/03/12 17:16:00,2021/03/12 00:00:00,COMPLIED,R21-211806,91.002,70
70,V21-015841,VIOL CTER,VR21-211806,2021/03/12 22:16:00+00,,,,40218.0,,,2021/03/12 17:16:00,2021/03/12 00:00:00,COMPLIED,R21-211806,91.02,71
71,V21-015841,VIOL CTER,VR21-211806,2021/03/12 22:16:00+00,,,,40218.0,,,2021/03/12 17:16:00,2021/03/12 00:00:00,COMPLIED,R21-211806,91.071,72
72,V21-015845,VIOL CTER,VR21-211814,2021/03/13 18:11:00+00,,,,40218.0,,,2021/03/13 13:20:00,2021/03/13 00:00:00,COMPLIED,R21-211814,91.002,73
73,V21-015845,VIOL CTER,VR21-211814,2021/03/13 18:11:00+00,,,,40218.0,,,2021/03/13 13:20:00,2021/03/13 00:00:00,COMPLIED,R21-211814,91.02,74
74,V21-015845,VIOL CTER,VR21-211814,2021/03/13 18:11:00+00,,,,40218.0,,,2021/03/13 13:20:00,2021/03/13 00:00:00,COMPLIED,R21-211814,91.071,75
75,V21-015844,CIT DD/PDD,N918854,2021/03/12 18:00:00+00,A21-089400-1,INVESTIGAT BITE,OFFICER FORNER,40212.0,04/09/21,,,,,,91.15,76
76,V21-015844,CIT DD/PDD,N918854,2021/03/12 18:00:00+00,A21-089400-1,INVESTIGAT BITE,OFFICER FORNER,40212.0,04/09/21,,,,,,91.072,77
77,V21-015879,VIOL RED,VR21-212216,2021/03/21 18:22:00+00,,,,40218.0,07/09/21,V21-015879,2021/05/30 00:00:00,,HAND ADMIN,,91.071,78
78,V21-015882,VIOL CTER,VR21-212211,2021/03/20 21:04:00+00,,,,40218.0,,,2021/03/20 17:04:00,2021/03/20 00:00:00,COMPLIED,R21-212211,91.002,79
79,V21-015882,VIOL CTER,VR21-212211,2021/03/20 21:04:00+00,,,,40218.0,,,2021/03/20 17:04:00,2021/03/20 00:00:00,COMPLIED,R21-212211,91.02,80
80,V21-015882,VIOL CTER,VR21-212211,2021/03/20 21:04:00+00,,,,40218.0,,,2021/03/20 17:04:00,2021/03/20 00:00:00,COMPLIED,R21-212211,91.071,81
81,V21-015888,WARNING,01-51569,2021/03/22 22:13:00+00,A21-089679-1,INVESTIGAT # POULTRY,OFFICER HARRIS,40214.0,,,2021/04/20 18:00:00,2021/04/21 00:00:00,COMPLIED,,91.002,82
82,V21-015945,CIVIL PEN,02-100626,2021/04/01 17:00:00+00,A21-089999-1,OWNED AGGRESSIVE,OFFICER FORNER,40223.0,,,2021/04/11 00:00:00,,HAND ADMIN,,91.002,83
83,V21-015946,VIOL NOTIC,01-50169,2021/04/01 19:27:00+00,A21-090002-1,NUISANCE RESTRAINT,OFFICER SABATINI,40219.0,,,2021/05/02 18:00:00,2021/04/20 00:00:00,COMPLIED,R21-213810,91.002,84
84,V21-015946,VIOL NOTIC,01-50169,2021/04/01 19:27:00+00,A21-090002-1,NUISANCE RESTRAINT,OFFICER SABATINI,40219.0,,,2021/05/02 18:00:00,2021/04/20 00:00:00,COMPLIED,R21-213810,91.02,85
85,V21-015752,VIOL CTER,VR21-210859,2021/02/26 22:01:00+00,,,,40218.0,,,2021/02/26 17:01:00,2021/02/26 00:00:00,COMPLIED,R21-210859,91.02,86
86,V21-015721,VIOL RED,VR21-210589,2021/02/21 23:55:00+00,A21-088869-3,XTRA SERVE VIOL OTC,OFFICER RATLIFF,40218.0,,,2021/02/26 00:00:00,2021/02/23 00:00:00,COMPLIED,R21-210589,91.02,87
87,V21-015607,CIT DD/PDD,N918844,2021/01/21 02:05:00+00,A21-088032-2,INVESTIGAT ANI ATTACK,OFFICER FORNER,40291.0,04/09/21,,,,,,91.02,88
88,V21-015752,VIOL CTER,VR21-210859,2021/02/26 22:01:00+00,,,,40218.0,,,2021/02/26 17:01:00,2021/02/26 00:00:00,COMPLIED,R21-210859,91.071,89
89,V21-015967,CITATION,N919013,2021/04/03 17:24:00+00,A21-089973-2,INVESTIGAT NEGLI,OFFICER MILLER,40208.0,05/03/21,,,,,,91.02,90
90,V21-015782,CIT DD/PDD,N919072,2021/03/05 17:02:00+00,A21-089167-4,INVESTIGAT ANI ATTACK,OFFICER THOMPSON,40272.0,04/22/21,,,,,,91.15,91
91,V21-015757,VN/CITE,VR21-210850,2021/06/30 21:09:00+00,,,,40218.0,07/22/21,P193779,2021/06/10 00:00:00,,CONV CITA,,91.09,92
92,V20-015521,VIOL CTER,VR20-208458,2020/12/30 21:19:00+00,A20-087558-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218.0,,,2020/12/30 16:29:00,2020/12/30 00:00:00,COMPLIED,R20-208458,91.071,93
93,V21-015721,VIOL RED,VR21-210589,2021/02/21 23:55:00+00,A21-088869-3,XTRA SERVE VIOL OTC,OFFICER RATLIFF,40218.0,,,2021/02/26 00:00:00,2021/02/23 00:00:00,COMPLIED,R21-210589,91.071,94
94,V21-015607,CIT DD/PDD,N918844,2021/01/21 02:05:00+00,A21-088032-2,INVESTIGAT ANI ATTACK,OFFICER FORNER,40291.0,04/09/21,,,,,,91.15,95
95,V21-015654,CIT DD/PDD,N918995,2021/02/02 17:40:00+00,A21-088323-2,INVESTIGAT ANI ATTACK,OFFICER RATLIFF,40219.0,02/19/21,,,2021/03/22 00:00:00,GUILTY,,91.002,96
96,V21-015806,VET,01-51829,2021/03/09 13:09:00+00,A21-089283-1,STRAY INJURED,OFFICER THOMPSON,40216.0,,,2021/03/10 00:00:00,2021/03/11 00:00:00,COMPLIED,,91.09,97
97,V21-015722,VIOL RED,VR21-210590,2021/02/21 23:55:00+00,A21-088869-3,XTRA SERVE VIOL OTC,OFFICER RATLIFF,40218.0,,,2021/04/30 00:00:00,2021/05/08 00:00:00,DISMISSED,,91.002,98
98,V20-015524,VET,01-50142,2020/12/31 20:57:00+00,A20-087571-2,INVESTIGAT ANI ATTACK,OFFICER STEWART,40212.0,,,2021/01/04 15:57:00,2021/01/04 00:00:00,COMPLIED,,91.09,99
99,V21-015967,CITATION,N919013,2021/04/03 17:24:00+00,A21-089973-2,INVESTIGAT NEGLI,OFFICER MILLER,40208.0,05/03/21,,,,,,91.02,100
